|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓄚 𓈖 𓏌 𓅱 𓉐||interior, home, abode, Residence|inneren Tor / in-door / andaron@P 
𓄚 𓏌 𓉐 𓏤||interior, home, abode, Residence   SOO CLEVER|indoor  / andaron@P  / xentour = center ⇔ centaurio ← / interior
𓄛||mesh : methe : δεrmάτιn leader-dermato-marten  GR|
𓄛   𓃵  𓃯||iPhanTher  vs jaguar=Jäger ← yph-hunt? Ibex/Eve ipher|el iPhat = leopard
𓄛 𓏏 𓏏||go forth|there to  ORTHO@
𓄝 𓏏 𓁹||stare, stare at|shteyarro=stare ⇔ stereo? stare-aux ...
𓄝 𓏏 𓇋 𓇋 𓈗||pour (water)|shyt: Schütt, shoot, shed  / anάchυs.ις ana.chys ⇔ Schüssel schieß shoot schüth / an.excess  / chyn : shoo'n / aismate.chysia ® ←
𓄞  𓇰||pord➙ford Furt |⇔
𓄞 𓂧 𓂡 𓊤 𓅱||disturbance|Zittern? / Unruhen 
𓄟 𓋴 𓀁||(enclitic part.) surely, indeed|mais  FR  / nes / mas / messi / mais-si (but yes  / merci
𓄟 𓋴 𓁒||create (of god), bring forth (of field), make, fashion|maigen: make  N / nais, May, Mai, mask, Maske
𓄟 𓋴 𓂧 𓀁||dislike, hate|mise: μισέ hate, detest  GR DEENN / mιsøī mīs ⇔ mies miserable dismiss miseor miser#Latin Misere misery mief mist(fog) Mist DE*3  / ←ƒ> makruh : detestable
𓄟 𓋴 𓇋 𓇋 𓏏 𓇰 𓏳 𓏥 𓁶 𓏏 𓎱 𓇳||the First Mesyt (a Festival)| Mystic 
𓄟 𓋴 𓋴 𓍱||tunic|Maschen  ⇔ gamaschen,gaments  DEEN / mesh Maschenetz Nerz see Sumer  / messe-schnitt
𓄟 𓋴 𓈖 𓏌 𓏲 𓌟 𓀜 𓀀||harpooner|NesselNharpooner Nessel=sting/poison/Speer?  Naur=fish poon=pin,spoon DE/EN/FR/I8/
𓄡||belly, womb, body, sole (of foot)|askamb *skwmb / scrotch / scrotum / scratch / qobah ko'-baw Körper
𓄡   𓀒||~throv : throw  GR/EN |anatrep / καταs.τrøīph = overthrow / ⇔ step tipping-point?
𓄡 𓊪 𓂝 𓀁||chew|chou ←  EN ➙ SUM/AKK
𓄡 𓎡 𓂋 𓇋 𓇋 𓏏 𓐬 𓏪||insignia|scrit  
𓄡 𓎡 𓂋 𓐬 𓏜||panoply, insignia|δkr Dekor decor → skr sacred scrit ⇔ 
𓄤 𓂋 𓏏 𓁐 𓏪||fair women|fairy faireth  / ← >
𓄤𓆑𓂋 𓉴𓊖||pyramid  phyrsa parameter Fürstentum?|
𓄤𓆑𓂋 𓉴𓊖||pyramid  phyrsa parameter Fürstentum?|
𓄲𓂋𓅨𓈘|||Over²rod : Euphrat OR  / TyrTaiGveris  ⇔ Babylonia / Tyr-ver? Thai-ver-river? Täufer➙Täufel Taur-river Tau-river / Thai-ver und Thai-gris ?
𓄶 𓂋 𓏏 𓏮 𓂻||traveller|Wanderer wind.er'ir 
𓄿||bvaulag|faul ~ flau(te) ~ flach ⇔ lag   DE    vs pfeil / ⇔
𓄿||(vulture) bird (in general)|Aar ⇔
𓄿 𓄡 𓂝||scratch, scar  X|a'scar ⇔ scar  ⇔ scratch ⇔ scrape
𓄿 𓄡 𓂝||scratch, scar  X|a'scar ⇔ scar  ⇔ scratch ⇔ scrape
𓄿 𓄡 𓂝 𓂷||scratch, scrape, carve, engrave|a'scrapen QED  
𓄿 𓄡 𓂝 𓂷||scratch, scrape, carve, engrave|a'scrapen QED  
𓄿 𓅓 𓊮||burn, burn up|amburn amber ambird   ← / bird ⇔ burn / ⇔ / Merkh ⇔ Merkur?
𓄿 𓅱 𓅯|aweg| push away, thrust aside, set aside| <
𓄿 𓆑 𓂋 𓇋 𓇋|aFry|boil|<
𓄿 𓇋 𓇋 𓏏 𓅪||blanch ?|(v)ait <> white <> ash 
𓄿 𓇋 𓏲 𓊡||windy?|airy 
𓄿 𓈎 𓅪||misfortune  -vål|ache : grief 
𓄿 𓈎 𓎛 𓅱||battle - axe|aqHu / axe 
𓄿 𓈙 𓂋 𓄹||roast, roast meat, a roast| asher
𓄿 𓈙 𓂋 𓊮||roast| asher
𓄿 𓉔 𓐎 𓅪||pain   -vål|aHo ache 
𓄿 𓉔 𓐝||sorrow| ache  aHom achen / Ahu : Au
𓄿 𓊃 𓐎||bald|latze 
𓄿 𓊪 𓂧 𓅬||duck, bird|⇔ offt avis
𓄿 𓊪 𓎛 𓏯||(collective n.) swine, pigs|Äpher ~ Eber 
𓄿 𓋴 𓅯||bald-headed vulture| AasGeier 
𓄿 𓍘 𓇋 𓏲 𓏏 𓆱||bed|lattius : / letto ➙ lit, Latte  @LAT   / lože @ CES / lacama @ spa / Lazaret / ⇔
𓄿 𓍿||nurse D|~Lazaret ^^ / ~Ärztin ? / Ammeƒ / ←?> τροφός a nurse / אמן 'âman = Amme 
𓄿 𓍿 𓇋 𓇋 𓏏||nurse| ~Ärztin 
𓄿 𓏇 𓇋 𓀜||mix|her.mix  ⇔ Hermes / er.mix ~ vermisch
𓄿 𓏏 𓊪 𓀋||load (a ship)|Burden ⇔ borden 
𓄿 𓐍 𓄿||stars  Aa|Achaer   ← Arier Achter : horizon A'hier / Akra Erker / akhar ⇔ astra ⇔ ἄστρον / AirNiar ⇔ Ahnen / LarNiar ⇔ Lunar
𓄿 𓐍 𓏛||the spirit - state|Achter Achtung  ←
𓅁||Hunger'er  -gar@Persia|
𓅐 𓏏 𓊌||weight|Maß  / mutsch ⇔ measure 
𓅓 𓁹||(negative imperative) do not|ver-meid  DE / mei 沒 méi  ⇔ 莫 mò = no ¬
𓅓 𓂋||overseer|major mayor meier ... N / führer fürst pfarrer pharao ... DE 
𓅓 𓂋 𓏤 𓇋 𓇋 𓈖 𓄿 𓀏||Syrian warrior|foreigner
𓅓 𓂝 𓅷 𓏤 𓂺||penis|?? ← / prall ⇔ phall / prick  / prochick /
𓅓 𓂝 𓆑 𓎅||headsman's block|mra'ashah  bolster, head, pillow
𓅓 𓂝 𓇋 𓂻||(imperative) come |move  EN / parier / may' ⇔ see
𓅓 𓂝 𓎡 𓏏 𓏮 𓂡 𓀀||protector, guardian|proktier / ⇔ proxy
𓅓 𓂝 𓐍 𓏏||balance|macht ... DE
𓅓 𓆓 𓏏||oil|mischt ⇔ miDad@Arab medad@Pers  JNA mshkh, mishkha / owl : oil / ƒ? deep? / µzait @ Arab wow
𓅓 𓆼 𓄿||balance  X|mot_aid : Heb moznaim (balance)  HE / ⇔mwzai
𓅓 𓈙 𓂝 𓀎 𓏥||soldiers, army, infantry, gang (of workmen)|Al masha ال مشاة AR% 
𓅓 𓉐 𓉐||member of the administration|importo  IT
𓅓 𓊃 𓏏 𓉽||a staff|Mast EN/DE / post EN/DE
𓅓 𓎚 𓏏 𓊞||day - barque (of sun god)|fr-edga-t fregatte 
𓅓 𓎡 𓋴 𓅱||bowing|nicken DE
𓅓 𓎡 𓏏 𓎡||quietly|neckish  DE
𓅓 𓐍 𓂋 𓅱 𓏛 𓏥||business|marcher' ⇔ merchand 
𓅓 𓐍 𓂋 𓈘||low - lying land|Marsch  / ← machrr / ⇔micro
𓅓 𓐍 𓋴 𓍚 𓆱||peg (to secure net)|mesh-cashen Maschen ENDE
𓅓𓂝 𓅷||_cock|muschi ƒ moƒ / pein: פין ⇔ pen /  / (p)avib/pabib: قضيب / ⇔ Apis Bull ⇔ aPis piss pe'is penis pins Pinsel Penis  Balls
𓅖 𓇋 𓇋 𓅱 𓈗||semen, seed of man|mayn seas : men seed = semen  N / ~milch? vs / susar@Persia ⇔ essence Soße
𓅘 𓎛 𓇳 𓎛 𓏊 𓏥||(sesame) oil|sesame ←> haham⇔HamHaRa   PERS⇔INDI h⇔s /  vs eternal flame ⇔ Docht?
𓅜 𓐍 𓅱 𓏛 𓏥||work|Ackern 
𓅜 𓐍 𓏏 𓁻||eye (of god)|Achteye / 1) Acht Auge  / 2) Achter (drauf achten) ... weg. 1 / 3) Macht
𓅜 𓐍 𓏏 𓁻||eye (of god)|Achteye / 1) Acht Auge  / 2) Achter (drauf achten) ... weg. 1 / 3) Macht / Maygt / Die Macht /
𓅜 𓐍 𓏏 𓏳 𓍘 𓇋||horizon - dweller|(M)Ach-tai / ← Thai  Taitie Titans TeuTeuTeuTonen
𓅠 𓅓 𓅱||weakness|faint 
𓅠 𓅓 𓏲 𓅁||mourning|Wimmern ⇔ beben  / Sühnen / Zürnen / ⇔zonen
𓅡𓎡𓅂       𓅢||'Pfuckan' vs Pfuschen vs puschen pushen PoWacker wacker ackern anpacken |trAbail arbeit abot abod рад работ robot ~ Arbeit ⇔ orb:waise ⇔ arm? ⇔ rabt:Knecht
𓅢  𓅜||frawahr@PER ProWer |frawahr ⇔ fras(a)murw = peacock = / Pfauer :
𓅧 𓈎 𓂻 𓄣 𓏤||become intimate|shekeln@DE / shag@EN / shagal@SEM  I18N 
𓅧𓈎𓂻𓄣𓏤||chaicun* shag@EN / shagal@SEM  I18N   |σεί* sex shake it baby / derb
𓅨||great|gveryt Schwert Schwanz Schwalbe
𓅨|||gveryt  sehr Schhar <> 
𓅨   𓆱||-rest  EN←DE räst|star-rest / ver-rest / schwer-rest
𓅨 𓂋 𓂋 𓇋 𓇋 𓏏 𓌝||chariot, wagon|Chwarriet chariot  N
𓅨 𓂋 𓆓||be weary, grow weary, tire, die|wearyn worn  EN
𓅨 𓂋 𓌳 𓏥 𓀀||Greatest of Seers|Fährmaster  DE / Wahrer Master  / Wahrer Maater 
𓅨 𓇗 𓎆||magnate of the Tens of Upper Egypt|Pharao SulTan 
𓅨 𓇗 𓎆 𓏥||magnate of the Tens of Upper Egypt|Pharao  Sudan 
𓅨 𓇙 𓎆 𓎆 𓎆 𓀀||magnate of the Tens of Upper Egypt| Pharao Sandan  𓎆 𓎆 𓎆 30 / Sand 
𓅨 𓌂 𓍍 𓀀||Master Craftsman| Fachman << Nimifachmidan 
𓅨 𓏏||sacred barque|Ferry / Ferrieth / Ferris 
𓅨 𓏏 𓃒||sacred cow| Ferse? Pharis? <<?
𓅨𓂋𓂋𓇋𓇋𓏏𓌝||chwarriet=chariot |
𓅪||foul, vål, val, evil   ←|
𓅪||foul, vål, i'val, evil   ←|vane, vain, vaiin / bane der Fluch Pl.: die Flüche / bane der Ruin kein Pl. / bane das Verderben kein Pl. / bane = bad elsewhere 
𓅮 𓄿|P-TH| 'past tense' marker| post opus over?  ← 
𓅮 𓄿|over| 'past tense' marker| post opus over?  ← 
𓅮 𓄿 𓅱 𓏏 𓏳 𓏥||(pl.) offerings|
𓅮 𓄿 𓇋 𓇋 𓎡|of-you|(pos. adj.) yours|over you ← / flutterich / flatter /  /
𓅮 𓈎 𓏗|flat|a flat thin cake or biscuit|flat-kuchen QED  ⇔ Fladen / offqusee <> pancake
𓅯 𓇋 𓇋 𓏏 𓈒 𓏥|gum|gum, resin|𓈎 𓏇 𓇋 𓇋 phrîyth פרית HE phri OK ⇔ fruit 𓅯𓀁 food,fat 
𓅯 𓄿 𓈎 𓇋 𓇋 𓏏 𓊌|σείί|shell (of turtle, of skull), flake (of stone), potsherd|flake stone / fl.a.q.ie.th(stone) / flakes EN / ⇔ Flecken
𓅯 𓈗 𓂋 𓏤||reminder, explanation|fasr : explanation   ⇔ wasser ⇔ vesir?, fether, vetter, fatter: 
𓈎 𓌳 𓄿 𓌙||throw, create, beget, produce, carry out (teaching), hammer out (from metal)|kümmern : carmyr  ☭khmer as verb 
𓈎 𓏇 𓇋||gummi|gummi OK  (ter minator) / also see Sumer
𓊃 𓈖 𓌰 𓅓 𓅠 𓏳 𓈓||food - supply|synmess fooda 
𓋴 𓎛 𓏏 𓍃 𓅪||© destroy   -vål| shatim حطّم AR / shattern  ⇔ / shatara : tear off / حطّم /
𓋴 𓎛 𓊨 𓅓 𓅯 𓅪||© destroy    -vål|zerstören / shatim حطّم AR / shattern  ⇔ / shatara : tear off / حطّم /
𓋴 𓎝 𓎛 𓏜|schon?|© make to endure, to last, make stay (in house), lengthen (life), last long|se reaha ⇔ reach 'roady' / se waither -- / ~secure / schonen / store<>dure 
𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜|COUNT|number, counting, numbering, each, every, every time that|count<>quando 𓅯𓏌𓅱
𓍿 𓈖 𓏏 𓏏 𓃒 𓏥|santa|sacred cattle|sainttaur ⇔ centaur:horse--
𓍿 𓈖 𓏏 𓌙 𓅯 𓏛|sans-|difference (between x and y)|contrairy  FR ← / anthar'leikei @ Goth
𓂋 𓊪 𓅯||an edible bird (goose ?)|tru Truthahn turkey  DE <> torch ⽕
𓏏 𓂓 𓄿 𓅱 𓊮||(the rite of) torch - lighting|tocharen / ⽕ torchern  ➙ torture -- EN
𓏏 𓈖 𓌙 𓅯 𓏜||(variant of Tni) lift up, promote, distinguish, be distinguished|tenure  (Besitz, Amtszeit) 
𓏏 𓈖 𓏌 𓏲 𓌙 𓅯 𓏛 𓏥||number|⇔tenure : Dauer ← / ⇔census / ⇔turn  ^^ / ⇔turnus / cen ⇔ ten Zehn Zahlen ?? / sn~sum
𓏏 𓈖 𓏮 𓌙 𓅯 𓈐||(int.) (variant of Tn) where ?, whence ?|donde?  / "way?" = where 
𓐍 𓈖 𓅯||alight (from flight), stop, halt, rest (on)|kenflui / kanpeln / camp
𓐍 𓈖 𓅯 𓀁 𓈖 𓌃 𓂧 𓏏 𓀁||proverb|kannt-Motto 𓌃𓂧𓏏𓀁  geflügeltes Wort 
𓐍 𓈖 𓇋 𓇋 𓏏 𓅯 𓂻 𓏥 𓁐||female musicians|chantate  / comet-flyer / ⇔ comedians ←   ?? / komm-mit-fliehen
𓐍 𓈖 𓅯 𓀁||speech, utterance, matter, affair|conflict --- / A2: icke
𓐍 𓈖 𓇋 𓂉 𓂡||restrain|kniebuger ← / crimi-buger / komm'i'bucht / buger ⇔ burgler  
𓐍 𓈖 𓌰 𓅓 𓋴 𓀙 𓅯 𓏛 𓏥||mosquito|mesghir-flutterer / Moskito / Metzger-Flatter / Maskier-Flatter / ⇔kiemen@AR breath / Himmel ?
𓐍 𓈖 𓏏 𓂉||council-chamber|council 
𓅰 𓏳 𓏥||provisions, sustenance, victuals, (deified as) Abundance|fasten  / ^^zauwada 𓅱||(enclitic negative part.) not|un-  @ EN / mo @ GR 
𓅱 𓂝 𓂋 𓂾|F'ugh|Flucht  g𓂋r OK    𓏏||flight|hurtig hurub : flight  AR / ^^ NO EXCEPTIONS (or 2 readings?)  VS guard/gator
𓅱 𓂝 𓂋 𓏏 𓂾 𓏜||flight| ~floight ⇔ phleg  φυγή, ῆς flight ⇔ firar@AR
𓅱 𓂝 𓂋 𓏏 𓂾|foot|hip joint, leg, lower leg, foot|morth=mors=popo / Mord mort mortal ← / ⇔ morsch / (m)ossicle ← ⇔ mors
𓅱 𓂝 𓂋 𓏏 𓂾|flight|flight|flait flight  / mward = abwehren  ⇔ mord?
𓅱 𓂝 𓌡 𓏤|uon|unique, one only, sole|uno  wone / mwuno - / plain 
𓅱 𓂝 𓈖 𓐎 𓆭|uon|juniper|plantane / 'unoNiPain  juniper 
𓅱 𓂧 1) W'D V'D classic 'N nur am Ende|
easant  OK wow  / ↮ / fallahh : peasant Ind fellah, Per fallahh الفلا fellow ...  / moddest Modder ⇔ mother earth opponent mæarbd المعارض guard/gatorphonit?
𓅱 𓂧 𓃀 𓄲 𓂻|WEND|turn back, revert|
𓅱 𓂧 𓃀 𓄲 𓂻|wend|fold over, turn (away from), turn back, revert (to)|fold
𓅱 𓂧 𓃀 𓄲 𓂻|(ab)wend|divert (illness)|
𓅱 𓂧 𓆑 𓂻|wait|delay|Warten
𓅱 𓂧 𓊪 𓅱 𓏌|Waiter|butler, cook|küchef.ener ? / küchoner
𓅱 𓂧 𓈖 𓍖 𓈒 𓏥|weightens|be heavy|EN:dense 
𓅱 𓂧 𓈖 𓏴||record (royal titulary)|~writen written w'δen:  / ~pressen/present
𓅱 𓂧 𓏴 𓂡||give out (a noise), commit (offence), deal (harm, injury)| utter
𓅱 𓂧 𓎛|WATER|pour out, pour off| 
𓅱 𓂧 𓏴 𓂡||stir up (strife), instil (terror), extend (protection)|madown@Sem  ⇔ / mischen mad measure 
𓅱 𓂸 𓏏 𓊅 𓀀 𓏥||mass (of men)|mPhat-Bau Fetter-Bauch  YID / mPhan' ➙ ~Umfang? -- / Masse?
𓅱 𓂸 𓏏 𓏮 𓌙 𓌙 𓉐||thick wall|masur / massen / wattun / umKannt / um-Wall µPhall  / wattle and daub
𓅱 𓂻||come, return|µGoir / UM-kehren   / home-go  / same cluster OK
𓅱 𓃀 𓂧 𓊮||burn, heat, be scalded|µbδ ⇔ Amboss Amber ⇔ Hammer  / >> anBrutzeln  / wenbd-- ? / ohn-blätter?
𓅱 𓃀 𓂧 𓏏 𓏯 𓊮||burn, burning|anBrutzeln  YID 
𓅱 𓃀 𓈖 𓏌 𓌙 𓉐||~wound|←
𓅱 𓃀 𓈖 𓏌||~wound| wvoun'ur 
𓅱 𓆓 𓂝 𓏏 𓐣 𓁐|wmn-scheid|divorced woman|
𓅱 𓆼 𓄿 𓂡||throw off (earth), empty out, shake out (linen), beat (a mat), purge (the body)|-leeren  / entleeren  / clear / enter ƒ / Matsch, Modder, mater a mat : weather?
𓅱 𓆼 𓆱||column, tent pole|Antau ⇔ Anker unxil / anChia anChai ⇔ qian giant=χίλιοι ~ Lilie lily Leila Lotus  / (κισ)χίλιοι ⇔ ? ®® kisxilioi ----- / ⇔ κύon kuon 犬 quǎn  chien 狗 gǒu 矿车 kuàngchē 'die Hunte'  ←
𓅱 𓇋 𓆛 𓈖 𓂢 𓂻||thrust aside, push away, set aside|minor ... QED / ⇔ mano major  LAT mini@DE?
𓅱 𓈙 𓁸||fall out, be destroyed, desolate (a place)|in Scherben  / voll Scherben ⇔ fall out / µ شعرschærben ⇔ schhair QED / moscher ⇔ moschen   DE ?
𓅱 𓈙 𓂧 𓀁||question (someone)|muss... musst?   DE möcht... ? ⇔magst mwhascht whot ? ← EN/I18N / ⇔ quest / ⇔?
𓅱 𓈙 𓃀 𓀁||answer|enshba : answer  EN
𓅱 𓈙 𓄿||jar of metal|_ / Muschel? / Messer  DE
𓅱 𓈙 𓐎||urinate|wuss ~ phuss pass piss / ooze  / musch ⇔ müssen  Muschi  Moo,Molke ?  DE
𓅱 𓉔 𓈖||throw down (fence), fall off (of scab)|umhaun  DE /
𓅱 𓉔 𓈖 𓈖 𓁶||crown (of head)|cuoun ➙ crown -- ??
𓅱 𓊃||urinate, pass (fluid)|ooze  / phuss : piss, pass, ooze ??? ← ?
𓅱 𓊃 𓈙 𓏏 𓂺 𓈗 𓐎 𓏥||urine|uz-shit aus-schied - / mu-shit / שֶׁתֶן schütten : urine (shit)
𓅱 𓋴 𓈙 𓏏||urine|שֶׁתֶן schütten : urine (shit)  / us-sht OK, aus-schütten  ok,see elesewehere
𓅱 𓍑 𓄿 𓏏 𓂀||the uninjured eye of Horus|umva-saert unversehrt  DE
𓅱 𓍑 𓄿 𓏜||(adj.) hale, uninjured, prosperous|umva-saert  DE / unversehrt  DE WOW, really QED QED QED QED QED QED QED QED QED QED QED QED
𓅱 𓍑 𓉐||storehouse|huisa ⇔ Häuser? / mesa  QED  ⇔ casa / ⇔ mensa mēnsa = table
𓅱 𓍑 𓏜||remain over (of balance in calculations)|moisant ⇔ Heb moznaim (balance)  / minus← ? 
𓅱 𓐍 𓆱||column, tent pole| / ⇔ AXA,ARC,ACH*,ASH,ØRX,ARZ,AHO   / Antau ⇔ Anker 
𓅱 𓐍 𓇋||column, tent pole|anchi ⇔ AXA,ARC,ACH*,ASH,ØRX,ARZ,AHO ⇔ tent
𓅱 𓐍 𓇰||night|µnight  / hnacht  / µnkh ⇔ Mönch, moon, menace
𓅱𓅱𓅱      𓂋||pellet ←???> pulet flight :  ?? 'wrong reading'?|לט pellet peh'-let ⇔ Paletine Palestina / From /  escape| Pelet, the name of two Israelites: - Pelet. See also. / mward = abwehren  ⇔ mord? ⇔ מדד middad mid-dad=flight / |
𓅷 𓄿 𓃀 𓏏 𓌽||loan|finer/ledger  / spare-bet ? / _-betger
𓅷 𓄿 𓅓 𓋳 𓁷 𓏤||show indulgence|phantaxer?  / feine-Tücher  DE  / vane-tek  / cheerprt up / cloak up ® ?
𓅷 𓄿 𓇋 𓇋 𓅱 𓈓||(pl.) pellets|barrien ballien pellets ← -
𓅷 𓈒||pellet|ball 
𓅷 𓋽||fan beare/ MISSING SIGNS: / necropolis / The Two Lords (Horus and Seth) E / kite (bird)
𓅷 𓏛 𓏲||bearer|Pfänder/finer  / Ständer? - / Träger vs Inhaber / chung-penguard/gator
𓅸𓅭||ffeNestre @cym QED |
𓆁 𓈎 𓏗||a flat thin cake or biscuit|Pan-N / panqueque / pancake / PfannKuchen / Phoar-Kuchen ?
𓆃||ophter ? ← best match -|phoδer / floδer / flatter fly / fluiier / fluiger fliegen
𓆄 𓅱 𓃟||pig|Schuuin  / swine blasphemy?? / Schwein
𓆄 𓏲 𓏏 𓅪||emptiness   -vål|schwind-voll   / shui : scheu/shun
𓆇||obr-Ein |a'brain / φρήν phrain = mind / brain  / φροντίζ thoughtful, frantic / ¬ κεφαλίς : roll, volume
𓆇||plate, Platte PLT EN |Pallette Palete  ⇔ Halter? 𓆇||plate, Platte PLT EN |Pallette Palete  ⇔ Halter? / ⇔
𓆎 𓅓 𓏜|kommt|total up, amount to, ay ( zu ...  / macht summe, count compterguard/gator
𓆎 𓅓 𓏜|∑ comput|completion, profit, duty|∑ comme, summe, count compter / com ^^^←
𓆑  𓎡 𓆑𓍘𓅱||Kar.Python ←?> Kap Phytòn <<➙ Delphi|Χάνδαξ (Khandhax) or Χάνδακας (Khandhakas), which gave Latin and Venetian Candia ➙ candy  / KSNtw Gesund ⇔ SnakeGoddess @ Crete ⇔ ⚕
𓆑 𓎼 𓄿||defecate, shit|fega : fekal de-fecate / 'sengken' Euphemism  ⇔ stinken?
𓆑 𓏏 𓅪||disgust  -vål|resentful
𓆑 𓏏 𓏏 𓅱||(pl.) fish   K|fith_ : fiththen  ENDE 
𓆑 𓏏 𓏏 𓆓 𓀁||obliterate (inscription)|wischen 
𓆑 𓏏 𓏏 𓍢||lint|Fussel   DE
𓆑𓐍𓏏𓆑||φυσικός = phythykatzn = physikos|katzen(mian-face)® / ← DONE 1/2  / ⇔ KATHA, KATA-... 
𓆓 𓂝 𓂋 𓆱 𓂻||seek|search 
𓆓 𓂝 𓂋 𓌙 𓏜||search out, investigate|searchan  / :ARCHƒ
𓆓 𓂝 𓌙 𓂻||spear (fish)|sφear / spear 
𓆓 𓂝 𓌠 𓃀||coal - black|shieam' = khem / काला श्याम kala shieam = color khem PIE  / scot = dark
𓆓 𓂝 𓌠 𓃀||coal - black|shieamb = khem / काला श्याम kala shieam = color khem PIE  / scot = dark
𓆓 𓂧 𓃀 𓌪||sting, incite|stab  / ↭ stex / stech / shoot (Schuh 
𓆓 𓂧 𓆑 𓏏 𓆙||snake, (internal bodily) worm|Schchnathe ^^ shnace / hhanash : snake 
𓆓 𓂧 𓊽||stable, enduring|steady stetig  EN/DE
𓆓 𓂧 𓌃  𓏥||recitation  Z|cite words  / chat unscharf ßth ⇔ Schluss ... -- / Schda Words / Stäbe / stabs / steps
𓆓 𓂧 𓎛 𓍢 𓂡||shut up, imprison|schd: shut her'einen /2
𓆓 𓂧 𓎡 𓅱 𓈗 𓈘||canal, channel|Tschadt chennel  OMG  DE/EN/AR ← / Shatt channel  OMG  DE/EN/AR ← / shut Schotten / Shatt al-Arab
𓆓 𓅓 𓋬 𓂧 𓏛||accumulate (grain), compile (spell), extend (hand)|shemad ~ symmath ⇔ zu.sammen  / aSch_maat
𓆓 𓅱 𓂝 𓐟 𓏤||lancet, surgical knife|shuorhal ➙ sur  ←
𓆓 𓆑 𓆑 𓆑||provisions, sustenance, victuals, (deified as) Abundance|Ssen: eSsen   DE ^^
𓆓 𓆑 𓇋 𓇋 𓏏 𓂻||penetration|Schnitt  DE
𓆓 𓇓 𓅱 𓀁||call (to)|shout EN/AR  / الصوت ~ shout  AR=EN
𓆓 𓈖 𓂧 𓄃||be angry (ƒ?)|schindend  / schind-herz / angry im sinne von wütend im sinne von böses-tuend  OK
𓆓 𓈖 𓂧 𓄃||subdue|schänden  DE
𓆓 𓈖 𓃀 𓂾||crooked|Schienbein ... OK : Schiene   DE
𓆓 𓈖 𓇋 𓏏 𓌼 𓈇 𓏤||dam|djameth haute  xeno aber ok
𓆓 𓈖 𓈖 𓏏 𓁶||skull|sheaudel = Schädel DE xeno / ortho  -
𓆓 𓏏 𓏤||estate|'state  ⇔ Stätte Stadt
𓆓𓆑𓄿𓅱𓏜||schNahrung  DE |
𓆣||Marien / Maien / Maisen / Messen / Mesuthen / Mist- / Mäuse / Maisse : Naisse |
𓆤 𓏏 𓄿 𓐍 𓇇 𓊖||(locality) Chemmis|Chemmis: Hornissar-Khur   / Chonnis ⇔ Johannes ? ←
𓆭   𓆱||kesst guest ← |⇔
𓆭   𓆱||kesst guest ← |⇔
𓆭 𓅓 𓉐||tent|tanintor ➙ tent 
𓆱 𓉻 𓅭||an edible bird, poultry|ess-duck  / ess-bar-bird /
𓆱 𓐍 𓏏 𓏏 𓉐 𓏤||house - servant|Grätel / Knecht ~~  / Assistor ⇔ Sister / actor / eskott
𓆱𓇛||sweet nec=flag/root  ←|spetux?
𓆶 𓇋 𓇋 𓏜||(adj. and v.) young, fresh (of water)|'ren'phet : rein water  ?← vs ƒƒƒ? / youth young
𓆶 𓇋 𓇋 𓏜||(adj. and v.) young, fresh (of water)|'rein-phet' : rein water ⇔ rain / renou-iouth ⇔ renew-youth/young ➙ Ren Renée Rehe ⇔ anew new=neun 9 Mond EN / QED -- / hit ⇔ sym.ptom / وقت ~ 'what?'  ⇔ vege? ⇔ water? Dui-JA? 对? nat.šar = 𐀒𐀷 Q-Wo : young / חציר châtsîyr khaw-tseer' / Perhaps originally the same as, from the greenness of a courtyard /  grass| also a leek / (collectively): - grass, hay, herb, leek.  / |ig o (v / travel (in / travel (in / spazieren DE  / marschieren / fangenguard/gator
𓆷 𓄿 𓂧 𓂡||dig, dig out|spaten 
𓆷 𓄿 𓅓||father - in - law|Schwäher = Schwieger Schwäger Schwager  DE
𓆷 𓄿 𓆷||necklace|Spalier 
𓆷 𓄿 𓏜||ordain, order, predestine, assign, settle, decide|schwör? / spalis? / ./dictionaries/eng-ces.dic:ordain vysvětit (světl = light) / spar-order / Spar-Ort / ??←
𓆷 𓄿 𓏲 𓄹 𓏥||weight, worth, value|schweren ⇔ s'worth  DE / swälu : value  EN
𓆷 𓄿 𓏲 𓆰 𓏥||coriander|sparen? fast:  / Al Quspara الكزبرة ← ? Qus  spa  / ~ Chervil = Kerbel 
𓆷 𓄿 𓏴||fate|suerte (ESPAN) destiny fate fortune luck / svate fate  EN
𓆷 𓆷 𓏏||necklace|xenûqe KURD / القلادة Al kolata ~ Kette? collier coleira kolye / spannt  / hängt / spannend
𓆷 𓏏 𓇳||Inundation season|SP➙SV: / swamp time  / Schwämmer tit / Schwämmer tora / záplava ? ~ Flut
𓆹  𓆸||flowher bud  ➙|
𓆻||present QED |fressen blessen / wnδen ⇔ wünschen ⇔ Wunder? / ^^ cluster ok'isch, present best hit / ⇔
𓆼 𓄿 𓀔 𓅪||be young, little   -vål|klein
𓆼 𓄿 𓅓 𓀜||bend (arm in respect)|krümmen 
𓆼 𓄿 𓅱 𓏮 𓇰||night|tar* dark@Pers  
