word,transcription,definition,note
𐀁-𐀨,e-ra,Duhoux 2011: at Knossos always a place name •1. (Knossos) toponym 2. (Pylos Thebes) theonym Hera ⇔ Ἥρη Hart 1965: toponym in central Crete Wiktionary: 1. toponym 2. theonym (Hera) toponym allative Appears as e-ra / [[te-wo]]  e-ra ri-ni-jo on KN X 722+. Appears as e-ra  [[ke-o-te-ja]] on TH Of 28. e-ra-de (KN Fh): *47-so-deallative ko-wa: KN Ap ko-wo: KN Ap ku LANA: TH Of MUL: KN Ap OLE: KN Fh OVIS: KN Da KN Db KN Dc KN De KN Dl KN Dq TELA: KN Lc TELA+TE: KN Lc *168: KN Pp a-te-mo (ki-ri-jo-te)ku-ta-to: KN Dc ]ka-mo (a-no-qo-ta o): KN Dq ke-ti-ro (a-no-qo-ta-o): KN Da? ]ki-so (u-ta-jo): KN Da ]mo (a-no-qo-ta-o): KN Dq ]-pu-to-ro (pe-ri-qo-te-jo): KN Da se-me-tu-rohapax: KN Dc ta-mi-de-so (sa-qa-re-jo)hapax: KN Dl ta-we-si-jo (pe-ri-qo-te-jo): KN Dv wi-na-jo (u-ta-jo)ra-su-to ru-ki-to *56-ko-we: KN Dv KN Fh  Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II Interpreting the Linear B Records: Some Guidelines Hart G.R. 1965 Mnemosyne 18 The Grouping of Place-Names in the Knossos Tablets ,
𐀁-𐀨,e-ra,goddess name (hera),
𐀁-𐀨-𐀚,e-ra-ne,•anthroponym or title? ,
𐀁-𐀨-𐀟-𐀊,e-ra-pe-ja,material taken from deer,
𐀁-𐀨-𐀟-𐀕-𐀙,e-ra-pe-me-na,•meaning obscure ,
𐀁-𐀨-𐀟-𐀕-𐀙,e-ra-pe-me-na,stitched,
𐀁-𐀨-𐀡,e-ra-po,Morpurgo Davies 1999: anthroponym based on noun ἔλαφος 'deer' (as e-ra-po [[ri-me-ne]]) •toponym? 'at Deer Harbour' but might be two personal names  Morpurgo Davies Anna 1999 Floreant Studia Mycenaea Proceedings of the Tenth Mycenaean Colloquium The Morphology of Personal Names in Mycenaean and Greek: Some Observations,
𐀁-𐀨-𐀡,e-ra-po,stag,
𐀁-𐀨-𐀵,e-ra-to,•anthroponym ⇔ Ἔρατος Ἔλατος ,
𐀁-𐀨-𐀷,e-ra-wa,•'olive-tree' ⇔ ἐλαῖαι ,
𐀁-𐀨-𐀷,e-ra-wa,olive tree,
𐀁-𐀨-𐀺,e-ra-wo,•1. (PY Fr) 'olive-oil' ⇔ ἔλαιον connected with OLE ideogram 2. (KN C) probably anthroponym •more accurate spelling of e-ra-wo ,
𐀁-𐀨-𐀺,e-ra-wo,oil,
𐀁-𐀩-𐀁-𐀄,e-re-e-u,•anthroponym or official title? •dative? of e-re-e-u •genitive of e-re-e-u ,
𐀁-𐀩-𐀃-𐀛,e-re-o-ni,del Freo 2009: dative-locative toponym ⇔ Ἑλεών Ἑλεέν an ancient settlement 14km northeast of Thebes  dative-locative toponym 'at Eleon' GRA: TH Ft OLIV: TH Ft del Freo Maurizio 2009 Pasiphae III: Rivista di Filologia e Antichità Egee The Geographical Names in the Linear B Texts from Thebes ,
𐀁-𐀩-𐀄-𐀳-𐀫,e-re-u-te-ro,•nominative singular neutral free of impost ⇔ ἐλέυθερος (Iliad VI 455+) •probably neutral plural of e-re-u-te-ro •he made free ⇔ ἐλευθερόω (Herodotus) ,
𐀁-𐀩-𐀄-𐀳-𐀫-𐀮,e-re-u-te-ro-se,set free,
𐀁-𐀩-𐀄-𐀴-𐀊,e-re-u-ti-ja,Duhoux 2011: theonym dative 'to (the goddess) Ilithyia' ⇔ Ἐλεύθυια Ἐλευθίη Εἰλείθυια •dative of a theonym ⇔ Lacon. Ἐλευθία Cret. Ἐλεύθυια Homeric Εἰλείθυια Palaeolexicon: goddess name Eleuthia KN Gg: pa-si-te-o-i LANA: KN Od ME+RI: KN Gg *209VAS: KN Gg a-mi-ni-so: KN Gg  Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II Interpreting the Linear B Records: Some Guidelines,
𐀁-𐀩-𐀄-𐀴-𐀊,e-re-u-ti-ja,goddess name (eleuthia),
𐀁-𐀩-𐀗,e-re-mo,desert,
𐀁-𐀩-𐀞,e-re-pa,•ivory ⇔ ἐλέφας (Iliad V 583) ⇔ (-ta) ko-ma-we-ta •accusative? of e-re-pa ⇔ (-te) e-ri-no-wo-te ko-ma-we-te •dative-instrumental singular of e-re-pa ⇔ (-to) e-ri-no-wo-to ko-ma-we-to qe-qi-no-to •genitive of e-re-pa Palaeolexicon: elephant   ,
𐀁-𐀩-𐀞-𐀂-𐀫,e-re-pa-i-ro,•anthroponym •variant spelling of e-re-pa-i-ro? ,
𐀁-𐀩-𐀞-𐀳-𐀍,e-re-pa-te-jo,•adjective of an elephant ⇔ ἐλεφάντειος (Diosc.) •feminine of e-re-pa-te-jo •instrumental plural feminine of e-re-pa-te-jo •instrumental plural masculine or neuter of e-re-pa-te-jo •variant of e-re-pa-te-jo ,
𐀁-𐀩-𐀞-𐀵,e-re-pa-to,elephant,
𐀁-𐀩-𐀲,e-re-ta,•rowers oarsmen ⇔ ἐρέται (Odyssey I 280+) •genitive plural of e-re-ta ,
𐀁-𐀩-𐀲,e-re-ta,rowers,
𐀁-𐀩-𐁄-𐀁,e-re-dwo-e,•Heading to lists of men; nominative plural? ,
𐀁-𐀪-𐀏,e-ri-ka,Wiktionary: willow wood from a willow tree,
𐀁-𐀪-𐀏,e-ri-ka,willow tree,
𐀁-𐀪-𐀒-𐀺,e-ri-ko-wo,•anthroponym ,
𐀁-𐀪-𐀜-𐀺,e-ri-no-wo,Chadwick & Ventris: toponym PY Na (e-re-u-te-ra SA {parallels} SA  to-sa-de [[ka-ke-we]]): po-wi-te-ja ri-jo ⇔ (-te) e-re-pa-te ko-ma-we-te ⇔ (-wo-te) a2-pa-tu-wo-te [[e-wi-ku-wo-te]] pe-re-wo-te sa-ri-nu-wo-te si-jo-wo-te dative-locative -wo-te 'provided with' •dative locative of e-ri-no-wo PY Mn 456 (*146 qty. 1): e-wi-te-wi-jo me-te-to ro-u-so sa-ri-nu-wo-te ⇔ (-to) e-re-pa-to ko-ma-we-to •genitive of e-ri-no-wo PY Eq (o-da-a2  {parallels}  o-ro-jo  to-so-de pe-mo GRA {quantity}): ko-tu-wo ko-no  ,
𐀁-𐀪-𐀝,e-ri-nu,•theonym ⇔ Ἐρινύς 'the Erinys' •dative of e-ri-nu ,
𐀁-𐀪-𐀝,e-ri-nu,•theonym ⇔ Ἐρινύς 'the Erinys' •dative of e-ri-nu ,
𐀁-𐀪-𐀝,e-ri-nu,•theonym ⇔ Ἐρινύς 'the Erinys' •dative of e-ri-nu ,
𐀁-𐀪-𐀝-𐀸,e-ri-nu-we,erinys,
𐀁-𐀪-𐀭-𐀲,e-ri-sa-ta,•anthroponym M: KN Nc ,
𐀁-𐀪-𐀲,e-ri-ta,•anthroponym e-ri-ta is i-je-re-ja pa-ro da-mo on the PY Ep series. ,
𐀁-𐀪-𐀲-𐀥-𐀍,e-ri-ta-qi-jo,•anthroponym ,
𐀁-𐀪-𐀲-𐀪-𐀍,e-ri-ta-ri-jo,,
𐀁-𐀪-𐀴-𐀥,e-ri-ti-qi,,
𐀁-𐀪-𐀵-𐀴-𐀜,e-ri-to-ti-no,,
𐀁-𐀪-𐀸-𐀫,e-ri-we-ro,,
𐀁-𐀪-𐁑,e-ri-*19,•anthroponym ,
𐀁-𐀫-𐀁,e-ro-e,•anthroponym? •genitive of e-ro-e? ,
𐀁-𐀫-𐀄-𐀲,e-ro-u-ta,•anthroponym KN Da: su-ri-mo KN Da: OVIS ,
𐀁-𐀫-𐀔-𐀵,e-ro-ma-to,Duhoux 2011: toponym ⇔ Ἐρύμανθος or similar •toponym  Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II “Interpreting the Linear B Records: Some Guidelines”,
𐀁-𐀫-𐀞-𐀐-𐀄,e-ro-pa-ke-u,•anthroponym or occupational term? ,
𐀁-𐀫-𐀞-𐀐-𐀊,e-ro-pa-ke-ja,•occupational term; description of women cloth-workers ⇔ e-ro-pa-ke-u OLE: MY Fo? TELA: KN Lc TUN+KI: KN Ld ,
𐀁-𐀬,e-ru,,
𐀁-𐀬-𐀖-𐀛-𐀊,e-ru-mi-ni-ja,stilt ridgepole,
𐀁-𐀬-𐀲-𐀨,e-ru-ta-ra,•1. anthroponym ⇔ Ἐρύθρας 2. red ⇔ ἐρυθρός (Iliad XIX 38+) Iliad IX.365: χαλκὸν ἐρυθρὸν 'ruddy bronze' •instrumental plural with red (patterns spots?)  ,
𐀁-𐀬-𐀲-𐀨,e-ru-ta-ra,red,
𐀁-𐀬-𐀵-𐀫,e-ru-to-ro,•anthroponym ⇔ Ἐρύθριος KN Dk: ka-da-no anthroponym ka-mi-ni-to anthroponym wo-wo KN Dk: ku-ta-to KN Dk: OVIS LANA ,
𐀁-𐀭-𐀞-𐀐-𐀕,e-sa-pa-ke-me,•(as e-sa-pa-ke-(me)-[na?]) 'swathed'? ⇔ σπάρξαν ,
𐀁-𐀭-𐀩-𐀄,e-sa-re-u,•anthroponym or more likely title •dative of e-sa-re-u ,
𐀁-𐀮-𐀩-𐀁-𐀍,e-se-re-e-jo,•annotation giving ownership of flocks of sheep KN Dl: ma-ri ma-so-mo ra-su-to su-ri-mo KN Dl: OVIS LANA ,
𐀁-𐀰-𐀵,e-so-to,•'they will be'? ,
𐀁-𐀲-𐀋-𐀄,e-ta-je-u,•anthroponym ⇔ toponym Ἐταιεῖς ,
𐀁-𐀲-𐀺-𐀚-𐀄,e-ta-wo-ne-u,•anthroponym ⇔ Ἐτεωνεύς •dative of e-ta-wo-ne-u •genitive of e-ta-wo-ne-u TELA: KN L? ,
𐀁-𐀳,e-te,•'from there' ⇔ ἔνθεν ,
𐀁-𐀳-𐀈-𐀗,e-te-do-mo,Ruijgh 2011: 'constructor of utensils (etc.)' ⇔ ἔντεα 'utensils furniture arms' 'armourers' entesdomoi •occupational term earlier suggestion entes-domos (cf. ἔντεα) seems unlikely. ka-ra-pi is e-te-do-mo pa-ro da-mo in the PY Ea series. a-tu-ko is e-te-do-mo wa-na-ka-te-ro in the PY En series. a-tu-ko is e-te-do-mo pa-ro wa-na-ta-jo and wa-na-ta-jo is te-re-ta pa-ro a-ma-ru-ta in the PY Eo series. a-tu-ko is e-te-do-mo pa-ro da-mo in the PY Ep series. GRA: PY Ea PY En PY Eo  Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I ,
𐀁-𐀳-𐀍,e-te-jo,•description of amphoras *209VAS: KN Gg ,
𐀁-𐀳-𐀷-𐀜,e-te-wa-no,•anthroponym dative ,
𐀁-𐀳-𐀷-𐀶-𐀺,e-te-wa-tu-wo,•anthroponym genitive ,
𐀁-𐀳-𐀺-𐀐-𐀩-𐀸-𐀂-𐀍,e-te-wo-ke-re-we-i-jo,Duhoux 2011: anthroponomic adjective Eteocles' son ⇔ Ἐτεοκληεῖος Ἐτεόκλειος •patronymic adjective 'son of Eteocles' ⇔ βίη Ἐρεοκληείη (Iliad IV.386) Appears as me-ta-qe  pe-i  e-qe-ta  a-re-ku-tu-ru-wo  e-te-wo-ke-re-we-i-jo  on PY An 654. Appears as ne-qe-u  e-te-wo-ke-re-we-i-jo  to-to  we-to  o-a-ke-re-se on PY Aq 64. ZE: PY Aq  Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II Interpreting the Linear B Records: Some Guidelines,
𐀁-𐀴-𐀋-𐀊,e-ti-je-ja,•anthroponym? ,
𐀁-𐀴-𐀷,e-ti-wa, toponym with ethnic e-ti-wa-ja acting as a personal name on KN Ap 639 •toponym? KN Fs: FAR HORD ME+RI NI OLE VIN  Place-names in the Knossos Tablets Identification and Location Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien,
𐀁-𐀴-𐀷-𐀊,e-ti-wa-ja, anthroponym based on an ethnic adjective of toponym e-ti-wa •anthroponym e-ti-wa-ja + connective enclitic -qe  Place-names in the Knossos Tablets Identification and Location Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien,
𐀁-𐀴-𐀸,e-ti-we, e-ti-scented and / or softened although the precise identification of e-ti- reminds to be found •adjective describing olive oil Lejeune 1958: probably a plant ⇔ ἔρτις κρημνός  Lejeune 1958 TBD Melena José 1983 Minos vol. 18 Olive Oil and Other Sorts of Oil in the Mycenaean Tablets,
𐀁-𐀵-𐀑-𐀊,e-to-ki-ja,enwalled,
𐀁-𐀵-𐀛-𐀍,e-to-ni-jo,•a kind of land holding ,
𐀁-𐀵-𐀫-𐀣-𐀲,e-to-ro-qa-ta,•anthroponym or artifact name? *181: KN U ,
𐀁-𐀵-𐀺-𐀒,e-to-wo-ko,•occupational term ⇔ ki-ri-te-wi-ja-i ku-wa-no-wo-ko-i •dative plural of e-to-wo-ko ,
𐀁-𐀷-𐀨-𐀍,e-wa-ra-jo,•anthroponym ,
𐀁-𐀸-𐀆-𐀄,e-we-de-u,•anthroponym AROM: KN Ga? qa-ra: KN Ga? ,
𐀁-𐀸-𐀟-𐀮-𐀰-𐀕-𐀙,e-we-pe-se-so-me-na,to be well boiled,
𐀁-𐀹-𐀪-𐀡,e-wi-ri-po,descriptive toponym ⇔ Εὔριπος 'strait' 'having a broad current' •toponym ⇔ Εὔριπος  Forssman 1988 TBD ,
𐀁-𐀹-𐀳-𐀄,e-wi-te-u,•anthroponym •dative of e-wi-te-u ,
𐀁-𐀹-𐀵-𐀺,e-wi-to-wo,•anthroponym ,
𐀁-𐀺-𐀲-𐀆,e-wo-ta-de, 'to the feast' allative of possible toponym e-wo-ta •toponym allative or locative?  Hiller Stefan 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux & Anna Morpurgo Davies) Religion and Cult McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀁-𐀺-𐀲-𐀆,e-wo-ta-de,to the festival,
𐀁-𐀽-𐀵,e-ze-to,•meaning obscure Appears as [[ri-jo-ni-ja]]  / e-ze-to  to-ro-qo on KN Od 563. ,
𐀁-𐀿-𐀺,e-zo-wo,•anthroponym ,
𐀁-𐁅-𐀪-𐀍,e-nwa-ri-jo,•anthroponym ⇔ Ἦλις not to be confused with Ἐνυάλιος ,
𐀁-𐁆-𐀜,e-pu2-no,•anthroponym? M: KN Ga da-wo: KN Ga? ,
𐀁-𐁉-𐀺,e-ra3-wo,•olive oil ⇔ ἔλαιον (interesting comment from  The Greek name for olive /elaiwon/ is a loan borrowed from a Mediterran tongue. Although the phytonym is probably Minoan it has not been elicited in Linear A) •variant spelling of e-ra3-w,
𐀁-𐁊-𐀚,e-ro2-ne,,
𐀁-𐁊-𐀦,e-ro2-qo,•anthroponym Georgiev 1956: anthroponym ⇔ Ἕλλοψ  Georgiev Vladimir 1956 Études Mycéniennes Gif-sur-Yvette 3-7 Avril 1956 “La valeur phonétique de quelques signes du syllabaire Créto-Mycénien B”,
𐀂-𐀁-𐀩-𐀄,i-e-re-u,priest,
𐀂-𐀅-𐀂-𐀍,i-da-i-jo,•anthroponym ,
𐀂-𐀅-𐀨-𐀲,i-da-ra-ta,•anthroponym ,
𐀂-𐀈-𐀕-𐀚-𐀊,i-do-me-ne-ja,•anthroponym ⇔ Ἰδομενεύς (Iliad I 145+) ,
𐀂-𐀈-𐀕-𐀛-𐀍,i-do-me-ni-jo,•anthroponym dative ,
𐀂-𐀉,i-du,•anthroponym ,
𐀂-𐀊-𐀕-𐀂,i-ja-me-i,•anthroponym dative ,
𐀂-𐀊-𐀳,i-ja-te,•physician ⇔ ἰητήρ (Iliad II 732+) Cypriot to-ni-ja-te-ra-ne τόν ἰατεραν ,
𐀂-𐀊-𐀳,i-ja-te,doctor physician,
𐀂-𐀊-𐀺-𐀚,i-ja-wo-ne,•anthroponym dative or nominative plural of ethnic? ⇔ Ἰἀονες ,
𐀂-𐀊-𐁆-𐀸,i-ja-pu2-we,•toponym locative McArtur 1993: ethnic adjective of unattested toponym *i-ja-pu2 or *ja-pu2 Ruijgh 1967 Killen 1974 Melena 1975: ethnic adjective of i-ja-pu2-we LANA: KN Lc? TELA: KN Lc? TELA+TE: KN Lc?  Killen John T. 1974 Hermathena 118 A problem in the Knossos Lc (1) (cloth) tablets McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location Melena José L. 1975 Minos Supplement 5 Studies on some Mycenaean inscriptions from Knossos dealing with textiles Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien,
𐀂-𐀋-𐀩-𐀄,i-je-re-u,•priest ⇔ ἱερεύς (Iliad I 62+)       we-te-re-u is i-je-re-u pa-ro a3-ti-jo-qe in the PY Eo series. we-te-re-u is i-je-re-u pa-ro da-mo in the PY Ep series. GRA: PY Eo ,
𐀂-𐀋-𐀩-𐀄,i-je-re-u,priest,
𐀂-𐀋-𐀩-𐀊,i-je-re-ja,•priestess ⇔ ἱέρεια (Iliad VI 600+) e-ri-ta is i-je-re-ja pa-ro [da-mo]] in the PY Ep series. GRA: PY Eb PY Eo PY Ep ,
𐀂-𐀋-𐀩-𐀊,i-je-re-ja,priestess,
𐀂-𐀋-𐀩-𐀺,i-je-re-wo,priest,
𐀂-𐀋-𐀫,i-je-ro, 'holy/sanctuary' •1. sacred shrine? ⇔ ιέρος 2. anthroponym ⇔ Ὶέρων    Hiller Stegan 2011 A Companion to Linear B: Mycenaen Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Religion and Cult,
𐀂-𐀋-𐀫-𐀺-𐀒,i-je-ro-wo-ko, 'offering-priest' •sacrificing priest ⇔ ἱεροεργός  Hiller Stefan 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux & Anna Morpurgo Davies) Religion and Cult,
𐀂-𐀋-𐀵-𐀤,i-je-to-qe,•probably third person of middle voice verb •1. third person plural active voice verb of i-je-to-qe? 2. 'they send'? ⇔ ἴημι  (Docs2),
𐀂-𐀋-𐀸,i-je-we,son,
𐀂-𐀍,i-jo,•1. anthroponym or 'son' (MY Au) 2. obscure possibly singular of i-jo-te (KN V) i-jo + connective enclitic qe ,
𐀂-𐀍,i-jo,son,
𐀂-𐀍-𐀳,i-jo-te,•who are to go εἶμι ἰὼν κοίλης ἐπὶ νηός ,
𐀂-𐀏-𐀮,i-ka-se,•anthroponym ⇔ [[i-ke-se]] ,
𐀂-𐀐-𐀮-𐀨,i-ke-se-ra,•anthroponym KN Dk: ti-mi-za anthroponym KN Dk KN Dv: ku-ta-to KN Dk: OVIS LANA KN Dv: OVIS  kar XVII.98 da-mi-ni-jo,
𐀂-𐀐-𐀲,i-ke-ta,•anthroponym ⇔ Ἱκετάων ,
𐀂-𐀓-𐀶-𐀩,i-ku-tu-re,•anthroponym? Appears as i-ku-tu-re  ru-si-qe  a-pa-i-ti-jo  ze-me-qe[ on KN L 588+. ,
𐀂-𐀖-𐀪-𐀍,i-mi-ri-jo,•anthroponym ,
𐀂-𐀖-𐀪-𐀍,i-mi-ri-jo,personal name or ethnonym,
𐀂-𐀙-𐀃,i-na-o,•anthroponym •dative of i-na-o ,
𐀂-𐀙-𐀚,i-na-ne,•toponym •variant of i-na-ne •instrumental of i-na-ne ,
𐀂-𐀚-𐀄,i-ne-u,•anthroponym ,
𐀂-𐀟-𐀕-𐀆-𐀊,i-pe-me-de-ja,name of a woman,
𐀂-𐀟-𐀲,i-pe-ta,•anthroponym KN Dl: su-ri-mo KN Dl: OVIS LANA ,
𐀂-𐀠-𐀀,i-pi-a,arm,
𐀂-𐀡-po-𐀦-𐀂-𐀤,i-po-po-qo-i-qe,•'horse-feeders ostlers' ⇔ ἰπποφορβός ,
𐀂-𐀤-𐀊,i-qe-ja,•epithet of po-ti-ni-ja ,
𐀂-𐀥-𐀊,i-qi-ja,•chariot ⇔ ίππιος •chariot nominative dual ,
𐀂-𐀦,i-qo,•horses ⇔ ἴππος see KN Ca 895 for ideogram confirmation Palmer: theonym •genitive of i-qo  Palmer TBD,
𐀂-𐀦,i-qo,horse,
𐀂-𐀦-𐀡-𐀦-𐀂,i-qo-po-qo-i, 'to the horse-keepers' dative ,
𐀂-𐀨-𐀲,i-ra-ta,•anthroponym Appears as o-da-a2  i-ra-ta  te-o-jo  do-e[ ]na-to  e-ke  to-so-de  pe-mo on PY En 659. GRA: PY En ti-ri-to: KN Uf ,
𐀂-𐀫-𐀵,i-ro-to,•anthroponym ,
𐀂-𐀭-𐀺,i-sa-wo,•anthroponym BIG: KN Sc ,
𐀂-𐀮-𐀸-𐀪-𐀍,i-se-we-ri-jo,•anthroponym KN B: ku-ni-ta TELA+PU: KN L VIR: KN B qa-ra: KN L ,
𐀂-𐀱-𐀓-𐀺-𐀈-𐀵,i-su-ku-wo-do-to,,
𐀂-𐀲-𐀊,i-ta-ja,•anthroponym ,
𐀂-𐀲-𐀗,i-ta-mo,•anthroponym ,
𐀂-𐀳-𐀄,i-te-u,•anthroponym ⇔ i-te-we ,
𐀂-𐀳-𐀊-𐀃,i-te-ja-o,'female weavers' •'weavers' ⇔ ἰστός genitive plural feminine  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀂-𐀳-𐀊-𐀃,i-te-ja-o,spar,
𐀂-𐀳-𐀸,i-te-we,'male weaver' •'weaver' ⇔ ἱστός Chadwick John and Michael Ventris 1973 em>Documents in Mycenaean Greek Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀂-𐀴-𐀝-𐀪,i-ti-nu-ri,•anthroponym KN Dq: OVIS KN Dq: da-*22-to ,
𐀂-𐀵,i-to,•anthroponym ,
𐀂-𐀵-𐀸-𐀭,i-to-we-sa,histowessa provided with an upright support ⇔ ἱστός 'mast' •describes a portable hearth provided with a ἱστός ,
𐀂-𐀷-𐀒,i-wa-ko,•anthroponym ,
𐀂-𐀷-𐀰,i-wa-so,•1. (PY An) name of a group of men ⇔ [[i-wa-si-jo-ta]] Ἴασον Ἄργος (Odyssey XVIII.246) 2. (PY Cn) anthroponym ,
𐀂-𐀸-𐀫,i-we-ro,•anthroponym ,
𐀂-𐀼-𐀩,i-za-re,•anthroponym ,
𐀃-𐀄,o-u,not,
𐀃-𐀄-𐀇-𐀈-𐀯,o-u-di-do-si,not giving,
𐀃-𐀄-𐀤,o-u-qe,neither,
𐀃-𐀄-𐀬-𐀵,o-u-ru-to,guard,
𐀃-𐀅-𐀃,o-da-o,too also,
𐀃-𐀅-𐀐-𐀸-𐀲,o-da-ke-we-ta,•adjective describing wheels and cloths: perhaps odakwenta 'toothed' (i.e. with tooth-like decoration) •variant spelling of o-da-ke-we-ta •variant form of o-da-ke-we-ta •variant spelling of [[o-da-tu-we-ta]] ,
𐀃-𐀅-𐁀,o-da-a2,•and thus ,
𐀃-𐀅-𐁌-𐀲,o-da-twe-ta,with tooth,
𐀃-𐀈-𐀐,o-do-ke,he gave,
𐀃-𐀉,o-du,•anthroponym •dative? of o-du ,
𐀃-𐀉-𐀬-𐀸,o-du-ru-we,•toponym dative locative Catling & Jones 1977: toponym somewhere in western Crete based on the clay analysis of stirrup jars from Thebes Godart 1972: toponym but not Zakros based on the KN Co livestock numbers and the desolation of the eastern region Catling & Millett 1965: toponym Zakros in eastern Crete based on the clay analysis of stirrup jars from Thebes (Zakros interpretation retracted in Catling & Jones 1977) Palaeolexicon: toponym o-du-ru-wi-jo in KN C: ku-ta-i-totoponym si-ra-rotoponym ri-jo-notoponym a-pa-ta-watoponym wa-totoponym Catling H.W. and R.E. Jones 1977 Archaeometry 19 A reinvestigation of the provenance of the inscribed stirrup-jars found at Thebes Catling H.W. and A. Millett 1965 Archaeometry 8 A Study of the inscribed stirrup-jars from Thebes  Godart Louis 1972 Acta Mycenaea II (Minos 12) «Les tablettes de la série Co de Cnossos»,
𐀃-𐀊-𐀆,o-ja-de,plausible toponym allative; -de ending points to the likely presence of a place-name. More positive support is needed. •meaning obscure; toponym allative?  ,
𐀃-𐀏,o-ka,mission magistracy,
𐀃-𐀏,o-ka,military command (PY An) •1. (PY An) title of a senior coast guard officer ⇔ ἀρχή 2. (PY Ub) article made of leather; perhaps supports straps ⇔ ὀχή 3. (PY Es) anthroponym •class of men serving as coast-guards •more usual spelling of nominative plural (vs. o-ka-ra) Appears as [[ku-ru-me-no-jo]]  o-ka  pe-ri-te-u  wo-ne-wa  a-ti-ja-wo  e-ru-ta-ra  o-*34-ta  me-ta-pi-jo  ke-ki-de  VIR 50 on PY An 654. Appears as [[ta-ti-qo-we-wo]]  o-ka  to-wa  po-ki-ro-qo  pe-ri-no  de-u-ka-ri-jo  ra-pe-do  do-qo-ro  pe-ri-ra-wo  e-no-wa-ro  to-so-de  pe-di-je-we  [wa-wo-u-de]]  ke-ki-de  VIR 10 on PY An 654. Appears as au-ke-i-ja-te-we  o-ka  di-pte-(ra)[ on PY Ub 1318. Appears as o-ka  e-ke  to-so-de  pe-mo GRA 1 T 2 on PY Es 650. Appears as o-ka  do-so-mo  po-se-da-o-ne GRA T 7 on PY Es 727. GRA: PY Es VIR: PY An   ,
𐀃-𐀐-𐀄-𐀪-𐀍,o-ke-u-ri-jo,del Freo 2009: toponym GRA: TH Ft VIR: TH Av? del Freo Maurizio 2009 Pasiphae III: Rivista di Filologia e Antichità Egee The Geographical Names in the Linear B Texts from Thebes,
𐀃-𐀐-𐀩-𐀮,o-ke-re-se,uptake,
𐀃-𐀐-𐀳-𐀄,o-ke-te-u,•anthroponym ,
𐀃-𐀑-𐀨,o-ki-ra,García Ramón 2000-2001: anthroponym based on ὄρχις 'testicles' ⇔ o-ki-ro o-ko •anthroponym  García Ramón José Luis 2000-2001 Kadmos 35-36 Anthroponymica Mycenaea: I. Mykenisch o-ki-ro Alph.-Gr. Ὀρκίλος II. Mykenisch da-te-wa /daitewas/ und e-u-da-i-ta Alph.-Gr. Δαίτας Πανδαίτης,
𐀃-𐀑-𐀫,o-ki-ro,García Ramón 2000-2001: anthroponym based on ὄρχις 'testicles' ⇔ o-ki-ra o-ko •anthroponym KN Dv: OVIS KN Dv: pa-i-to  García Ramón José Luis 2000-2001 Kadmos 35-36 Anthroponymica Mycenaea: I. Mykenisch o-ki-ro Alph.-Gr. Ὀρκίλος II. Mykenisch da-te-wa /daitewas/ und e-u-da-i-ta Alph.-Gr. Δαίτας Πανδαίτης,
𐀃-𐀒,o-ko,García Ramón 2000-2001: anthroponym based on ὄρχις 'testicles' ⇔ o-ki-ra o-ki-ro •anthroponym  García Ramón José Luis 2000-2001 Kadmos 35-36 Anthroponymica Mycenaea: I. Mykenisch o-ki-ro Alph.-Gr. Ὀρκίλος II. Mykenisch da-te-wa /daitewas/ und e-u-da-i-ta Alph.-Gr. Δαίτας Πανδαίτης,
𐀃-𐀒-𐀕-𐀚-𐀄,o-ko-me-ne-u,•anthroponym ⇔ Ὀρχομενός ,
𐀃-𐀓,o-ku,•anthroponym KN Da: pa-i-to KN Dl: e-ko-so KN Da KN Dl: OVIS ,
