Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒍮𒃲;𒍨𒃲	haš₄-gal;haš₂gal	hašgal	thigh	hips		#pēmu 
𒄑𒈢;𒈢;𒄩𒋗𒌫;𒄑𒄩𒋗𒌫	ĝeš hašhur;hašhur;ha-šu-ur₂;ĝeš ha-šu-ur₂	hašhur	apple (tree)	x ܚܙܘܪܐ ḥazzūrā უშქური ʰuškuri  ოშქური ʰoşkuri 𒈢 hašhur ≈ гру́ша hrúša ha.súrepli ӏаж ˀaž гӏеч ʻeč {fruit} ma.haš ha.seb себ гру́ша f (hrúša		#hašhûru 
𒄑𒈢𒈠𒁕	ĝeš hašhur-ma-da	hašhurmada	pear-tree; pear	x جَّاص ʔijjāṣ madra كُمَّثْرَى ܟܘܼܡܵܬܪܵܐ kumatra mazá 		#kamiššaru 
𒍨𒌈	haš₂tum	haštum	hole 	ⲟⲩⲁⲑⲛⲓ		
𒄩𒋳	ha-šum	hašum	ore? 	?		
𒀭𒄩𒉌𒄷	d ha-ia₃ mušen	ᵠhaya	peacock; the cry of the peacock 	Huhni Pfauhahn		
𒄩𒊍	ha-az	haz	cover 	Hutˢ hides хавтас xavtas couvert		
𒄩𒍝;𒄩𒄩𒍝;𒄩𒄩𒍢	ha-za;ha-ha-za;ha-ha-ze₂	haza	to hold	holds		#kullu 
𒄩𒍝𒈝	ha-za-num₂	hazanum	mayor	Haus… hautes? ^^		#hazannu 
𒂁𒄩𒊍𒁍𒌝	dug ha-az-bu-um	hazbum	terracotta	ha.cserépᵘᵐ --		#haşbu? 
𒍏𒄩𒍣𒅔;𒍏𒄩𒍣;𒍏𒄩𒍢𒅔	urud ha-zi-in;urud ha-zi;urud ha-zi₂in	hazin	ax	haxen		#haşşinnu 
𒃶;𒃶𒀀	he₂;he₂a	he	be it, be he 	he 𓃹 		
𒃶𒀀𒀭	he₂am₃	he'am	so be it! 	"I am, ""amen!"""		
𒃶𒌌	he₂du₇	hedu	ornament 	Hindu 𒃶 GAN ګاڼه gānna গহনা gohona 𒃶 KÁM gem		
𒃶𒅅	he₂ĝal₂	heĝal	plenty	/ √gal cuccagna  https://en.wiktionary.org/wiki/plenty#Translations		#hengallu 
𒄭𒄭𒍢𒅕	he-he-ze₂er	ˢhehezer	to squeeze	shueeze ≈ squeeze		#mazû 
𒄭𒈨𒁕	he-me-da	hemeda	purple <<	𓍿 𓅓 𓋴 𓏞 ⋍ crimson ham.nahdi نهدي  ခရမ်းရောင်နု hka.ram:raungnu.  ha.morado მეწამული ha.mec̣amuli		#tabarru 
𒄀𒆕;𒄀𒊺𒆕;𒅆𒆕	gi henbur;gi henbur₂;henburₓ(IGI.KAK)	henbur	stalk; growth of rushes	giˢdu gi.kak igi.kak igi.du  גִּבְעוֹל giv'ol ღერო ɣero 그루 geuru καυλός kaulós		#habburu;niplu;udittu 
𒄭𒂗𒁺;𒃶𒂗𒁺	he-en-du;he₂en-du	hendu	path 	𓍯 𓄿 𓏏 𓈐 ὁδός hodós Hindu? 		
𒄭𒉣;𒃶𒉣	he-nun;he₂nun	henun	plenty 	•havtnion αφθονία 		
𒅆𒁴	henzir IGI.DIM	henzer	to block	hinder		#pehû 
𒍏𒅆𒁴	urud henzer IGI.DIM	henzer	pin? 	<		
𒅆𒁴	henzer IGI.DIM 	henzer	?	?		#ētiqu 
𒈂𒂠;𒋻	heš₅ še₃;haš	heše	oppressed; detained	√häsch		#habālu;kalû 
𒃶𒅆	he₂ši	heši	to become dark 	𒃶 KÁM = 𒆚 KÁM = 𓆎 Khem		
𒄭	hi	hi	to mix (up); process (skin; wool, in the latter possibly a stage between combing and spinning); alloy	hurl? hola in মিহলা mihola < холих xolix خَلَطَ ḵalaṭa ʰalloy <> hide(skin)  𐎎𐎒𐎋 msk > mix		#balālu 
𒄭	HI	HI	(compound verb nominal element) 			
𒄭𒇲	HI la₂	HI la	to cover (with hides) 	heil- < καλύπτω kalúptō <> occulō		
𒄭𒄀𒈾	HI-gi-na	HI.gina	¿ 	?		
𒀤	hibira	hibira	son	Hebrew ha.born		#māru 
𒀤	hibiz₂	hibiz	heir	^		#aplu 
𒀤	hibiz	hibiz	red	hibiscus  ἰβίσκος ibískos  “marsh mallow”		#ruššû 
𒄭𒃻	HI.GAR	HIGAR	revolt	göra uppror gwrthryfela		#bārtu 
𒄭𒄭	HI.HI	HIHI	to pinch off bitumen	…		#karāsu ša esir 
𒄭𒅁𒋭	HI.IB.|TA×HI|	HI'IBLAL	? 	?		
𒄭𒇷;𒉀	hi-li;hilib₂	hili	sex appeal; luxuriant; to have pleasure	heil Leibesheil		#kuzbu;šamhu 
𒄭𒇷𒋼𒀀	hi-li kar	hili kar	to love, be fond of, attracted to	love & care		#menû 
𒄭𒇷𒋼	hi-li teĝ₃	hili teĝ	to love, be fond of, attracted to	attach-		#menû 
𒄭𒀧𒍮	hi-il-zum	hilzum	fortress 	(strong)holds		
𒄭𒅕;𒂡	hi-ir;hir	hir	to squeeze, tighten 	𒂡 šir₃ | squeeze | serra, serrare ⇔ serrō serrāre > harness		
𒆠𒆗	hirim	hirim	?; waste land; ditch	խրամ xram <> Krams Graben חֲפִיר khafír खाई khāīʳ  surco		#ittû;miţru;pitru 
𒄭𒊑𒁺	hi-ri-tum₂	hiritum	ditch 	^^		
𒄭𒋦𒄩;𒄩𒄭𒋦;𒋦𒄭𒄩	HI.SUHUR ku₆;ku₆ HI.SUHUR;SUHUR.HI ku₆	HISUHUR	fish, a kind of carp? 	ᵠhisuhur fisher		
𒄷	hu	hu	to scrape off, grub up	"𒄷 ˣḪU ξύω xúō ""scrape"" 𒄷 ᵏhuʳ	քերել kʿerel кыруу kıruu ҡырыу qırıw қыру qyru kratz 𒄷 ᵍḪUʳ గీరు gīru เกา gao koi grattare graffiare 𒄷 ˣḪUʳ خراشیدن xarâšidan خاراندن xârândan scharren schrammen schaben "		#halāšu 
𒄸;𒄸	hub₂;hub	hub	(compound verb verbal element) 			
𒄸	hub₂	hub	foot 	"hoof 𒄸 ḪUB < 𒊺𒁍 šepu 𒊺𒉺 šepa 𒊺𒁉𒄿 šepí sepi 𒉺𒅁 šap ᠰᠠᠪᡠ sabu šēpum 𓋴𓃀𓏘 ϣⲟⲡ šop ""foot"" "		
𒄷𒌒	hu-ub	hub	to swing? 	hub heb heave?		
𒄸𒁺	hub₂gub	hub gub	to run	•Schub geben		
𒄸𒊬	hub₂sar	hub sar	to run	"sar 𓈝 ≈ 𓈙 𓂻 sh.ir სირბილი sirbili ""spurt"" springa sprint <> serben?"		
𒄸𒋙	hub₂šu₂	hub šuš	to run	heap hüpf hyperun?		
𒄷𒁀	hu-ba	huba	weak	"hobo ᱚᱵᱳᱞ ʰôbol hypo- ˣhuba слаб slab schlapp schlaff 𒄷 ḪUʳ < 𓅂 ṭīr in दुर्बल durbal dèbil 𓂜 निर्बल nirbal ""weak"""		#makkannû 
𒄸𒄷𒌒	hub₂hu-ub	hubhub	pointed	ˢhub sharp حَادّ ḥādd •ḥābd hvass khub κοφτερός	<	#zaqtu 
𒄸	hub₂	hubiᵗ	acrobat	𓐍 𓃀 𓏏 𓀤 hobit;)		#huppû 
𒄊𒋗𒅅	hubud	hubud	?	?		#balādu 
𒄷𒁍𒍑	hu-bu-uš	hubuš	 	?		
𒊷	hud₄	hud	bronze arrowhead	"""head"" #hutpu"		#hutpu ša₂siparri 
𒊷	hud₄	hud	to rub in?	@Haut?		#hadādu 
𒄷𒁕𒁺𒌝	hu-da-du-um	hudadu	crevice	<> Hut hide   Spalt		#hudadu 
𒂠;𒆪𒌦	huĝ;huₓ(KU)-un	huĝ	to hire, rent; to install in office	huĝre hire		#agāru 
𒂠	huĝ	huĝ	to pacify 	hug;) hogep hodep hotep		
𒄾;𒄷𒌌	hul₂;hu-ul	hul	joy, rejoicing; to rejoice	hail!		#hidûtu  <<<
𒄒	hul₃	hul	ring; rein	ҳалқа halqa < кільце́ kilʹcé κύκλος kúklos @ Gaul!		#hullu 
𒄾𒁶	hul-dim₂	huldim	rotten, ugly	foul hru.dim rotten		#masku 
𒄾𒅅	hul-ĝal₂	hulĝal	evil 	foul		
𒄾𒁺;𒄾𒆕	hul-du;hul-du₃	huldu	wicked(-acting) 	foul fool(ish) hulu 		
𒄾;𒄒	hul;hul₃	hulu	to destroy; bad-smelling, maloderous; bad, evil; slight, lightweight; false; criminal, dishonest; enemy; to raid; to strike the eyes; blinker, winker, one with vision problems	fell foul		#abātu ša īni;bēšu;lapātu ša īni; şabru;lemnu;masku;qallu;sarru;zāmânû 
𒄾	hul	hulu	ruination	^ 		#šalputtu 
𒄾	hul	hulu	narrow, difficult	"𒄾 ᶜḫul₂ caol cáel ""narrow"" хала xala difícil <> cul klein"		#pašqu 
𒄾𒍼; 𒄾𒈪𒉭 	hul gig; ḪUL.IGI	hulu gig	to hate	hadje 𐌷𐌰𐍄𐌾𐌰𐌽 hating PIE *keh₂d  𒍼 хорсох xorsox 𒍼  گھرنا کرنا ghŕṇā karnā		#zêru 
𒅆𒌨𒌇	hulu tuku	hulu tuku	to find errors, wrongdoing 	<<		
𒄷𒈛;𒈛;𒄷𒄷𒈛;𒄩𒈛	hu-luh;huluh;hu-hu-luh;ha-luh	huluh	frightened 	horror		
𒋢𒄷𒇻𒇻𒌝;𒄷𒇻𒇻𒌝	kuš hu-lu-lu-um;hu-lu-lu-um	hululum	leather object	…		#hulūlu 
𒊙;𒊜;𒁠;𒊙	hulum;hulum₂;hulum₃;hulumₓ(SAG×HA)	hulum	?	?		#? 
𒈝𒈝	hum-hum	hum	to honor 	𒈝𒈝 ≈ 𒈝𒌫 ḪUM.UR₂ honor		
𒈝	hum	hum	to paralyze (bodies); a blood clot disease (stroke?)	⚠️		#hamû ša₂zumri;hurpi gig 
𒈝	hum	hum	to snap off; to run, flow (bodily fluids); to move, be in motion	⚠️		#hamāšu;rahāšu 
𒄷𒌝	hu-um	hum	white? 	<		
𒄩𒁵𒍣𒈝	ha-mun-zi-lum	humsirum	mouse	"#humşīru hamster ≈ ha.mouse{Tier}  𒈝𒋛𒊒 	ḫum-si-ru •hamster rat"		#humşīru 
𒄷𒌦𒄩𒍝;𒄷𒌝𒄩𒍝	hu-un-ha za;hu-um-ha za	hunha za	to make noise 	hum se		
𒄷𒉡;𒄷𒄷𒉡	hu-nu;hu-hu-nu	hunu	weak (of animals); crippled; helpless	wane		#enšu;hašāru 
𒄯	hur	hur	ever (again)	evhur		#hurri 
𒄯	hur	hur	to scratch, draw	carve		#eşēru 
𒅗·x	hurₓ(KA×X)	hur	?	?		#? 
𒄯𒁕𒋭	hur-da-lal₃	hurdalal	scabies 	қотыр qotyr gratoxa? коро́ста koróstaˡ		
𒄷𒌷𒅔𒄷;𒄑𒄷𒌷𒅔𒄷;𒀀𒁆𒄷;𒁆𒄷;𒂟𒄷;𒄷𒊑𒅔𒄷;𒌑𒊑𒅔𒄷;𒌓𒊑𒅔𒄷;𒌓𒌷𒅔𒄷;𒄷𒋛𒊑𒅔𒄷;𒌶𒄷;𒋀𒄷𒄷	u₁₁-ri₂in mušen;ĝeš u₁₁-ri₂in mušen;A.BALAG mušen;BALAG mušen;erin mušen;u₁₁-ri-in mušen;u₂ri-in mušen;u₄-ri-in mušen;u₄-ri₂in mušen;u₅-ri-in mušen;urin mušen;uri₃ HU mušen	hurin	eagle	heron		#urinnu 
𒄯𒊒𒌝;𒄯𒀸𒌝	hur-ru-um;hur-rum um	hurrum	cave 	x غار ḡār खोह khoh كهف kahf cave गुफा guphā गुफ़ा gufā		
𒉺 𒂅	hursaĝ	hursaĝ	barber, hairdresser	hair… Haarschneider		#gallābu 
𒄯𒊕;𒉺𒂅	hur-saĝ;PA.DUN₃	hursaĝ	mountain, foothills; steppe	piemont 𓃀  foothills		#hursānu 
𒄷𒊒𒌝;𒄷𒊒;𒀀𒄯𒀸;𒄷𒀸;𒄯	hu-ru-um;hu-ru;a-hur-rum;hu-rum;huru	hurum	junior, social inferior; children	𓐍 𓇋 𓇋 𓀔 छोरी chorī 𒄷𒊒 ḫu.ru 𒄯 ḫuru 		#ahurrû;lillidu 
𒍽;𒄊	huš;huš₂	ʳhuš	furious, angry; reddish, ruddy	rose •rouge ≈ rage 		#ezzu 
𒍽𒈠	HUŠ-ma	HUŠma	king	rouge regime riçma <> مَلِك malik		#šarru 
𒄷𒌓𒁍	hu-ut-pu	hutpu	arrowhead 	"head 𒊷	hud₄  𒌓𒊕𒁇;𒆉𒁇	zabar;zabar₃	"		
𒄷𒌅𒌌	hu-tu-ul	hutul	to strike (of a disease)	hit		#hatû ša₂gig 
𒄷𒉿𒉿	hu-wa-wa	huwawa	figurine (of face) of ~; a mythological monster 	Humbaba Kurpapa 𒄷𒉿𒉿beast		
𒄷𒍖	hu-uz	huz	(compound verb verbal element) 			
𒌆 	i₆	i	clothing, garment	"衣  衤⺭⻂	yi	yī"		#lubuštu 
𒄿	i	i	(vocative exclamation), hey! 	hey!		
𒉌𒀀;𒄿𒀀;𒎎	i₃-a;i-a;ia₄	ⁿia	(an exclamation), oh! 	ney! na! ne! neh!		
𒉌;𒄷𒋛;𒌑	i₃;u₅;u₂	uiˡ	oil; butter; container for oil	oil		#tallum;šamnu 
𒉌𒋩	i₃sur	i sur	ghee, to make oil 	sarı yağ		to make oil 
𒉌𒀖	i₃-ab₂	i'ab	ghee, clarified butter 	ᵍiab > gheeᵇ < Kalb calf <> 𒀖 alph 𓃾		
𒉌𒀖𒌤𒀀	i₃-ab₂de₂a	i'abdea	ghee, clarified butter 			
𒉌𒀖𒋧𒂵	i₃-ab₂sig₁₀-ga	i'absiga	ghee, clarified butter 	…𒋧 sum سمنة sámna		
𒌈	ib₂	ib	angry; to curse	অভিশাপ obhiśap साप sāp > haib <> hype	<<>>	#agāgu;arāru  𒂊𒍣𒊒 ezeru äger
𒌈	ʰib₂	ʰib₂	hips; middle	hip		#qablu 
𒉌𒁀	i₃-ba	iba	ration	niᵐba но́рма nórma <> number		#piššatu portion
𒌈𒁀𒊒;𒌆𒌈𒁀𒊒;𒋢𒌈𒁀𒊒	ib₂ba-ru;tug₂ ib₂ba-ru;kuš ib₂ba-ru	ʰibbaru	harness 	uprząż @ hippo  ιπποσκευή ipposkeví		
𒄿𒉈;𒉌𒉈;𒅁;𒉈	i-bi₂;i₃-bi₂;ibbi;ibbiₓ(NE)	ibi	smoke	√pyro •phin? ян ᶠi͡an 煙 烟 ᶠyān fume fog booyoo		#qutru 
𒌉 𒍑;𒉌𒉈𒆷;𒌉𒀴;𒉌𒁉𒇻	ibila;i₃-bi₂la;ibila₂;i₃-bi-lu	ibila	heir	Erpel ≈ Erbe > heirᵇ		#aplu 
𒄿𒁉𒇻	i-bi-lu	ibilu	utterance, saying; pronounciation	hablar!		#hittu;tēltu heiten heissen : tell™
𒅛;𒅛	ibira;ibira₂	ibira	merchant, businessman	Hebrew ἔμπορος émporos! √𓉐𓂻		#tamkāru carry
𒉌𒉈𒍝;𒄿𒉈𒍝	i₃-bi₂za;i-bi₂za	ibiza	financial loss	"𓂜 ⋍ 𒉌𒉈𒍝 ni.ne.za 𒄿𒉈𒍝 i¬ne.za 𓈖 𓉔 𓅱 𓅪 ""loss"" 不 𒄿𒉈𒍝 i₃bi₂za i-bi₂za ""loss"""		#ibbissû 
𒌈𒋻	ib₂kud	ibkud	cripple 	hip-crutch		
𒋢𒌈𒇲;𒌆𒌈𒇲	kuš ib₂la₂;tug₂ ib₂la₂	ibla	belt 	hib'la.tu hip belt		
𒌈𒋛	ib₂si	ibsi	"enough! (lit. it is enough"")"""	ব্যাস bês! basi! ¡basta! βλόψ blóps! ≠ oopsie;)		#maşi 
𒌈𒁲;𒌈𒋛;𒅁𒍣	ib₂si₈;ib₂si;ib-si₂	ibsi	square (math.); square root (math.)	base <<		#mithartum 
𒌈𒋺	ib₂tag₄	ibtag	remainder	Übertrag		#šittu 
𒀀𒇉;𒇉;𒀀𒇉𒃲;𒀀𒇉𒁲;𒀀	id₂;id₃;id₆;id₇;id₅	id	river, watercourse, canal	Ida 𓇋𓏏𓂋𓈘 Eider Oder Water 		#nāru 
𒀉𒃵;𒍏𒀉𒃵	id-gurum;urud id-gurum	idgurum	ladle?	lad…krumm		#itqūru 
𒄿𒁳;𒄿𒁾	i-dib;i-dub	idib	threshold	x عَتَبَة ʕataba		#askuppu 
𒅂	idim	idim	deaf; simple person, imbecile; weak, helpless (person); blocked, stilted; obtuse, 	dumb		#sakku;saklu;ulālu 
𒅂	idim	idim	heavy; important	dense		#kabtu 
𒅂	idim	idim	spring, underground water	•δım çıme 샘 saem  चश्मा caśmā چشمه čašme chasm burim 	<--	#nagbu 
𒅂	idim	idim	wild, furious	wüten wildam Damm(wild)		#ekdu 
𒀀𒇉𒇽𒊒𒄘	id₂lu₂ru-gu₂	idlurugu	ordeal river 	@Hit Mari  ᵒidluru ≈ Ordeal?		
𒉌𒂃	i₃-du₈	idu	doorkeeper	𒂃𒉌 dveřník 		#atû 
𒉌𒁾	i₃-dub	ⁿidub ˢidub	granary	#našpaku Notspeicher  ເຍັຽ nyīa… жи́тница žítnica σιταποθήκη sitapothíki tube?  الْحُبُوب al-ḥubūb		#našpaku 
𒄑𒅅;𒅅	ĝeš ig;ig	ig	door	𒂍 ᴴÉᵏ 𒅅 ᴴIG arc 𓉿		#daltu Diele Teil Tor door
𒄑𒅅𒁺	ĝeš ig gub	ig gub	to let a door stand open?; to dislodge a door 	…		
𒉌𒍻𒂗;𒉌𒄄𒂗	i₃-ge-en;i₃-ge₄-en	igen	but no	𓇋 𓅱 𓐍 𓅓 𓂜 | ignorant 		
𒅆𒂠𒁺	igi-še₃-gin	igeš'gen	foremost 	首先 shǒu xiān 		
𒅆;𒄿𒉈;𒄿𒄀	igi;i-bi₂;i-gi	igi	eye; carved eye (for statues)	Auge		#īnu 
𒅆;𒄿𒉈;𒆠𒊕;𒄿𒄀	igi;i-bi₂;igi₃;i-gi	ᶠigi	first, earlier; front; face	face		#mahrum;pānû 
𒅆𒁁	igi bad	igi bad	'to open the eyes'	eye-part  si/igi.bad <> scoped:		#? 
𒅆𒅍	igi il₂	igi il	to look at/towards	äuge al…		#našû ša īni 
𒅆𒇲	igi la₂	igi la	to watch	look reverse		#naţālu 
𒅆𒅅	igi gal₂	igiᵘĝal	to look at	(hin) guggen gucken kucken   enxergar		#dagālu 
𒅆𒁺	igi gub	igi'gub	to see	𒅆𒁺 si.gub σκοπέω skopéōʳ		#? 
𒅆𒃻	igi ĝar	igi ĝar	to look at	a'gugger guggen		#? 
𒅆𒂃	igi duh	igi duh	to see	ge.video gewiss gewit		#amāru;naplusu;naţālu 
𒅆𒁇	igi bar	igi bar	to look at	'gug'pār பார் #barû  beyer ver voir  <> inspect?  λεύσσω leússō luege look lokon leuk, luke, luik Gewahr күреү (kürew		#amāru;barû;naplusu 
𒅆𒁍	igi gid₂	igi gid	to look with disfavor	igitt!		#nekelmû 
𒅆𒁆	igi dub₂	igi dub	? 	?		
𒅆𒃻	igi ĝar	igi ĝar	to appear (in court)	<> 𒅆𒁇 igi bar		#? 
𒅆𒄾	igi hul	igi hulu	to look with envy	irigy @ Hungarian 'foul eye'  <> envidia enveya envy inggit 		#? 
𒅆𒃸	igi kar₂	igi kar	to examine	exa𓏠𒃸		#barû 
𒅆𒈜;𒅆𒅆	igi lib;igi lib₄	igi lib	awake	"<> libanon levante levitate ""rise"" ≠ sleep"		#dalāpu 
𒅆𒊒𒄘	igi ru-gu₂	igi rugu	to oppose	rück? radge عَارَض ʕāraḍ <> отрица́ть otricátʹ		#? 
𒅆𒊷	igi sag₉	igi sag	to look at with favor	swag sweet		#? 
𒅆𒉠;𒅆𒊕;𒅆𒍠;𒅆𒋟	igi saĝ₅;igi saĝ;igi zag;igi sig₅ ?	igi saĝ	to choose; to sort	chose ≈ saĝ ≈ sort ?		#bêru;nasāqu 
𒅆𒊕𒆠𒂟𒁇	igi saĝ-ki zalag bar	igi saĝki zalag bar	to look favorably 	…		
𒅆𒋧	igi sig₁₀	igi sig	to see	gug see gug		#amāru;naplusu 
𒅆𒄗	igi suh	igi suh	angry	<> angst?		#nekelmû 
𒅆𒄗	igi suh	igi suh	to choose	I'chose		#nasāqu 
𒅆𒋰	igi tab	igi tab	to look at	äuge towards		#barû 
𒅆𒉐	igi tum₃	igi tum	to spy	spy < spec <> 𒅆𒁺 si.gub σκοπέω skopéōʳ κατάσκοπος katáskopos		#šapātu 
𒅆𒉐𒇲	igi tum₃la₂	igi tum la		<<< --- mata-mata 密偵 みってい mittei 		to spy
𒅆𒌉𒁍	igi tur gid₂	igi tur gid	to look contemptuously at someone	dharau 		#? 
𒅆𒅆	IGI-IGI	IGI.IGI	thief 	√klau		
𒅆𒅆𒅆	IGI-IGI-IGI	IGI.IGI.IGI	thief 	<> spy ?		
𒅆𒁇𒊏	igi-bar-ra	igibarra šibara	scout 	√voir bara piilur <> batedor  šibara≈Späher Spanner spanare <> průzkumník	<	
𒉌𒁍	i₃-gid₂	igid	divination? 	ni.bu 𓋞 𓎟		
𒅆𒂃	igi-du₈	igidu	audience gift	𒅆𒂃 igiᵛdu a gift		#tāmartu 
𒅆𒇒 ≈	IGI.ESIR₂	IGIESIR	designation of bitumen 	…		
𒅆𒍼	igi-gig	igigig	eye disease 	𒅆𒍼 si.gig sick!		
𒅆𒁺𒁍	igi-gub-bu	igigubbu	coefficient 	guebbiuᵃⁿᵗ ≈ coefficient  ?		
𒄑𒅆𒅅	ĝeš igi-ĝal₂	igiĝal	sign, signal	ĝeš.igi-ĝal₂  si-ĝal₂ Siegel signal  (ĝ gn)		#şaddu 
𒄑𒅆𒅅	ĝeš igi-ĝal₂	igiĝal	siege weapon	ĝeš.igi-ĝal₂  si-ĝal₂ Siegel siege (weapon)		#mekû 
𒄑𒅆𒅅	ĝeš igi-ĝal₂	igiĝal	unit of length	≠ equal		#ammatu 
𒅆𒅅	igi-ĝal₂	igiĝal	wise 	si-ĝal₂ sageᵃˡ		
𒅆𒆗	igi-kal	igikal	scowling	si.kal ≈ scowl		#akşu;šakşu 
𒅆𒅅𒌇	igi-ĝal₂tuku	igiĝaltuku	wise, clever	skultig?  sage:tark 		#emqu 
𒅆𒆕	|IGI.KAK|	IGIKAK	? 	?		
𒅆𒃸	igi-kar₂	igikar	provisions, supplies	si.kar secure		#aširtu 
𒅆𒆸	igi-niĝin₂	iginiĝin	devastation, ruin	𒆸 KUR₄ חָרְבָּה khorbá 𒆸 kil kalıntı		#arbūtu 
𒅆𒉏	igi-nim	iginim	upper land	<> Elam!		#mātu elītu 
𒅆𒉡𒅅	igi-nu-ĝal₂	iginuĝal	blind 	𓇋 𓅱 𓐍 𓅓 𓂜 ignorant		
𒄿𒄄𒅔𒍪;𒄿𒄄𒅔𒂄;𒄿𒄀𒅔𒍪;𒉌𒄄𒅔𒍪	i-gi₄-in-zu;i-gi₄-in-zu₇;i-gi-in-zu;i₃-gi₄-in-zu	iginzu	as if		<<	#mindê 
𒆠𒊕𒊩𒄷;𒉌𒄄𒊏𒄷;𒆠𒅗𒊩𒄷;𒄿𒄀𒊏𒄷	igira₂ mušen;i₃-gi₄-ra mušen;igiraₓ(KI.KA.SAL) mušen;i-gi-ra mušen	igira	heron	"egret ""heron"" augur aguilla"		#igirû 
𒅆𒅊𒅊	igi-sig₇-sig₇	igisigsig	jaundice	Ikterus ἴκτερος íkteros igi-elb-sig₇ Gelbsucht		#awurriqānu 
𒅆𒁺	igištu	igištu	first and foremost, pre-eminent	erst		#ašarēdu 
𒅆𒋰	igi-tab	igitab	blinkers? 	:		
𒋢𒅆𒋰	kuš igi-tab	igitab	(donkey) blinkers 	Augenklappe		
𒅆𒋼𒂗;𒄿𒄄𒋼	igi-te-en;i-gi₄-te	igiten	fraction (math.); proportion	fraction ᵇʳig'ten Bruchteil 		#igitennum 
𒅆𒋼𒂗	igi-te-en	igiten	mesh	nett  reverse		#itannu 
𒅆𒉐𒆷;𒅆𒉐𒇲	igi-tum₃-la;igi-tum₃-la₂	igitumla	? 	?		
𒄑𒅆·	ĝeš IGI.X	IGIX	part of boat 	…		
𒅆𒂟	igi-zalag	igizalag	evening watch 	vigil séraᵍ ≈ zalag 𓌘 𓅱 𓁹 / 𓍟 𓁻 𓁶 𓏤 	<> usan	
𒅆𒉌𒋩	igi-zal-sur	igizalsur	smile 	x اِبْتِسَامَة ibtisāma buzëqeshje		
𒅅𒋗𒌫;𒄑𒅅𒋗𒌫;𒄑𒅅𒋗	ig-šu-ur₂;ĝeš ig-šu-ur₂;ĝeš ig-šu-ur?	igšur	bolt	шру́ба šrúba		#mēdelu 
𒅗𒃻	i₅-ĝar	iĝar	oracular utterance	…		#egirrû 
𒉌𒄑	i₃-ĝeš	iĝeš	oil 	™		
𒉌𒄭𒉣𒈾;𒉌𒄭𒉣	i₃-he-nun-na;i₃-he-nun	ihenunak	precious oil	𓋨?		#ihenunnakku 
𒉌𒅕𒀀	i₃-ir-a	i'ira	scented oil 	oira > oil		
𒄿𒄑	i-iz	i'iz	numerous	paniz		#mādu 
𒄿𒄑	i-iz	i'iz	seed	₅+2 = seeds ₇		#zēru 
𒄿𒆠𒈥	i-ki-mar	ikimar	sign, signal	cinkimar ≈ sigmaˡ ≈ sign		#şaddu 
𒅍;𒂖;𒅍𒉌	il₂;il₅;il₂ li₂	il	to raise, carry	il₂ elevate, lift, levitate  		#našû 
𒅍𒆷;𒅍𒇲	il₂la;il₂la₂	ila	elevation	elevation		#mūlû 
𒅆𒉄𒁍;𒅆𒂠𒁺𒂟	ildum₂;ildum IGI.NAGAR.BU IGI.EŠ₂.DU.ERIN₂  𒉄 bulug₄ alla	ildum	clan; band, cohorts, troops, reinforcements, help, caravan; dog pack	…		#illātu; illatşâbi;piqittişâbi; illat kalbi 
𒉌𒉌	i₃-li₂	ili	man	mani ≈ mãli ≈ LU		#amēlu 
𒄑𒅍𒅍;𒄑𒅍𒇲;𒄑𒅍	ĝeš il₂il₂;ĝeš il₂la₂;ĝeš il₂	ilila	lever	a lever		#habbiru;naššû 
𒄿𒅆	i-lim	ilim	radiance; deathly silence	illumi…		#šalummatu;šaqummatu 
𒑆	ilimmu	ilimmu	nine 	<> limes? nimu ≈ nine		
𒄑𒊒;𒊒	ĝeš illar;illar	illar	wooden ball	<<<		#pukku puck
𒀀𒆗	illu	illu	water; source, spring; waterlogging?; flood waters	a.kua aqua		#mû;mīlu;namba'u;zâbu 
𒀭	ilu	ilu	god	Allah		#ilu 
𒄿𒇻	i-lu	ilu	joyful song; lament	1/wail | wail		#niûtu;qubû 
𒄿𒇻𒀀𒇷	i-lu-a-li	iluali	mourner	Heuler		#lallāru ≈ Leier
𒁽	im₂	im, GIR RIM RUN	to run	run		#šānû ≈ sprint
𒅎	im	im	clay, mud; tablet	imud		#ţīdu; ţuppu 
𒅎;𒈨𒅕	im;me-er	im	rain, rain storm	𓈗 mar		#zunnu;šāru 
𒅎𒀀	im-a	ima	storm? 	™		
𒅎𒁀	im-ba	imba	deficit 	gy.ba ≈ sub		
𒅎𒌓𒌓;𒅎𒌓	im-babbar₂;im-babbar	imbabbar	gypsum	gy.ba ≈ Gips		#gaşşu 
𒅎𒁀𒋩	im-ba-sur	imbasur	shivering, cramp	gy.ba ≈ shiver		#ra'ību 
𒅎𒁍𒁍	im-BU-BU	imBUBU	hod-carrier 	bearer berber porter (hod = Kohleneimer, Trog)		
𒅎𒂃	im-du₈	imdu	dew 	emdew µTau ambun damug,		
𒅎𒆕𒀀;𒅎𒂃𒀀	im-du₃-a;im-du₈-a	imdua	mud wall	dívál		#pitqu;pitiqtu 
