word,transcription,note,definition,
𐀀-𐀷-𐀨-𐀏-𐀙,a-wa-ra-ka-na,,'•name of an artifact ''furrow'' meaning perhaps ''ploughshare''? ⇔ αὖλαξ •genitive of a-wa-ra-ka-na ',
𐀀-𐀸-𐀩-𐀁,a-we-re-e,,exaggerate,
𐀀-𐀽-𐀴-𐀪-𐀊,a-ze-ti-ri-ja,,•description of women; probably variant spelling of a-ke-ti-ra2 nominative plural feminine ,
𐀀-𐀽-𐀵,a-ze-to,,•adjective describing zo-wa? ,
𐀀-𐁃-𐀁,a-dwe-e,,,
𐀀-𐁆-𐀏,a-pu2-ka,,•ethnic name in -ān; apparently not from *a-pu2 which is a u-stem and would not explain k •nominative plural in -ānes of a-pu2-ka ,
𐀀-𐁊-𐀀,a-ro2-a,,'•applied to textiles and wheels ''of better quality'' ⇔ ἄριστος •nominative dual or plural feminine of a-ro2-a •genitive singular or nominative dual of a-ro2-a or possibly an variant ROTA: KN So TELA: KN L TELA+PU: KN L ZE: KN So *158: KN Ld *161: KN L ',
𐀀-𐁊-𐀀,a-ro2-a,,'•''of better quality'' ⇔ ἄριστος •nominative dual or plural feminine of a-ro2-a •apparently genitive singular or nominative dual possibly an variant? ',
𐀁-𐀁-𐀫-𐀞-𐀍-𐀤-𐀫-𐀭,e-e-ro-pa-jo-qe-ro-sa,,•Reading and word-division uncertain ,
𐀁-𐀁-𐀯,e-e-si,,'•''they are'' ⇔ e-ne-e-si a-pe-e-si Att. εἰσί •''being'' nominative singular masculine participle •nominative plural masculine ',
𐀁-𐀁-𐀵,e-e-to,,•meaning obscure probably verbal form from εἰμί or ἵημι? ,
𐀁-𐀄-,e-u-,,,
𐀁-𐀄-𐀐-𐀵,e-u-ke-to,,wishes declares,
𐀁-𐀄-𐀡-𐀫-𐀺,e-u-po-ro-wo,,good sailing,
𐀁-𐀄-𐀬-𐀺-𐀲,e-u-ru-wo-ta,,wide-eared,
𐀁-𐀅-𐀁-𐀄,e-da-e-u,,•title or ethnic adjective? •genitive of e-da-e-u ,
𐀁-𐀏-𐀔-𐀳,e-ka-ma-te,,'•''with a support strut'' instrumental singular part of a table ⇔ ἕχμα ἔγμα •instrumental plural of e-ka-ma-te ',
𐀁-𐀏-𐀔-𐀳,e-ka-ma-te,,with support,
𐀁-𐀏-𐀨,e-ka-ra,,'•''portable hearth brazier'' ⇔ ἐσχάρη ',
𐀁-𐀏-𐀨,e-ka-ra,,grill,
𐀁-𐀏-𐀨-𐀁-𐀸,e-ka-ra-e-we,,•term description OVIS ,
𐀁-𐀏-𐀳-𐀍,e-ka-te-jo,,•meaning obscure [...] perhaps epithet of chariot-frames ,
𐀁-𐀏-𐀳-𐀩-𐀲,e-ka-te-re-ta,,•probably adjective describing chariot-frames; ⇔ a-te-re-te-a which suggests that this may be a compound with ekh- ⇔ also [[e-te-re-ta]]. ,
𐀁-𐀐,e-ke,,'•has / holds ⇔ ἔχει; verb •infinitive to have (as pu-ko-so e-ke-e) •''with box-wood supports'' ⇔ πύξος Ruipérez 1985: [...] -qe in e-ke-qe e-ko-si-qe fulfills no copulative form but must have a direct bearing on the meaning of the verbal predicate [...]; contains a prospective subjunctive non-copulative -qe •and he/she has •variant for e-ko-si Chadwick & Ventirs 1973: (already) having (one); or spear •they have •having [[e-ke-pu-te-ri-ja]] = e-ke + pu-te-ri-ja at KN Uf  Ruipérez Martín S. 1985 Tractata Mycenaea Subjunctive Forms in Mycenaean Texts kar WNXIII.95',
𐀁-𐀐,e-ke,,has,
𐀁-𐀐-ha,e-ke-ha,,spears,
𐀁-𐀐-𐀂-𐀊,e-ke-i-ja,,'•''spears?'' ⇔ ἐγχείη perhaps distinguished in meaning from ἔγχος ',
𐀁-𐀐-𐀆-𐀖,e-ke-de-mi,,'•''but he has it'' ⇔ da-mo-de-mi e-ke ',
𐀁-𐀐-𐀍-𐀵,e-ke-jo-to,,•No plausible explanation of root (perhaps enkeinontoi (ἔγκειμαι) ⇔ κέονται),
𐀁-𐀐-𐀙-𐀵,e-ke-na-to,,•variant for e-ke o-na-to ,
𐀁-𐀐-𐀤,e-ke-qe,,has posses,
𐀁-𐀐-𐀫-𐀦-𐀜,e-ke-ro-qo-no,,•description of men and women Palmer TBD: wage-earners (see VC p. 161)  Palmer TBD,
𐀁-𐀐-𐀮-𐀯,e-ke-se-si,,•meaning obscure; dative plural? ,
𐀁-𐀑,e-ki,,•meaning obscure ,
𐀁-𐀑-𐀜,e-ki-no,,urchin porcupine,
𐀁-𐀒-𐀕-𐀜,e-ko-me-no,,coming commer,
𐀁-𐀒-𐀯,e-ko-si,,they have,
𐀁-𐀓-𐀮-𐀸-𐀤,e-ku-se-we-qe,,'•''funnels'' ⇔ ἐγχέω nominative plural + connective enclitic -qe ',
𐀁-𐀔-ha,e-ma-ha,,hermes,
𐀁-𐀔-𐀲,e-ma-ta,,'•''laces (for footwear)'' ⇔ ἕρματα ''earrings'' from εἴρω ''string thread'' neuter plural ',
𐀁-𐀔-𐀲,e-ma-ta,,straps,
𐀁-𐀔-𐁀,e-ma-a2,,'theonym Hermes •theonym ⇔ Ἐρχομενὀς Ἑρμείας •perhaps o is not part of the word. If correct possibly genitive [...] Or alternatively a derivative meaning ''temple or festival of Hermes''?  ',
𐀁-𐀕,e-me,,'•''one'' ⇔ Attic εἴς •''but with one'' ',
𐀁-𐀖-𐀵,e-mi-to,,•genitive ,
𐀁-𐀖-𐀵,e-mi-to,,person paid for working rented animal or land,
𐀁-𐀙-𐀡-𐀙,e-na-po-na,,'•meaning obscure Appears as ''e-na-po-na  o-nu  pa-i-ti-jo'' e-ti-wa-ja-qe on KN Od 681. LANA: KN Od? ',
𐀁-𐀙-𐀪-𐀡-𐀵,e-na-ri-po-to,,'•''oiled painted'' ⇔ ἐνάλειπτος verbal adjective describing chariot frame ',
𐀁-𐀚-𐀁-𐀯,e-ne-e-si,,'•''they are in'' ⇔ ἔνειμι third person plural present ',
𐀁-𐀚-𐀃,e-ne-o,,•possible nominative singular masculine or neuter participle ,
𐀁-𐀚-𐀏,e-ne-ka,,because of due to,
𐀁-𐀚-𐀏,e-ne-ka,,'Duhoux 2011: ''because of'' ⇔ ἓνεκα •preposition for the sake of because of ⇔ ἓνεκα εἳνεκα (Iliad XIV 89+)  ',
𐀁-𐀚-𐀐-𐀮-𐀄,e-ne-ke-se-u,,'Masson 1967: TBD Killen 1964: a shepherd''s name Heubeck 1957: TBD KN Da: a-ka KN Da: OVIS Heubeck 1957 TBD Killen J.T. 1964 British School at Athens (BSA) 59 The Wool Industry of Crete in the Late Bronze Age Masson 1967 TBD',
𐀁-𐀚-𐀕-𐀙,e-ne-me-na,,•describing ko-no also abbreviated as E ,
𐀁-𐀚-𐀨,e-ne-ra,,•obscure possibly connected with e-ne-re-ja •possibly singular ,
𐀁-𐀚-𐀩-𐀊,e-ne-re-ja,,'•description of women: ''makers of e-ne-ra?'' nominative plural feminine ',
𐀁-𐀚-𐀯-𐀅-𐀃-𐀚,e-ne-si-da-o-ne,,•theonym? Heubeck 1957: TBD  Heubeck Alfred 1957 TBD,
𐀁-𐀚-𐀺-𐀟-𐀼,e-ne-wo-pe-za,,•also e-ne-wo pe-za; with 9 legs ⇔ [[we-pe-za]] •dual form of e-ne-wo-pe-za ,
𐀁-𐀛,e-ni,,•context obscure ⇔ e-ni-qe ,
𐀁-𐀛-𐀤,e-ni-qe,,'•probably not adjective describing CLOTH but connective ''and there is (are) among them'' ⇔ ἔνεστί τε ἔνι Appears as e-ni-qe  pe-ne-we-ta on KN L 593+. Appears as e-ni-qe [[e-ra-pe-me-ne]] ''nu-wa-ja'' on KN L 647+. Appears as e-ni-qe  nu-wa-i-ja on KN L 5910+. *161: KN L TELA: KN L TUN+KI: KN L ',
𐀁-𐀛-𐀵-𐀺,e-ni-to-wo,,quick fast,
𐀁-𐀜-𐀷-𐀫,e-no-wa-ro,,,
𐀁-𐀝-𐀷-𐀪-𐀍,e-nu-wa-ri-jo,,'•theonym dative ⇔ Ἐνυάλιος ''Warlike'' epithet of Ares ',
𐀁-𐀟-𐀐,e-pe-ke,,'•obscure (i.e. unknown) not ''unshorn'' since a wool clip is recorded Palmer TBD: ''unshorn'' Appears as a-ko-ro  e-pe-ke on KN Dl 932+. KN Dl: OVIS LANA  Killen TBD Palmer TBD',
𐀁-𐀠,e-pi,,Chadwick & Ventris: preposition upon ⇔ ἐπί [[e-pi-da-o]] e-pi-da-to e-pi-ke-re e-pi-ki-to-ni-ja e-pi-ko-wa e-pi-ko-wo [[e-pi-pu-ta]] [[e-pi-zo-ta]] ,
𐀁-𐀠,e-pi,,on upon,
𐀁-𐀠-𐀅-𐀵,e-pi-da-to,,'•description of bronze probably adjective: ''distributed'' ⇔ ἀνά-δαστος ',
𐀁-𐀠-𐀆-𐀅-𐀵,e-pi-de-da-to,,has been distributed,
𐀁-𐀠-𐀏,e-pi-ka,,•cf. e-pi-ko •cf. e-pi-ka ,
𐀁-𐀠-𐀐-𐀩,e-pi-ke-re,,•word describing harvest?  see also: comments on GRA,
𐀁-𐀠-𐀐-𐀵,e-pi-ke-to,,•obscure (i.e. not known) KN E: GRA ,
𐀁-𐀠-𐀑-𐀵-𐀛-𐀊,e-pi-ki-to-ni-ja,,'attachments to a tunic? Heubeck 1986: flax armour with bronze plaque attachments •BRONZE description: ''fittings on a tunic'' ⇔ ki-to  Heubeck Alfred 1986 Kadmos 25 Vermutungen zu KN L 693',
𐀁-𐀠-𐀑-𐀵-𐀛-𐀊,e-pi-ki-to-ni-ja,,mantles,
𐀁-𐀠-𐀒-𐀷,e-pi-ko-wa,,' additional liquid allowance ⇔ ἐπιβολή ''additional quantity''  oil for anointing ⇔ ἐπιχόα κατάχυσις libations pourings  ',
𐀁-𐀠-𐀒-𐀺,e-pi-ko-wo,,'•''watchers guards'' ⇔ Delph. πυρ-κόος ''watcher of the sacred fire'' ',
𐀁-𐀠-𐀒-𐀺,e-pi-ko-wo,,pay attention,
𐀁-𐀠-𐀫-𐀞-𐀊,e-pi-ro-pa-ja,,'•''cloak'' ⇔ λώπη Appears as e-pi-ro-pa-ja  o-du-we ''te-o-po-ri-ja'' on KN Od 696. M: KN Od? ',
𐀁-𐀠-𐀸-𐀴-𐀪-𐀍,e-pi-we-ti-ri-jo,,'[occupational] ⇔ ἐφεστρίς ''upper garment'' [[wi-ri-ja-no]] is e-pi-we-ti-ri-jo pa-ro da-mo in the PY Ea series. GRA: PY Ea ',
𐀁-𐀠-𐀿-𐀲,e-pi-zo-ta,,weapons belts,
𐀁-𐀠-𐁑-𐀲,e-pi-*19-ta,, tyre of a wheel ⇔ ἐπίσ(σ)ωτρον (with *19 as zo2 = /tso/) ,
𐀁-𐀡,e-po,,•Obscure; possibly not the same word in all cases. ,
𐀁-𐀡-𐀖-𐀍,e-po-mi-jo,,shoulder strap,
𐀁-𐀤-𐀥,e-qe-qi,,,
𐀁-𐀤-𐀲,e-qe-ta,,attendant,
𐀁-𐀤-𐀲,e-qe-ta,,' the ''companion'' •followers companions of the king important officers of the court ⇔ ἑπέτας •nominative dual of e-qe-ta •dative plural of e-qe-ta •of or belonging to e-qe-ta •of or belonging to e-qe-ta Appears as e-qe-ta-e  e-ne-ka  (e)-mi-to on KN Am 821. Appears as e-qe-ta  e-ki-si-jo on KN Am 821. Appears as ko-no-si-jo  e-qe-ta  pi-sa-wa-ta on KN B 1055. Appears as e-qe-si-ja  te-tu-ko-wo-a on KN L 871. Appears as me-ta-qe  pe-i  e-qe-ta  ro-u-ko  ku-sa-me-ni-jo  [ on PY An 519. Appears as do-qe-ja  do-e-ra  e-qe-ta-i  e-e-to  [[te-re-te-we]] on PY An 607. Appears as me-ta-qe  pe-i  e-qe-ta  a-re-ku-tu-ru-wo  e-te-wo-ke-re-we-i-jo  on PY An 654. Appears as me-ta-qe  pe-i  e-qe-ta  [[pe-re-qo-ni-jo]]  a-re-i-jo  ne-wo-ki-to  wo-wi-ja  [[ko-ru-ku-ra-i-jo]] on PY An 656. Appears as me-ta-qe  pe-i  e-qe-ta  di-wi-je-u  on PY An 656. Appears as me-ta-qe  pe-i  e-qe-ta  (di)-ko-na-ro  a-da-ra-ti-jo on PY An 656. Appears as me-ta-qe  pe-i  [[pe-re-u-ro-ni-jo]]  e-qe-ta  on PY An 656. Appears as me-ta-qe  pe-i  e-qe-ta  ka-e-sa-me-no  a-pu2-ka  on PY An 656. Appears as me-ta-qe  pe-i  e-qe-ta  [[ke-ki-jo]]  a-e-ri-qo-ta  e-ra-po  [[ri-me-ne]]  o-ka-ra  [[o-wi-to-no]] on PY An 657. Appears as me-ta-qe  pe-i  a3-ko-ta  e-qe-ta on PY An 657. Appears as me-ta-qe  pe-i  e-qe-ta  [[wo-ro-tu-mi-ni-jo]] on PY An 661. Appears as me-ta-qe  pe-i  e-qe-ta  on PY An 661. Appears as ] e-ko-si-qe  e-qe-ta  ka-ma[ on PY An 724. Appears as o-da-a2  i-je-re-ja  ka-ra-wi-po-ro-qe  e-qe-ta-qe we-te-re-u-qe  o-na-ta  to-so-de  pe-mo on PY Ed 317. Appears as o-da-a2  e-qe-si-jo  do-e-ro  e-ko-si  o-na-ta  to-so-de  pe-mo on PY Ed 847. Appears as [[se-we-ri-ko-jo]]  wo-ka  e-qe-si-jo  on PY Sa 753. Appears as to-sa  e-qe-si-(ja) pa-ra-(ja) on PY Sa 787. Appears as a-mo-ta  e-qe-si-ja  [[no-pe-re-a2]] on PY Sa 790. PY Ed: ka-ra-wi-po-ro we-te-re-u in a -qe list. GRA: PY Ed MUL: PY An ROTA: PY Sa TELA: KN L VIR: KN Am KN B ZE: PY Sa [[*243]]+TE: PY Sa e-ko-so: KN Am ko-no-so: KN B  ',
𐀁-𐀨,e-ra,,goddess name (hera),
𐀁-𐀨-𐀟-𐀊,e-ra-pe-ja,,material taken from deer,
𐀁-𐀨-𐀟-𐀕-𐀙,e-ra-pe-me-na,,•meaning obscure ,
𐀁-𐀨-𐀟-𐀕-𐀙,e-ra-pe-me-na,,stitched,
𐀁-𐀨-𐀡,e-ra-po,,stag,
𐀁-𐀨-𐀷,e-ra-wa,,'•''olive-tree'' ⇔ ἐλαῖαι ',
𐀁-𐀨-𐀷,e-ra-wa,,olive tree,
𐀁-𐀨-𐀺,e-ra-wo,,oil,
𐀁-𐀩-𐀄-𐀳-𐀫,e-re-u-te-ro,,•nominative singular neutral free of impost ⇔ ἐλέυθερος (Iliad VI 455+) •probably neutral plural of e-re-u-te-ro •he made free ⇔ ἐλευθερόω (Herodotus) ,
𐀁-𐀩-𐀄-𐀳-𐀫-𐀮,e-re-u-te-ro-se,,set free,
𐀁-𐀩-𐀄-𐀴-𐀊,e-re-u-ti-ja,,'Duhoux 2011: theonym dative ''to (the goddess) Ilithyia'' ⇔ Ἐλεύθυια Ἐλευθίη Εἰλείθυια •dative of a theonym ⇔ Lacon. Ἐλευθία Cret. Ἐλεύθυια Homeric Εἰλείθυια goddess name Eleuthia KN Gg: pa-si-te-o-i LANA: KN Od ME+RI: KN Gg *209VAS: KN Gg a-mi-ni-so: KN Gg  ',
𐀁-𐀩-𐀄-𐀴-𐀊,e-re-u-ti-ja,,goddess name (eleuthia),
𐀁-𐀩-𐀗,e-re-mo,,desert,
𐀁-𐀩-𐀞,e-re-pa,,•ivory ⇔ ἐλέφας (Iliad V 583) ⇔ (-ta) ko-ma-we-ta •accusative? of e-re-pa ⇔ (-te) e-ri-no-wo-te ko-ma-we-te •dative-instrumental singular of e-re-pa ⇔ (-to) e-ri-no-wo-to ko-ma-we-to qe-qi-no-to •genitive of e-re-pa elephant   ,
𐀁-𐀩-𐀞-𐀳-𐀍,e-re-pa-te-jo,,•adjective of an elephant ⇔ ἐλεφάντειος (Diosc.) •feminine of e-re-pa-te-jo •instrumental plural feminine of e-re-pa-te-jo •instrumental plural masculine or neuter of e-re-pa-te-jo •variant of e-re-pa-te-jo ,
𐀁-𐀩-𐀞-𐀵,e-re-pa-to,,elephant,
𐀁-𐀩-𐀲,e-re-ta,,•rowers oarsmen ⇔ ἐρέται (Odyssey I 280+) •genitive plural of e-re-ta ,
𐀁-𐀩-𐀲,e-re-ta,,rowers,
𐀁-𐀩-𐁄-𐀁,e-re-dwo-e,,•Heading to lists of men; nominative plural? ,
𐀁-𐀪-𐀏,e-ri-ka,, willow wood from a willow tree,
𐀁-𐀪-𐀏,e-ri-ka,,willow tree,
𐀁-𐀪-𐀝,e-ri-nu,,'•theonym ⇔ Ἐρινύς ''the Erinys'' •dative of e-ri-nu ',
𐀁-𐀪-𐀝,e-ri-nu,,'•theonym ⇔ Ἐρινύς ''the Erinys'' •dative of e-ri-nu ',
𐀁-𐀪-𐀝,e-ri-nu,,'•theonym ⇔ Ἐρινύς ''the Erinys'' •dative of e-ri-nu ',
𐀁-𐀪-𐀝-𐀸,e-ri-nu-we,,erinys,
𐀁-𐀪-𐀲-𐀪-𐀍,e-ri-ta-ri-jo,,,
𐀁-𐀪-𐀴-𐀥,e-ri-ti-qi,,,
𐀁-𐀪-𐀵-𐀴-𐀜,e-ri-to-ti-no,,,
𐀁-𐀪-𐀸-𐀫,e-ri-we-ro,,,
𐀁-𐀫-𐀞-𐀐-𐀊,e-ro-pa-ke-ja,,[occupational]; description of women cloth-workers ⇔ e-ro-pa-ke-u OLE: MY Fo? TELA: KN Lc TUN+KI: KN Ld ,
𐀁-𐀬,e-ru,,,
𐀁-𐀬-𐀖-𐀛-𐀊,e-ru-mi-ni-ja,,stilt ridgepole,
𐀁-𐀬-𐀲-𐀨,e-ru-ta-ra,,red,
𐀁-𐀭-𐀞-𐀐-𐀕,e-sa-pa-ke-me,,'•(as e-sa-pa-ke-(me)-[na?]) ''swathed''? ⇔ σπάρξαν ',
𐀁-𐀮-𐀩-𐀁-𐀍,e-se-re-e-jo,,•annotation giving ownership of flocks of sheep KN Dl: ma-ri ma-so-mo ra-su-to su-ri-mo KN Dl: OVIS LANA ,
𐀁-𐀰-𐀵,e-so-to,,'•''they will be''? ',
𐀁-𐀳,e-te,,'•''from there'' ⇔ ἔνθεν ',
𐀁-𐀳-𐀈-𐀗,e-te-do-mo,,'Ruijgh 2011: ''constructor of utensils (etc.)'' ⇔ ἔντεα ''utensils furniture arms'' ''armourers'' entesdomoi [occupational] earlier suggestion entes-domos (cf. ἔντεα) seems unlikely. ka-ra-pi is e-te-do-mo pa-ro da-mo in the PY Ea series. a-tu-ko is e-te-do-mo wa-na-ka-te-ro in the PY En series. a-tu-ko is e-te-do-mo pa-ro wa-na-ta-jo and wa-na-ta-jo is te-re-ta pa-ro a-ma-ru-ta in the PY Eo series. a-tu-ko is e-te-do-mo pa-ro da-mo in the PY Ep series. GRA: PY Ea PY En PY Eo  Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I ',
𐀁-𐀳-𐀍,e-te-jo,,•description of amphoras *209VAS: KN Gg ,
𐀁-𐀳-𐀺-𐀐-𐀩-𐀸-𐀂-𐀍,e-te-wo-ke-re-we-i-jo,,'Duhoux 2011: anthroponomic adjective Eteocles'' son ⇔ Ἐτεοκληεῖος Ἐτεόκλειος •patronymic adjective ''son of Eteocles'' ⇔ βίη Ἐρεοκληείη (Iliad IV.386) Appears as me-ta-qe  pe-i  e-qe-ta  a-re-ku-tu-ru-wo  e-te-wo-ke-re-we-i-jo  on PY An 654. Appears as ne-qe-u  e-te-wo-ke-re-we-i-jo  to-to  we-to  o-a-ke-re-se on PY Aq 64. ZE: PY Aq  ',
𐀁-𐀴-𐀸,e-ti-we,, e-ti-scented and / or softened although the precise identification of e-ti- reminds to be found •adjective describing olive oil Lejeune 1958: probably a plant ⇔ ἔρτις κρημνός  Lejeune 1958 TBD Melena José 1983 Minos vol. 18 Olive Oil and Other Sorts of Oil in the Mycenaean Tablets,
𐀁-𐀵-𐀑-𐀊,e-to-ki-ja,,enwalled,
𐀁-𐀵-𐀛-𐀍,e-to-ni-jo,,•a kind of land holding ,
𐀁-𐀵-𐀺-𐀒,e-to-wo-ko,,[occupational] ⇔ ki-ri-te-wi-ja-i ku-wa-no-wo-ko-i •dative plural of e-to-wo-ko ,
𐀁-𐀸-𐀟-𐀮-𐀰-𐀕-𐀙,e-we-pe-se-so-me-na,,to be well boiled,
𐀁-𐀺-𐀲-𐀆,e-wo-ta-de,,to the festival,
𐀁-𐀽-𐀵,e-ze-to,,•meaning obscure Appears as [[ri-jo-ni-ja]]  / e-ze-to  to-ro-qo on KN Od 563. ,
𐀁-𐁉-𐀺,e-ra3-wo,,•olive oil ⇔ ἔλαιον (interesting comment from  The Greek name for olive /elaiwon/ is a loan borrowed from a Mediterran tongue. Although the phytonym is probably Minoan it has not been elicited in Linear A) •variant spelling of e-ra3-w,
𐀁-𐁊-𐀚,e-ro2-ne,,,
𐀂-𐀁-𐀩-𐀄,i-e-re-u,,priest,
𐀂-𐀊-𐀳,i-ja-te,,•physician ⇔ ἰητήρ (Iliad II 732+) Cypriot to-ni-ja-te-ra-ne τόν ἰατεραν ,
𐀂-𐀊-𐀳,i-ja-te,,doctor physician,
𐀂-𐀋-𐀩-𐀄,i-je-re-u,,•priest ⇔ ἱερεύς (Iliad I 62+)       we-te-re-u is i-je-re-u pa-ro a3-ti-jo-qe in the PY Eo series. we-te-re-u is i-je-re-u pa-ro da-mo in the PY Ep series. GRA: PY Eo ,
𐀂-𐀋-𐀩-𐀄,i-je-re-u,,priest,
𐀂-𐀋-𐀩-𐀊,i-je-re-ja,,•priestess ⇔ ἱέρεια (Iliad VI 600+) e-ri-ta is i-je-re-ja pa-ro [da-mo]] in the PY Ep series. GRA: PY Eb PY Eo PY Ep ,
𐀂-𐀋-𐀩-𐀊,i-je-re-ja,,priestess,
𐀂-𐀋-𐀩-𐀺,i-je-re-wo,,priest,
𐀂-𐀋-𐀫-𐀺-𐀒,i-je-ro-wo-ko,, offering-priest •sacrificing priest ⇔ ἱεροεργός  ,
𐀂-𐀋-𐀵-𐀤,i-je-to-qe,,'•probably third person of middle voice verb •1. third person plural active voice verb of i-je-to-qe? 2. ''they send''? ⇔ ἴημι  (Docs2)',
𐀂-𐀋-𐀸,i-je-we,,son,
𐀂-𐀍,i-jo,,son,
𐀂-𐀍-𐀳,i-jo-te,,•who are to go εἶμι ἰὼν κοίλης ἐπὶ νηός ,
𐀂-𐀖-𐀪-𐀍,i-mi-ri-jo,,personal name or ethnonym,
𐀂-𐀟-𐀕-𐀆-𐀊,i-pe-me-de-ja,,name of a woman,
𐀂-𐀠-𐀀,i-pi-a,,arm,
𐀂-𐀡-po-𐀦-𐀂-𐀤,i-po-po-qo-i-qe,,'•''horse-feeders ostlers'' ⇔ ἰπποφορβός ',
𐀂-𐀤-𐀊,i-qe-ja,,•epithet of po-ti-ni-ja ,
𐀂-𐀥-𐀊,i-qi-ja,,•chariot ⇔ ίππιος •chariot nominative dual ,
𐀂-𐀦,i-qo,,•horses ⇔ ἴππος see KN Ca 895 for ideogram confirmation Palmer: theonym •genitive of i-qo  Palmer TBD,
𐀂-𐀦,i-qo,,horse,
𐀂-𐀦-𐀡-𐀦-𐀂,i-qo-po-qo-i,, to the horse-keepers dative ,
𐀂-𐀱-𐀓-𐀺-𐀈-𐀵,i-su-ku-wo-do-to,,,
𐀂-𐀳-𐀊-𐀃,i-te-ja-o,,'female weavers •''weavers'' ⇔ ἰστός genitive plural feminine  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”',
𐀂-𐀳-𐀊-𐀃,i-te-ja-o,,spar,
𐀂-𐀳-𐀸,i-te-we,,'male weaver •''weaver'' ⇔ ἱστός Chadwick John and Michael Ventris 1973 em>Documents in Mycenaean Greek Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”',
𐀂-𐀵-𐀸-𐀭,i-to-we-sa,,'histowessa provided with an upright support ⇔ ἱστός ''mast'' •describes a portable hearth provided with a ἱστός ',
𐀃-𐀄,o-u,,not,
𐀃-𐀄-𐀇-𐀈-𐀯,o-u-di-do-si,,not giving,
𐀃-𐀄-𐀤,o-u-qe,,neither,
𐀃-𐀄-𐀬-𐀵,o-u-ru-to,,guard,
𐀃-𐀅-𐀃,o-da-o,,too also,
𐀃-𐀅-𐀐-𐀸-𐀲,o-da-ke-we-ta,,'•adjective describing wheels and cloths: perhaps odakwenta ''toothed'' (i.e. with tooth-like decoration) •variant spelling of o-da-ke-we-ta •variant form of o-da-ke-we-ta •variant spelling of [[o-da-tu-we-ta]] ',
𐀃-𐀅-𐁀,o-da-a2,,•and thus ,
𐀃-𐀅-𐁌-𐀲,o-da-twe-ta,,with tooth,
𐀃-𐀈-𐀐,o-do-ke,,he gave,
𐀃-𐀏,o-ka,,mission magistracy,
𐀃-𐀐-𐀩-𐀮,o-ke-re-se,,uptake,
𐀃-𐀖-𐀪-𐀍-𐀂,o-mi-ri-jo-i,,'•recipients of oil Mühlestein 1958: ''Rain-spirits'' ⇔ Ζεύς ὄμβρίος KN Fh: OLE ',
𐀃-𐀖-𐀪-𐀍-𐀂,o-mi-ri-jo-i,,to the rain spirits,
𐀃-𐀙-𐀳-𐀩,o-na-te-re,,'•''persons holding an o-na-to'' ⇔ ὀνητωρ ',
𐀃-𐀙-𐀵,o-na-to,,'•a portion (of land) enjoyed beneficiary right; accusative singular neuter Chadwick & Ventris 1956: One might have considered translating o-na-to as ὠνητόν (Dor. ὠνατόν) ''bought buyable'' whatever this precisely means in a primitive economy; but the Skt. vasnám suggests that ὠνή (Lesb. ὀννα) should have initial *w- and a derivation of the Mycenaean term from ὀνίνημι ''bestow a benefit'' is more probable. lease field  lease field •accusative plural  Chadwick John and Michael Ventris 1956 Documents in Mycenaean Greek',
𐀃-𐀙-𐀵,o-na-to,,'•a portion (of land) enjoyed beneficiary right; accusative singular neuter Chadwick & Ventris 1956: One might have considered translating o-na-to as ὠνητόν (Dor. ὠνατόν) ''bought buyable'' whatever this precisely means in a primitive economy; but the Skt. vasnám suggests that ὠνή (Lesb. ὀννα) should have initial *w- and a derivation of the Mycenaean term from ὀνίνημι ''bestow a benefit'' is more probable. lease field  lease field •accusative plural  Chadwick John and Michael Ventris 1956 Documents in Mycenaean Greek',
𐀃-𐀙-𐀵,o-na-to,,lease field,
𐀃-𐀜,o-no,,donkeys,
𐀃-𐀝,o-nu,,•In view of assocation with wool probably variant spelling of o-nu-ka. ,
𐀃-𐀝-𐀏,o-nu-ka,,Leukart 1987: stitched on •obscure word in a textile context •nominative plural •women who make o-nu-ke; nominative plural feminine •genitive plural • po-ki-ro-nu-ka • re-u-ko-nu-ka  Leukart Alex 1987 Tractata Mycenaea Mycenaean O-NU-KA O-NU-KE etc.: A concealed root-compound?”,
