Gothic				
𐌰𐌲𐌻𐌾𐌰𐌽 	 aglɕen	agle 	ache	 hurt,damage
𐌼𐌰𐍄𐌾𐌰𐌽 	 matɕen	mate 	mette: messe: Mahlzeit > meal	 eat,meal
𐌼𐌴𐌻𐌾𐌰𐌽 	 melɕen	mele 	mail <> Melchior?	 write
𐌼𐌴𐍂𐌾𐌰𐌽 	 merɕen	mere 	merkur?	 proclaim,preach,evangelize
𐌼𐌹𐌳𐌿𐌼𐍉𐌽 	 mιdumen	mιdume 	mitte.ment middle… medi…	 mediate
𐌼𐌹𐌸𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽 	 mιƌarbaιdɕen	mιƒarbaιde 	mitarbeiten	 toil,struggle
𐌼𐌹𐌸𐌲𐌰𐌳𐌰𐌿𐌸𐌽𐌰𐌽 	 mιƌgadøƌnen	mιƒgadauƒne 	mitgetötet	 die
𐌼𐌹𐌸𐌲𐌰𐍄𐌹𐌼𐍂𐌾𐌰𐌽 	 mιƌgatιmrɕen	mιƒgatιmre 	mitgezimmert	 build,together
𐌼𐌹𐌸𐌹𐌽𐌽𐌲𐌰𐌻𐌴𐌹𐌸𐌰𐌽 	 mιƌιnngaleιƌen	mιƒιnngaleιƒe 	miteingeladen, miteingelassen	 enter
𐌼𐌹𐌸𐌹𐌽𐍃𐌰𐌽𐌳𐌾𐌰𐌽 	 mιƌιnsandɕen	mιƒιnsande 	miteinsenden!!!	 send,along,companion
𐌼𐌹𐌸𐌻𐌹𐌱𐌰𐌽 	 mιƌlιben	mιƒlιbe 	mitleben	 live
𐌼𐌹𐌸𐌽𐌹𐌼𐌰𐌽 	 mιƌnιmen	mιƒnιme 	mitnehmen	 receive
𐌼𐌹𐌸𐌿𐍃𐌺𐌴𐌹𐌽𐌰𐌽 	 mιƌuscheιnen	mιƒusheιne 	miterscheinen	 sprout,spring
𐌼𐌹𐌸𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌾𐌰𐌽 	 mιƌweιtwudɕen	mιƒveιtvōde 	mit.wit.worden?	 testify
𐌼𐌹𐌺𐌹𐌻𐌽𐌰𐌽 	 mιkιlnen	mιkιlne 	much megalon	 become,large,great
𐌼𐌹𐌺𐌹𐌻𐌾𐌰𐌽 	 mιkιlɕen	mιkιle 	make lang, megalon	 make,large,magnify,praise,glorify
𐌼𐌹𐌻𐌹𐍄𐍉𐌽 	 mιlιten	mιlιte 	militant	 serve,army
𐌼𐌹𐌽𐌶𐌽𐌰𐌽 	 mιnznen	mιnshne 	minimize,  diminish	 diminish,decrease
𐌼𐌹𐍄𐌰𐌽 	 mιten	mιte 	meter, meßen	 measure,gauge
𐌼𐌹𐍄𐍉𐌽 	 mιten	mιte 	meßen, ermessen	 fathom,deliberate,consider,think over
𐌼𐌿𐌽𐌰𐌽 	 munen	mune 	mind…	 reckon,suppose,think,consider
𐌼𐌿𐌽𐌳𐍉𐌽 	 munden	munde 	mind…	 pay attention,observe
𐌽𐌰𐌼𐌽𐌾𐌰𐌽 	 namnigen	namne 	namigen, name	 name,call
𐌽𐌰𐍃𐌾𐌰𐌽 	 nasɕen	nase 	√Not	 save
𐌽𐌰𐍄𐌾𐌰𐌽 	 natɕen	nate 	näßen, nass, benetzen	 wet
𐌽𐌴𐍈𐌾𐌰𐌽 	 newɕen	newhe 	nähern	 approach
𐌽𐌹𐌼𐌰𐌽 	 nιmen	nιme 	nehmen	 accept,receive,assume,catch
𐌽𐌹𐌿𐍄𐌰𐌽 	 nιuten	nιute 		 reach,obtain,enjoy
𐌾𐌹𐌿𐌺𐌰𐌽 	 ɕιuken	ɕιuke 	zanken!	 fight,quarrel,overcome
𐌿𐌽𐌲𐌰𐌷𐌰𐌱𐌰𐌽 	 ungaḫaben	ungaḫabe 	ungehaben?	 incontinent,unrestrained
𐌿𐌽𐌲𐌰𐌻𐌰𐌿𐌱𐌾𐌰𐌽 	 ungaløbɕen	ungalaube 	unglaube++	 distrust,disbelieve
𐌿𐌽𐌸𐌰𐌸𐌻𐌹𐌿𐌷𐌰𐌽 	 unƌaƌlιuḫen	unƌaƒlιuḫe 	entfliehen!	 escape
𐌿𐌽𐍃𐍅𐌴𐌹𐌱𐌰𐌽 	 unsweιben	unsveιbe 	entschweben;)	 continue,cease
𐌿𐌽𐍃𐍅𐌴𐍂𐌰𐌽 	 unsweren	unsvere 	un.schwören?	 dishonour,denigrate
𐌿𐌽𐍅𐌴𐍂𐌾𐌰𐌽 	 unwerɕen	unvere 		 displeased,annoyed
𐌿𐍂𐍂𐌰𐌹𐍃𐌾𐌰𐌽 	 urraιsɕen	urraιse 	an.reißen arise	 raise
𐌿𐍂𐍂𐌴𐌹𐍃𐌰𐌽 	 urreιsen	urreιse 	arise	 arise
𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽 	 urrιnnen	urrιnne 	a'rennen herrennen?	 go,forth,out,come,out,arise
𐌿𐍃𐌰𐌲𐌻𐌾𐌰𐌽 	 ausaglɕen	agle 	auslaugen?	 exhaust,weary,bruise
𐌿𐍃𐌱𐌿𐌲𐌾𐌰𐌽 	 ausbugɕen	buge 	ausbuchen, buye!	 buy,redeem
𐌿𐍃𐌱𐍂𐌰𐌹𐌳𐌾𐌰𐌽 	 ausbraιdɕen	braιde 	ausbreiten > spreaden +	 spread out
𐌿𐍃𐌲𐌰𐌲𐌲𐌰𐌽 	 ausgangen	gange 	ausgang: ausgehen	 go,out,go,forth
𐌿𐍃𐌲𐌹𐌱𐌰𐌽 	 ausgιben	gιbe 	ausgeben aufgeben give-up	 reimburse,repay,give up
𐌿𐍃𐌲𐍂𐌰𐌱𐌰𐌽 	 ausgraben	grabe 	ausgraben++	 dig out
𐌿𐍃𐌳𐍂𐌴𐌹𐌱𐌰𐌽 	 ausdreιben	dreιbe 	austreiben drive out	 drive,expel
𐌿𐍃𐌵𐌹𐍃𐍄𐌾𐌰𐌽 	 auschrιstɕen	cιste 	aus.christen! <<	 destroy
𐌿𐍃𐌷𐌰𐌹𐍄𐌰𐌽 	 ausḫaιten	ḫaιte 	'ausheißen' <	 provoke,challenge
𐌿𐍃𐌷𐍂𐌰𐌼𐌾𐌰𐌽 	 ausḫramɕen	ḫrame 	ausramen ⼌ ?	 crucify
𐌿𐍃𐌷𐍂𐌹𐍃𐌾𐌰𐌽 	 ausḫrιsɕen	ḫrιse 	ausrascheln?	 shake off
𐌿𐍃𐌸𐍂𐌹𐌿𐍄𐌰𐌽 	 ausƌrιuten	ƒrιute 	ƌrιuter~torture @ Druid? <<	 harass,torment
𐌿𐍃𐌸𐍂𐍉𐌸𐌾𐌰𐌽 	 ausƌruƌɕen	ƒrōƒe 	austrotten 🐎? ~austragen?	 drill,train
𐌿𐍃𐌺𐌴𐌹𐌽𐌰𐌽 	 auscheιnen	keιne 	auskeimen	 sprout,germinate
𐌿𐍃𐌻𐌰𐌹𐍃𐌾𐌰𐌽 	 auslaιsɕen	laιse 	auslesen < lesson!	 train,teach,thoroughly,educate
𐌿𐍃𐌻𐌿𐍄𐍉𐌽 	 ausluten	lute 	~auslocken ~ausloten ƒ	 deceive,seduce
𐌿𐍃𐌽𐌹𐌼𐌰𐌽 	 ausnιmen	nιme 	(her)ausnehmen	 take,out,remove
𐌿𐍃𐍃𐌰𐌹𐍈𐌰𐌽 	 aussaιwen	saιwhe 	aussehen sehen	 look up
𐌿𐍃𐍃𐌰𐌽𐌳𐌾𐌰𐌽 	 aussandɕen	sande 	aussenden	 send,out
𐌿𐍃𐍃𐌹𐌲𐌲𐍅𐌰𐌽 	 aussιngwen	sιngve 	aussingen 🤍	 read,recite
𐌿𐍃𐍃𐌹𐍄𐌰𐌽 	 aussιten	sιte 	aufsitzen!	 sit up
𐌿𐍃𐍃𐍄𐌰𐌽𐌳𐌰𐌽 	 ausstanden	stande 	aufstehen up-standing	 arise,stand up,emerge
𐌿𐍃𐍃𐍉𐌺𐌾𐌰𐌽 	 aussukɕen	sōke 	aussuchen 🤍 a'seek	 seek,examine,judge
𐌿𐍃𐍄𐌹𐌿𐌷𐌰𐌽 	 austιuḫen	tιuḫe 	aus~ziehen aus…tücken?	 lead,drive,out,finish,fulfil
𐌿𐍃𐍅𐌰𐌷𐍃𐌾𐌰𐌽 	 auswaḫsɕen	vaḫse 	auswachsen ++	 mature,adult
𐌿𐍃𐍅𐌰𐌹𐍂𐍀𐌰𐌽 	 ausweιrpen	vaιrpe 	auswerfen ++	 cast,away,eject,expel,reject
𐌿𐍃𐍆𐌹𐌻𐌷𐌰𐌽 	 ausfιlḫen	fιlḫe 	ausfüllen? as'bury 𐍆𐌹𐌻𐌷~bury (old reading)	 bury
𐌿𐍃𐍆𐌿𐌻𐌻𐌽𐌰𐌽 	 ausfullnen	fullne 	ausfüllen, fill	 full,fill up
𐌿𐍃𐍆𐌿𐌻𐌻𐌾𐌰𐌽 	 ausfullɕen	fulle 	erfüllen! @falk🦅?	 fulfill,accomplish,complete,fill,supply,comprehend,encompass,comprise,oldwikisource:Gothic_Bible_in_Ulfilan_Gothic_Script#XIII._3|Romans 13:9
𐌿𐍄𐌲𐌰𐌲𐌲𐌰𐌽 	 utgangen	outgange 	ausgehen out-going+	 go,out,exit
𐌿𐍆𐌰𐍂𐌲𐌰𐌲𐌲𐌰𐌽 	 übergangen	overgange 	 übergehen, vergehen, overgoing	 go,too,far,transgress
𐌿𐍆𐌰𐍂𐌼𐌿𐌽𐌽𐍉𐌽 	 übermunnen	overmunne 	≠übermannen over.mind	forget
𐌿𐍆𐌰𐍂𐍃𐍅𐌰𐍂𐌰𐌽 	 übersweren	oversvare 	forswear+	forswear
𐌿𐍆𐌰𐍂𐍅𐌰𐌷𐍃𐌾𐌰𐌽 	 überweḫsɕen	overvaḫse 	überwachsen++	 grow
𐌿𐍆𐌰𐍂𐍅𐌹𐍃𐌰𐌽 	 überwesen	overvιse 	überwesen! <> supervise	 be,superior,exceed
𐌿𐍆𐌲𐍂𐌰𐌱𐌰𐌽 	 abgraben	of-grabe 	up-graben auf-graben up-grave:dig	 dig up,unearth,excavate
𐌿𐍆𐌷𐌰𐌿𐍃𐌾𐌰𐌽 	 abḫausɕen	of-ḫause 	 abḫø~obey!	 obey,heed
𐌿𐍆𐌷𐌻𐍉𐌷𐌾𐌰𐌽 	 abḫluḫɕen	of-ḫlōḫe 	abluchsen ab-lachen laugh-of	 laugh
𐌿𐍆𐌷𐍂𐍉𐍀𐌾𐌰𐌽 	 abḫrupɕen	of-ḫrōpe 	ab.crypen aus-rufen	 cry,shout
𐌿𐍆𐌺𐌿𐌽𐌽𐌰𐌽 	 abkunnen	of-kunne 	erkennen	 know,discover,perceive,find out
𐌿𐍆𐍃𐌻𐌹𐌿𐍀𐌰𐌽 	 abslιupen	of-slιupe 	schlüpfen	 sneak
𐌿𐍆𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽 	 absträuɕen	of-straue 	abstreuen, bestreuen! <> abspreizen	 strew,spread
𐌿𐍆𐍃𐍅𐍉𐌲𐌾𐌰𐌽 	 abswugɕen	of-svōge 		 sigh,groan
𐍀𐌻𐌹𐌽𐍃𐌾𐌰𐌽 	 plιnsɕen	plιnse 	𓃀 𓏴 𓀤!	 dance
𐍀𐍂𐌰𐌿𐍆𐌴𐍄𐌾𐌰𐌽 	 prøfetɕen	praufete 	prophezeihen++	 prophesy
𐍂𐌰𐌲𐌹𐌽𐍉𐌽 	 ragιnen	ragιne 	(ab)rechnen@Regent	 rule,ruler,advise,counsel
𐍂𐌰𐌷𐌽𐌾𐌰𐌽 	 raḫnigen	raḫne 	rechnen,  reckon	 reckon,count,consider,evaluate
𐍂𐌰𐌹𐍃𐌾𐌰𐌽 	 raιsɕen	raιse 	reißen,  raise	 raise
𐍂𐌰𐌿𐍀𐌾𐌰𐌽 	 røpɕen	raupe 	rupfen => rauben, rob	 pick,pluck
𐍂𐌴𐌹𐌺𐌹𐌽𐍉𐌽 	 reιkιnen	reιkιne 	rechnen@Reich,Regeln,Regent	 rule,govern
𐍂𐌹𐌲𐌽𐌾𐌰𐌽 	 rιgnigen	rιgne 	regnigen > regnen > rain(ing)	 rain
𐍂𐌹𐌵𐌹𐌶𐌾𐌰𐌽 	 rιkrιzɕen	rιcιshe 	> lacrice, krisis, grays 𓎼 𓂋 𓎛 𓇰 	 dark,darken
𐍂𐌹𐌺𐌰𐌽 	 rιken	rιke 	recken,reach?	 heap
𐍂𐌹𐌽𐌽𐌰𐌽 	 rιnnen	rιnne 	rennen	 run,flow
𐍂𐍉𐌳𐌾𐌰𐌽 	 rudɕen	rōde 	reden! 𐍂𐍉𐌳𐌾𐌰𐌽 	 speak,talk
𐍃𐌰𐌹𐌰𐌽 	 saιen	saιe 	säen	 sow
𐍃𐌰𐌹𐍈𐌰𐌽 	 saιwen	saιwhe 	sehen	 see
𐍃𐌰𐌺𐌰𐌽 	 saken	sake 	zicken, zanken <> 𐌾𐌹𐌿𐌺𐌰𐌽 	 dispute,quarrel,rebuke
𐍃𐌰𐌻𐌱𐍉𐌽 	 salben	salbe 	salben, salvation	 anoint
𐍃𐌰𐌻𐌾𐌰𐌽 	 salɕen	sale 	saalen™ <> sell?	 lodge,guest
𐍃𐌰𐌼𐌾𐌰𐌽 	 samɕen	same 	sänftigen?	 please,agreeable
𐍃𐌰𐌽𐌳𐌾𐌰𐌽 	 sandɕen	sande 	senden	 send
𐍃𐌰𐍄𐌾𐌰𐌽 	 satɕen	sate 	setzen, set	 set
𐍃𐌹𐌲𐌲𐍅𐌰𐌽 	 sιngwen	sιngve 	singen	 sing,recite
𐍃𐌹𐌲𐌵𐌰𐌽 	 sιnkren	sιgce 	sinken < Senker ⚓𓋹	 sink,set
𐍃𐌹𐌳𐍉𐌽 	 sιden	sιde 	sit&recite ?	 practice,meditate
𐍃𐌹𐌻𐌳𐌰𐌻𐌴𐌹𐌺𐌽𐌰𐌽 	 sιldaleιknen	sιldaleιkne 	seldom.liken <> sonderlichen	 marvel,admire
𐍃𐌹𐌻𐌳𐌰𐌻𐌴𐌹𐌺𐌾𐌰𐌽 	 sιldaleιkɕen	sιldaleιke 	seldom.liken <> sonderlichen	 marvel,wonder,amaze
𐍃𐌹𐌿𐌺𐌰𐌽 	 sιuken	sιuke 	sick <> schlecht 𐍃𐌹𐌿𐌺𐌰 <> sink	 sick
𐍃𐌹𐍀𐍉𐌽𐌾𐌰𐌽 	 sιpunigen	sιpōne 	𓋴 𓃀 𓄿 𓇼 𓇳 !!  𓌞 𓅱 𓂻 𓀀  !! 𓋴 𓃀 𓇼 𓏛	 disciple,student
𐍃𐌹𐍄𐌰𐌽 	 sιten	sιte 	sitzen 𐍃𐌰𐍄𐌾𐌰𐌽 setzen, 𐍃𐌹𐍄	 sit
𐍃𐌺𐌰𐌱𐌰𐌽 	 schaben	shabe 	 schaben ~ shave	 shave,shear
𐍃𐌺𐌰𐌹𐌳𐌰𐌽 	 schaιden	shaιde 	scheiden > set!?	 separate,divide,put,asunder,set,variance,cause,dissension,depart,divorce
𐍃𐌺𐌰𐌻𐌺𐌹𐌽𐍉𐌽 	 schalkιnen	shalkιne 	schalken™ < servquen	 serve
𐍃𐌺𐌰𐌼𐌰𐌽 	 schamen	shame 	schämen shame 	 be ashamed
𐍃𐌺𐌴𐌹𐌽𐌰𐌽 	 scheιnen	sheιne 	scheinen shine	 shine
𐍃𐌺𐌿𐌻𐌰𐌽 	 schulen	shule 	 schulden! schulle;)	 owe,indebted,have to,obliged,shall,will
𐍃𐌻𐌰𐌷𐌰𐌽 	 slaḫen	slaḫe 	schlagen! schlachten <> slap	 hit,strike,smite
𐍃𐌻𐌰𐍅𐌰𐌽 	 slawen	slave 	schlafen, slow	 keep quiet,still
𐍃𐌻𐌴𐍀𐌰𐌽 	 slepen	slepe 	schlafen, sleep	 sleep
𐍃𐌻𐌹𐌿𐍀𐌰𐌽 	 slιupen	slιupe 	schlüpfen, slip(through)	 sneak,creep
𐍃𐌽𐌹𐌿𐌼𐌾𐌰𐌽 	 snιumɕen	snιume 	schnell sausen?	 hurry,rush
𐍃𐌽𐌹𐍅𐌰𐌽 	 snιwen	snιve 		 go,go away,leave,strive,come upon
𐍃𐌿𐌽𐌾𐍉𐌽 	 sunigen	sunɕe 	showing?	 vindicate,defend,true,show
𐍃𐍀𐌹𐌻𐌻𐍉𐌽 	 spιllen	spιlle 	spell <> tell	 narrate,relate,bring,tidings,of
𐍃𐍀𐌹𐌽𐌽𐌰𐌽 	 spιnnen	spιnne 	spinnen  spin	 spin
𐍃𐍄𐌰𐌹𐌽𐌾𐌰𐌽 	 staιnigen	staιne 	steinigen++,  stone	 stone
𐍃𐍄𐌰𐌽𐌳𐌰𐌽 	 standen	stande 	stehen,  stand	 stand
𐍃𐍄𐌰𐌿𐍄𐌰𐌽 	 støten	staute 	? <> stab, töten	 punch,hit,slap
𐍃𐍄𐌴𐌹𐌲𐌰𐌽 	 steιgen	steιge 	steigen <> stair	 climb,ascend
𐍃𐍄𐌹𐌲𐌵𐌰𐌽 	 stιnkren	stιgce 	stänkern <> zank^^	 clash
𐍃𐍄𐌹𐌻𐌰𐌽 	 stιlen	stιle 	stehlen, steal	 steal
𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽 	 sträuɕen	straue 	streuen,  strew	 strew
𐍃𐍄𐍉𐌾𐌰𐌽 	 stuɕen	stōe 	<?> stauen, stow <> Stoa, Störte?	 judge
𐍃𐍅𐌰𐍂𐌰𐌽 	 sweren	svare 	schwören,  swear	 swear,oath
𐍃𐍅𐌴𐌹𐌱𐌰𐌽 	 sweιben	sveιbe 	scheben, scheifen? (ƒ=>)	 cease,finish
𐍃𐍅𐌴𐍂𐌰𐌽 	 sweren	svere 	schwören (auf),  swear	 honour
𐍃𐍅𐌹𐌲𐌻𐍉𐌽 	 sweglen	svιgle 		 flute
𐍃𐍅𐌹𐌻𐍄𐌰𐌽 	 swelten	svιlte 	<>welken?	 die
𐍃𐍅𐍉𐌲𐌰𐍄𐌾𐌰𐌽 	 swugatɕen	svōgate 		 sigh,groan
𐍃𐍉𐌺𐌾𐌰𐌽 	 sukɕen	sōke 	suchen, seeke	 seek,dispute
𐍄𐌰𐌲𐍂𐌾𐌰𐌽 	 tagrɕen	tagre 	zergram?	 weep
𐍄𐌰𐌷𐌾𐌰𐌽 	 taḫɕen	taḫe 	ziehen	 tear,rend
𐍄𐌰𐌻𐌶𐌾𐌰𐌽 	 talzɕen	talshe 	talk > teach Talmud zeigen	 teach
𐍄𐌰𐌿𐌾𐌰𐌽 	 tøɕen	taue 	tuen, do	 do,make
𐍄𐌴𐌺𐌰𐌽 	 teken	teke 	touch textiles (Decken) <> attack attach	 touch
𐍄𐌹𐌼𐌱𐍂𐌾𐌰𐌽 	 tιmbrɕen	tιmbre 	timbern > zimmern++	 build,construct,strengthen,edify
𐍄𐌹𐌼𐍂𐌾𐌰𐌽 	 tιmrɕen	tιmre 	zimmern ^^ 𐍄𐌹𐌼𐌱𐍂𐌾𐌰𐌽 	 build,construct,strengthen,edify
𐍄𐌹𐌿𐌷𐌰𐌽 	 tιuḫen	tιuḫe 	ziehen till tear traction…	 pull,draw,drag,lead
𐍄𐌿𐌶𐍅𐌴𐍂𐌾𐌰𐌽 	 tuzwerɕen	tushvere 	~~doubt	doubt,disbelieve
𐍄𐌿𐌻𐌲𐌾𐌰𐌽 	 tulgɕen	tulge 	stärken!	 reinforce,establish,confirm
𐍄𐍂𐌰𐌿𐌰𐌽 	 trauen	traue 	 trauen	 trust,rely,confide
𐍄𐍅𐌴𐌹𐍆𐌻𐌾𐌰𐌽 	 tweιflɕen	tveιfle 	zweifeln++	 doubt
𐍄𐍅𐌹𐍃𐍃𐍄𐌰𐌽𐌳𐌰𐌽 	 twesstanden	tvιsstande 		 leave,depart,separate
𐍅𐌰𐌲𐌾𐌰𐌽 	 wegɕen	vage 	wogen++, wackeln, wage?	 shake,move
𐍅𐌰𐌷𐍃𐌾𐌰𐌽 	 waḫsɕen	vaḫse 	wachsen++	 grow
𐍅𐌰𐌹𐌰𐌽 	 weιen	vaιe 	wehen	 blow
𐍅𐌰𐌹𐌻𐌰𐌼𐌴𐍂𐌾𐌰𐌽 	 weιlamerɕen	vaιlamere 	well.merchan well.emerge well.marking <<	 evangelize,preach,tiding
𐍅𐌰𐌹𐍂𐌸𐌰𐌽 	 weιrƌen	vaιrƒe 	werden	 become,happen,come to pass
𐍅𐌰𐌹𐍂𐍀𐌰𐌽 	 weιrpen	vaιrpe 	werfen	 throw
𐍅𐌰𐌺𐌰𐌽 	 weken	vake 	wachen, wecken, watchen	 stay,awake,watch,keep,alert
𐍅𐌰𐌻𐌳𐌰𐌽 	 walden	valde 	walten@Wald	 guide,rule,suffice
𐍅𐌰𐌻𐌾𐌰𐌽 	 welɕen	vale 	'welchen' ? ;) 	 choose,select
𐍅𐌰𐌻𐍄𐌾𐌰𐌽 	 weltɕen	valte 	welt 🌍 <> falten	 roll,thrash,tumble
𐍅𐌰𐌽𐌳𐌾𐌰𐌽 	 wendɕen	vande 	wenden	 turn
𐍅𐌰𐌾𐌰𐌼𐌴𐍂𐌾𐌰𐌽 	 weɕamerɕen	vaɕamere 	wehe!markieren woe.merchan 	 blaspheme,slander
𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽 	 weurkɕen	vaurke 	werken, work	 work,make
𐍅𐌰𐍂𐌼𐌾𐌰𐌽 	 wermɕen	varme 	wärmen, warm	 warm,cherish
𐍅𐌰𐍂𐌾𐌰𐌽 	 werɕen	vare 	währen!	 forbid
𐍅𐌰𐍃𐌾𐌰𐌽 	 wesɕen	vase 	westen, fashion!	 clothe,wear,clothed
𐍅𐌴𐌹𐌷𐌰𐌽 	 weιḫen	veιḫe 	weihen	 hallow,consecrate
𐍅𐌴𐌹𐌷𐌽𐌰𐌽 	 weιḫnen	veιḫne 	weinen <> weihen?	 hallowed,sanctified
𐍅𐌴𐌹𐍀𐌰𐌽 	 weιpen	veιpe 	<>winden?	 wreathe,crown
𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌾𐌰𐌽 	 weιtwudɕen	veιtvōde 	wit.worden witness	 testify,witness
𐍅𐌴𐌽𐌾𐌰𐌽 	 wenigen	vene 	<<	 await,expect,hope
𐍅𐌹𐌸𐍂𐌰𐌲𐌰𐌼𐍉𐍄𐌾𐌰𐌽 	 weƌragamutɕen	vιƒragamōte 	weiter?ge.meeting	 meet
𐍅𐌹𐌻𐌾𐌰𐌽 	 welɕen	vιle 	wollen will	 want
𐍅𐌹𐌻𐍅𐌰𐌽 	 welwen	vιlve 	welfen wilwan™ < werfen?	 take,force,rob,raven
𐍅𐌹𐌽𐌽𐌰𐌽 	 wennen	vιnne 	weinen, flennen, wehen	 suffer
𐍅𐌹𐍃𐌰𐌽 	 wesen	vιse 	(ge)wesen	 be
𐍅𐌹𐍄𐌰𐌽 	 weten	vιte 	wissen, wit	 know
𐍅𐌻𐌰𐌹𐍄𐍉𐌽 	 wlaιten	vlaιte 	herleiten? *looken <> verleiten?	 look
𐍅𐍂𐌰𐌺𐌾𐌰𐌽 	 wrakɕen	vrake 	wrack? gerechten@Richter	 persecute
𐍅𐍂𐌰𐍄𐍉𐌽 	 wraten	vrate 	verreisen	 travel
𐍅𐍂𐌹𐌺𐌰𐌽 	 wrιken	vrιke 	…richten	 persecute
𐍅𐍂𐍉𐌷𐌾𐌰𐌽 	 wruḫɕen	vrōḫe 	𐍅𐍂 special ortho?	 accuse
𐍅𐍉𐍀𐌾𐌰𐌽 	 wupɕen	vōpe 	rufen	 cry out,lament,weep
𐍆𐌰𐌲𐌹𐌽𐍉𐌽 	 fagιnen	fa𐌲ιnen	freuen?  <> felix verrennen?	 rejoice
𐍆𐌰𐌷𐌰𐌽 	 faḫen	faḫe 	fangen, fetchen	 catch
𐍆𐌰𐌹𐌰𐌽 	 faιen	faιe 	fehlen <> finden 非 fēi	 blame,find,fault
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐌲𐌰𐌽 	 faιḫugeιgen	faιḫugeιge 	<<<<	 covet
𐍆𐌰𐌹𐍂𐌰𐌹𐌷𐌰𐌽 	 veraιḫen	faιraιḫe 		 share,partake,participate
𐍆𐌰𐌹𐍂𐌲𐍂𐌴𐌹𐍀𐌰𐌽 	 vergreιpen	faιrgreιpe 	ergreifen!	 grasp,take hold
𐍆𐌰𐌹𐍂𐌷𐌰𐌹𐍄𐌰𐌽 	 verḫaιten	faιrḫaιte 	~verheißen	 express
𐍆𐌰𐌹𐍂𐌹𐌽𐍉𐌽 	 verιnen	faιrιne 	?	 accuse,blame,attack
𐍆𐌰𐌹𐍂𐍂𐌹𐌽𐌽𐌰𐌽 	 verrιnnen	faιrrιnne 	vorrennen?	 reach,stretch,achieve
𐍆𐌰𐌹𐍂𐍅𐌰𐌿𐍂𐌺𐌾𐌰𐌽 	 verweurkɕen	faιrvaurke 	erwirken	 gain
𐍆𐌰𐌹𐍂𐍅𐌴𐌹𐍄𐌾𐌰𐌽 	 verweιtɕen	faιrveιte 	ver.watchen	 stare,gaze
𐍆𐌰𐌻𐌸𐌰𐌽 	 falƌen	falƌe 	falten,  fold	 fold
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌲𐌲𐌰𐌽 	 vorgangen	fore-gange 	vergangen,  vorgehen	 precede,govern
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌰𐌹𐍄𐌰𐌽 	 vorgeḫaιten	fore-gaḫaιte 	~	 foretell,announce
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌷𐌿𐌲𐌾𐌰𐌽 	 vorgeḫugɕen	fore-gaḫuge 		 purpose,determine,make up one's mind
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽 	 vorgaleιken	fore-galeιke 	vorgelenkt?	 purpose
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽 	 vorgamanwɕen	fore-gamanve 	~~~vorweggenommen?	 prepare,ahead of time,make up,beforehand,preordain
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌼𐌴𐌻𐌾𐌰𐌽 	 vorgamelɕen	fore-gamele 	1. vor.ge.mailed 2. vorhermals !	 write,previously
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍂𐌴𐌳𐌰𐌽 	 vorgareden	fore-garede 	vorgeraten vorgeredet! 	 predestine
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐌽𐌳𐌾𐌰𐌽 	 vorgasandɕen	fore-gasande 	vorgesendet fortgesendet! versendet	 send,forth
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍃𐌰𐍄𐌾𐌰𐌽 	 vorgasatɕen	fore-gasate 	vorgesetzt (Zeit) ?	 present
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐍄𐌴𐌹𐌷𐌰𐌽 	 vorgateιḫen	fore-gateιḫe 	vorgezeichen profezeihen vorzeigen 	 foretell
𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌸𐌰𐌽 	 vorkrιƌen	fore-cιƒe 	™	 prophesy
𐍆𐌰𐌿𐍂𐌰𐌵𐌹𐌼𐌰𐌽 	 vorkrιmen	fore-cιme 	vorher kommen (zu)vor kommen	 go,before
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌽𐍅𐌾𐌰𐌽 	 vormanwɕen	fore-manve 	vor.manövern	 prepare
𐍆𐌰𐌿𐍂𐌰𐌼𐌴𐌻𐌾𐌰𐌽 	 vormelɕen	fore-mele 	vermelden?	 set forth,exhibit
