41	husband 		^^ man = Macker భర్త bharta@ROM	మొగుడు (moguḍu), భర్త (bharta), పెనిమిటి (penimiṭi) 	+?	கணவன் (kaNavan) 	കെട്ടിയവൻ (/keʈʈijaʋan/), മണവാളൻ (/maɳaʋaːɭan/) (bridegroom) 	ಗಂಡ (gaṇḍa)	𓉔 𓂸, 𓎟 𓀀, 𓌢𓈖𓀀	?						𒁉𒌍𒈾𒀸 (pesnas) (gen. sg.)	persona	𒍣𒋾𒅖 (zītis)	zẽtera=wife!	𓌢 𓈖 𓏏 𓁐	 	 	 
42	mother 	அம்மா (ammā)	Mama Amme	అమ్మ (amma), తల్లి (talli) 	++	அம்மா (ammā) 	അമ്മ (/amma/), തള്ള (/t̪aɭɭa/) 	ಅಮ್ಮ (amma), ತಾಯಿ (tāyi)	𓅐 𓏏 𓁐, 𓄟 𓋴 𓏏 𓁒, 𓂠 𓏏 𓁐, 𓂸 𓏏 𓁐, 𓅐 𓂋 𓏏 𓁐?	√? 𓅐 𓏏 𓁐 •Amathayi	am-ma	✓✓	ammaa		√	𒀭𒈾𒀸 (annas)	Ammen	𒀀𒀭𒉌𒅖 (ānnis)	Annaith!		 	 	 
43	father 	அப்பா (appā)  	Papa t’andro	నాన్న (nānna), తండ్రి (tandri) 	++ -?	அப்பா (appā), தந்தை (thandhai) 	അച്ഛൻ (/at͡ʃt͡ʃʰan/), അപ്പൻ (/appan/), തന്ത (/t̪an̪t̪a/) 	ಅಪ್ಪ (appa), ತಂದೆ (tande)	𓇋 𓏏 𓆑 𓀀	√	at-ta, ad-da	✓ at͡ʃt͡ʃʰan			√√ atta / Opa	𒀜𒋫𒀸 (attas)	Vatta	𒋫𒀀𒋾𒅖 (tātis)	Daddy ++		 	 	 
44	animal 	விலங்கு (vilaṅku), மிருகம் (mirugam) 	"𓄛𓋹 Vieh.lank ~ vie.ank 𓄛𓋹
Vieh jungle Tierv"	జంతువు (jaMtuvu) 	?	விலங்கு (vilaṅku), மிருகம் (mirugam) 	 	ಪ್ರಾಣಿ (prāṇi)	𓄛   <> 𓂧𓂋𓄛 	/?						suppalas	? <<>>	𒄷𒌋𒄿𒋻𒊭 (huitarsa)	𒄷𒌋TIERe		 	 	 
45	fish 	மீன் (mīṉ)  maɕɕiː	Min ~ naun   చేప cēpa~fish -	చేప (cēpa) 	~+	மீன் (mīṉ) 	മീൻ (/miːn/) 	ಮೀನು (mīnu)	𓆑 𓏏 𓏏 𓅱, 𓂋 𓅓 𓆛 𓂻, 𓅱 𓎛 𓂝 𓆟	√? 𓂋 𓅓 𓆛 𓂻 •ramīṉ  ramaɕɕiː			maɕɕiː	মচ্ছ maccha mackerel maɕɕhiː		𒈦𒄷𒌋𒉿𒄿𒀀𒀸 (parḫūwayas) (gen. sg.)	*phaishunauwryas	-			 	 	 
46	bird 	പറവ (/paraʋa/)   పిట్ట (piṭṭa)  ɕuk>ಹಕ್ಕಿ hakki	bird, papagei, chick	పక్షి (pakṣi), పిట్ట (piṭṭa) 	+++	பறவை (paṟavai) 	കിളി (/kiɭi/), പറവ (/paraʋa/) 	ಹಕ್ಕಿ (hakki)	𓄿 𓏤, 𓄿 𓊪 𓂧 𓅬, 𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭, 𓅭, 𓅿	√! 𓄿 𓏤 hakki 𒀝 ak hawk	MUŠEN	™?	ɕuk	chick!		suwais (?)		-			 	 	 
47	dog 	కుక్క (kukka) நாய் (nāy) 	Kuan*2	కుక్క (kukka) 	~++ ?	நாய் (nāy) 	പട്ടി (/paʈʈi/), നായ (/n̪aːja/) 	ನಾಯಿ (nāyi)	𓍿 𓊃 𓅓 𓃡, 𓃛 𓅱 𓃡, 𓃛 𓅱 𓏮 𓊗 𓄛	√ cučam kukka	UR.lg	™?	kuɕak	𓍿 𓊃 𓃡		kuwas (?)	Khoun.da	Zuwanis <> zwinger?	cuan	𓎆𓎆𓍢?	 	 	 
48	louse 	పేను (pēnu) 	ϥⲉⲛⲧ 𓆑 𓈖 𓏏 [[𓆑]] worm (sic)	పేను (pēnu) 	<?>	பேன் (pēn) 	പേൻ (/peːn/) 	ಹೇನು (hēnu)	𓎡 𓏏 𓏏 𓆨	~ ϥⲉⲛⲧ 𓆑 𓈖 𓏏 louse=worm in …			boːɽ, boːɖ	"𓆑 ver, phyt ""vermin"""		-		-			 	 	 
49	snake 	పాము (pāmu) 	ϥⲉⲛⲧ 𓆑 𓈖 𓍿 [[𓆙]] snake phy.ma <> wurm?	పాము (pāmu) 	++?	பாம்பு (pāmpu), நாகம் (nāgam) 	പാമ്പ് (/paːmpɨ̆/) 	ಹಾವು (hāvu)	𓆑 𓈖 𓏏 𓆙, 𓆑 𓈖 𓍿 𓆙, 𓅭 𓇾 𓆙, 𓆓 𓂧 𓆑 𓏏 𓆙, 𓋴 𓍋 𓃀 𓏏 𓆙, 𓎛 𓆑 𓄫 𓅱 𓆙, 𓂋 𓂋 𓎡 𓎡 𓆙	√2 šīn ~ ϥⲉⲛⲧ 𓆑 𓈖 𓏏 ϥⲉⲛ ~ పాము pāmu	ši-in	✓ dužan	duːša 	𓆓 𓂧 𓆑 𓆙!! dužan 'sting' or Sanskrit dūṣa- 'poison'  duː(iː) 'tongue' <<<<		iluyanka	syanka snake	-			 	 	 
50	worm 	പുഴു (/puɻu/), വിര (/ʋiɾa/)	Pwurm puɻu ʋiɾa VER புழு (puzhu) <> pytho?	పురుగు (purugu) 	+++ <	புழு (puzhu) 	പുഴു (/puɻu/), വിര (/ʋiɾa/) 	ಹುಳ (huḷa)	𓆑 𓈖 𓍿 𓆙, 𓆓 𓂧 𓆑 𓏏 𓆙	√! 𓆑 •ʋiɾa puɻu 	*krmi-		puː	"പുഴു (/puɻu/), വിര (/ʋiɾa/)
"		-		-			 	 	 
51	tree 	చెట్టు (ceṭṭu) மரம் (maram) 	cedar 𒄑  𓎼 𓏏 <  𓍿 𓂋 𓏏 𓆭   2. 木 mùr	చెట్టు (ceṭṭu) 	++	மரம் (maram) 	മരം (/maɾam/), ചെടി (/t͡ʃeʈi/) (plant) 	ಮರ (mara)	1. 𓍲 𓈖 𓆭, 2. 𓏙 𓈎, 3. 𓂧 𓈎 𓂋 𓂷 𓈒 𓏥, 4. 𓅡 𓈎 𓆭 5. 𓆭 𓅓 𓆭 6. 𓆱 𓏏 𓏤 7. 𓈎 𓃀 𓆭		GIŠ.hu.sa	<> చెట్టు ceṭṭu 	draxt	@Persian		tāru	tree++	-			 	 	 
52	forest 	காடு (kāṭu)	cedar 𒄑	అడవి (aḍavi) 	^^	காடு (kāṭu) 	കാട് (/kaːʈɨ̆/) 	ಕಾಡು (kāḍu)	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭, 𓏠 𓏌 𓏌 𓏌 𓆮	<>	hu-sa					tiessar	treesam	-		森 3!	 	 	 
53	stick (of wood) 	కట్టె (kaṭṭe) కర్ర (karra)	cedar 𒄑 cut	కర్ర (karra), కట్టె (kaṭṭe) 	^^	குச்சி (kucci) 	വടി (/ʋaʈi/), കമ്പ് (/kampɨ̆/) (twig), കോൽ (/koːl/) (staff) 	ಕೋಲು (kōlu), ಕಡ್ಡಿ (kaḍḍi), ಬಡಿ (baḍi)	𓆱 𓏏 𓏤, 2. 𓂝 𓅓 𓂝 𓄿 𓏏 𓌚	√ 𓆱 𓏏 𓏤  ḫt ~ కట్టె kaṭṭe	ngiš	குச்சி kucci!?				𒉺𒀪𒄭𒅔 (paḫḫin) ?		winal			 	 	 
54	fruit 	പഴം (/paɻam/)  ఫలము (phalamu) 	Phrui Pflaume 👁	పండు (paNḍu), ఫలము (phalamu) 	+++	பழம் (paḻam) 	പഴം (/paɻam/), കായ്‌ (/kaːjɨ̆/) 	ಹಣ್ಣು (haṇṇu)	"𓉐 𓂋 𓏏 𓏯 𓌾 𓏥, 𓉐 𓂋 𓏏 𓂺 𓈓, 𓉐 𓂋 𓏏 𓍁 𓈓, 𓍁 𓂋 𓏏 , 2. 𓂋 𓂋  3. 𓏙 𓈎	4. 𓂧 𓄿 𓃀 𓆳 5. 𓇭 𓈒 𓏥fruit, seed "	√  paɻam paⁿḍu ⅔	bu-ur	✓✓ പഴം paɻam				sesan	sesamen!	𒀀𒆷𒀜𒋻𒊭 (alattarsa)	≠huitarsa <<<		 	 	 
55	seed 	കുരു (/kuɾu/), അരി (/aɾi/) 	vita corn 𓂋	విత్తనం (vittanaM) 	~++	விதை (vithai) 	വിത്ത് (/ʋit̪t̪ɨ̆/), കുരു (/kuɾu/), അരി (/aɾi/) 	ಬೀಜ (bīja), ಬಿತ್ತು (bittu)	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥,  𓂸 𓏏 𓏲 𓏏 𓂺 𓏥, 𓅓 𓏏 𓂺 𓅱 𓏏	√! 𓂋 അരി aɾi  𓂸 𓏏 𓏲 𓂺 𓏥 bittu!?	zišša		biʓ, tuxm ~ tuɣm 	seed; issue, offspring!!		warwalan	~fruit?	warwalan			 	 	 
56	leaf 	இலை (ilai) 	foil~leaf	ఆకు (āku) 	~+	இலை (ilai) 	ഇല (/ila/), ഓല (/oːla/) 	ಎಲೆ (ele)	𓇥 𓂋 𓆓 𓄔, 𓂝 𓂋 𓇋 𓇋 𓏏 𓆱, 𓄔 𓏤, 𓋴𓐟 𓄿 𓊪𓏏𓆰	√~? 			pan	Baluchi pan		hurpastas		-			 	 	 
57	root 	వేరు (vēru)[t]  < ಬೇರು (bēru)	bu.root <> 𓍯 𓄿 𓃀 𓆰	వేరు (vēru) 	~+	வேர் (vēr) 	വേര് (/ʋeːɾɨ̆/) 	ಬೇರು (bēru)	𓍯 𓄿 𓃀 𓆰, 𓏠𓈖𓇋𓇋𓏏𓆱, 𓆱𓇛, 𓇡 	√? 𓍯 𓄿 𓃀 𓆰 vēru bēru ~ far			gužɣ, bex,  roːta ~ roːt-k	base@Persian roːtag@Baluchi 		sūrkas		-			 	 	 
58	bark (of tree) 	బెరడు (beraḍu) 	bark ~ bardge	బెరడు (beraḍu) 	~++	பட்டை (pattai) 	മരത്തൊലി (/maɾat̪t̪oli/), പട്ട (/paʈʈa/) 	ತೊಗಟೆ (togaṭe)					ɕoːɖiː ~ ɕoːɖiːnk 			-		-			 	 	 
59	flower 	పువ్వు (puvvu), పుష్పము (puṣpamu) 	phlower 𓃀 𓆰	పువ్వు (puvvu), పుష్పము (puṣpamu) 	~++	பூ (pū), மலர் (malar) 	പൂവ് (/puːʋɨ̆/), പൂ (/puː/) 	ಹೂವು (hūvu)	𓆸 ⋍ 𓆹, 𓊃 𓈙 𓈖 𓆸,  𓇇𓆰, 𓇬𓈖𓃀, 𓃹𓈖𓃀𓆰, 𓁷 𓂋 𓂋 𓏏 𓆰, 		mi-ik-ki					alil	lily! lul@alban	-			 	 	 
60	grass 	గడ్డి (gaḍḍi) 	gradh ~ grass growth	గడ్డి (gaḍḍi) 	~++	புல் (pul) 	പുല്ല് (/pullɨ̆/), പുൽ- (/pul-/), പോച്ച (/poːt͡ʃt͡ʃa/) 	ಹುಲ್ಲು (hullu)	𓁸  𓏥  2.  𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥 		NGIŠ.IN.lg	™?	bey			wēlku	welken!	zuhris  *cnurus	草 cǎoris gras	𓍲𓈖𓏌𓏲𓁸	 	 	 
61	rope 	తాడు (tāḍu) கயிறு (kayiṟu) 	tau! Cord	తాడు (tāḍu), మోకు (mōku) 	~+	கயிறு (kayiṟu) 	കയറ് (/kajaɾɨ̆/), വള്ളി (/ʋaɭɭi/) (also vine) 	ನೇಣು (nēṇu)	𓁷 𓏤 𓍢, 𓂝 𓎛 𓍢, 𓇋 𓎛 𓍢, 𓍱 𓋴 𓍢 2. 𓈖 𓍇 𓏌 𓅱 𓎛 𓍢 		šama		cvit			ishimas	𓍿𓊃!	-		𓍿𓊃	 	 	 
62	skin (of a person) 	చర్మము(carmamu) 	Teil/Tol < leDer,  γδέρ κρέαma	తోలు (tōlu), చర్మము(carmamu) 	~+ <<	தோல் (tōl) 	തൊലി (/t̪oli/), തോല് (/t̪oːlɨ̆/) (hide), തോൽ (/t̪oːl/) (hide) 	ಚರ್ಮ (carma), ತೊಗಲು (togalu)	𓄛, 𓄚 𓈖 𓏏 𓄛, 𓄞 𓂧 𓅱, 2. 𓄟 𓋴 𓂓 𓄛 3. 𓃀 𓅡 𓄇 𓄛  	√ tōl 𓄛	ha-tin, KUŠ.MEŠ		sil	< തൊലി t̪oli		-		-			 	 	 
63	meat (as in flesh) 	கறி (kaRi)	Carne κρέα  mamf;)	మాంసం (māMsaM) 	~++	கறி (kaRi) 	ഇറച്ചി (/irat͡ʃt͡ʃi/) 	ಮಾಂಸ (māṃsa), ಬಾಡು (bāḍu)	𓄹, 𓇋 𓆑 𓄻 𓏥, 𓇋 𓅱 𓆑 𓄹 𓄹 𓄹, 𓄿 𓈙 𓂋 𓄹, 𓅨 𓂋 𓇋 𓄹		i-iš-ti	<>	suː	flesh		-		-			 	 	 
64	blood 	రక్తము (raktamu) குருதி (kuruthi)	^^ red adamu	రక్తము (raktamu), నెత్తురు (netturu) 	~+ <<	குருதி (kuruthi) 	ചോര (/t͡ʃoːɾa/) 	ರಕ್ತ (rakta), ನೆತ್ತರು (nettaru)	𓂐, 2. 𓂧 𓈙 𓂋 𓂐, 𓂧 𓈙 𓂋 𓅱 𓏯 3. 𓊃 𓈖 𓆑 𓅱 𓂐		sa-an		ditar			eshār	<<	āsharsa	<<		 	 	 
65	bone 	బొమికె (bomike)	bome	ఎముక (emuka), బొమికె (bomike), బొక్క (bokka) 	~++	எலும்பு (elumpu) 	എല്ല് (/ellɨ̆/) 	ಎಲುಬು (elubu)	𓌟 𓏤, 𓈎 𓋴 𓌟				aɖ 	osteo haɖ@Baluchi		hastāi	osteo!	𒄩𒀀𒀸𒊭 (hāssa)	<<		 	 	 
66	fat (noun) 	కొవ్వు (kovvu)	covfat  కొవ్వు (kovvu) 𓄡 𓊪 𓈖 𓃾 …	కొవ్వు (kovvu) 	~+	கொழுப்பு (koluppu) 	കൊഴുപ്പ് (/koɻuppɨ̆/) 	ಕೊಬ್ಬು (kobbu)	𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥, 𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  2. 𓈎 𓈖 𓐎  3. 𓄡 𓊪 𓈖 𓃾 …		NGIŠ.Ì.lg, ap-pi	✓ apig	ɕarpiː, piːg 	corp… grease, big pig 		sakan		-			 	 	 
67	egg 	முட்டை (muṭṭai)	egg/ei@mutheo  yumurta!	గుడ్డు (guḍḍu) 	~+	முட்டை (muṭṭai) 	മുട്ട (/muʈʈa/) 	ಮೊಟ್ಟೆ (moṭṭe)	𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎				baida	beide 𒉭 bead بَيْض bayḍ beitzá בֵּיצָה  بيضة bayḍa, bīḍa		-		-			 	 	 
68	horn 	ಕೊಂಬು (koṃbu)	khornm jambe  𓂝 𓃀 𓄏 𓏤	కొమ్ము (kommu) 		கொம்பு (kompu) 	കൊമ്പ് (/kompɨ̆/) 	ಕೊಂಬು (kombu)	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏,  𓂝 𓃀 𓄏 𓏤	√!? cheibe~koṃbu ?	qa-as-su		margh marɣ	<<		karāwar	khøren(er)	zurni  z<>c	khorn		 	 	 
69	tail 	తోక (tōka[l]) வால் ([t]vāl)	𓋴 𓂧 ⲥⲁⲧ cat | toca reverse	తోక (tōka) 	~?	வால் (vāl) 	വാല് (/ʋaːlɨ̆/), വാൽ- (/ʋaːl-/) 	ಬಾಲ (bāla), ತೋಕೆ (tōke)	1. 𓄜 2. 𓋴 𓂧 𓄢 3. 𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 , 𓐍 𓃀 𓊃 𓏏 𓄢  	√~ 𓄜 tail.qe tōke			liʈʈik, buʈoːr	leather butt bu.ʈoːr		sisai (?)		-					
70	feather (rather not down) 	ఈక (īka)  இறகு (iraku) 	ikarus [f]üka=fligh@TURK	ఈక (īka) 		இறகு (iraku) 	തൂവല് (/t̪uːʋalɨ̆/), തുവൽ- (/t̪uːʋal-/), പൂട (/puːʈa/) 	ಗರಿ (gari)	𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸				parra	fur		patar	phathar	-		𓇋	 	 	 
71	hair 			వెంట్రుకలు (veMṭrukalu), జుట్టు (juṭṭu) 	--- BODY PARTS ---	முடி (muṭi) 	മുടി (/muʈi/) (of head), പൂട (/puːʈa/) (of animal; not of head) 	ಕೂದಲು (kūdalu)	 𓎛, 𓁸𓏥, 𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥, 𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 		še-	✓/2 pu.še	puʈ, pužža	𓃀 𓂓 𓁸 Baluchi phut Buschel		tetanas	t…!? 𓁸 	𒋰𒉺𒀀𒉌𒅖 (tappānis)		𓁸	 	 	 
72	head 	తల (tala) 	Tall Teil tell?	తల (tala) 	<<	தலை (talai) 	തല (/t̪ala/), മുടി (/muʈi/) (from head hair) 	ತಲೆ (tale)	𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀, 		uk-ku	✓/2 uku™	kaːʈum	𓄂 𓏏 𓏤 Ḫeadt		harsar	heaδ𓎛	harmahis	hea𓎛		 	 	 
73	ear 	చెవి (cevi)	𓇥 𓂋 𓆓 𓄔  voce	చెవి (cevi) 	/	காது (kātu) 	ചെവി (/t͡ʃeʋi/), കാത് (/kaːt̪ɨ̆/) 	ಕಿವಿ (kivi)	1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔		si-ri	cervi?	xaf	<> చెవి cevi		istāman		𒌈𒈠𒀀𒀭 (tummān)	𓄕𓅓 sDm 	tu 𓄕!!	 	 	 
74	eye 	கண் (kaṇ) 	"AuGen / keyen  kàn 看 现	xian4"	కన్ను (kannu), నేత్రం (netram) 	<<	கண் (kaṇ) 	കണ്ണ് (/kaɳɳɨ̆/), കണ്‍- (/kaɳ-/), മിഴി (/miɻi/) 	ಕಣ್ಣು (kaṇṇu)	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  		el; el-ti		xan	现 xian4 <> kàn 看 √seein'		𒃲𒄭𒀀𒅖 (sakaui-is)	Seeyke Moykau!	tāwīs	tAugen 𓁹𓁹 		 	 	 
75	nose 	ముక్కు (mukku) 	mucus@noco~nose	ముక్కు (mukku) 		மூக்கு (mūkku) 	മൂക്ക് (/muːkkɨ̆/) 	ಮೂಗು (mūgu)	𓂊, 𓂉 𓏤, 𓈙 𓂋 𓏏 𓂉 𓄹, 𓆑 𓈖 𓂧 𓂉, 𓆑 𓈖 𓆓 𓐩 𓂉		*šim-	1/	baːmus	 *baː-must 'in front of the mouth' ?		tititan		-			 	 	 
76	mouth 	bâ, మూతి (mūti)  வாய் (vāy)	bâ.MOUTHi pheme PA@Semit నోరు (nōru) 𓂋 ore@lat!	నోరు (nōru), మూతి (mūti) 	+++ ~+! <<	வாய் (vāy) 	വായ (/ʋaːja/), വാ (/ʋaː/) 	ಬಾಯಿ (bāyi)	𓂋				bâ baː 	PA@Semit		ais, iss-	𓂋 arse, os	𒀀𒀀𒀸𒊭 (āssa)	𓂋 arse, os	𓂋	 	 	 
77	tooth (rather not molar) 	పన్ను (pannu)  (dantân)	pain;) 𓇋 𓃀 𓎛 𓄑 𓏤 ?  zwang zahn dent	పన్ను (pannu) 	<	பல் (pal) 	പല്ല് (/pallɨ̆/) 	ಹಲ್ಲು (hallu)	1. 𓄑 𓏤, 1b. 𓍿 𓊃 𓏏 𓄑 2. 𓇋 𓃀 𓎛 𓄑 𓏤 3. 𓈖 𓅘 𓎛 𓂧 	/	si-h-ha	sihan <>	dantân dandaːn	@Persian		gagas		-			 	 	 
78	tongue 	నాలుక (nāluka)	na.ⲗⲁⲥ 'licker’ [g]lisso 'snake’	నాలుక (nāluka) 	+?	நாக்கு (nākku) 	നാക്ക് (/n̪aːkkɨ̆/), നാവ് (/n̪aːʋɨ̆/), മൊഴി (/moɻi/) 	ನಾಲಗೆ (nālage)	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓	/	ti-ut	✓!	dûî duːiː ~ duviː	~ ++		lalas	longue lall;)	lālis			 	 	 
79	fingernail 	గోరు (gōru), நகம் (nagam)	Kralle>köröm Nagel	గోరు (gōru) 	+++	நகம் (nagam) 	 () 	ಉಗುರು (uguru)	𓋁 𓃀 𓌟 𓄹 𓏤, 𓂝 𓈖 𓏏 𓂷 	~ gōr ~ pūr	pu-ur	𓋁 𓃀 𓌟 𓄹 𓏤 గోరు gōru (pq)	ziːl			kaddu (?)		-			 	 	 
80	foot 		పాదము (pādamu), అడుగు (aḍugu) 	పాదము (pādamu), అడుగు (aḍugu) 	+++	அடி (adi), பாதம் 	അടി (/aʈi/), കാലടി (/kaːlaʈi/) 	ಅಡಿ (aḍi)	𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 	√	ba-at, pa-at	X	nat!!	na.aʈi അടി  Sindhi lat 'leg' naːta 'kick'		𒄊𒀸 (patas)	phot𒀸	𒉺𒋫𒀀𒀸 (patās)		𓃀𓃀	 	 	 
81	leg 	కాలు (kālu) 	Kehleg 	కాలు (kālu) 	:	கால் (kāl) 	കാല് (/kaːlɨ̆/), കാൽ- (/kaːl-/) 	ಕಾಲು (kālu)	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹							egdu	!	pārtas (?)	𒈦	𓃀	 	 	 
82	knee 	మోకాలు (mōkālu) 	Kehle	మోకాలు (mōkālu) 	~++?	மூட்டு (mooṭṭu) 	മുട്ട് (/muʈʈɨ̆/) 	ಮಂಡಿ (maṇḍi)	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾				goːɖ,  zaːn 	Sindhi goːɖoː,  pun-teaːi tuːɬ : bend-down		gēnu	genye ++	-			 	 	 
83	hand 	கை (kai)	khand, kaf, käsi@Uralic …	చెయ్యి (ceyyi), చేయి (cēyi) 	+++<<	கை (kai) 	കൈ (/kaɪ/) 	ಕೈ (kai)	𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩	√ kai, kaf < kirp	kir-pi (hands); ŠU.MEŠ, 	கை (kai) !	dû	𓂧 = 𓂞 hand = arm		kissar	! <<<>>>	𒄿𒅖𒊭𒊑𒅖 (īssaris)	ycheiros		 	 	 
84	wing 	இறக்கை (irakkai)	Icar = [Fl]ight @ TURK	రెక్క (rekka) 	<	இறக்கை (irakkai) 	ചിറക് (/t͡ʃiɾakɨ̆/) 	ರೆಕ್ಕೆ (rekke)	𓂧 𓈖 𓎛 𓆃, 𓂧 𓌳 𓏏 𓆃, 𓆓 𓈖 𓎛 𓆃, 𓂧 𓃀 𓄏	/			bâl			𒈦𒋫𒌋𒉿𒅈 (pártauwar), 𒁁𒋻 (páttar)	feather	aruti (ERR!)	𒁁𒋻 páttar	𓇋𓇋	 	 	 
85	belly 	పొట్ట (poṭṭa), కడుపు (kaḍupu)	pott=belly botton@SEM	పొట్ట (poṭṭa), కడుపు (kaḍupu) 	++;)	தொந்தி(tonthi) 	വയറ് (/ʋajaɾɨ̆/), വയർ (/ʋajaɾ/), പള്ള (/paɭɭa/), വട്ടി (/ʋaʈʈi/), പേറ്റ് (/peːrrɨ̆/) 	ಹೊಟ್ಟೆ (hoṭṭe)	"𓄡, 𓄡 𓏏 𓏤	, 𓄡 𓂂 𓏏"			√ piɖ ~ poṭṭa	piɖ	pot/bottom@Semite		sarhuwanz	𓄡Wanz!	-		𓄡	 	 	 
86	guts 			పేగులు (pēgulu) 	--- BODY PARTS ---	குடல் (kudal) 	കുടല് (/kuʈalɨ̆/), കുടൽ (/kuʈal/) 	ಕೆಚ್ಚು (keccu)	𓄤?							garates	gurt gut 	-		𓄤	 	 	 
87	neck 			మెడ (meḍa), కంఠం (kaMṭhaM) 	/	கழுத்து(kazhuthu) 	കഴുത്ത് (/kaɻut̪t̪ɨ̆/) 	ಕತ್ತು (kattu)	"𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿	 5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  "		ti-pi		lix	neck NL see leg		kuttar (?)		-			 	 	 
88	back 		vetral≠dorsal	వీపు (vīpu), వెన్ను (vennu) 	--	முதுகு (muthugu) 	പുറം (/puram/), മുതുകു് (/mut̪ukɨ̆/) 	ಬೆನ್ನು (bennu)	𓊪 𓊃 𓂧, 𓄻 𓄩 𓄦 𓄹, 𓊪 𓋴 𓆓 𓄪 𓄪 𓄪, 𓊪 𓂧 𓋴 𓅱 𓄪 𓏤, 𓇋 𓄿 𓏏 𓄦 𓏏 𓄻, 𓐟 𓏤, 𓐠 𓏤							iskis		-			 	 	 
89	breast 			చన్ను (cannu), స్తనము (stanamu) 	---	மார்பு (mārbu), (mulai) 	മുല (/mula/), അമ്മിഞ്ഞ (/ammiɲɲa/), നെഞ്ച് (/n̪ent͡ʃɨ̆/) (chest) 	ಮೊಲೆ (mole)	0. 𓏏𓏏 1. 𓃀 𓏏 𓄹, 𓃀 𓅌 𓏏,  𓅌 𓏏, 2. 𓈎𓄿𓃀𓏏𓄹, 3. 𓍲 𓈖 𓃀 𓏏 𓄹, 𓍲 𓈖 𓃀 𓅌 𓏏 𓂒, 4. 𓏠 𓈖 𓂧 𓂒		GABA.lg	✓ djabar!!	ɖoːbar	dud 2 breasto		tētan	Titten	tītan	Titten		 	 	 
90	heart 	ithayam 		గుండె (guMḍe) 	---, ~	உள்ளம் (uḷḷam), ithayam 	ചങ്ക് (/t͡ʃaŋkɨ̆/), കൂമ്പ് (/kuːmpɨ̆/), ഉള്ള് (/uɭɭɨ̆/) 	ಹೃದಯ (hṛdaya), ಗುಂಡಿಗೆ (guṇḍige)	𓎛 𓄿 𓏏 𓏮 𓄣, 𓄂 𓏏 𓏮 𓄣, 𓇉 𓏏 𓄣, 𓄣 𓏤, 𓄤 𓏤	𓄤 𓏤 gut, bueno guᵐḍe buni	bu-ni		hust	Hurts Herzt 	---	𒆠𒅕 (kir)	Coeur 	𒍝𒀀𒅈𒍝 (zārza)	ceartz Kerze		 	 	 
