 No 	English 	Latin 	Outliers	My PIE	Portuguese 	Spanish 	Catalan 	French 	Italian 	Romanian 	Lengadocian Occitan 	Gascon Occitan 	Romansh	Ticinese Lombard	?	Neapolitan 	Venetian	Sicilian	Maceratese Italian	Galician	Asturian	Aragonese	Catalan
105 	smell 	olēre, sentīre (to perceive a smell) 			cheirar 	oler 	olorar, ensumar 	sentir 	sentire 	a mirosi 	sentir 	sentir 	odurar, savurar	spuzà 	fèter 	puzzà 	spuzar 	sciaràri 	"odorà(""smell"",""sniff"")/odore(good smell)/puzzà(""reek"")/puzza-ppèsta(stink) "	cheirar 	goler, arrecender 	ulorar, fer ulor 	olorar, fer olor, ensumar 
106 	fear 	timēre 			temer 	temer 	témer 	craindre 	temere 	a se teme 	crénher 	crénher, témer 	temair	veg pagü`ra 	s'appahurà, appahurarse 	scantà 	gaver paura 	scantàrisi 	paùra(noun)/aècce paura(verb) 	temer, ter medo 	amedranar, tener mieu 	temer 	témer 
107 	sleep 	dormīre 			dormir 	dormir 	dormir 	dormir 	dormire 	a dormi 	dormir 	dormir 	durmir	dörmì 	ddurmì 	ddurmì 	dormir 	dòrmiri 	durmì 	durmir 	dormir 	adormir 	dormir 
108 	live 	vīvere 			viver 	vivir 	viure 	vivre 	vivere 	a trăi 	viure 	víver 	viver	vif 	campà 	vive 	viver 	campari 	vive, campà 	vivir 	vivir 	vivir 	viure 
109 	die 	morior 			morrer 	morir 	morir 	mourir 	morire 	a muri 	morir 	morir 	murir	murì 	murì 	murì 	morir, crepar 	mòriri 	murì/crepà 	morrer 	morrer 	morir 	morir 
110 	kill 	necāre, occidere 			matar 	matar 	matar 	tuer 	uccidere 	a ucide, a omorî 	tuar 	tuar 	mazzar	mazà, cupà 	accìrer 	accir' 	mazar, copar 	accìdiri, ammazzari 	mmazzà, ccoppà 	matar 	matar 	matar 	matar 
111 	fight 	pugnāre, luctor 			lutar 	luchar, puñar (obs.) 	lluitar 	lutter 	lottare 	a lupta 	se batre 	bàte's 	lutgar	[[]] 	fà a mazzate, cummattere 	se vatte 	[[]] 	cummàttiri 	lottà, commàtte, fà cagnàra, llicciàsse 	loitar 	lluchar 	luitar, lutiar 	lluitar 
112 	hunt 	vēnor, captāre (to hunt down / capture) 			caçar 	cazar 	caçar 	chasser 	cacciare 	a vâna 	caçar 	caçar 	chatschar	cascià 	caccià 	caccià 	[[]] 	cacciari 	jì a càccia, caccià 	cazar, cachar 	cazar 	cazar 	caçar 
113 	hit (beat) 	pellere, battuere 			golpear, bater 	golpear, batir 	colpejar, batre, colpir 	frapper, battre 	colpire, battere 	a bate, a lovi 	trucar, tustar 	trucar, tustar 	batter	[[]] 	vatter 	vatter 	bater 	cafuddàri 	dà na bbòtta, cchiappà 	bater 	bater, golpiar 	trucar 	colpejar, picar 
114 	cut 	secāre, curtāre, taliāre (vulg.) 			cortar 	cortar 	tallar 	couper 	tagliare 	a tăia 	talhar 	talhar 	tagliar	tajà 	tajà 	tajà 	tajar 	tagghiàri 	tajà 	cortar 	cortar 	tallar 	tallar 
115 	split 	partior, dividere, findere, scindere 			partir, dividir 	partir, dividir 	partir, dividir 	fendre, diviser 	fendere, dividere 	a frânge, a despica, a rupe, a spinteca 	partir, se dividir 	partir, dividí's 	fender	[[]] 	spàrter 	spart 	divider 	spartìri 	spartì 	partir, fender 	partir 	partir, estallar, troixar 	partir, dividir 
116 	stab 	traicere, pungere 			apunhalar, esfaquear 	apuñalar 	punyir, apunyalar 	poignarder 	pugnalare, accoltellare 	a înjunghia 	estocar, escanar 	estocar, escanar 	furar, punscher	sbögià 	bucà 	vucculià 	sbusar 	tagghiari 	ccortellà 	apuñalar 	apuñalar 	apunyalar 	apunyalar 
117 	scratch 	scalpere, rasicāre, rādere 			rascar, raspar, arranhar 	rascar, raspar, arañar 	rascar, gratar 	gratter 	grattare, graffiare 	a zgâria 	rascar, gratar 	arrascar, gratar 	sgratar	[[]] 	xippà 	graffià 	[[]] 	ciunnàri 	grattà, sgraffià 	rabuñar 	esgatuñar, raspiar 	arrascar, gratar 	gratar, rascar, esgarbatar 
118 	dig 	fodere, cavāre (to hollow out) 			cavar, escavar 	cavar, excavar 	cavar, excavar 	creuser 	scavare 	a săpa, a excava 	cavar 	cavar 	chavar, stgavar	scavà 	scavà 	scavà 	scavar 	[[]] 	scaà 	cavar 	cavar 	cavar, afoyar 	cavar, excavar 
119 	swim 	natāre 			nadar 	nadar 	nedar 	nager 	nuotare 	a înota 	nadar 	nadar 	nudar	[[]] 	notà, natà 	nutà 	nuotar 	natari 	notà 	nadar 	ñadar/nadar 	nadar 	nedar 
120 	fly 	volāre, exvolāre (vulg.) 			voar 	volar 	volar 	voler 	volare 	a zbura 	volar 	volar 	sgular	vulà 	vulà 	vulà 	svolar 	vulari 	volà 	voar 	volar, esñalar 	volar 	volar 
121 	walk 	gradior, ambulāre, vādere 			andar, caminhar 	caminar, andar 	caminar 	marcher, se promener (intrans.) 	camminare, andare (a piedi) 	a merge, umbla, se plimba (stroll) 	anar, caminar 	anar, marchar 	chaminar	caminà 	cammenà 	cammenà 	caminar 	caminari 	caminà 	andar, camiñar 	andar 	caminar 	caminar 
122 	come 	venīre 			vir 	venir 	venir, vindre 	venir 	venire 	a veni 	venir 	viéner, vir 	vegnir	vegnì 	venì 	benì 	vegnir 	vièniri 	vinì/venì 	vir 	venir 	venir 	venir 
123 	lie 	iacēre 			jazer 	yacer 	jeure 	gésir 	giacere 	a sta întins; a se culca, a se așeza 	jaire 	colcar 	giaschair	stravacà (giö`) 	cuccà 	corcà 	[[]] 	curcàrisi 	stènnese, corgàsse, slongàsse, slungàsse 	estar deitado 	echase 	chacer, estar-se chitau 	jeure 
124 	sit 	sedēre 			sentar 	sentarse (intrans.) 	asseure's (intrans.) 	s'asseoir (intrans.) 	sedere 	a sta jos, a ședea 	se sèire 	séde's 	seser	setà 	assettà 	assettà 	sentar 	assittàrisi 	méttese a sède 	sentar 	sentase 	posar-se; asentar-se 	seure 
125 	stand 	stāre 		stare stair still star!	estar (de pé) 	estar (parado/de pie), levantarse, pararse 	estar (dempeus) 	être (debout) 	stare (in piedi) 	a sta, a sta în picioare 	estar drech(a) 	estar dret(a) 	star	stà 	stà 	stà 	star 	stari 	stà 	estar de pé 	tar de pie 	estar-se de piet 	estar dret 
126 	turn 	vertere, gȳrāre, tornāre, torquēre 		torq, qyro, turn, in-vert > Wend	girar 	girar 	girar, tombar 	tourner 	girare 	a se întoarce 	virar 	virar, arrodar 	volver	girà 	avutà 	ggirà 	girar 	girari 	girà, svordà 	virar 	voltiar 	chirar 	girar 
127 	fall 	cadere 		𓐍 𓂋 𓀒 	cair 	caer 	caure 	tomber 	cadere 	a cădea 	caire, tombar 	càder 	crudar	burlà giö` 	carè 	carè 	cascar 	càriri 	cascà 	caer 	cayer 	cayer 	caure 
128 	give 	dare, dōnāre (to give a present) 		dar-reichen	dar 	dar 	donar, dar 	donner 	dare 	a da 	bailar, donar 	dar, donar 	dar	dà 	rà 	rà 	dar 	rari 	dà 	dar 	dar 	dar, donar 	donar 
129 	hold 	tenēre 	"sostener, soster, termar 	sofitar, amparar aguantar"	sustain sys.tension	"ter (means also ""to have"") "	"tener (means also ""to have""), sostener "	"tenir (means also ""to have""), aguantar "	tenir 	tenere 	a ține 	tenir 	tiéner, tier 	tegnair	tegnì 	tener 	tenè 	tener 	tèniri 	tené 	soster, termar 	sofitar, sostener 	sustener, amparar 	aguantar, sostenir 
130 	squeeze 	premere, comprimere, exprimere, stringere (tighten) 			apertar, comprimir, espremer 	apretar, comprimir, exprimir 	estrènyer, prémer 	presser, comprimer 	spremere, stringere 	a presa, a strânge, a comprima 	pressar 	prémer 	smatgar, squitschar	schiscià 	nzeppà 	ficcà 	strucar 	sprèmiri 	schiaccià, spreme, strigne, [[]] 	apertar 	apertar 	pretar 	apretar 
131 	rub 	fricāre 	"gratà 	rattà "	frotte friction	esfregar 	frotar, fregar 	fregar 	frotter, frayer (obs.) 	fregare, sfregare 	a freca, a fricționa 	fretar 	fretar 	sfruschar	gratà 	rattà 	rattà 	fregar 	stricari 	grattà 	fretar, fregar 	esfregar 	esfregar 	fregar 
132 	wash 	lavāre 		?	lavar 	lavar 	rentar, netejar 	laver 	lavare 	a la, a spăla 	lavar 	lavar 	lavar	lavà 	lavà 	lavà 	lavar 	lavari 	lavà, laà, rlaà 	lavar 	llavar 	lavar 	rentar, netejar 
133 	wipe 	tergēre, exsucāre, extergēre (to clean) 		/	enxugar 	restregar, enjugar 	eixugar 	essuyer 	asciugare 	a șterge 	eissugar 	eishugar, boishar 	sfruschar	sciügà 	axuttà, seccà 	seccà 	netar, sugar 	asciucàri 	pulì/sgrascià(when something is very dirty)/sfulinà(when something is very dusty)]] 	limpar, enxugar 	ensugar 	aixugar 	eixugar 
134 	pull 	trahere 	< tréger 	drag Traktor late latin	tirar 	tirar, halar, jalar (colloq.) 	estirar, tibar 	tirer 	tirare 	a trage 	tirar 	tirar, tréger 	trair	tirà 	tirà 	tirà 	tirar 	tiràri 	tirà 	tirar, turrar 	tirar 	estirar 	tirar 
135 	push 	pellere, urgere, pulsāre, impulsāre, impingere 	!!!	≠pull	empurrar 	empujar 	empènyer 	pousser 	spingere 	a împinge 	butar 	possar, honhar 	stuschar	[[]] 	vottà 	vottà 	spinger 	ammuttàri 	spìgne, spégne 	puxar, empurrar 	emburriar 	empentar, empuixar 	empènyer 
136 	throw 	iacere, iactāre, lanceāre (to throw a speer) 	bittar, a arunca arronçar 	ject, lance, slanzà schleuder	lançar 	lanzar, echar 	llançar 	jeter, lancer 	gettare, lanciare 	a arunca 	lançar 	arronçar 	bittar	slanzà 	jettà 	xttà 	butar, tirar 	jittari, jiccari 	tirà 	tirar, guindar, arrebolar 	llanzar 	chitar 	llançar, llençar 
137 	tie 	ligāre, stringere, aptāre (to fasten) 	<<<		atar 	atar 	lligar 	lier 	legare 	a lega 	estacar 	estacar 	liar	tie 	legà sü 	attaccà 	attaccà 	ligar 	ligari 	atar, amarrar 	atar 	atar 	ligar, piar 
138 	sew 	suere, cōnsuere 	co'suer coudre 	sewer?	coser 	coser 	cosir 	coudre 	cucire 	a coase 	coire 	còser 	cuser	seminà 	semmenà 	semmenà 	seminar 	cùsiri 	cuscì 	coser 	coser 	cusir 	cosir 
139 	count 	numerāre, computāre (count down / calculate) 	/	++	contar 	contar 	comptar 	compter 	contare 	a număra 	comptar 	condar 	quintar	cuntà 	cuntà 	cuntà 	contar 	cuntàri 	contà 	contar 	contar 	contar 	comptar 
140 	say 	dīcere 	rece ricer riri  a zice, a spune 	rede?	dizer 	decir 	dir 	dire 	dire 	a zice, a spune 	dire, díser 	díser 	dir	dì 	ricer 	rece 	diser 	riri 	dì 	dicir 	dicir 	decir, dir 	dir 
141 	sing 	canere, cantāre 	/	chanty singt	cantar 	cantar 	cantar 	chanter 	cantare 	a cânta 	cantar 	cantar 	chantar	cantà 	cantà 	cantà 	cantar 	cantàri 	cantà 	cantar 	cantar 	cantar 	cantar 
142 	play 	lūdere, iocor 	pazzià 	joker Luder	jogar 	jugar 	jugar 	jouer 	giocare 	a juca 	jogar 	jogar 	giugar	giugà 	pazzià 	xucà 	zogar 	jucari 	jocà, ghjiocà-lurzà, zurlà(referred to children) 	xogar, enredar 	xugar 	chugar 	jugar 
143 	float 	nāre, natāre 	flotar, surar 	*plew- πλέω float / sail	flutuar, boiar 	flotar 	flotar, surar 	flotter 	galleggiare 	a pluti 	flotar 	flotar 	flottar	[[]] 	[[]] 	[[]] 	[[]] 	[[]] 	galleggià 	flotar, aboiar 	flotar 	flotar 	flotar 
144 	flow 	"fluere, currere (in the sense of ""running water"") "	sculà scolar 		fluir 	fluir 	fluir 	couler 	fluire, scorrere 	a curge 	rajar 	arrajar 	fluir	sculà 	scòrrer 	scòrrer 	scolar 	scùrriri 	scorre, score-scolà 	fluír 	afluyir 	fluyir 	fluir 
145 	freeze 	gelāre, glaciāre (to become ice) 			gelar 	congelar, helar 	gelar, glaçar 	geler 	gelare, ghiacciare 	a îngheța 	gelar 	gelar 	schelar	gelà 	jaccià 	jaccià, ferrà 	jazar 	gilàri 	gelà, jaccià 	conxelar, xear 	xelar 	chelar, conchelar 	gelar, congelar 
146 	swell 	īnflāre 	coflar  < gonfler  hincharse	inflate latin late!	inchar-se (intran.) 	hincharse (intran.), inflarse (intran.) 	inflar 	gonfler 	gonfiare 	a se inflama, a [[se umfla|se umfla 	coflar 	coflar 	unflar	[[]] 	[[]] 	[[]] 	sgionfar 	vunciàri 	gonfià 	inchar 	hinchir 	inflar, unflar 	inflar 
147 	sun 	sōl 	< sorelh 	!	sol 	sol 	sol 	soleil 	sole 	soare 	solelh 	só, sorelh 	sulegl	suu 	sol 	[sol]] 	sol 	suli 	sòle 	sol 	sol 	sol 	sol 
148 	moon 	lūna 	glina		lua 	luna 	lluna 	lune 	luna 	lună 	luna 	lua 	glina	lü`na 	luna 	luna 	luna 	luna 	luna 	lúa 	lluna 	luna 	lluna 
149 	star 	stēlla 	< estrela 	astral stellar ἄστρο	estrela 	estrella 	estel, estrella 	étoile 	stella 	stea 	estela 	estela 	staila	stéla 	stella 	stedda 	stela 	stidda 	stella 	estrela 	estrella 	estrela 	estel, estrella 
150 	water 	aqua 	/ abba 		água 	agua 	aigua 	eau 	acqua 	apă 	aiga 	aiga 	aua	àqua 	aqqua, abba 	aqqua 	acua 	acqua 	acqua 	auga 	agua 	augua, aigua 	aigua 
151 	rain 	pluvia 	chuva chioggia  <> aqua	https://en.wiktionary.org/wiki/ci%C3%B9mma	chuva 	lluvia 	pluja 	pluie 	pioggia 	ploaie 	pluèja, pluòja 	ploja, pluja 	plievgia	[[]] 	chioggia 	aqqua 	piova 	chioggia 	piògghjia, lo piòe 	chuvia 	lloviu, agua 	plevia, plovida 	pluja 
152 	river 	flūmen, fluvius, rīvus (creek / small river) 	jumara ciumme<>flūmen(smoke/drunk?)	flow.ma plume!! Rhein ravine	rio 	río 	riu 	fleuve, rivière 	fiume 	râu, fluviu 	riu 	arriu 	flum	fjü`m 	ciumme 	jumara 	fiume 	ciùmi 	fiume 	río 	ríu 	riu, arriu, río 	riu 
153 	lake 	lacus 	/	lake	lago 	lago 	llac 	lac 	lago 	lac 	lac 	lac 	lai	laach 	laco 	lago 	lago 	lacu 	làcu 	lago 	llagu 	laco, ibón 	llac 
154 	sea 	mare 	/	Meer	mar 	mar 	mar 	mer 	mare 	mare 	mar 	mar 	mar	maar 	mar 	mar 	mar 	mari 	mare 	mar 	mar 	mar 	mar 
155 	salt 	sāl 	/	saltz sal.tus sal.de ?	sal 	sal 	sal 	sel 	sale 	sare 	sal 	sau 	sal	saa(l) 	sal 	sool 	sal 	sali 	sale 	sal 	sal 	sal 	sal 
156 	stone 	lapis, petra 	sass 		pedra 	piedra 	pedra 	pierre 	pietra 	piatră 	pèira 	pèira 	crap	sass 	preta 	prèta 	piera 	pètra 	pietra 	pedra, laia, rocha 	piedra 	piedra, zaborro 	pedra 
157 	sand 	arēna, sabulō 	gèra sorra 	< grain!  salt? <> saat	areia 	arena 	sorra, arena 	sable 	sabbia 	nisip 	sabla 	sabla 	sablun	gèra 	rena 	rena 	rena 	rina 	réna, sabbia 	area 	arena, sable 	arena, espunya 	sorra 
158 	dust 	pulvis 		Pulver!	pó, poeira 	polvo 	pols 	poussière 	polvere 	praf, pulbere 	polvèra, posca 	prova 	pulvra	pùlvura 	povra 	povra 	polvere 	pùrviri 	porvere 	po 	polvu, povisa 	polvo 	pols 
159 	earth 	"terra (also meaning ""land"") "	pământ munno monde	"""pavement""  pavīmentum "	terra 	tierra 	terra 	terre 	terra 	pământ 	tèrra 	tèrra 	terra	tèra 	munno 	munno 	tera 	tèrra 	"tèrra(""earth""/mùnnu(""world""))]] "	terra 	tierra 	tierra 	terra 
160 	cloud 	nūbēs, nimbus (large cloud) 		<> Nebel	nuvem 	nube 	núvol 	nuage, nue 	nuvola, nube 	nor 	nívol 	nívol 	nivel	nìgula 	nuvula 	nuvula 	nuvola 	nùvula 	"nuvola, nùvulu(""dark cloud bearing rain"") "	nube 	ñube/nube 	boira (countable) 	núvol 
161 	fog 	nebula, cālīgō 	"boira 	brume  tubas "	Nebel	névoa, neblina 	niebla, neblina 	boira 	brume 	nebbia 	ceață 	bruma, tubas 	bruma 	tschajera	[[]] 	negghja, caliggene 	neglia 	caligine 	negghia 	nebbia, calìgine 	néboa, calixe, brétema 	borrina 	boira (uncountable) 	boira 
162 	sky 	caelum 		skyl, shimmel	céu 	cielo 	cel 	ciel 	cielo 	cer 	cèl 	cèu 	tschiel	cél, 	ciel 	cil 	cel 	cèlu 	célu 	ceo 	cielu 	ciel, cielo 	cel 
163 	wind 	ventus 	aire!	Wind!	vento 	viento 	vent 	vent 	vento 	vânt 	vent 	vent 	vent	veent 	jento 	vindo 	vento 	ventu 	véntu 	vento 	vientu, aire 	aire, viento 	vent 
164 	snow 	nix, (genitive sg : nivis) 	neige 	Neu-Schnee;)	neve 	nieve 	neu 	neige 	neve 	zăpadă, nea 	nèu 	nèu 	naiv	neef 	neva 	neva 	neve 	nivi 	née, néa(rustic) 	neve 	ñeve/nieve 	nieu 	neu 
165 	ice 	glaciēs, gelū (frost / water-ice) 		glatt glitsch gleiss Gel Eis	gelo 	hielo 	glaç, gel 	glace 	ghiaccio 	gheață 	glaç 	glaç 	glatsch	giàz 	jaccio 	gghiaccio 	jazo 	ghiacciu 	jàccio, ghjiàccio 	xeo 	xelu 	chelo/chel 	gel, glaç 
166 	smoke 	fūmus 		fume	fumo 	humo 	fum 	fumée 	fumo 	fum 	fum 	hum 	fim	fumèra 	fummo 	fumèra 	fumo 	fumu 	fùme 	fume 	fumu 	fumo 	fum 
167 	fire 	ignis, focus (fireplace) 	focus!!	•Firek !? Fauch?	fogo 	fuego 	foc 	feu 	fuoco 	foc 	fuòc, fuèc, fòc 	huec, huc, hòc 	fieu	föög 	ffuoco 	ffuco 	fogo 	focu 	focu 	lume 	llume, fueu 	fuego 	foc 
168 	ash 	cinis, (genitive sg : cineris) 	< cendre scindra   scrum brasa 	<> kildle !!! Latin late!	cinza 	ceniza 	cendra 	cendre 	cenere 	cenușă, scrum 	cendre 	brasa 	tschendra	scindra 	cennera 	cenera 	[[]] 	cìnniri 	cenere, cénnora, cinìscia 	cinza 	ceniza 	cenisa 	cendres 
169 	burn 	ārdēre, cremāre 	<<< brûler 	𓉔 𓅱 𓏏 𓊮	arder, queimar 	arder, quemar 	cremar 	brûler 	bruciare, ardere 	a arde 	cremar 	bruslar 	arder	brüsà 	appiccià 	appiccià 	brusar 	abbruciàri 	bbruscià 	queimar, arder 	quemar 	cremar 	cremar 
170 	road 	via, strāta (paved road) 	drum<drome camín; carretera 	Gaul: céim <> come?	estrada, caminho, via 	carretera, camino, vía 	carretera, via 	route 	strada, via 	drum, cale, stradă 	camin 	camin 	strada	strada, via 	via 	via 	strada, via 	strata, via 	strada 	estrada 	camín 	camín; carretera 	camí; carretera 
171 	mountain 	mōns, (genitive sg : montis) 			montanha, monte 	montaña, monte 	muntanya, mont 	montagne, mont 	montagna, monte 	munte 	montanha 	montanha 	culm, muntagna	muunt 	muntagna 	muntagna 	monte 	muntagna 	montagna 	monte 	monte 	mont, montanya 	muntanya 
172 	red 	ruber, vermiculus, russus (rare) 	rouge!	Wurm, Rubin	vermelho, rubro 	rojo 	vermell, roig 	rouge 	rosso 	roșu 	roge, ~ja 	arroi, ~ja 	cotschen	rós 	russo 	russo 	[[]] 	russu 	"rùsciu (adjective) -rùscio(""the color Red"") "	vermello, roibo 	colloráu, bermeyu 	royo 	vermell, roig 
173 	green 	viridis 			verde 	verde 	verd 	vert 	verde 	verde 	verd, ~a 	verd, ~a 	verd	veert 	vverde 	verde 	verde 	virdi 	verde 	verde 	verde 	verde 	verd 
174 	yellow 	flāvus, galbinus (yellowish) 	"amarillo 	groc 	jaune "	flower, Gelbin	amarelo 	amarillo 	groc 	jaune 	giallo 	galben 	jaune, ~a 	jaune, ~a 	mellen	giàalt 	jallo 	giallo 	gialo 	giallu 	"ghjiàllu, jàllu, giàllu (adjective) -jàllo (""the color Yellow"") "	amarelo 	mariellu 	amariello, soro 	groc 
175 	white 	albus, candidus, blancus (vulg.) 		Elb, alp, blank, candy!?	branco 	blanco 	blanc 	blanc 	bianco 	alb 	blanc, ~a 	blanc, ~a 	alv	biàanch 	janco 	janco 	bianco 	biàncu, viàncu 	"biàncu, viàncu (adjective) -biànco, viango, viànco (""the color White"") "	branco, albo 	blancu 	blanco 	blanc 
176 	black 	niger, āter, fuscus 	āter, fuscus !?	<>	negro 	negro 	negre 	noir 	nero 	negru 	negre, ~a 	negre, ~a 	nair	négar 	niro 	niro 	negro 	nìvuru 	"nìru (adjective)/nìro(""the color Black"") "	negro 	ñegru/negru, prietu 	negro 	negre 
177 	night 	nōx, (genitive sg : noctis) 		Nächte	noite 	noche 	nit 	nuit 	notte 	noapte 	nuèch, nuòch, nuèit 	nueit 	notg	nòcc 	notte 	notte 	note 	notti 	notte 	noite 	nueche 	nueit, nuet 	nit 
178 	day 	dīes, diurnum (vulg. / diminutive) 	djurn giorno 		dia 	día 	dia, jorn 	jour 	giorno 	zi 	jorn 	jorn, dia 	di	dì 	juorno 	jurno 	giorno 	jurnu 	ghjiornu-jornu 	día 	día 	día 	dia 
179 	year 	annus 		𒀭 𓇼	ano 	año 	any 	année 	anno 	an 	an 	an 	onn	aŋ 	anno 	anno 	ano 	annu 	"annu (""year"")/ anno (""the year before"") "	ano 	añu 	anyo, anyada 	any 
180 	warm 	calidus, caldus 		how cold?	quente 	caliente, cálido 	calent, càlid 	chaud 	caldo 	cald, fierbinte 	caud, ~a 	caud, ~a 	chaud	caalt 	cavero 	callo 	caldo 	càvuru 	"càllu (adjective)/càllo(""the heat"") "	quente, morno 	caliente 	calient 	càlid 
181 	cold 	frīgidus 	(f)rece, frig, froid, freg, (f)hred	!! corruption !!	frio 	frío 	fred 	froid 	freddo 	rece, frig 	freg, ~ja 	hred, ~a 	fraid	frecc 	friddo 	friddo 	fredo 	frìddu 	"frìddu (adjective)/frìddo(""the cold weather"") "	frío 	fríu 	fredo 	fred 
182 	full 	plēnus 	enllenu  chino cheio 		cheio 	lleno 	ple 	plein 	pieno 	plin 	plen, ~a 	plen, plea 	plain	piéŋ 	chino 	chino 	pien 	chinu 	piénu, pìnu 	cheo 	enllenu 	pleno/plen 	ple 
183 	new 	novus 	/		novo 	nuevo 	nou 	nouveau 	nuovo 	nou 	nòu, ~va 	nau, ~va 	nov	nööf 	nuovo 	nuvo 	novo 	novu 	nou 	novo 	nuevu 	nuevo 	nou 
184 	old 	vetus, vetulus 	•vetchul vechil > vegl > velho viell		velho 	viejo 	vell 	vieux 	vecchio 	vechi 	vièlh, ~a 	vielh, ~a 	vegl	vécc 	jecchjo 	vicchjo 	vecio 	viecchju 	vécchjiu 	vello 	vieyu 	viello 	vell 
185 	good 	bonus 	/		bom 	bueno 	bo 	bon 	buono 	bun 	bon, ~a 	bon, ~a 	bun	bóŋ 	bbuono 	bbuno 	bon 	bonu 	bonu, vonu 	bo 	bonu 	bueno/buen 	bo 
186 	bad 	malus 	< marrit !! cativo  rău<raw		mau adj., mal adv. 	malo adj., mal adv. 	dolent adj., mal adv. 	mauvais adj., mal adv. 	cattivo, malo 	rău, prost 	marrit, ~da 	maishant, ~a 	mal, nausch	catìif 	malamente 	cattivo 	cativo 	malu 	"cattìu (adjective), -cattìo(""badness"") "	malo 	malu 	malo, dolent 	dolent 
187 	rotten 	puter, putridus 	marcito marsch speruto 		podre 	podrido 	podrit 	pourri 	marcito, putrido 	putred, stricat; depravat, corupt 	poirit, ~da 	poirit, ~da 	marsch	[[]] 	speruto 	peruto 	[[]] 	purrìtu 	fràcidu 	podre 	podre 	[[pudriu], putrito 	podrit 
188 	dirty 	sordidus 	sporco sordid > … brut 		sujo 	sucio 	brut 	sale 	sporco, sudicio 	murdar 	lord, ~a 	lord, ~a 	tschuf	[[]] 	zuozzo, sivo 	lurdo, zuzzo 	[[]] 	lurdu 	zùzzu 	lixoso, enfouzado 	gochu 	puerco, focín 	brut 
189 	straight 	rectus 	dret <!>	s'right	reto 	recto 	recte, dret 	droit 	dritto 	drept 	drech/drèit, ~a 	dret, ~a 	dretg	[[]] 	reritto 	rerètto 	drito 	rittu 	drìttu 	recto, dereito 	rectu/reutu 	recto 	recte 
190 	round 	rotundus 	!!	>tondo  !!	redondo 	redondo 	rodó 	rond 	rotondo 	rotund 	redond, ~a 	ardon, ~a 	radund	rudùund, rudùunt 	tunno 	tunno 	tondo 	tunnu 	tunnu 	redondo 	redondu 	redondo 	rodó 
191 	sharp 	ācer, affiliatus, acūtus 			afiado 	afilado 	esmolat, afilat 	affilé 	affilato 	ascuțit 	agusat, ~da 	ahilat, ~da 	giz	güz 	[[]] 	[[]] 	spizo 	ammulàtu 	ggùzzu 	afiado 	afiláu 	esmolau, punchudo 	agut, esmolat 
192 	dull 	hebes, brutus 	…		rombo 	sin filo, romo 	esmussat, rom 	émoussé 	spuntato 	bont 	[[]] 	esmoishoat, ~da 	mut	[[]] 	sfastriuso 	[[]] 	[[]] 	nujùsu 	"tuntu-ciambòttu-ciammello'(""slowpoke"")/mùsciu(""sad"")/trìstu(""dismal"") "	cego, rombo 	ciegu 	ciego 	rom 
193 	smooth 	levis 	neted  musco  muollo+	<<<	liso 	liso 	llis 	lisse 	liscio 	neted 	doç, ~a 	doç, ~a 	glisch	[[]] 	muollo 	musco 	lisier 	lìsciu 	lìsciu 	suave, lene, doce 	suave 	suau, liso 	suau, llis 
194 	wet 	umidus, madidus, ūdus 	"humit, mullat bagnà 	vagnàtu "	ha.mwet	molhado 	húmedo, mojado 	humit, mullat 	mouillé 	molle 	umed 	trempe, ~a 	molhat, ~da 	bletsch	ü`mit 	umeto 	umeto 	bagnà 	vagnàtu 	mmollu 	húmido 	húmedu, llentu 	humedo, mullau 	humit, mullat 
195 	dry 	siccus 	arso 	arid, Sect	seco 	seco 	sec 	sec 	secco 	uscat, sec 	sec, ~a 	sec, ~a 	sitg	[[]] 	sicco, arso 	sicco 	seco 	siccu 	"sìccu(""arid"")/sciùccu(""no wet"") "	seco 	secu 	ixuto, ixeco 	sec 
196 	correct 	rectus, correctus 	justo 		correto 	correcto 	correcte 	correct 	corretto 	corect 	corrècte, ~a 	corrècte, ~a 	correct	giü’st 	justo 	justo 	giusto 	giustu 	ghiùstu, justu 	correcto 	correctu/correutu 	correcto 	correcte 
197 	near (adj.) 	propinquus, iuxtā <> proxima	para près		perto, próximo 	cerca, próximo 	prop, pròxim 	près, proche 	vicino 	lângă, apropiat, aproape 	prèp 	pròche 	damanaivel	visìŋ 	becino, azzìco 	vicin 	vizin 	vicinu 	vicinu 	preto 	cerca 	amán, cerca 	prop 
198 	far (adj.) 	procul, laxius, distāns, (genitive sg. : distantis), longinquus, longitanus (vulg.) 			longe, longínquo, distante 	lejos, lejano, distante 	lluny, llunyà, distant 	loin, lointain, distant 	lontano, distante 	departe 	luènh, luònh 	luenh 	lontan	luntàŋ 	luntano, arrasso 	luntano 	lontan 	luntanu 	lontànu 	lonxe 	lloñe 	luent, leixos 	lluny 
199 	right (adj.) 	dexter, directus (straight) 			direito 	derecho 	dret 	droit 	destro 	drept 	drecha/drèita 	dreta 	dretg	dèstra 	destra, canzo 	destra 	destro 	destra 	destra, drìtta 	dereita 	drecha/derecha 	dreita 	dreta 
200 	left (adj.) 	sinister 	esquerdo gauche stâng manca 		esquerdo 	izquierdo 	esquerre 	gauche 	sinistro 	stâng 	esquèrra 	esquèrra 	sanester	sinistra 	smerza 	storta 	sinistro 	manca 	sinistra, mancìna 	esquerda 	esquierda/izquierda 	cucha, zurda 	esquerra 
