№	English					
38	man	𓋴𓐟 𓄿 𓂋 𓌗 𓇋𓇋𓅪		needy man     -vål	spare sparrow ? <> savant!--	
38	man	𓋴𓐟 𓄿 𓆭		needy man		
38	man	𓋴𓐟 𓄿 𓇋		needy man		
38	man	𓋴𓐟 𓄿 𓐎 𓅪  𓂝 𓏤		the weak of arm, weak man   -vål	Speier speien ++ DE / Spacker Spacken  ƒ no K	
38	man	𓋺 𓏏𓏤		shade , spirit 	Sunshade a type of small	
38	man	𓌳 𓂋 𓌗		wretched man, pauper *		
38	man	𓌳 𓄿 𓂋 𓌗 𓅪  𓀀		wretched man, pauper   -vål		
38	man	𓌳 𓄿 𓅱𓏏𓏛		wretched man, pauper	~ nul-laud	
38	man	𓌳 𓄿 𓇋𓂋 𓌗 𓇋𓇋𓅪  𓀀		wretched man, pauper     -vål	liar?	
38	man	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	Leiste  / mest ➙ knest	
38	man	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	maher sit Bein	
38	man	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	knisit Bein	
38	man	𓌳 𓇋𓂋 𓌗 𓅪		wretched man, pauper   -vål	Liar	
38	man	𓌳 𓋴𓏏𓂾		knee , hock 		
38	man	𓌳 𓋴𓏏𓂾		knee , hock 	Mast Bein / Last Bein	
38	man	𓌴 𓁹 𓄿 𓂋 𓌗 𓅪  𓀀		wretched man, pauper    -vål	Schalk-- / Mayer	
38	man	𓍋 𓅓 𓂋 𓅁		sick man   be displeasing to}		
38	man	𓍲 𓈖𓍘 𓇋𓇋𓀜		quarrelsome man, foe , courtier		
38	man	𓍲 𓈖𓏏𓀜 𓀀		quarrelsome man, foe , courtier		
38	man	𓍿𓂋 𓀀 𓁐 𓏥		 man, men, mankind, Egyptians	human / Egypt ⇔ kaiman	
38	man	𓍿𓂋 𓀀 𓁐 𓏥		 man, men, mankind, Egyptians	CRman / common / black human / Kurer / Jurer / Tschurer / Syrer ?? / an.thropia / ^^^^^^^^^ ← !!!! / adami : human / insani : human AR lol	
38	man	𓍿𓈖𓇋𓀘		old man		
38	man	𓍿𓈖𓇋𓀘		old man, elder	δyni / ⇔ cyniker, gonie	
38	man	𓎛 𓃹 𓈖𓀔		child, young man		
38	man	𓎛 𓃹 𓈖𓇬 𓀔		child, young man	Hase / Hansen  / 'Hunsen' / Hosen-voll	
38	man	𓎛 𓅨 𓂋 𓅱𓀔 𓀀		poor, humble man, despicable person		
38	man	𓎛 𓅨 𓂋 𓅱𓀔 𓅪  𓀀		poor, humble man, despicable person    -vål		
38	man	𓎛 𓇉 𓄿 𓏏𓀀		naked man	häscherter / ⇔ horny  / ]	
38	man	𓎛 𓇬 𓈖		child, young man  D	Hasen-schard / Hasen-schard	
38	man	𓎛 𓈎 𓂋 𓀁𓀀		hungry man		
38	man	𓎛 𓈎 𓂋 𓅁		hungry man		
38	man	𓎼 𓂋 𓀁𓀀		the silent man		
38	man	𓎼 𓂋 𓅱𓀁𓀀		the silent man	Grimmer / Gramer / Gruner ⇔ grantig / Greiner / Groller	
38	man	𓏏𓍯 𓄿 𓀢 𓀀		man of low station, inferior		
38	man	𓏏𓍯 𓄿 𓇋𓇋𓏲 𓀢 𓀁𓀀		man of low station, inferior	Traueri	
38	man	𓏠 𓈖𓅪  𓀀		sick man  -vål		
38	man	𓏠 𓈖𓏏𓂾		thigh , haunch 		
38	man	𓐍 𓅓 𓁸		ignorant man	igmo / Gabi'  / grey-hair / old = ignorant / buuh	
38	man	𓐢 𓂋 𓏛		provide, equip, acquire, incur, man 		
39	child	𓀔 𓀀	crd	be, become a child		
39	child	𓀔 𓀀		child		
39	child	𓀖 𓏏		foster child 		
39	child	𓃛 𓂋 𓁒		conceive , become pregnant ~	generate?	
39	child	𓃛 𓅱𓅨 𓂋 𓏯		conceive , become pregnant		
39	child	𓃢		royal child		
39	child	𓄟 𓀔		child	Meschard / Nee-chard / Mascot	
39	child	𓄟 𓅱𓏏𓏏𓀔		girl child	Messutth / Mississ	
39	child	𓄟 𓋴𓏯		child	Nase / Naisser / Messil	
39	child	𓄡 𓂋 𓂧 𓀀		child	scrd➙chard child	
39	child	𓇅 𓎛 𓀖		weaned child 	Richard ⇔ chard ← QED / Richer ⇔ chard / Reicher	
39	child	𓇋𓀯		royal child 	 Amon?	
39	child	𓇋𓈖𓊪𓀖		royal child	Imp: der Kobold / Schelm / infochard	
39	child	𓇋𓈖𓊪𓅂		royal child	infant! ++	
39	child	𓇋𓐝 𓏏𓀖		foster-child	import chard? / ///////--	
39	child	𓇓𓅱𓆓 𓈖		carry 	sheetchen?	
39	child	𓇬 𓈖𓇬 𓈖		move about 	sensen ⇔ ... OK! elsewhere	
39	child	𓈎 𓈖𓀜		 brave, strong, sturdy , able, capable, dutiful	quen ⇔ kühn! keen	
39	child	𓈖𓍇 𓏌𓏲 𓂧 𓏏𓋳		swaddling clothes 		
39	child	𓈖𓐍 𓈖		child		
39	child	𓈖𓐍 𓈖		child  D	Unken	
39	child	𓈖𓐍 𓈖𓀔 𓀀		child		
39	child	𓈖𓐍 𓈖𓀔 𓀀		child	Ahn Enkinder	
39	child	𓈖𓐍 𓈖𓅱𓀔		child		
39	child	𓈖𓐍 𓈖𓅱𓀔		child	enkinnen	
39	child	𓊃𓂧 𓏏𓏮 𓍘		child, foster - child 	statuti /	
39	child	𓋴𓂧 𓈖		carry 	seeden / ⇔gyn?	
39	child	𓋴𓆓 𓈖		carry 		
39	child	𓋴𓆓 𓈖𓈖𓍖		carry 	Schienen  / ←?>	
39	child	𓋴𓆓 𓈖𓈖𓍖		carry 		
39	child	𓋴𓆓 𓈖𓈖𓍖		carry 		
39	child	𓋴𓆓 𓈖𓈖𓍖		carry 		
39	child	𓋴𓆓 𓈖𓈖𓍖		carry 	Ssuennza Schwanger !! DE +-+ / נא ne'â' nes-aw' ~H5375: - carry away, make insurrection, take.	
39	child	𓋴𓆓 𓏏𓀔		child, foster - child 	~Gast! ← sheshtt +-+ / ~guest / ~chovat @ CES / ~child : sshld ok orthography / sch*t	
39	child	𓋴𓆣		© raise , educate, breed , bring about 		
39	child	𓋴𓆣 𓂋		© raise , educate, breed , bring about 	shape! / schaffen ⇔ schöpfen / schofer? ←?>school	
39	child	𓋴𓈖𓐍 𓈖𓀔		© nurse 		
39	child	𓍑 𓄿 𓏴 𓂡		reach out , take , devour , provide ,	fasha : extend ++ / ⇔ fetch ! +++ fassen!! ENDE / ⇔ fasha:watar : extend wade,warten,waiten,waten im wasser !?!!?? / ?? ←?>fish? pierce? / ⇔ pharten: παρατείν para.tend=ex.tend extend / ⇔ רח pârach paw-rakh' reach++/blossom/grow/... parch, brech? ⇔ ranke ... / ⇔ ἔrchο urge `roach reach ⇔ ergo : worko / ←ƒ> מ ה מ ה a eh a âh mat-teh'	
39	child	𓍑 𓄿 𓏴 𓊠		reach out , take , devour , provide ,		
39	child	𓍑 𓏴 𓇋𓇋		reach out 		
39	child	𓎘 𓎛 𓀔		wean, weaned child		
39	child	𓎘 𓎛 𓀖		weaned child 		
39	child	𓎛 𓃹 𓈖𓀔		child, young man		
39	child	𓎛 𓃹 𓈖𓇬 𓀔		child, young man	Hase / Hansen  / 'Hunsen' / Hosen-voll	
39	child	𓎛 𓇬 𓈖		child, young man  D	Hasen-schard / Hasen-schard	
39	child	𓎡 𓎡 𓇰		be dark of child about to be born? 		
39	child	𓐍 𓇋𓇋𓀔	child	child, be a child	Chird / child +++ <>	
39	child	𓐍 𓈖𓏌𓅱𓀔		child	Kinneren / Kinder	
39	child	𓐍 𓏤 𓀔		child, be a child	ѥti: kid + ! ← / gyrd/circl⇔child 	
40	wife	𓁹 𓈞 𓏏𓁐	marryn++	take a wife, to marry	maik brünt vrouwn well wife / Braut!! ⇔ Bread ⇔ breast	
40	wife	𓈖𓈙 𓂻		expel , divorce, drive apart , put away ,		
40	wife	𓈟 𓏏𓁐		woman, wife	brünnt ⇔ Braut	
40	wife	𓊃𓏏𓁐		woman, wife	Sit! / Zt! / zan @Pers! / Xanthippe Xant~kin,hoebe=love ← / Zeter / 'Schöness' / Gyneth ⇔ queen / ku-na-ja/ ku-na-ki-si / hamharem@Pers	
40	wife	𓊃𓏏𓁐 𓈞 𓏏𓁐		wife		
40	wife	𓊃𓏏𓁐 𓈞 𓏏𓁐		woman, wife	Zant Brünt / Xanthippe 	
40	wife	𓊃𓏏𓈟 𓏏𓁐		woman, wife		
40	wife	𓊹 𓈞 𓏏		god's wife 		
40	wife	𓌢 𓈖𓏏𓁐		wife		
40	wife	𓌸 𓂋 𓏏		wife	Tyreut / Traut +++ / Merith / Hoert / HoeBt / ⇔ Braut = bride	
40	wife	𓎛 𓃀 𓋴𓇋𓇋𓏏𓋳		wife	⇔	
40	wife	𓎟 𓏏𓉐 𓏤		wife	Alte@Altar! ++! / -	
41	husband	𓈖𓈙 𓂻		expel , divorce, drive apart , put away ,		
41	husband	𓉔 𓂸		husband	houspen / husband	
41	husband	𓉔 𓇋𓂸 𓀀		husband		
41	husband	𓉔 𓇋𓇋𓂸 𓀀		husband		
41	husband	𓌢 𓈖𓀀		husband	kin / gentle-man / husband=brother WTF	
41	husband	𓎟 𓀀		husband		
42	mother	𓂠 𓏏𓁐		mother	parent OK phortza vs pater! ----	
42	mother	𓂸 𓏏𓁐		mother	cunt: / pennt /	
42	mother	𓄟 𓋴𓏏𓁒		mother	mesther / mother	
42	mother	𓅐		mother	MUT ®	
42	mother	𓅐 𓏏𓁐		mother	Mut.IA	
42	mother	𓈎 𓈖𓇋𓂘 𓂡		embrace, bosom 	gyne... / knuddeln /	
42	mother	𓈙 𓅓 𓏏		mother - in - law	Schämdi 	
43	father	𓆷 𓄿 𓅓		father - in - law	Schwäher = Schwieger Schwäger Schwager ++++ DE	
43	father	𓇋𓏏𓆑 𓀀		father		
43	father	𓈖𓏏𓆑		to his father	Mut-sin Mutter-ihr / ƒ?	
43	father	𓊹 𓇋𓏏𓆑 𓀀		god's father 		
43	father	𓊹 𓏏		god's father	πατήρ.θε / ƥατėr.the QED / father.theus / parther / panther	
43	father	𓏏𓆑		father	etsner / ϑϑ? phthn fathern? --	
43	father	𓏏𓊹		god's father	Pate , Pater Vater father / Pithor / Pita Pit Pot Pat Pate / Photo / God / Gott	
44	animal	𓂧 𓃀 𓄏		horn , wing 	Derb Horn	
44	animal	𓂧 𓃀 𓄏		horn , wing 	shabbur : horn AR ++ / dabbur : hornet +++ ←	
44	animal	𓄂 𓏏𓏤		forehead, forepart , prow , vanguard 	first	
44	animal	𓄏 𓏤		horn 	oph=Huf	
44	animal	𓄟 𓋴𓂓 𓄛		skin, leather, animal hide	maskatier	
44	animal	𓄦 𓏏𓏤		back, spine ,middle 	Post.Grat ® / ⇔ bank?	
44	animal	𓄿 𓆑 𓁹		part of animal leg	ersen / HünerAuge /	
44	animal	𓇋𓄿 𓏏𓄦		back, spine 		
44	animal	𓇋𓄿 𓏏𓄦 𓄻		back, spine 		
44	animal	𓇋𓄿 𓏏𓄦 𓏏		back, spine , middle 	reverse! / Ferse!	
44	animal	𓇋𓆛 𓈖𓌰 𓅓 𓄛		skin , hues , development, complexion	?	
44	animal	𓇋𓌳 𓏏𓃵		female ibex, female 		
44	animal	𓉔 𓄿 𓂻		charge down upon , tackle 		
44	animal	𓋴𓁷		hide 	gob sob / kopp?	
44	animal	𓋴𓍿𓊪𓍉 𓏛		cut up 	chop ← scpo / stab / slit?	
44	animal	𓋴𓏏𓊪𓍉 𓏛		cut up , cut off , pick out, choose	stab vs chop ! / stutzen / ⇔choose ?	
44	animal	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	Leiste  / mest ➙ knest	
44	animal	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	maher sit Bein	
44	animal	𓌳 𓄿 𓊨 𓏏𓂾		knee , hock 	knisit Bein	
44	animal	𓌳 𓋴𓏏𓂾		knee , hock 		
44	animal	𓌳 𓋴𓏏𓂾		knee , hock 	Mast Bein / Last Bein	
44	animal	𓍉		cut up 		
44	animal	𓐍 𓆼 𓄿 𓅱𓏏𓄛		hide 	 Kleid klhide cow-rind-leder / ++++++++++ / Rinde /	
45	fish	𓂋 𓂋 𓅓 𓆛 𓏤		fish	rrm-yue / 'lyv / 'ryba : риба RU ⇔ river! / 'rybá / 'iasc / ψάρι fish-a-riva / ⇔	
45	fish	𓂋 𓅓 𓆛 𓂻		fish  }	rivrinir? / ⇔ crim !?	
45	fish	𓂋 𓊃𓆑 𓅯 𓏥		catch , affluence	reusen Flutter / reusen~reißen:catch / rezgen ophter	
45	fish	𓂋 𓏤 𓊃𓆑 𓅭 𓆛 𓏥		catch 	reusen~reißen	
45	fish	𓂚 𓄿		fish 	phoair = perch ++	
45	fish	𓂝  𓂧 𓅱𓆝 𓏤		Buri fish -	O bunin / O buin / O buitt / Obun / Odruin / Oldrunin	
45	fish	𓂝 𓂧 𓅱𓆛 𓏤		Buri fish		
45	fish	𓂝 𓆓 𓎙 𓈋		Buri fish		
45	fish	𓄖 𓂻		end by , attack , contest , spear 		
45	fish	𓅭 𓆛		catch 	cat-shun	
45	fish	𓇉 𓄿 𓅓 𓅯 𓆛 𓀜		catch , fish 	hier ver-fluin /?	
45	fish	𓇉 𓄿 𓅓 𓅻 𓂡		catch , fish 		
45	fish	𓅱𓎛 𓂝 𓆟		fish 	mwuhero meero	
45	fish	𓅱𓎼 𓋴𓌪 𓂝		cut open, gut 	un.gut/cut / cui.gut/cut	
45	fish	𓆑 𓏏𓏏𓅱		 fish   K	Fisch*	
45	fish	𓆑 𓏏𓏏𓅱		 fish   K	fith_ : fiththen ++ ENDE +++++++++	
45	fish	𓆓 𓂝 𓌙 𓂻		spear 	sφear / spear +++	
45	fish	𓆞 𓏏𓏤 𓆟		oxyrhynchus fish 	kult fisch / killed fisch / ^^ Nach spezifischer LUL	
45	fish	𓆠		scales 		
45	fish	𓆠 𓏥		scales 		
45	fish	𓆼 𓄿 𓐍 𓂝		spear 	greco ⇔ Ger ? / Taucho	
45	fish	𓇉 𓄿 𓅓 𓅯 𓆛 𓀜		catch , fish 	hier ver-fluin /?	
45	fish	𓇉 𓄿 𓅓 𓅻 𓂡		catch , fish 	 narmer?	
45	fish	𓇋𓆛 𓈖𓏏𓆛		the bulti-fish		
45	fish	𓇋𓈖𓏏𓆛		the bulti - fish		
45	fish	𓈖𓂝 𓂋 𓆛		cat - fish	Naur = Fish ™ ⇔ Nord / Narmer + / Noeuin : Neun / narin / nau / noin / moin?	
45	fish	𓈖𓈙 𓅓 𓅱𓏏𓏥 𓈒		scales 		
45	fish	𓈖𓈙 𓅓 𓇋𓇋𓏏𓆛 𓏥		scales 		
45	fish	𓈖𓏤 𓐍 𓆼 𓄿 𓏲		fish - shaped pendant   }	nau ketterln / nil-	
45	fish	𓈙 𓈖𓂝 𓍁		turn back, repulse, repel, police , detain, dart about 	??	
45	fish	𓈙 𓊃𓊪𓊏		take, accept, receive, assume , catch , purchase, wear 9clothes	~seize / re.ceive ?	
45	fish	𓈙 𓊪𓏏𓆡		a Nile fish 		
45	fish	𓈙 𓏤 𓈇 𓏨 𓈎 𓂝 𓎛 𓏲 𓂢 𓂻 𓏪		fish - ponds		
45	fish	𓊏 𓊪𓂡		take, accept, receive, assume} , catch , purchase, wear 	'ccept / catch / spoon	
45	fish	𓊠 𓂝 𓏏𓆛		fish 		
45	fish	𓋁 𓃀 𓈋 𓅱𓆛		a fish		
45	fish	𓋴𓃀 𓈖𓏌		fish   Z	sphnur ⇔ spineor spNar / pshnur ⇔ fishener	
45	fish	𓍅 𓏏		catch 	meshed 	
45	fish	𓍋 𓃀 𓈋 𓅱𓆛 𓏤		a fish		
45	fish	𓍲 𓈖𓂝 𓂻		turn back, repulse, repel, police , detain, dart about 		
45	fish	𓍲 𓈖𓂝 𓃭 𓂻		turn back, repulse, repel, police , detain, dart about 		
45	fish	𓍲 𓈖𓂝 𓇋𓇋		turn back, repulse, repel, police , detain, dart about    }	shun	
45	fish	𓍲 𓈖𓂝 𓍕 𓉐		turn back, repulse, repel, police , detain, dart about 	shun-back	
45	fish	𓎔      ‛		North mNous  ne‛ôreth=Flachs=pishtâh		
45	fish	𓎔 𓇋𓇋𓏏𓆛 𓏥		 fish	NAUR / nahryt!? ← / GRT ⇔ Gräten! / flith flis fish? -- / ⇔	
45	fish	𓎔 𓎛 𓇋𓇋𓏏𓆛 𓏥		 fish		
45	fish	𓎔 𓏏𓆛 𓏥		 fish		
45	fish	𓎙 𓂧 𓏲 𓆛 𓏤		Buri fish		
45	fish	𓎛 𓃀 𓅭 𓆛 𓏥		catch 	chapdsen catchen ++	
45	fish	𓎛 𓃀 𓎲 𓅭 𓆛 𓏥		catch 		
45	fish	𓎛 𓄿 𓂧		fish trap, trap fish		
45	fish	𓎛 𓇉 𓄿 𓂧 𓆱		fish-trap	cacher drast? / cacher thraP ?? / häscher trap +++ / =kascher catcher	
45	fish	𓎛 𓎱 𓃀 𓅭 𓏥 𓆛 𓏥		catch 	harvest / capturen?	
45	fish	𓎛 𓎱 𓃀 𓅭 𓏥 𓆛 𓏥		catch 	harvest	
45	fish	𓏲 𓎼 𓄿 𓋴𓌪 𓂡		cut open, gut 	butcher!! ++	
46	bird	𓂧 𓂋 𓏏		kite 	'luttert	
46	bird	𓂧 𓎼 𓇋𓇋𓏏𓀃 𓅭		a type of bird	duckus / yth / it / deck-eat-hen / duck-eathen / ←!>	
46	bird	𓄟 𓋴𓁒		bear, give birth, calve , lay , be born		
46	bird	𓄿		 bird++ 	Aar ⇔	
46	bird	𓄿 𓅓 𓂝 𓅬		a perching bird	GREIFar	
46	bird	𓄿 𓊪𓂧 𓅬		duck, bird	⇔ offt avis++	
46	bird	𓄿 𓏤		vulture, bird 	Lär, Lar, Aar, adler, flyer! = Vl'ier = Vol-Tier!	
46	bird	𓅨		swallow 	GVR-` @ SEM gurr GULL gale / ⇔ / zurzur : starling / zur : a lie	
46	bird	𓅭		duck, bird 	duck ® ! / shun ?	
46	bird	𓇥 𓂋 𓇋𓇋𓏏𓅭		kite 	koait : kite <> kräft 	
46	bird	𓂋 𓊪𓅯		an edible bird 	tru Truthahn turkey ++ DE <> torch! ⽕	
46	bird	𓅿		 duck, bird 		
46	bird	𓆓 𓂋 𓏏		kite 	tshort? / shirt bird	
46	bird	𓆱 𓉻 𓅭		an edible bird, poultry	ess-duck ++ / ess-bar-bird /	
46	bird	𓇋𓃀 𓍿𓌦		bird-trap		
46	bird	𓇋𓃀 𓏏𓌦		bird - trap		
46	bird	𓇥 𓂋 𓇋𓇋𓏏𓅭		kite 	koait : kite	
46	bird	𓇥 𓂋 𓏏𓅃		kite 	Ording UR.DING!!	
46	bird	𓊃𓎛 𓊃𓎛 𓅥		screech 	ci'er ~ screech	
46	bird	𓌈 𓏤 𓉐 𓅁		bird - chapel		
46	bird	𓍿𓂋 𓊪𓅾		an edible bird 		
46	bird	𓎡 𓆑 𓄿 𓄖		hinder parts , bottom , base 	 ≠kopfa tachath sheresh	
46	bird	𓏏𓂋 𓊪𓅯		an edible bird 	tru Truthahn turkey ++ DE	
46	bird	𓏠 𓈖𓏏𓅪		swallow    -vål		
46	bird	𓐝 𓎼 𓎼		cluck 	gluggen	
47	dog	𓃀 𓎛 𓈖𓏌𓅱𓀁		howl 		
47	dog	𓃀 𓎛 𓈖𓏌𓅱𓄑		howl 	behren ⇔ barken Bellen plärren ++  DE / gab.griso @ Greek kaff @ HE kläff @ DE	
47	dog	𓃛 𓅱𓃛 𓅱𓃡		dog	gen-gen / chien-chien / wau-wau ⇔ chiwawa ⇔ wolf / E9=GEN.ewe ➙ chien.eva ->	
47	dog	𓃛 𓅱𓃡		dog	chien !! / canü' ⇔ canis / wou ⇔ wolf	
47	dog	𓃛 𓅱𓃡		dog	chien QED	
47	dog	𓃛 𓅱𓏮 𓊗 𓄛		dog	chien-thai 	
47	dog	𓃛 𓅱𓏮 𓊗 𓄛		dog	chien-thai  / Schwänzel-Tier / __? / thai~tie~zieh :	
47	dog	𓍿𓊃𓅓 𓃡		hound, dog		
47	dog	𓍿𓊃𓅓 𓄛		hound, dog	chzyem ⇔ κυνη ⇔ chien 犬 quǎn +++ GR/CN/EG/FR ++++ ← / δyδyfr terrier δyδypr ⇔ cyper ⇔ keeper ... cezfer ? ^^ journey	
48	louse					
49	snake	𓂋 𓂋 𓎡 𓎡 𓆙		snake	rrkk / ➙reketeker	
49	snake	𓅭 𓇾 𓆙		snake	son.acker = snake!!	
49	snake	𓆑 𓈖𓍿𓆙		 snake,  worm, become maggoty		
49	snake	𓆑 𓈖𓏏𓆙		 snake, become maggoty		
49	snake	𓆓 𓂧 𓆑 𓏏𓆙		snake,  worm	Schchnathe ^^ shnace / hhanash : snake ++	
49	snake	𓆓 𓂧 𓆑 𓏏𓆙		snake,  worm		
49	snake	𓈎 𓄿 𓃀 𓅱𓄲 𓏥		coils 		
49	snake	𓈎 𓄿 𓃀 𓅱𓆙 𓆙 𓆙		coils 	quai* ←?> coils / Kurven	
49	snake	𓋴𓄜 𓃀 𓆓 𓏏		particoloured snake		
49	snake	𓋴𓍋 𓃀 𓏏𓆙		particoloured snake	gypt ⇔ Egypt !?! ←	
49	snake	𓍿𓊪𓎛 𓏏𓉐		cavern, hole 	covert : cavern ++ ^^ / Cypert ⇔ Zypern ⇔ Kft! / vs Malata	
49	snake	𓎛 𓆑 𓄫 𓅱𓆙		snake	^^	
49	snake	𓎛 𓆑 𓄿 𓅂		snake	⇔ python!	
50	worm	𓆑 𓈖𓍿𓆙		 snake,  worm, become maggoty		
50	worm	𓆑 𓈖𓏏𓆑		  worm, become maggoty		
50	worm	𓆓 𓂧 𓆑 𓏏𓆙		snake,  worm	Schchnathe ^^ shnace / hhanash : snake ++	
50	worm	𓆓 𓂧 𓆑 𓏏𓆙		snake,  worm		
50	worm	𓎛 𓆑 𓏏𓆙		intestinal worm		
50	worm	𓏏𓍔 𓄿 𓅓 𓏲 𓆙		worm, bane	tampered	
51	tree	𓆱 𓏤 𓈖𓁸		a type of tree	~Esche? Esunit?	
51	tree	𓂋 𓂧 𓇟 𓏤		shoot 	rieser Riecher  / root ⇔ / shajara : tree Ind syajrat, Per shajare, Tur secere / ⇔ segge	
51	tree	𓄥 𓄿 𓅱𓆱 𓏥		branches 	Samen	
51	tree	𓅡 𓈎 𓆭		tree 		
51	tree	𓆭 𓅓 𓆭		a tree	abr / tanne?	
51	tree	𓆱 𓏏𓏤		wood, timber, tree, woodland, mast, stick, pole, rod 		
51	tree	𓆱 𓏏𓏤 𓃀 𓈖𓂋 𓇋𓇜 𓏜		fruit tree		
51	tree	𓆱 𓏤 𓈖𓁸		a type of tree	~Esche?	
51	tree	𓆷 𓄿 𓍯 𓄿 𓃀 𓆭		persea tree	sparoei baum ⇔ persea tree	
51	tree	𓇋𓄞 𓂧		Ished tree	Eschen eIshed ⇔ Eiche acorn! *Eische ⇔ acacian@zion? oak'n ⇔tree _tarn Tannen turn?  trees? / SunShade cedar Shader! ⲤⲒϤⲒ ≠ ciFir Kiefer cypressh!⇔ Ziffer,count,cone'fer !! vs juniper / Tree of Life, especially the ished tree at Heliopolis. Thoth and Seshat wrote the king's name and his reign on its leaves / Zagros = 50% oak trees!	
51	tree	𓇋𓄿 𓆭 𓅓		a tree	firm ⇔ juniPer fire-wood -- / ier ⇔ yew -- / YAWPR ⇔ juniper? / YAWM	
51	tree	𓇋𓆛 𓈖𓉔 𓅓 𓂝 𓈖𓏮 𓆭		pomegranate 	linen hofron !! ⇔ safran ! ← ++-?++ >>	
51	tree	𓇋𓈖𓉔 𓏠 𓆭		pomegranate 		
51	tree	𓇋𓈙 𓂧		fruit of the Ished tree		
51	tree	𓇋𓈙 𓂧 𓆭		Balanos, Ished tree, fruit of the ished tree		
51	tree	𓇋𓈙 𓂧 𓏏		Ished tree	←⇔	
51	tree	𓇋𓊃𓂋		tamarisk tree	Eser Escher ← + / ⇔ Esther 'esher ← /  blessed, happy. rejoice !	
51	tree	𓇋𓌳 𓄿 𓆭		a tree	Yemaer Jemener? / Elme Alba / esker ⇔ Escher / amer / amerarb	
51	tree	𓇋𓌳 𓆭		a type of tree	?← / ima vs Ished tree	
51	tree	𓇛 𓅓 𓆭		carob tree ?		
51	tree	𓇛 𓆮		carob tree ?		
51	tree	𓈎 𓃀 𓆭		tree 		
51	tree	𓈖𓉔 𓏏𓆭		sycamore tree, tree 		
51	tree	𓈖𓉔 𓏮 𓌴 𓁹 𓄿 𓄿 𓈒 𓏥		pomegranate 		
51	tree	𓈙 𓈖𓆓 𓏏		Nile acacia tree		
51	tree	𓈙 𓍯 𓃀 𓆭		persea tree	scrub?	
51	tree	𓍘 𓀻 𓋴𓈒 𓏥		Cinnamon, a tree,  spice ?	cin-amon!!	
51	tree	𓍘 𓀼 𓆱		Cinnamon, a tree,  spice ?		
51	tree	𓍲 𓈖𓂧 𓏏𓆭		Nile acacia tree		
51	tree	𓍲 𓈖𓆓 𓏏𓆭		Nile acacia tree		
51	tree	𓍲 𓈖𓆭		tree	Rinde?	
51	tree	𓏙 𓈎		fruit, fruit - tree	pit➙fruit ? / da.tel Dattel? old / ¬ juniper	
52	forest					
53	stick	𓂝 𓅓 𓂝 𓄿 𓌚		throw the throw - stick	oomerang	
53	stick	𓂝 𓅓 𓂝 𓄿 𓏏𓌚		throw - stick		
53	stick	𓂝 𓅓 𓄿 𓏏𓏐		throw-stick	←⇔>>>>>>>>>>>>>>>>>>>>>>>	
53	stick	𓆱 𓏏𓏤		wood, timber, tree, woodland, mast, stick, pole, rod 		
53	stick	𓈙 𓅓 𓇋𓇋𓏏𓆱		walking - stick	'Semit' / Schmitt / gambit / schfrit - stick / Schritt - stock / ⇔ mesziah = marschier	
53	stick	𓍿𓃹 𓈖𓂡		gore , stick 		
53	stick	𓏠 𓈖𓏛		be fixed, stick fast , be attached , remain , dwell , be vested 		
54	fruit	𓂋 𓂋		fruit ++ ← fart veairt		
54	fruit	𓂧 𓈎 𓂋 𓂷 𓈒 𓏥		fruit, fruit - trees	cheir.quer ➙ Kirsche ? cheir.quer = Hand.hoch! / chaqara ⇔ / shajara : tree Ind syajrat, Per shajare, Tur secere / quer ⇔ gir: giraffe, grow ! +++ ← / sigra : zirkade? Zikade / ←?>	
54	fruit	𓂧 𓏇 𓇋𓊳		 fruit dish	damir ➙ thamar @AR +++	
54	fruit	𓆱 𓏏𓏤 𓃀 𓈖𓂋 𓇋𓇜 𓏜		fruit tree		
54	fruit	𓇋𓆛 𓈖𓉔 𓅓 𓂝 𓈖𓏮 𓆭		pomegranate 	linen hofron !! ⇔ safran ! ← ++-?++ >>	
54	fruit	𓇋𓈖𓉔 𓏠 𓆭		pomegranate 		
54	fruit	𓇋𓈙 𓂧		fruit of the Ished tree		
54	fruit	𓇋𓈙 𓂧 𓆭		Balanos, Ished tree, fruit of the ished tree		
54	fruit	𓇭 𓈒 𓏥		fruit of various trees		
54	fruit	𓈖𓉔 𓏮 𓌴 𓁹 𓄿 𓄿 𓈒 𓏥		pomegranate 		
54	fruit	𓉐 𓂋 𓏏𓂺 𓈓		fruit, seed, 		
54	fruit	𓉐 𓂋 𓏏𓍁 𓈓		fruit, seed, 		
54	fruit	𓉐 𓂋 𓏏𓏯 𓌾 𓏥		fruit, seed, 	BRUT / phyto	
54	fruit	𓍁 𓂋 𓏏		fruit, seed, 	fruit EN++ fur.ḫoe.t f'reut ⇔ Furche / fawaakih AR +- / acron ← hAcker.os  /  Acker.on	
54	fruit	𓍁 𓏏𓈒 𓏥		fruit, seed, 		
54	fruit	𓏙 𓈎		fruit, fruit - tree	pit➙fruit ? / da.tel Dattel? old / ¬ juniper	
