№ 	English 	Best	PIE / SEM	EG	Malay 	Tagalog 	Cebuano 	Pampangan 	Pangasinan 	Sasak 	Chamorro 	Malagasy 	Tahitian 	Maori 	Sundanese 	Ibanag 	Itawit 	Javanese 	Ilocano 	
93	to eat 	Kaon, mangan 	kauen, manger	𓅱 𓈙 𓂝 𓄑 𓀁, 𓃹 𓈖 𓅓 𓀁 2. 𓏘 𓏘 𓀁 3. 𓏶 𓀁, 𓇬 𓀁, 𓏶 𓅓 𓀁  	makan 	kain 	kaon 	mangan 	akan, mangan, kamot 	 	'kånno'', chocho '	mihinana 	ʻamu 	kai, kamu 	dahar, jajablog, neda, nyatu, tuang 	kuman 	 	mangan 	mangan 	
94	to bite 	kagat 	^		gigit 	kagat 	paak, ingkit, kagat 	ket, ketan 	ketket 	 	'åkka'' '	manaikitra 	hōhoni 	ngau 	gogot, gégél, nyeureud 	'kaga'' '	 	cokot 	kagat 	
95	to suck 	sipsip, susos	sip, suc, sunc	𓋴 𓈖 𓈎 𓂒, 𓋴 𓈖 𓏘	hisap 	sipsip, susos 	supsop, tupos 	sisipan 	supsup, suso 	 	chopchop 	mifiaka 	ʻote 	momi, ngote 	kenyot, nyerot, seuseup 	sussup 	 	 	supsop 	
96	to spit 				ludah 	luwa, duras 	luwa 	luran 	lutda 	 	'to''la'' '	mandrehoka 	tuha 	tuha, tuwha 	ciduh, ludah 	lusak 	 	idu 	tupra 	
97	to vomit 	suka muntah 	spit, spuck	𓋴 𓃀 𓈙 𓇋 𓇋 𓂐 2. 𓈎 𓄿 𓋴 𓀁, 𓈎 𓇋 𓋴 𓀁, 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁 3. 𓃀 𓈙 𓅱 𓂐 𓏥, 𓋴 𓈎 𓂝 𓂐, 𓈎 𓄿 𓂝 𓀁,  	muntah 	suka 	suka 	manyuka 	uta 	 	'muta'' '	madoa 	pihaʻe 	ruaki 	luga, utah 	uta 	uta 	utah 	uta 	
98	to blow (as wind) 	sibok 	sikot	𓋴 𓐍 𓏏 𓀜  2. 𓈖 𓆑 	tiup, hembus 	ihip 	huyop 	labulan 	sibok 	 	guaife 	mitsoka 	farara 	puhi, pupuhi 	niup, tiup 	sup 	 	 	puyot 	
99	to breathe 	nafas 	s'nafas schnaufen	𓋴 𓈖 𓂉 𓀁, 𓋴 𓈖 𓆑 𓊡 𓀜, 𓊃 𓈖 𓆑 𓏮 𓊡, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉, 𓋴 𓌢 𓈖 𓂉, 𓌢 𓈖 𓂉 2. 𓋴 𓂋 𓈎 𓏛 3. 𓍿 𓊪 𓇋 𓂉, 𓏏 𓊪 𓂋 𓂊 𓏏 𓊪 𓇋 𓂉 𓂡 4. 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 5. 𓂝 𓅓 𓄈 𓀁 	hirup, nafas 	hinga 	ginhawa 	mangisnaua 	ingas, anges, dongap, linawa 	 	hågong 	miaina, misefo 	huti i te aho 	ngā 	ambekan, rénghap 	'inango'' '	 	ambegan 	anges 	
100	to laugh 			𓋴 𓃀 𓇋 𓏏 𓎸 𓄑 	tawa, ketawa 	tawa 	katawa 	maili 	elek 	 	chålek 	hehy, tokelaka 	ʻata 	kata 	gumujeng, seuri 	'galo'' '	 	guyu 	katawa 	
101	to see 	nampak	nam.photo	𓈖 𓍇 𓏌 𓁹, 𓈖 𓍯 𓄿 𓁺, 𓊪 𓏏 𓂋 𓇋 𓁻 2. 𓂧 𓎼 𓄿 𓇋 𓇋 𓁼, 𓂧 𓎼 𓁹, 𓂧 𓎯 3. 𓌴 𓁹 𓄿 𓄿, 𓌵 4. 	lihat, nampak, tengok 	tingin, kitas 	kita 	akit, lauen 	nengneng, mata 	 	'li''e'' '	mahita 	hiʻo 	kite 	nempo, ningal, tinggali, neuleu 	"innan (""to see"" in itself, no known root) "	 	deleng 	kita 	
102	to hear 	damdam	se'dam ⲥⲱⲧⲉⲙ sentiment	𓄔, 𓄔 𓏛, 𓄔 𓅓, 𓋴 𓅓 𓄔 2. 𓋴 𓅓 𓂸 𓏏 𓄔, 𓋴 𓂸 𓏏 𓄔 	dengar 	dinig, kinigs 	dungog 	damdam, makiramdam 	dengel 	 	ekungok, hungok 	maeno 	faʻaroʻo 	rongo 	dangu, ngadéngé, kuping 	ginna 	 	rungu 	dengngeg 	
103	to know (a fact) 				tahu 	alam 	kahibalo 	baluan 	amta, kabat 	 	'tungo'' '	mahafantatra 	'ito 	mōhio 	nyaho, terang, uninga 	ammu 	 	ngerti, mudheng 	ammo 	
104	to think 			𓇋 𓃀 𓀁 2. 𓈖 𓎡 𓏮 𓀁, 𓈖 𓎡 𓄿 𓏮 𓀁 3. 𓋴 𓆼 𓄿 𓀁, 𓋴 𓐍 𓆼 𓄿 𓀁 4. 𓎡 𓄿 𓀁	isip 	hunahuna 	isipan 	isip, nonot 	 	hasso 	mieritreritra 	manaʻo 	whakāro 	ngamanah, mikir 	panono '	 	mikir 	panunot 	
105	to smell (sense odour) 			𓌢 𓂉, 𓋴 𓈖 𓂉 𓀁, 𓋴 𓋴 𓂉, 𓋴 𓋴 𓈖 𓂉, 𓋴 𓋴 𓏏 𓂉 2. 𓐍 𓈖 𓌰 𓐝 𓏮 𓊸 𓏥, 𓐍 𓈖 𓌰 𓂉 𓏥, 𓐍 𓈖 𓌰 𓅓 𓂉 𓀁 	hidu, cium, bau 	amoy 	simhot 	bauan 	angob, amoy 	 	'nginge'' '	manambolo 	hauʻa 	hongi 	ambung, ngambeu, ngangseu 	aguk 	 	ambu 	angot 	
106	to fear 			𓆂 𓏥, 𓅾 𓏏 𓏤 , 𓆓, 𓊃 𓈖 𓆓 𓏏 𓅾 2. 𓈖 𓂋 𓂡 𓈖 𓂋 𓅱 𓅐 𓀜 𓏪,  𓈖 𓂋 𓅱 𓆂 𓂡 𓏥 3. 𓈖 𓅐 𓂝 4. 𓋴 𓂋 𓅾	takut 	takot 	hadlok 	takut 	takot 	 	'ma''a''ñao '	mataotra 	mataʻu 	mataku 	gimbir, sebér, sieun 	anassing 	 	wedi 	kuteng 	
107	to sleep 	tidur	tired	𓁀, 𓈖 𓌰 𓅓 𓂝 𓁀 2. 𓋴 𓇥 𓂋 𓁀 3. 𓂝 𓂝 𓅱 𓏮 𓁺, 𓂝 𓂝 𓅂 4. 𓐪 𓂧 𓂧 𓏌 𓁼  	tidur 	tulog 	tulog 	tudtud 	ogip 	 	'maigo'' '	matory 	taoto 	moe 	bobo, héés, kulem, saré 	katuruk 	 	turu 	turog 	
108	to live 			𓋹 𓈖 𓐍, 𓋴 𓋹 𓈖 𓐍	hidup 	buhay 	buhi 	bie, kumabie 	bilay 	 	'lå''la'' '	velona 	ora 	ora 	hirup, jumeneng 	tolay 	 	urip 	biag 	
109	to die 	mati	muert	𓅓 𓏱 𓏏, 𓅓 𓏏 𓁀, 𓅓 𓏏 𓂂, 𓅓 𓏏 𓀐, 𓀐 𓏏, 2. 𓋴 𓏲 𓍑 𓄿 𓏱  	mati 	patay 	matay 	mate, mete 	patey, onpatey 	 	måtai 	maty 	mate, pohe 	mate 	maot, paéh, pati, pupus 	matay 	matay 	mati 	matay 	
110	to kill 			𓌪 𓂝, 𓄡 𓂧 𓃀 𓀜 2. 𓂧 𓈖 𓌪 3. 𓄡 𓂧 𓃀 𓀜 4. 𓅱 𓎛 𓋴 𓌪 𓂡 5. 𓊃 𓌳 𓄿 𓌏 6. 𓋴 𓂝 𓂋 𓈎 𓍼 𓌪 𓂡 7. 𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝 	bunuh 	patay, paslangs 	buno, patay 	paten, makamate 	patey, mamatey 	 	'puno'' '	mamono, mahefaty 	tapataparahi-pohe-roa, haʻapohe 	patu 	maéhan, maténi, patos, telas 	patay 	 	pateni 	mangpatay 	
111	to fight 	laban		𓇋 𓎛 𓄿 𓂝, 𓂝 𓎛 𓄿 2. 𓈙 𓆑 𓂝 𓂡 3. 𓂚 𓀜, 𓂚 𓄿 𓀜	lawan, gaduh, tarung, kelahi, juang 	laban 	away, bugno 	laban 	laban, kolkol, bakal 	 	mumu 	miady 	taputō 	kakari, kairiri 	gelut, jogol, tarung 	dama 	 	 	agapa 	
112	to hunt (transitive) 			𓃀 𓎛 𓋴 𓂾 2. 𓍿 𓉔 𓅓 𓂻 3. 𓈖 𓍇 𓄟 𓄠 𓋤 4. 𓎼 𓂋 𓍅 𓏲 𓀜 	buru 	mangaso 	mangayam 	man-ayup 	managnop, anop, manpana, manpaltog 	 	'ega''ga'', peska '	mihaza 	aʻuaʻu puaʻa 	whaiwhai 	bujeng, moro 	 	 	 	anup 	
113	to hit 			𓋴 𓐍 𓀜, 𓊃 𓐍 𓂬, 𓀝 𓂝, 𓎡 𓏏 𓎡 𓏏 𓏴 𓂡	pukul, ketuk 	tama, hampass 	igo, tama 	turan, paturan 	tira, nakna, pekpek 	 	galuti, panak 	mikapoka 	taparahi 	patu 	babuk, teunggeul, tinggang 	kanna 	 	 	pangor 	
114	to cut 			𓍉, 𓁸, 𓏴 𓌪 𓂡, 𓂧 𓌪, 2. 𓂧 𓈖 𓌪, 𓂧 𓅁 𓌪 𓂡 , 𓊃 𓈖 𓌪 3.  𓈙 𓂝 𓂧 𓄬 𓌪 𓂡 ~ 𓄞 𓂧 𓀜 4. 𓇋 𓋴 𓊪 𓌪 <?> 𓅱 𓇉 𓄿 𓐎 𓀜, 𓅱 𓎛 𓋴 𓌪 𓂡, 𓅱 𓎼 𓋴 𓌪 𓂝 	potong 	putol 	putol 	putut 	tegteg, putot, batang 	 	chåchak, utot 	mandidy 	tāpū 	tā 	teukteuk, tuar 	kattu 	 	kethok 	balsig 	
115	to split 			𓊪 𓈙 𓈖 𓌫 𓆱, 2. 𓏏 𓈙 𓏴 𓂡, 𓏏 𓆷 𓏴 𓂝 	belah, pisah, bahagi 	biyak, hatis 	pikas, bugha, batak 	bika, pitnan 	puter, pisag 	 	'ipe'', må''pe '	mamaki 	tuha, vāhi 	wāwāhi 	beulah, duum 	bakki 	 	 	bisak 	
116	to stab (or stick) 			𓋴 𓂧 𓃀 𓉽 𓏴 	tikam 	saksak 	dunggab, dugmak, duslak 	akdakan, tandusan 	saksak, doyok 	 	'dulok, si''ok '	mantsatoka-antsy 	pātia 	oka 	nojos, nyolok, tewek, tubles 	dudduk 	 	 	dugsol 	
117	to scratch (an itch) 			𓎗 𓌗 𓂋, 𓄿 𓄡 𓂝 𓂷, 2. 𓊪 𓅮 𓐍 	garu, cakar, gores 	kamot 	katol, kamras, gadlas 	gamusan 	kiki, gugo 	 	kassas 	mikiki, mikaoka 	'pāra''u '	rakuraku 	garo 	kabbang 	 	 	kudkod 	
118	to dig 			𓄞 𓂧 𓀜, 𓆷 𓂧 𓂡, 𓆷 𓄿 𓂧 𓁃, 𓆷 𓄿 𓂧 𓂡 	korek, gali 	hukay 	kalot, kabkab, kalaykay 	kulkul, kulkulan 	kotkot 	 	guaddok 	mihady, mandavaka 	'pao, tūpā, ''ō '	keri 	kali 	kokkok 	 	 	kali 	
119	to swim 	salom		𓈖 𓃀 𓀒 𓈗, 𓈖 𓎟 𓃀 𓈗, 𓈖 𓋞 𓃀 𓈗 	renang 	langoy 	langoy, salom 	kaue 	langoy 	 	'ñanguo''mak '	milomano 	ʻau 	kau 	ngojai 	tafuk 	 	nglangi 	langoy 	
120	to fly 			𓂝 𓄡 𓅯, 𓂝 𓄡 𓆃 , 𓂝 𓄡 𓌙 𓅯, 𓇋 𓍿 𓍿 𓅮 1b. 𓇋 𓏏 𓏏 𓅯 2. 𓂝 𓊪 𓆃 , 𓂝 𓆑 𓆑 𓅭 3. 𓊪 𓅮 𓄿 𓆃 4. 𓋴 𓁷 𓂋 𓈐 𓂻, 𓋴 𓁷 𓂋 𓇯 	terbang 	lipad 	lupad, ligtiw 	sulapo 	tekyab 	 	gupu 	manidina 	'mau''e '	rere 	hiber, ngapung 	kagak 	 	mabur 	tayab 	
121	to walk 	lakaw	leg	1. 𓈝 𓅓 𓂻  2. 𓂧 𓎼 𓄿 𓂾 𓁺, 𓂧 𓎼 𓄿 𓋴 𓁺 3. 𓋴 𓏏 𓅱 𓏏 𓂻, 𓋴 𓅱 𓅱 𓏏 𓏏 𓂻, 𓐠 𓏤 𓏏 𓅱 𓊗 𓏮 𓂻 	jalan 	lakad 	lakaw 	lakad, lumakad 	akar 	 	famokkat, mamokkat 	mandeha 	haera 	haere a waewae 	badarat, leumpang, papah 	lakak 	 	mlaku, mlampah 	magna 	
122	to come 	dating	da.	𓇍, 𓇍 𓇋 𓇋 𓂻, 𓄭 𓂻, 𓂻 𓂽, 𓂝 𓈖 𓈖 𓂽 	datang 	dating 	ari, anhi 	ume, datang 	sabi, gala, onna 	 	'maila'' '	avy, tonga ,tamy 	haere mai 	haere mai 	datang, dongkap, sumping 	umay 	umang 	teka, rawuh 	umay 	
123	'to lie (as on one''s side) '			𓋴 𓇥 𓂋 𓁀	baring, bentang 	higa, hilatas 	higda 	magkera 	dokol 	 	dagi 	mivelatra 	tārava 	takoto 	golér, kedeng 	idda 	 	ngapusi 	idda 	
124	to sit 			𓎛 𓈞 𓋴 𓀉, 𓈞 𓊃 𓀉, 𓋴 𓇛 𓅓 𓀼, 𓍿 𓋴 𓀉, 2. 𓎛 𓂧 𓃀 𓂻, 𓎛 𓆑 𓂧 𓀉  	duduk 	upo 	lingkod 	lukluk 	yorong 	 	'fatå''chong, matå''chong '	mipetraka 	pārahi 	noho 	calik, diuk, linggih 	tubang 	 	lungguh, lengah, pinarak 	tugaw 	
125	to stand 			𓊢,𓊣, 𓊢 𓂝 𓂻, 𓋴 𓊢 𓂝 𓂻 2. 𓋴 𓏠 𓈖 𓍖 𓂝 	diri 	tayo 	barog, tindog 	tikdo 	alagey 	 	'tohge, kahulo'' '	mifoha, mitsangana 	ʻotiʻatiʻa 	tuu 	adeg, nangtung 	taddak 	 	ngadek, jumeneng 	takder 	
126	to turn (change direction) 			𓄲 𓂋 𓂻, 𓊪 𓄵 𓂋, 𓊪 𓈖 𓂝 𓈖 𓂝 𓊜, 𓊜, 𓅱 𓆓 𓃀 𓈅, 𓄟 𓋴 𓃀 𓃀 𓀁, 𓄟 𓋴 𓈖 𓎛 𓂽, 𓅓 𓂟 𓎡 𓇉 𓁶, 𓂋 𓂞 𓐟 𓏤 𓈖, 𓁷 𓏤 𓐟 𓏤, 𓈄 𓃀, 𓎗 𓃀 𓄲 𓂻, 𓎗 𓃀 𓈅 𓂽, 𓏏 𓈖 𓃀 𓄡 𓂻, …  	belok, pusing 	liko 	liko 	mildis 	liko, telek 	 	bira 	mihodina 	tīoi 	huri 	méngkol 	buelta 	 	 	likko 	
127	to fall (as in drop) 			𓀒 , 𓐍𓂋𓀒  	jatuh 	hulog 	hulog 	mitomba, manabu 	tumba, pelag 	 	poddong, matomba 	mianjera 	topa 	makere 	labuh, ragrag 	'taga'' '	tanag 	tiba, dhawah 	tinnag 	
128	to give 	beri, bagi	bear	1. 𓏙 , 𓂝 , 𓂧 𓅱 𓂡, 2. 𓂋 𓂞, 𓂋 𓏙, 𓏙 	beri, bagi 	bigay 	hatag 	ibie, dinan 	itdan, iter 	 	'na''i '	manome 	'hōro''a '	hoatu 	bikeun, méré, pasihan, parin 	'yawa'' '	 	weneh, paring, atur 	ited 	
129	'to hold (in one''s hand) '			𓈖 𓇥 𓂋 𓀜, 𓈖 𓇥 𓂡, 2. 𓂧 𓈖 𓇋 𓏯 𓂡, 𓂧 𓈖 𓇋 𓍸 𓀜 	pegang 	hawak 	hawid, kupot 	talnan 	benben 	 	'go''ti '	mitantana 	mau 	pupuri 	cepeng, cekel, muntang 	'tammi'' '	 	cekel, cepeng, asta 	mangiggem 	
130	to squeeze 			𓋴 𓄡 𓈖 𓎡 𓍱 𓀜, 𓋴 𓆞 𓄿 𓎡 𓀜, 𓇋 𓂝 𓆑, 𓂝 𓂝 𓆑 𓏲 𓂡, 𓈖 𓍇 𓏌 𓂧 	peras 	pisil 	pisa 	paslan, sakmalan 	pespes, mesmes 	 	'fugo'' '	mandray 	tāmau 	kotē 	meureut, rames 	paggal 	 	 	pespes 	
131	to rub 			𓋴 𓇋 𓆛 𓈖 𓏲 𓂡, 𓊃 𓇋 𓈖 𓂝 	gosok, sapu 	kuskos, kaskass 	banyos 	kaskasan 	kuskos, gurgor 	 	palai, hulos 	manakasoka 	ʻuiʻui 	ūkuikui 	kosok 	'guggu'' '	 	 	radradan	 lidliden 
132	to wash 	basuh	washu	𓇋 𓂝 𓈗 𓂡, 𓂋 𓐍 𓏏 𓂝 	basuh, cuci 	hugas, laba (for clothing articles and fabrics) < from the Spanish verb /lavar/s 	hugas 	wasan, manos 	oras 	 	'fa''gåsi '	manasa 	horoy 	horoi 	kumbah, seuseuh 	baggao 	 	umbah 	ugas 	
133	to wipe 	sapu, lap	lappen	𓇋 𓎛 𓌤, 𓂝 𓎛 𓌤, 2. 𓋴 𓎝 𓎡 𓂝 	sapu, lap 	punas 	pahid 	pulisan, kuskusan 	punas 	 	saosao 	mamafa 	horoi 	muru 	mupus 	'funa'' '	 	 	punas	 nasnas 
134	to pull 	tarik		𓇋 𓏏 𓎛 𓀜, 𓇋 𓏏 𓎛 𓍕, 𓆑 𓂧 𓏴 𓂡, 𓆌 2. 𓄞 𓂧 𓀜 3. 𓊪 𓈖 𓋴 𓏴 𓂡 4. 𓋴 𓍊 𓐍 5. 𓋴 𓏠 𓈖 𓐍 𓍊 𓏛 	tarik 	hila, batak 	bitad 	igutan, gulyutan 	guyor 	 	hålla 	mitifitra 	ʻume 	kume, hutihuti 	bedol, betot 	guggun 	 	tarik 	guyod 	
135	to push 	tolak		𓄿 𓅱 𓅯, 𓅱 𓇋 𓆛 𓈖 𓂢 𓂡  	tolak 	tulak 	tuklod 	isubung, itulak 	tulak 	 	chonnek 	manosika 	turaʻi 	pei 	sorong, suntrung 	'tubba'' '	 	surung 	duron 	
136	to throw 	baling, lempar		𓌙,𓌙 𓅯,𓄡 𓀒, 𓀒 𓏏, 𓋴 𓐍 𓀒, 𓈎 𓌚 𓏜, 𓈎 𓌳 𓄿 𓌙 𓅯 𓏜, 𓂝 𓅓 𓂝 𓄿 𓌚, 𓂝 𓅓 𓄿 𓏏 𓏐, 3. 𓋴 𓄝 𓏏 𓀜 	baling, campak, lempar 	tapon, hagis 	labay 	iugse, iyatsa, baronggan 	topak, bantak 	 	dåggao 	manoraka 	tāora 	panga 	alung 	'tabbo'' '	 	balang, sawat 	ibato	 belleng 
137	to tie 	tali	Tie ^^	𓈖 𓃀 𓍢 𓂝, 𓎛 𓃀 𓅱 𓃒 2. 𓍿 𓊃 𓋭, 𓋭 𓊃 𓏲 𓂡, 𓎛 𓎸 𓈖 𓊃 𓎡 𓍢 𓂡 3. 𓈎 𓄿 𓋴 𓍢 𓂡 	ikat 	tali 	hikot 	tali, itali 	singer 	 	goddi 	mamehy, mamatotra 	ruru, nati 	herehere 	mbungkeut 	'galu'' '	 	 	igalot 	
138	to sew 	tahi	tie	ⲱⲧⲉϩ ⲑⲣⲁⲡⲥ ↔ ⲑⲱⲣⲡ , ⲑⲉⲣⲡ    	jahit 	tahi 	tahi 	tayan 	dait 	 	laksi 	manjaitra 	au, nira 	tui 	kaput, kecos 	'dage'' '	 	dondom 	dait 	
139	to count 			𓍿 𓈖 𓌙 𓅯 𓏌 𓅱 𓏜, 2. 𓎛 𓋴 𓃀 𓐎 𓏛, 𓐎 𓏛 3. 𓇋 𓊪 𓏛 	kira, bilang, hitung 	bilang 	ihap 	mamilang 	bilang 	 	tufong, måmfong 	mamisa 	nūmera 	tatau 	étang, ngitung 	bilang 	 	 	bilang 	
140	to say 	sabi(k)		𓆓 𓂧 	kata 	sabi 	sulti, ingon 	sabian, iagkas, sambiltan 	baga, tongtong, balikas 	 	alok, sångan 	milaza, miteny 	'ī 	kōrero 	carios 	kagi 	 	 	kuna 	
141	to sing 			𓎛 𓋴, 𓎛 𓎿 𓊃 𓏮 𓀁 	awit 	awit 	tumaila 	togtog 	 	lålai, kånta 	mihara, mikalo 	pehe, hīmene 	pūoro, pau, hīmene 	kawih, nembang 	kansiyon 			agkanta 	
142	to play 	main, dula		𓎛 𓃀 𓂝 𓌙 𓌙 𓏜, 𓎛 𓂝 𓃀 𓂡 2. 𓆼 𓄿 𓂝 𓂡 3.  	laro 	dula 	mamyalung 	galaw, manay-ayam 	 	hugando, huega 	milalau 	haʻuti 	waiata 	ameng, maén, ulin 	gayam 			agay-ayam 	
143	to float 	lutang	(f)lutang	<>	lutang 	lutaw 	gato 	letaw 	 	gama, måya '	mitsinkafona 	 	kārewa 	kambang 				agtapaw 	
144	to flow 			𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛	alir, alur, salir, salir 	agos, daloys 	agas 	magus 	agos 	 	 	mikoriana 	tahe 	tere 	kocor, kucur, ngalir 	'agi'''			ayus 	
145	to freeze 				beku 	tigas, yelos 	bagtok 	 	kigtel 	 	'mama''ais '	mandry 	faʻatoʻetoʻe roa 	whakatio 	gibleg, kimpel 	'tagga'', yelo '			agyelo 	
146	to swell 	maga 	mega --	𓈙 𓆑 𓐎 	bengkak 	maga 	burot 	mangalbag 	larag 	 	pokpok 	mibontsina 	ʻoru 	pupuhi, puku 	bareuh 	lappak 			lumteg 	
147	sun 	Matahari !! araw	mother Helio Ray	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳	matahari 	araw 	adlaw 	aldo 	agew, banua, ugto 	 	atdao 	masaondra 	mahāna 	ra 	panonpoé 	bilak 			init 	
148	moon 	bulan	bu lune	ⲁⲃⲏⲧ	bulan 	buwan 	bulan 	bulan 	bulan 	 	pulan 	volana 	marama 	mārama 	bulan 	vulan 			bulan 	
149	star 	ˢbintang, ˢbatuin 	𓋴𓃀 𓄿𓇼𓇳	𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼	bintang 	bituin 	bituon 	batuin 	bitewen, bitoen 	 	'puti''on, estreyas '	kintana 	fetiʻa 	whetū 	béntang 	bitun 			bituen 	
150	water 	danum, vai  wai  cai	don, 水 shuǐ, rano, tubig > hebb	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗	air, tirta 	tubig 	tubig 	danum 	danum 	 	hånom 	rano 	vai 	wai 	cai 	danum 	danum 		danum 	
151	rain 	uran	a'rain  @ 𓇳 ray 	𓇶	hujan 	ulan 	ulan 	muran 	uran 	 	'uchan, ame'' '	orana 	ua 	ua 	hujan, ijih 	uran 			tudo 	
152	river 	sei, ilog	水 shuǐ, lake Лей @ Ural	𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …	sungai, batang, sei 	ilog 	suba, sapa 	ilug 	ilog 	 	såddok 	renirano 	'tahora, ''ānāvai '	awa 	wahangan, walungan 	bannag 			karayan 	
153	lake 	danau, lawa	donau lake	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇	danau, tasik 	lawa 	lanaw 	lawa 	ilog, look 	 	hagoi 	kamory, farihy 	roto 	roto 	situ, talaga 				danaw 	
154	sea (as in ocean) 	laut	naut	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋 𓈗 𓈘 𓈅 𓏤, 𓇋 𓇋 𓏲 𓅓 𓂝 𓈗 𓈘 𓈇	laut 	dagat, laot 	dagat 	dagat, dayat malat 	dayat 	 	tåsi 	riaka, ranomasina 	miti 	moana 	laut, sagara 				taaw	 baybay 
155	salt 	garam, ma.sin	grain, gramit	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥 B. 𓎛 𓌴 𓏏𓈒 𓏥	garam, masin 	asin 	asin 	asin 	asin 	 	asiga 	sira 	miti 	tote 	uyah 	asin 			asin 	
156	stone 	batu 	Baut, batiment, petra	𓃀 𓇋 𓏏 𓊌 	batu 	bato 	bato 	batu 	bato 	 	'åcho'' '	vato 	ōfai 	kōwhatu 	batu 	batu 	batu 		bato 	
157	sand 	pasir 	bu.syr	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥	pasir 	buhangin 	balas 	balas 	buer 	 	unai 	fasika 	one 	one 	keusik 	'daga'''			darat 	
158	dust 	debu[g], abog	~ dust, fog	𓐍 𓅓 𓅱 𓊡 𓏪	debu, habuk 	alikabok 	abog 	alikabuk 	dabok 	 	potbos 	vovoka 	one 	puehu 	kekebul 	'gavu'''			tapok 	
159	earth (as in soil) 	yuta, darat	d'earth	𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥	darat, tanah 	lupa 	yuta 	yatu 	dalin 	 	tåno 	tany 	fenua 	whenua 	lemah 	davvun 			daga 	
160	cloud 	awan 	kar.winde	𓈎 𓂋 𓊡	awan 	alapaap, ulap 	panganod 	biga, ulap 	lorem 	 	mapagåhes, nublådu 	rahona 	ata 	kapua 	méga 	kunam 	kunam 		ulep 	
161	fog 	hamog, kabut	smog	𓈎 𓂋 𓇋 𓇲	kabus, kabut 	hamog 	gabon 	ulap 	kelpa, malinaew 	 	afao, åsgon 	zavona 	rūpehu 	kohu 	halimun, limut 	 			angep 	
162	sky 	langit, banua 	•larit, phono	𓄿 𓂋 𓏏 𓇯, 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 	langit 	langit 	langit 	banua 	tawen, banua 	 	langet 	lanitra 	raʻi 	rangi 	awang, langit 	'langi'''			langit 	
163	wind (as in breeze) 	bayu, angin, maruta	@bay, marine --	𓊡,  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛 ,  𓈖 𓆑 𓏏 𓊡 𓏲	angin, bayu 	hangin 	hangin 	angin 	dagem, alamag 	 	guaifon, månglo 	rivotra 	mataʻi 	hau 	angin, maruta 	paddak 			angin 	
164	snow 	salju 	sanow (n:l)		salji, salju 	niyebe < from Spanish /nieve/ 	niyebe 	yelu 	linew 	 	 	ranomandry, lanezy 	hiona 	hukarere 	salju 	niebe 			niebe 	
165	ice 	ais, yelo	ice, hielo		ais, es 	yelo < from Spanish /hielo/ 	yelo < from Spanish /hielo/ 	yelu 	pakigtel 	 	ais < from English /ice/ 	ranomandry 	pape toʻetoʻe 	kōpaka 	és 	yelo 			yelo 	
166	smoke 	aso	ash(es) hath@herd	𓎛 𓏏 𓏮 𓊮	asap 	usok, aso 	aso 	asuk 	asiwek, asewek 	 	asu 	setroka 	auauahi 	auahi 	haseup, saab 	'atu'''			asok 	
