 № 	English 	Ket 	PIE ≠ TURK	Tlingit 	Navajo 	'Dena''ina '	PIE/CN	Hupa 	Slavey 	Kott 	Eyak
151	to rain 	ˈulʸ-esʸ (noun), qòʁ 	^^	séew, sóow 	nahałtin 	ełkun, (noun) kʰun 		'naː=n=ya-y (noun; also means it''s raining) '		ur, uːr (noun) 	'kʼu=leh (n.), (it''s raining) yãːʔ t-ʔya'
152	river 	sēs, qōks 		héen 	tooh nílíní 	'k''etnu '		'to (any body of water), hun'' (specifically the Trinity River) '		šēt	
153	lake 	deˀ 	tauch	áa 	tooh 	ven 		'to (same as above), minq'' '			ma·
154	sea (as in ocean) 	mora (Russian) 	mare sail	'éil'' '	tónteel 			'to (same as above), to:-dingq''och'' (salt water) '			shi·
155	salt 	təˀ, tɜʔ, tʸɜʔɛ, tʸaʔa, tɜʔa 		éil’ 	áshįįh 	nuti, nu-tʰi 		'łehq''onch'', ɬeh=qʼončʼ '		šin-če(ː)t, 	tiːyaʔ
156	stone 	təˀs, tɨʔsʸ, tɨɜs 	tsé.on	té 	tsé 	tsa, qʰa(=n=)ɬ=nik-i 		cʰeː 		šiːš 	cʰaː
157	sand 	hˈɜnʸaŋ, hˈɜnʸeŋ, hɜnǝŋ, hɜɛneŋ 	séí hˈɜn	'l''éiw '	séí 	suy, suɣ(i) 		'łich''iwh, ɬi=čʼiʍ '		tʰagan, tʰakˈan, (in older sources) tagˈan-aŋ 	čʰiːš-k
158	dust 	huˀs 	ᵈhuˀst <> husten	kadánjaa, chʼéix̱ʼw 	łeezh 			'łich''iwh, ɬi=čʼiʍ'			
159	earth (as in soil) 	baˀŋ 	--- 	tl’átk, l’éx̱’kw 	nahosdzáán 	ełnen 		'nin'', ninʼ, neʔn, (original form) *ninʼV. '		paŋ 	ʔãh
160	cloud 	espul, ˈasʸpulʸ 		ḵugóosʼ 	kʼos 	'q''es, qʼǝs '		'ah, ʔah 		ašpar, ašpˈor 	qʼahs
161	fog 	ulij 		ḵugáas’, x’úkjaa (steam) 	áhí 	uq, nunigi 	mi=s=čeː, mi=s=čeh (fog, haze)			
162	sky 	ēs 		góos’ (cloudy sky), xáats’ (blue sky) 	yá 	yuq '			ēš	
163	wind (as in breeze) 	bēj, beˑy 	Blowj ^^	óoxjaa, xóon (north), l’ag̱akáx̱ (south) 	níyol 	ɬ=cʼǝy, ɬ=čʼǝy, ɬ=čʼǝɣ (from it blows) 		tʰeh=s=čʼeː (lit. it blows along) 		peːi, (older sources) pei 	kʼuːy, (archaic) kʼuːya, kʼuːyǝ
164	snow 	beˀt, tīk 	bwhite	dleit 	yas 	yus 		nundil 		tʰiːk, (icy snow crust) sāk 	'xiƛʼ, xuƛʼ, xǝƛʼ, (snow, ice) t''it, (soft snow, tundra) wehs'
165	ice 	qō 	qor	(snow, ice, hard) t’éex’ 	'tin, (hard) tˡ''lz '	ten 		'k''ilo (hail, ice), ningxosting (frost), ningxiwinte:n (tree frost), (hard) tˡ''itˢ'' '			't''it (snow, ice)'
166	smoke 	duˀ, duʔo 	dust	's''eeḵ '	łid 	dasgedi, ta=s=kǝt-i 		łit 		tu, (older sources) tug 	ɬãht
167	fire 	бо’к (boˀk), bɔʔk 	бо’r  fire	x̱’aan 	kǫʼ 	'qen, daz''i, qʰǝn, tazʔi '		'xong'', xoŋʼ '		hat, (older forms) xott, xot, xat 	tǝ=qʼaː-k, (roots, always bound) qʰuʔ, qʰuː, qʰũː
168	ash 	qolan, qˈɔlɨn, qˈɔlǝn, qˈɔlan 	<<	'kél''t'' '	łeeshchʼih 	kʼǝ=lac-a, kʼǝ=lačʼ-a (ashes), (orig. form *kʼǝ=lač-ʔa.) 		'xong''-din, xoŋʼ-tin, xoŋʼ-tiŋ (ashes) '		fenaŋ, finaŋ, funaŋ (f=voiceless bilabial fricative, Ф), pʰenaŋ 	cʰĩʔƛʼ-k (ashes)
169	to burn (intransitive) 	inoʁat (intr.), duut (tr.) 		si-gaan (tr.), ya-gaan (intr.) (also ‘shine’) 	diltłiʼ 	diltlut 		-lit 		č=augan-aŋ 	Err:509
170	road 	qoˀt, qɔʔt 	qort@Korea quroad	dei 	daʼnitiingóó 	tinitun 		tin, tʰin 		hek, (older sources) xɨk 	tʰaː
171	mountain 	qaˀj, ʎɨʔt 	cair giliff shan	shaa, g̱íl’ (cliff) 	dził 	dghelay, dghili, tes (hill), tʁili, tʁǝlay 		'ninis''a:n (world, surface of the earth, country, mountain) '		dʸiː, dʸix, (older forms) ǯii, ǯiy, (mountain ridge) xē-lēx 	ʔiƛʼ
172	red 	sulej, sʸˈulʸ-am-sʸ, sʸˈulʸ-em-sʸ 		x̱’aan (fire) 	łichííʼ 	dagheldel, (=l)=tǝl 		tse:l-nehwa:n (it is red, lit. blood-it resembles) 		šur-um-# (now only exists as infinit.), (older form) šurama 	Err:508
173	green 	qəlaj, sʸɜnʸ-sʸ, 	chlore	s’oow (greenstone), kayaaní (leaf) 	dootłʼizh 	'dgheltl''ech'', kʼ=tʼun qʰi-ti-l-tʼan-i '		-tsow, =cʰow 		šapkan (it is green) 	tiːyaʔ-kaʔ (green, light blue, blue-green; lit. salt similar-to)
174	yellow 	qəlaj, qˈɜlʸ-ay-sʸ (formed from gall) 	geleb	tl’áatl’ (canary), ch’áak’ loowú (dark yellow, lit. bald eagle’s beak) 	łitsooí 	dgheltsegh, ti=tǝ=cʰik-i, ti=t=čʰik-i 		'da''kya:w-nehwa:n (it is yellow, lit. canary-it resembles) '		šuy (also, moon) 	χǝwaː-cʰeʔqʼ-kaʔ (lit. dog urine-like)
175	white 	taɣam, tˈaɣ-ɨm 		dleit (snow) 	łigaii 	dghelggeyi, =l=qǝy 		-qay 		tʰeːg-am, tʰeːk-am, (older sources) tegama 	xiƛʼ-kaʔ, xǝƛʼ-kaʔ (lit. snow-like)
176	black 	tūm, tuˑm-sʸ 	tenebre 𓏏 𓈖 𓌰 𓅓  doom	t’ooch’ (charcoal) 	łizhiní 	'dghelt''ich''i, =ƛʼǝčʼ, =l=tʼǝš, =l=tʼicʼ '		-whin, =ʍin 		tʰum 	tǝ=ɬ=tʼuːčʼ (it turns black), cʼǝq-ɬ-kaʔ (black-like)
177	night 	sī, sʸi 	zeit?	taat 	tłʼééʼ 	'tl''aq'', tets, tʰǝc, ƛʼaqʼ '		'xutł''e'', xitł''e'' '		šiːg, šiːx 	χǝƛʼ
178	day (daytime) 	iˀ 	jour, joun<gun	yagiyee 	jį́ 	jani 		je:nis			
179	year 	sɯɯ, sʸɨː, sɨ 		táakw (winter) 	nááhai 	heyi 		xay 		šeːga, šeːgä, (older sources) šega 	leh q=ʔya
180	warm (as in weather) 	ūs, uˑsʸ, ūś 	ᵏᵋiss	ḵu-ya-t’aa (weather) 	sizílí, honeezílí 	hnalqen 		-nse:l 		fal, pʰal, (hot) kuši	
181	cold (as in weather) 	taʔy (frost, feeling, also exists as frost (n.)), qaqtɯm 		ḵu-si-.aat’ (weather) 	deeskʼaaz, hakʼaz 	edli, ezhi, ǝ=ži 		'isyah, usyah (it''s cold!), -quts, =qʼacʼ '		čal (feeling) 	#NAME?
182	full 	qō (more idiomatic), uˑt 	qall quell kfull	sha-ya-heek 	hadéébįįd 	#NAME?		#NAME?		uːti 	tǝq-i-taʔ -tǝ-ʔya (to become full)
183	new 	kî-sʸ 	kash kadesh	yées 	ániidí 	qʼu-ti-ti, qʼu-ti-qʰǝ-ya-ʔa, qʼu-ti-χ-ya-ʔa 		'q''ung, qʼaŋ '		ki 	qʼaː-yaː (lit. already one-thing)
184	old 	sīn 	senior	shaan (of people), tlagu (of things) 	sání 	'suk''i, q''et''i '		-diya:n			
185	good 	aqta, ˈaqta-sʸ 	agut	ya-k’ei, kalé (archaic) 	yáʼátʼééh 	yagheli, ya=ʁǝl-i 		-who:n, =ʍoːn 		hag-ši, hamaː 	#NAME?
186	bad 	sēl 	sehlecht	'tléil ... shi-k''ei (not good) '	doo yáʼátʼéeh da 	qil 		-chwin			
187	rotten (as a log) 	sīn 	Sin <> senior	li-s’eex, naaḵw (rotten wood), ḵúlk (rotten wood) 	dláád 			-git, -łiw, -łiq			
188	dirty 	sintu 	sin	li-ch’eix̱’w, tl’eex (filth) 	niłhin, chin bąąh 			'chwin-ch''iliw (he is/gets dirty), -chwin'			
189	straight 	tatiŋ 	[s]trait	'tléil ... ka-dzi-teix̱'' (not crooked) '	kʼézdon 			'ts''it, -don'			
190	round 	teɛp (obsolete; no modern attestation), krˈuglʸay-sʸ (Russian) 	k’wát’	k’wát’ (egg) 	názbąs 	'dghelbits'' '		'-wol, -ma:ts'' '		eːper 	qǝmǝkʼ
191	sharp (as a knife) 	ēt 		'li-k''aats'' '	deení 	daghiłyan 		-me:n 		ēti	
192	dull (as a knife) 	salan 		ya-di-g̱eel 	doo deení da 	'ch''daghiłyan '		-chwil			
193	smooth 	uul 	ono	'ka-di-yaas'' '	dilkǫǫh 			-xit (slippery, slick, smooth)			
194	wet 	ultu 	naur,nass, nułchel, chill	'di-tl''aak'' '	ditłééʼ, hoditłééʼ 	nułchel 		-chwil, niłchwił (it is wet; compare to Dena-ina!!) 		ūra 	'łq''u· (to become damp)'
195	dry (adjective) 	toʁojiŋ, tɔʁˈɔyiŋ-sʸ, toˑyiŋ-sʸ 	trocken	ya-xook 	yíłtseii, hóółtseii 			-tsa:y 		šiː=gal 	Err:508
196	right (correct) 	baˀt 	<<	ayáx̱ (like that) 	ákótʼé 	'lach''aq''u '		'xo''ji, xo''ch (true, really, correctly)'			
197	near 	ɯlga 		ka-ya-sei 	áhání 	'dghiłggech'' '		xunding (it is nearby, close) 			taː-, (near, close, visiting) =teːleh, (near, by, with, in poss. of obj) obj=χaʔ
198	far 	bìl 	Bil < fare	ya-lei 	nízah 	daghiset 		'ułtsa:ching'' (distant), nisah (a long way) '			ʔaːw (same as long)
199	right (side) 	boɣot 	baˀt	g̱aayéinax̱.á, sheeynax̱.á 	nishʼnáájígo 			'xo''ji-ching'			
200	left (side) 	tūl 		lḵaax̱éinax̱.á, s’át’nax̱.á 	nishtłʼajígo 	'tl''egheshch''en '		'nichwin''-ch''ing'			
201	at 	ka 	ecke	-x’, eex’, -t, eet 	-di, -gi 	egh 		digyun(g) (at this location, here)			
202	in 	ka 	ecke	(inside of) g̱ei, (inside) yík, tu (its inside) 	biiʼ 	va, veyi 		-			
203	with (accompanying) 	-as 	ᵛᵛith, teen>con	teen, een, -n 	ił, bee 	eł 		mił			
204	and 	haj 	he, ak, auch, too	ḵa 	dóó 	'ch''u '		hijit, hichit (and then)			
205	if 	sīm, ū 	sein…		ládą́ą́ʼ 			-de			
206	because 	-diŋta, doʁot 	denn	'ách áwé (that''s why) '	háálá 	ghuda 		'mich''in(g)''-ding (because of it)'			
207	name 	ī 	!	saa 	bízhiʼ 	izhi, =i=yi, =i=ya, =i=ži 		'-whe'', -whe:, =oː=ʍe-ʔ '		ix, iːx 	wǝšeh
208	house 	iŋɢus 	hut! Ing.hous	hít 	kin 	'qenq''a (log) '		xontah (modern) 	kų́ę́ 		yahd
209	door 	ella, lamel 		x̱’aháat 	dáádílkał 	'dukaq''di '		no:na:witse (door, gate)			
210	deer 	sèl 	Sèl < deer	g̱uwakaan, dzískw (moose), watsíx (caribou) 	bįįh 	vejex (caribou) 		'k''iłixun'			
211	mouse 	ūt 	ᵐouthe	kag̱áak, kuts’een 	naʼatsʼǫǫsí 	'nk''eła, dlin''a '		'ło''n (white-faced mouse) '		ďūta 	'tl''u·tiyas'
212	rabbit 	beˀs (Yugh: ak (jumping hare) < Proto-Yeniseian: ʔak ~ ʔaχ) 	--	g̱áx̱ 	gah 	hvaya 		'na:q''itah-k''iłixun (jackrabbit), tł''oh-me:we (cottontail rabbit) '			g̣əx̣
213	eagle 	diˀ 	--	ch’áak’ (bald eagle) 	atsá 			'ło:q''-ya:n (bald eagle), tismil (large eagle)'			
214	spider 	elim 		'kanas.aadí, asgutuyiksháa (''woman in the forest'') '	naʼashjéʼii 	'nuhqelashi, tuk''ejay '		'k''iłwe:-kyoh'			
215	face 	bāt 	> face	yá 	aniiʼ 	-nan 		-ning			
216	body 	kīt 		daadleeyí (‘flesh around’) 	atsʼíís 			'-nist''e'' (physical body)'			
217	navel 	tɯ̄l 		kool 	atsʼééʼ 			'-ts''e:q'			
218	finger 	təˀq 		tl’eiḵ 	álánééz 			-la			
219	sick (painful) 	àr 		néekw (noun) 	daatsaah, tsʼííh niidóóh 	chinah 		'-ch''a:t'			
220	needle 	ìn 		táax’al’ 	tsah bee náʼálkadí 	'tl''unqin '		'mił-wa''yo:s'			
221	cloth 	sujgiŋ 	Zeug	's''ísaa (sailcloth) '	naakʼaʼatʼą́hí 	'itl'' (clothing)'					
222	thunder 	ekŋ, ekin 		xeitl 	iiʼniʼ 	'k''eltemi '		'k''ehniwh'			
223	lightning 	ekkinna boˀk 		xeitl l’íkws’i 	atsiniltłʼish 	shila 		'k''iqiwh (there is lighthing)'			
224	above 	əət 	at	kináak, shakée 	bikáaʼgi 	'q''ech'' '		'je:nah (up above), -t''a:w'			
225	under 	hɯtka 	untqer	tayee, k’iyee 	biyaa 	't''ugh '		me:wi- (underneath), -yeh			
226	to cough 	qaqtɯmej 	qouqh.tu.me	a-dzi-kooḵ 	dikos 			-xos			
227	to buy 	kitbet 	Biet > buy	ya-.oo 	naʼiiniih 			-xe:t			
228	to choose 	qòs 	qòs = choose	ya-ya-g̱eech 	ííyizh						
229	to grow 	tijiŋ 		ya-waat 	biyaa hooʼaʼ, biyaa hazlį́į́ʼ 	nazyun 		'-chwil, -chwe:n (physically), -yiw, -ya:n (developmentally; e.g. a generation of people), -yun'' (old)'			
230	to open 	uskij 		shu-ya-taan 	yighéígéésh 			-tse:			
231	to steal 	uddiŋ 		ya-taaw 	yiniʼįįh 	'yenast''in '		-kyo:t 			'ch''u'
232	to dream 			a-ya-joon 	naʼiigeeł 			-la:l			
233	to cry 	den 		ya-g̱aax̱ 	atídínéshdlį́į́ʼ, iʼniicha 	chegh 		chweh (noun), -chwiw			
234	to yawn 	esqontiŋ 		'ḵ''a-ya-waash '	bił níʼdiiłchʼah 			-sa:l			
235	to cook 	ə̄n 		si-.ee 	yitʼees / yibéézh 	yelach 		-na:, -na			
236	six 	ā 	--	tleidooshú 	hastą́ą́ 	'k''uzhch''en''i '		xosta:n 	ehtsʼę́tai 	xelu:cha 	'tsi''i:n'
237	seven 	oˀn 	-- 7en	dax̱adooshú 	tsostsʼid 	'qents''eghuyi '		'xohk''it '	lą́hdįgh 	xeli:na 	'la''dits''i:n'
238	eight 	ɯnam bənsaŋ qō 	<<	nas’gadooshú 	tseebíí 	'łtaqul''i '		ke:nim 	ehtsʼę́dįį 	xalto:nga 	'q''adits''i:n'
239	nine 	qusam bənsaŋ qō 		gooshúk 	náhástʼéí 	'łq''ich''idi '		'miq('')os-t''aw '	lúúli 	chumua:ga 	'guts''de:'
240	ten 	qō 	--	jinkaat 	neeznáá 	qeluzhun 		minłung 	honénǫ 	ha:ga 	'dAGa:q'''
