81	leg 	aýak 	bacak! 𓃀 бот +++	🗸🗸	аяқ, бұт 	пĕçĕ 	буут (thigh, leg) 	бут, дөңмек (thigh) 	азах; бут (thigh) 	бут 	бот 	бот 	бут 	аяқ, бұт 	бут 	oyoq, put 	put 		aýak 	qıç 	bacak (Pers.), but (thigh) 	bacaq 	بُوتْ‎ (būt)
82	knee 	dyz 	térd@hun 	~	тiзе 	чĕр куççи 	тобук 	дискек 	тiзек 	тизе 	тез 	тубыҡ 	тобукъ 	тiзе 	тизе 	tizza 	tiz 		dyz 	diz 	diz, dirsek (elbow), topuk (heel) 	tiz 	تٖيزْ‎ (tīz)
83	hand 	el 	Elle vs Arma  qoʻl хол < cheiro	~	қол 	алă 	илии 	хол 	хол 	кол 	кул 	ҡул 	къол 	қол 	кол 	qoʻl 	qol 		el 	əl 	el, kol (arm) 	el 	اَلِكْ‎ (elig)
84	wing 	ganat 	qwingas!! кан~qwan!	~	қанат 	çунат 	кынат 	чалгын 	ханат 	канат 	канат 	ҡанат 	къанат 	қанат 	канат 	qanot 	qanat 		ganat 	qanad 	kanat 	qanat 	قَنَتْ‎ (qanat)
85	belly 	garyn 	𓄡 črěvo coeur-sack!	🗸<	қарын, іш 	хырăм 	ис 	ижин, хырын 	харын, icтi 	карын 	эч, корсак 	ҡорһаҡ 	къарын 	қарын, іш 	карын, ич, курсак 	qorin 	qorsaq 		garyn 	qarın 	karın, kursak (maw, stomach) 	qursaq, qarın 	قَرِنْ‎ (qarïn)
86	guts 	içege 	bags+ sacks	🗸	iшек 	пыршă 	оһоҕос 	шөйүндү 	iчеге 	ичеге 	эчәк 	эсәк 	ичеги, чеги 	iшек 	ичеги 	ichak 	üchey 		içege 	bağırsaq, içalat 	bağırsak 	iç, bağırsaq 	بَغِرْسُقْ‎ (baɣïrsuq)
87	neck 	boýun 	neck nɪkɪmna  моюн << √biegen <>back 		мойын 	мăй 	моонньу, моой 	моюн 	мойын 	мойын 	муен 	муйын 	боюн 	мойын 	моюн 	boʻyin 	boyun 		boýun 	boyun 	boyun 	boyun 	بُيِنْ‎ (boyïn)
88	back 	arka, yagyrny 	ARC! a’Rück!  <> Arsch? 𓐟 	🗸🗸	арқа 	çурăм 	кэлин, арҕа 	оорга 	уча, арға, пiл 	бел 	арка 	арҡа 	сырт 	арқа 	арка 	orqa 	dümbe, arqa 		arka, yagyrny 	arxa, kürək 	arka, sırt, bel (waist) 	arqa, sırt 	اَرْقا‎ (arqā), اُجا‎ (učā)
89	breast 	emjek 	mamma chestum!	🗸	кеуде, көкірек, төс 	кăкăр 	эмиий 	эмиг 	имжек 	эмчек 	имчәк 	имсәк 	кёкюрек, ёшюн 	кеуде, көкірек, төс 	эмчек 	emchak 	emchek 		emjek 	döş 	göğüs, meme, emcek (nipple) 	köküs, kökrek 	كُكُزْ‎ (kögüz), اَمِكْ‎ (emig)
90	heart 	ýürek 	coeur сүрэх ++	🗸	жүрек 	чĕре 	сүрэх 	чүрек 	чӱрек 	јӱрек 	йөрәк 	йөрәк 	джюрек 	жүрек 	жүрөк 	yurak 	yürek 		ýürek 	ürək 	yürek 	yürek 	يُرَكْ‎ (yürek), كُنْكُلْ‎ (köŋül)
91	liver 	bagyr 	bags+ liBor!	🗸	бауыр 	пĕвер 	быар 	баар 	паар 	буур, баар 	бавыр 	бауыр 	бауур 	бауыр 	боор 	jigar 	jiger, béghir 		bagyr 	ciyər 	karaciğer, bağır (breast, bosom) 	qara ciger 	بَغِرْ‎ (baɣïr)
92	to drink 	içmek 	iq…make! 𓂋 Nomnom;)	½ + 🗸🗸	iшу 	ĕçме 	ис 	ижер 	iзерге 	ич 	эчәргә 	эсеү 	ичерге 	iшу 	ичүү 	ichmoq 	ichmek 		içmek 	içmək 	içmek 	içmek 	اِجْماكْ‎ (ičmēk)
93	to eat 	Iýmek, çиме’	isse…make!	🗸 - 🗸🗸	жеу 	çиме 	аһаа, сиэ 	чиир 	чирге 	jи 	ашарга, җияргә, җию 	ашау 	ашаргъа 	жеу 	же 	yemoq 	yimek 		iýmek 	yemək 	yemek, aş (food) 	aşamaq 	يَيماكْ‎ (yḗmēk)
94	to bite 	dişlemek 	ытыр BIT …bisser make! snack	🗸🗸	тiстеу 	çыртма 	ытыр 	ызырар; туткулаар 	ызырарға, тударға 	тиште 	тешләргә 	тешләү 	къабаргъа 	тiстеу 	тиште 	tishlamoq 	chishlimek 		dişlemek 	dişləmək 	ısırmak; dişlemek (bite off) 	tişlemek 	اِسِرْماقْ‎ (ïsïrmāq), تِشْلاماكْ‎ (tišlēmēk)
95	to suck 	emmek 	mamma	🗸🗸	ему, сору 	ĕмме 	эм 	сорар, эмер (as breast) 	сорарға, эмерғе 	соор 	имәргә 	имеү 	эмерге 	ему, сору 	эмүү, соруу 	emmoq, soʻrmoq 	emmek 		emmek 	əmmək 	emmek, somurmak 	emmek 	اَمّاكْ‎ (emmēk), سُورْماقْ‎ (sōrmāq)
96	to spit 	tüýkürmek 	tüýkür…make!	🗸 ?	түкiру 	сурма 	силлээ 	дүкпүрер 	тӱкӱрерғе 	тӱкӱр 	төкерергә 	төкөрөү 	тюкюрюрге 	түкiру 	түкүрүү 	tuplamoq 	tükürmek 		tüýkürmek 	tüpürmək 	tükürmek 	tükürmek 	سُذْماقْ‎ (soδmāq)
97	to vomit 	gusmak 	kotz…make! ++	🗸🗸	құсу 	хăсма 	хотуолат 	кузар 	хузарға 	кус 	костырырга 	ҡоҫоу 	къусаргъа 	құсу 	кусуу 	qusmoq 	qusmak 		gusmak 	qusmaq 	kusmak 	qusmaq 	قُسْماقْ‎ (qusmāq), يَنْماقْ‎ (yanmāq)
98	to blow (as wind) 	üflemek, öwüsmek 	eshu,lüfle, a-woosh	~	үру, үрлеу 	вĕрме 	үр 	үрер (with mouth) ; хадыыр (wind) 	ӱрерғе (wind)  ; ӱбӱрерғе 	ӱр, сок 	өрергә 	өрөү 	урургъа 	үру, үрлеу 	үйлөө (lips) , согуу, уруу (wind) 	esmoq 	esmek 		üflemek, öwüsmek 	üfürmək 	esmek (wind) , üfürmek (mouth) 	esmek (wind) , üfürmek (mouth) 	اَسْماكْ‎ (esmēk)
99	to breathe 	dem almak 	aдем atem ++ (in)hale	🗸🗸	дем алу 	сывлама 	тыын 	тынар 	тынарға 	тын, тынарга 	суларга, тын алга 	тын алыу 	солургъа 	дем алу 	дем алуу 	nafas olmoq, dam chiqalmoq 	nepes alamaq 		dem almak 	nəfəs almaq 	solumak, dinlenmek (have a rest, draw breath) 	nefes almak 	تِنْماقْ‎ (tïnmāq)
100	to laugh 	gülmek 	johl, күл kill;) gelächter	🗸 ~ ;)	күлу 	кулма 	күл 	каттырар 	хатхырарга, кӱлерге 	каткыр 	көлергә 	көлөү 	кюлюрге 	күлу 	күлүү, каткыруу 	kulmoq 	külmek 		gülmek 	gülmək 	gülmek 	külmek 	تِنْماقْ‎ (külmēk), قَتْغُرْماقْ‎ (qatɣurmāq)
101	to see 	görmek 	𓂋𓁹𓁺 Care eygör! Gvr vs mvr 	🗸!	көру 	курма 	көр 	көөр 	кöрерге 	кöр 	күрергә 	күреү 	кёрюрге 	көру 	көрүү 	koʻrmoq 	körmek 		görmek 	görmək 	görmek 	körmek 	كُرْماكْ‎ (körmēk)
102	to hear 	eşitmek 	sDm!	🗸🗸	есту 	илтме 	иһит 	дыңнаар 	истерге 	ук 	ишетергә 	ишетеү 	эшитирге 	есту 	угуу, эшитүү 	eshitmoq 	anglimaq 		eşitmek 	eşitmək 	işitmek, duymak 	eşitmek 	اَشِتْماكْ‎ (ešitmēk)
103	to know (a fact) 	bilmek 	bil.dung? saba! Savoir  		бiлу 	пĕлме 	бил 	билир 	пiлерге 	бил 	белергә 	белеү 	билирге 	бiлу 	билүү 	bilmoq 	bilmek 		bilmek 	bilmək 	bilmek 	bilmek 	بِلْماكْ‎ (bilmēk)
104	to think 	pikir etmek, saýmak, üýtmek 	Şün saengga think!!!	🗸🗸	ойлау 	шухăшлама; шутлама (opine) 	санаа 	бодаар; боданыр сагышсыраар (worry, think) 	сағынарға 	санан 	уйларга 	уйлау 	сагъыш этерге 	ойлау 	ойлоо 	oʻylamoq 	oylimaq, pikir qilmaq 		pikir etmek, saýmak, üýtmek 	düşünmək 	düşünmek; sanmak (suppose, opine) 	tüşünmek 	اُوماكْ‎ (ȫmēk), سَقِنْماقْ‎ (saqïnmāq)
105	to smell (sense odor) 	ysgamak (sniff) 	ysga, шăшлама ~ sensmell		иiскеу (sniff) 	шăшлама (give off smell) 	сыттаа (give off smell) 	чыттаар (give off smell) 	чыстанарға (give off smell) 	[[]] 	иснәргә 	еҫкәү 	ийискерге (sniff, sense) 	иiскеу (sniff) 	жыттоо, искөө (sniff), жыт алуу (to sense), искоо (literary) 	isqamoq (sniff) 	purimaq (sniff, smell) 		ysgamak (sniff) 	iyləmək, qoxlamaq, qoxumaq 	kokmak (give off smell), koklamak (to sniff, sense) 	qoqlamaq 	يِذْلاماقْ‎ (yïδlāmāq)
106	to fear 	gorkmak, eýmenmek 	<> kerker!  Eierman	🗸	қорқу 	хăрама 	куттан 	коргар 	хорығарға 	коркы 	куркырга 	ҡурҡыу 	къоркъаргъа 	қорқу 	коркуу 	qoʻrqmoq 	qorqmaq 		gorkmak, eýmenmek 	qorxmaq 	korkmak 	qorqmaq 	قُرْقْماقْ‎ (qorqmāq)
107	to sleep 	uklamak 	haia, nukl, nickt	🗸	ұйықтау 	çывăрма 	утуй 	удуур 	узирға 	уйукта 	йокларга 	йоҡлау 	джукъларгъа 	ұйықтау 	уктоо 	uxlamoq 	uxlimaq 		uklamak 	yatmaq 	uyumak 	yuqlamaq 	اُذٖيماقْ‎ (uδï̄māq), يَتْماقْ‎ (yatmāq)
108	to live 	ýaşamak 	Yashen 生 Fire		жасау 	пурăнма 	олор, сырыт 	чурттаар 	чуртирға 	jӱр,jes 	яшәргә 	йәшәү 	джашаргъа 	жасау 	жашоо 	yashamoq 	yashimaq 		ýaşamak 	yaşamaq 	yaşamak 	yaşamaq 	يَشاماقْ‎ (yašāmāq)
109	to die 	ölmek 	mör→öl? Old	~	өлу 	вилме 	өл 	өлүр 	öлерге 	öл 	үләргә 	үлеү 	ёлюрге 	өлу 	өлүү 	oʻlmoq 	ölmek 		ölmek 	ölmək 	ölmek 	ölmek 	يَشاماقْ‎ (ölmēk), كَجْماكْ‎ (kečmēk)
110	to kill 	öldürmek 	old! Oʻldir: al’tuer!	^	өлтiру 	вĕлерме 	өлөр 	өлүрер 	öдiрерге 	öлтӱр 	үтерергә 	үлтереү 	ёлтюрюрге 	өлтiру 	өлтүрүү 	oʻldirmoq 	öltürmek 		öldürmek 	öldürmək 	öldürmek 	öldürmek 	اُلْدُرْماكْ‎ (öldürmēk)
111	to fight 	uruşmak (war) , söweşmek, göreşmek (wrestle) , 	warus++ Garaus machen	🗸!	соғысу, ұрысу 	çапăçма 	охсус, туһун, кыргыс, сэриилэс 	демисежир, чаалажар, дайылдажыр 	кӱрезерге, харбазарға; чаалазарға (war) 	тартыжар, кӱрежер; jуулажар (war) 	сугышырга 	һуғышыу 	тюйюшюрге, джагъалашыргъа, кюреширге; уруш этерге (war) 	соғысу, ұрысу 	согушуу, урушуу 	urushmoq (at home) , qurashmoq (war) 	soqushmaq, urushmaq 		uruşmak (war) , söweşmek, göreşmek (wrestle) , 	vuruşmaq, savaşmaq, döyüşmək 	dövüşmek, savaşmak, (to battle) güreşmek (to wrestle) 	dögüşmek 	سَڤَشْماق‎ (savašmāq), جَلِشْماقْ‎ (čalïšmāq), سُنْكُشْماكْ‎ (süŋüšmēk), اُرُشماقْ‎ (urušmāq)
112	to hunt (transitive) 	awlamak 	awl < owl, angel Abala- 		аулау 	тытма çӳре 	бултаа 	аңнаар, аңныыр 	ацнирға 	анда,añuulaa 	ауларга 	аулау 	ууларгъа, уугъа барыргъа 	аулау 	аң уулоо 	ovlamoq 	owlimaq 		awlamak 	ovlamaq 	avlamak 	avlamaq 	اَڤْلاماقْ‎ (avlāmāq)
113	to hit 	patlamak; urmak (beat) 	beatle, charge	🗸🗸	ұру, соғу 	çапма, шаккама 	оҕус, сырбат 	кагар, согар, шанчар 	cабарға, теерге, урунарға 	сок 	сугарга, бәрергә 	һуғыу 	урургъа 	ұру, соғу 	уруу, согуу 	urmoq 	urmaq 		patlamak; urmak (beat) 	vurmaq 	vurmak; çarpmak, sokmak (to sting) 	urmaq 	اُرْماقْ‎ (urmāq), قَقْماقْ‎ (qaqmāq)
114	to cut 	kesmek 	Кес ~ cut	🗸~	кесу 	касма 	кыс, быс 	кезер 	кизерге 	кес 	кисәргә 	киҫеү 	кесерге 	кесу 	кесүү 	kesmoq 	kesmek 		kesmek 	kəsmək 	kesmek, biçmek 	kesmek 	كَسْماكْ‎ (kesmēk), بِجْماقْ‎ (bïčmāq), قِيْماقْ‎ (qïymāq), اُورْماقْ‎ (ormāq)
115	to split 	ýarylmak 	yaw!	<	жару 	пайлама, уйăрма 	хайыт 	чарар, оондактаар; 	чарарға, оодарға (wood) 	оот, jар 	ярырга 	ярыу 	джарыргъа 	жару 	бөлүү, ажыратуу 	yormoq 	yarmaq 		ýarylmak 	yarmaq 	bölmek, yarmak 	yarmaq 	يَرْماقْ‎ (yarmāq), يَرْماكْ‎ (yermēk), اَذِرْماقْ‎ (aδïrmāq), سُكْماكْ‎ (sökmēk)
116	to stab (or stick) 	pyçaklamak, naýzalamak 	Bat! <> beat, push		сұғу, қадау, шаншу 	чикме, тирме 	батары саай 	бижектээр, шанчар, шиштээр 	сазарға 	сай, сайар,çïnçe 	чәнчергә 	сәнсеү, ҡаҙау 	чанчыргъа, сугъаргъа 	сұғу, қадау, шаншу 	саюу, матыруу 	sanchmoq, tiqmoq 	tiqmaq, sanjimaq, pichaqlimaq 		pyçaklamak, naýzalamak 	sancmaq, batırmaq, soxmaq 	bıçaklamak, batırmak, sancı (pain) 	soqmaq 	سَنْجْماقْ‎ (sančmāq), سُقْماق‎ (suqmāq)
117	to scratch (a cat) 	dyrnaçaklamak 	Dyrna.çakla		тырнау 	чăрмалама, черме, шăйăрма 	тарбаа, тыҥырахтаа 	дырбактаар 	тырбахтирға 	тырма 	тырнарга 	тырнау 	тырнаргъа 	тырнау 	тырмоо 	tirnamoq 	tirnaqlimaq 		dyrnaçaklamak 	cızmaq, dırnaqlamaq 	tırmalamak, çizmek (scratch, draw) 	tırnamaq 	قَشٖيماقْ‎ (qašï̄māq), اَزْماكْ‎ (ezmēk)
118	to dig 	gazmak 	Kaspian, kratz, carve	🗸~	қазу 	алтма, чавма, чакалама, чавалама, чавса кăларма 	хас 	казар 	хазарға 	кас 	казырга 	ҡаҙыу 	къазаргъа 	қазу 	казуу 	qazimoq 	kolimaq; qazmaq 		gazmak 	qazmaq 	kazmak 	qazmaq 	قَزْماقْ‎ (qazmāq), قَزٖيماقْ‎ (qazï̄māq), اُشَماكْ‎ (üšēmēk), اُنْكْماكْ‎ (üŋmēk)
119	to swim 	ýüzmek 	鱼水 yuswumak <> juice 	<~	жүзу 	ишме 	уһун, харбаа (Even?) 	эштир 	чӱзерге 	эжин,jüsü 	йөзәргә 	йөҙөү 	джюзерге 	жүзу 	сүзүү 	suzmoq 	(su) üzmek 		ýüzmek 	üzmək 	yüzmek, süzülmek (glide) 	yaldamaq 	يُزْماكْ‎ (yüzmēk), جَبْماقْ‎ (čapmāq)
120	to fly 	uçmak 	(fl)UG! Off	!	ұшу 	вĕçме 	көт 	ужар 	учугарға 	уч 	очарга 	осоу 	учаргъа 	ұшу 	учуу 	uchmoq 	uchmaq 		uçmak 	uçmaq 	uçmak 	uçmaq 	اُجْماقْ‎ (učmāq), تَنْكْماكْ‎ (teŋmēk)
121	to walk 	ýöremek, barmak, gitmek	jire++ gyro geht	🗸🗸🗸	бару, жүру 	утма, çӳреме 	бар, хаамп 	баар; чоруур (go) 	парарға, чöрерге 	бар 	барырга, йөрергә, атлау (stride) 	атлау 	барыргъа, джюрюрге 	бару, жүру 	баcуу, жүрүү 	yurmoq, bormoq, kezmoq 	barmaq, yürmek 		ýöremek, barmak 	gəzmək, yerimək 	yürümek, varmak, (reach, arrive) basmak (to step) 	yürmek 	يُرٖيماقْ‎ (yorï̄māq)
122	to come 	gelmek 	kel,ko’mak ++	🗸	келу 	килме, пыма 	кэл 	келир 	килерге 	кел 	килергә 	килеү 	келирге 	келу 	келүү 	kelmoq 	kelmek 		gelmek 	gəlmək 	gelmek 	kelmek 	كَلماكْ‎ (kelmēk)
123	to lie (as on one's side) 	ýatmak, uzanmak 	shut, jute?		жату 	выртма 	сыт 	чыдар 	чадарға 	jaт, jиадып jaт 	ятарга 	ятыу 	джатаргъа 	жату 	жатуу 	yotmoq 	yatmaq 		ýatmak, uzanmak 	uzanmaq, yatmaq 	yatmak, uzanmak 	yatmaq, uzanmaq 	يَتْماقْ‎ (yatmāq)
124	to sit 	oturmak 	<<>> (s)itur!		отыру 	ларма 	олор 	олурар 	одырарға 	отур 	утырырга 	ултырыу 	олтурургъа 	отыру 	отуруу 	oʻtirmoq 	oltarmaq 		oturmak 	oturmaq 	oturmak 	oturmaq 	اُلْتُرْماقْ‎ (olturmāq)
125	to stand 	durmak 	dura, turm!! ++	🗸<<	тұру 	тăма 	тур 	турар 	турарға 	тур 	торырга 	тороу 	сирелирге, сюелирге 	тұру 	туруу 	turmoq 	turmaq 		durmak 	durmaq 	durmak 	turmaq 	تُرْماقْ‎ (turmāq)
126	to turn (change direction) 	dönmek 	turn.make  бур+dön QED	🗸🗸	бұру, бұрылу 	пăрма, çавăрма 	эргит, эрий 	ээр, эргилдирер 	айлан(дыр)арға, айландыры бызарға 	бурыл 	борырга 	боролоу 	бурургъа 	бұру, бұрылу 	буруу, бурулуу 	burmoq 	burimaq 		dönmek 	dönmək 	dönmek, burmak (to twist) 	burulmaq 	اَڤُرْماكْ‎ (evürmēk), جَڤُرْماكْ‎ (čevürmēk), تَڤُرْماكْ‎ (tevürmēk)
127	to fall (as in drop) 	ýykylmak 	Yekyl dussel, kill <<	<~	жауу, жығылу, құлау 	тӳнме, такăнма; ӳкме 	түс 	дүжер 	тӱзерге 	тюш, дьыгыл 	төшәргә, егылырга 	төшөү 	тюшерге 	жауу, жығылу, құлау 	жыгылуу, түшүү 	tushmoq, yiqilmoq 	jiqilmaq,chüshmek 		ýykylmak 	düşmək 	düşmek, yıkılmak (collapse) 	tüşmek 	تُشْماكْ‎ (tüšmēk), اُجْماقْ‎ (učmāq)
128	to give 	bermek 	bear™ (auf)baren fair, dar, poner	<~	беру 	пама 	биэр 	бээр 	пирерге 	бер 	бирергә 	биреү 	берирге 	беру 	берүү 	bermoq 	bermek 		bermek 	vermək 	vermek 	bermek 	بِيرْماكْ‎ (bḗrmēk)
129	to hold (in one's hand) 	tutmak 	grab++ tut? Total? Donde?		тұту, ұстау 	тытма 	тут 	тудар 	тударға 	тут 	тотарга 	тотоу 	тутаргъа 	тұту, ұстау 	кармоо, тутуу 	tutmoq 	tutmaq 		tutmak 	tutmaq 	tutmak 	tutmaq 	تُتْماقْ‎ (tutmāq)
130	to squeeze 	sykmak 	sqy.ez	🗸	қысуу 	хĕсме, чăмăртама, хĕстерме, пăчăртама 	ык 	кызар 	хызарға 	сыгар, кыза тудар 	кысарга 	ҡыҫыу 	къысаргъа 	қысуу 	сыгуу 	siqmoq, qismoq 	siqmaq, qismaq 		sykmak 	sıxmaq 	sıkmak, kısmak (throttle, choke) 	sıqmaq 	سِقْماقْ‎ (sïkmāq)
131	to rub 	oýkamak, sürtenmek 	oýka<>eyes qed	🗸<	ысқылау 	сăтăрма, сĕрме 	сот (eyes) ; аал 	дүрбүүр, өгээр 	чызарға 	дьыжип сыймаар 	ышкырга, уарга (eyes) 	ышҡыу 	ышыргъа 	ысқылау 	сүртүү, сүйкөө, ушалоо 	ishqalamoq; surtmoq (as cream) 	sürkimek, ugulumaq 		oýkamak, sürtenmek 	sürtmək 	ovmak, sürtmek 	sürtmek 	سُرْتْماكْ‎ (sürtmēk), تُرْتْماكْ‎ (türtmēk), يَقْماقْ‎ (yaqmāq)
132	to wash 	ýuwmak 	jew! 鱼雨 <> swimak	🗸<	жуу 	çума 	сууй 	чуур 	чуурға 	jун,јуу 	юарга 	йыуыу 	джууаргъа 	жуу 	жуу 	yuvmoq 	juymaq 		ýuwmak 	yumaq 	yıkamak, yumak (dialectal) 	yuvmaq	
133	to wipe 	süpürmek 	wish+  awʊ- fu  super+ sauber++	🗸🗸	сүрту 	шăлма 	сот 	чодар; аштаар (clean up) 	чызарға 	арлаар, арчып турар,сӱртӱ 	сөртергә 	һөртөү 	сюртерге 	сүрту 	аарчуу, сүртүү 	artmoq 	sürtmek, éritmaq 		süpürmek 	silmək 	silmek, süpürmek (sweep), sürtmek (rub) 	silmek	
134	to pull 	dartmak, çekmek 	dartj~drag awʊ-  tau/tract!	🗸<	тарту 	туртма; сĕтĕрме (drag) 	тарт 	тыртар 	сöртирге, тартарға 	тарт, чире, чöй 	тартырга 	тартыу 	тартаргъа, тартыргъа 	тарту 	тартуу, чоюу 	choʻzmoq, tortmoq 	tartmaq 		dartmak, çekmek 	çəkmək 	çekmek, tartmak (to weigh) 	çekmek	
135	to push 	itmek 	Hit! ‘ttack	🗸~	итеру, түрту 	тĕкме, тĕртме 	үт, ас 	идер 	iдерге, сазарға 	етер] 	этәргә 	этеү 	теберирге, тюртерге 	итеру, түрту 	түртүү 	itarmoq, turtmoq 	ishtermek 		itmek 	itələmək 	itmek, tepmek (kick) 	itemek	
136	to throw 	atmak 	hit^ dash? Test? Thrush<	^	тастау 	ывăтма, утма, пăрахма 	бырах; кэбис; тамнаа (cast) 	октаар, дажаар 	тастирға, силерге 	ташта 	ташларга 	ташлау 	атаргъа 	тастау 	ыргытуу, таштоо 	otmoq (stone) ; tashlamoq (dice) 	tashlimaq, atmaq 		atmak 	atmaq 	atmak, bırakmak (to let go) 	atmaq	
137	to tie 	baglamak 	bügl;) bandg	<	байлау 	кăкарма, çыхма, сыпма 	баай 	баглаар 	палғирға 	буулаа 	бәйләргә 	бәйләү 	байларгъа 	байлау 	байлоо 	bogʻlamoq 	baghlimaq 		baglamak 	bağlamaq 	bağlamak 	bağlamaq	
138	to sew 	tikmek 	Tack! Stick ++	🗸~	тiгу 	çĕлеме; тĕрлеме (knit) 	тик 	даараар 	тiгерге 	кöктö, шиде,tége 	тегәргә 	тегеү 	тигерге 	тiгу 	тигүү 	tikmoq 	tikmek 		tikmek 	tikmək 	dikmek 	tikmek	
139	to count 	sanamak 	∑ Sana+шут  coundo ++ 	🗸🗸	санау, есептеу 	шутлама 	аах, ахсаанна аах 	санаар 	санирға 	тооло, чотто,саны 	санарга 	һанау 	санаргъа 	санау, есептеу 	саноо, эсептөө 	sanamoq 	sanimaq 		sanamak 	saymaq 	saymak 	saymaq	
140	to say 	diýmek 	Disay~ 第zähl ~count ~сана total !!	🗸🗸	айту, деу 	теме; калама 	эт, диэ 	чугаалар, сөглээр, дээр 	чоохтирға, чохтанарға 	айт 	әйтергә 	әйтеү 	айтыргъа, дерге 	айту, деу 	айтуу, деш 	aytmoq; demoq (pronounce) 	démek, éytmaq 		diýmek 	demək 	demek, söylemek 	demek	
141	to sing 	saýramak 	sayr choir ~söy~sell! Syra𓇗 chmer𓇗! 	🗸🗸 𓇗 	жырлау, ән айту 	юрлама 	ыллаа 	ырлаар 	ырлирға, сарнирға 	кожондо, сарында 	җырларга 	йырлау 	джырларгъа 	жырлау, ән айту 	ырдоо 	ashula aytmoq, kuylamoq 	naxsha étmaq, sayrimaq 		saýramak 	oxumaq 	söylemek, ötmek (for birds) 	yırlamaq	
142	to play 	oýnamak 	𓏠! joý-n-m-k / g-m-n  <> jaz	🗸<	ойнау 	выльама 	оонньоо 	ойнаар 	ойнирға 	ойно 	уйнарга 	уйнау 	ойнаргъа 	ойнау 	ойноо 	oʻynamoq 	oynimaq 		oýnamak 	oynamaq 	oynamak 	oynamaq	
143	to float 	ýüzmek 	Fließ 覆流, ýüz 雨溢yi … pildi	🗸<	жүзу 	ишме (?) 	уһун (as of wood) 	салдаар 	чӱзерге, ағарға 	јӱс 	йөзәргә 	йөҙөү 	джюзерге 	жүзу 	калкуу, cүзүү 	suzmoq 	lepildimek, leylimek, üzmek 		ýüzmek 	üzmək 	yüzmek, süzülmek (glide in water or air)		
144	to flow 	akmak 	aqua++	🗸~	ағу 	юхма 	сүүр 	агар (river) ; төктүр (tears) 	ағарға 	ак 	агарга 	ағыу 	агъаргъа 	ағу 	агуу 	oqmoq 	aqmaq 		akmak 	axmaq 	akmak 	aqmaq	
145	to freeze 	şatlamak, doňdurmak 	settle-- dura	🗸~?	үсу, тоңу 	шăнма 	тоҥ 	доңар 	тоорға 	чарча, тон 	өшергә, туңырга 	өшөү 	юшюрге, бузларгъа 	үсу, тоңу 	тоңуу (with ice) , үшүү (feel cold) 	muzlamoq, toʻngmoq 	tonglimaq 		şatlamak, doňdurmak 	donmaq 	donmak, üşümek (feel cold) 	buzlanmaq	
146	to swell 	çişmek 	шиши swell!!	<	iсiп-кебу, iсiну, ісу 	шыçма 	иһэн таҕыс, ис, көбеө 	ыжар, дөртеер, хапыяр (face) 	сiзерге, кöберге 	сеш 	шешәргә 	шешеү 	кёберге 	iсiп-кебу, iсiну, ісу 	шишүү, көбүү 	shishmoq 	qaparmaq 		çişmek 	şişmək 	şişmek, kabarmak, köpürmek (to foam, bubble) 	şişmek	
147	sun 	gün 	Gün šun ʃiwun SUN / HEL 	🗸🗸🗸	күн 	хĕвел 	күн 	хүн 	кӱн 	кӱн 	кояш 	ҡояш 	кюн 	күн 	күн 	quyosh, kun 	kün 		gün 	gün, günəş 	güneş, gün (day) 	küneş 	كُنْ‎ (kün)
148	moon 	aý 	IAH 月 lun al.ай moon ma.ай biga:god!?	🗸 AI Ia al.aun	ай 	уйăх 	ый 	ай 	ай 	ай 	ай 	ай 	ай 	ай 	ай 	oy 	ay 		aý 	ay 	ay 	ay 	اايْ‎ (āy)
149	star 	ýyldyz 	<> gild! Gold, celt, kult, glitter	~	жұлдыз 	Çăлтăр ~ s’tar	сулус 	сылдыс 	чылтыс 	jылтыс 	йолдыз 	йондоҙ 	джулдуз 	жұлдыз 	жылдыз 	yulduz 	yultuz 		ýyldyz 	ulduz 	yıldız 	yıldız 	يُلْدُزْ‎ (yulduz)
150	water 	suw 	suwater <> 𓋴𓅨𓂋 水 shuǐ!! mwuca 	🗸<	су 	шыв 	уу 	суг 	суғ 	суу 	су 	һыу 	суу 	су 	суу 	suv 	su 		suw 	su 	su 	suv 	سُوڤْ‎ (sūv)
151	rain 	ýağış 	yaquas 雨 ýağ.os	<🗸🗸	жаңбыр, жауын 	çумăр 	самыыр, ардах 	чаъс 	наңмыр 	jaaш, jaнмыр 	яңгыр 	ямгыр 	джангур 	жаңбыр, жауын 	жамгыр, жаан 	yomgʻir 	yamghur 		ýağış 	yağış 	yağmur 	yağmur 	يَغْمُرْ‎ (yaɣmur)
152	river 	derýa 	𓇋 𓏏 𓂋 𓈘 𓈗 Sur-darja 雨™ See 水	🗸🗸🗸	өзен 	çырма, шыв, юханшыв 	өрүс 	хем 	суғ 	суу 	елга 	йылға 	cуу, къобан (Karachay) , черек (Balkar) 	өзен 	дарыя, өзөн 	daryo 	deriya 		derýa 	çay 	ırmak 	özen, neer 	اُكُزْ‎ (ögüz)
153	lake 	köl 	Kuhle! 𓎡 𓄿 𓍘 𓇋	🗸	көл 	кӳлĕ 	күөл 	хөл 	кöл 	кöл 	күл 	күл 	кёл 	көл 	көл 	koʻl 	köl 		köl 	göl 	göl 	göl 	كُولْ‎ (kȫl)
