140	CAT	цициг	čɪčɪɡ	zize <> catze	ацгəы	ɑč ʰɡəɨ	a tcat --	კატა	kˀɑtˀɑ	cat	կատու	katu	katu	
141	BEAR	ча	çə		амшə	ɑmʂə	urmsa	დათვი	dɑ tʰvi		արջ	ɑɾçʰ	arctus	
142	SQUIRREL	тарсал	tərsəl	~	аеш	ɑɛʂ		ციყვი	čʰiqˀvi	čʰiqˀvirl ~ ;)	սկյուռ	skjur	skjurl	
143	ELK	сай	səɪ̆		аҽаҩа	ɑʈ͡ʂʰɑɥɑ		ცხენ-ირემი	čʰxɛn-irɛmi	<<<	հիւսիսային եղջերու	hivsisɑjin ɛʁd͡ʒɛɾu	northern	
144	FOX	цхьогал	čʜōɡəl		абгахəыҷы	ɑb ɡɑ χəɨçʼɨ		მელა	mɛlɑ	black?	աղվես	ɑʁvɛs	ar.fox	
145	HARE	пхьагал	pʜə̄ɡəl		ажьа	ɑʒɑ	haza	კურდღელი	kˀurdɣɛli	khure>hare? <> carne <<<<	նապաստակ	nɑpɑstɑk		
146	MOUSE	дахка	dəxkə		аҳəынаҧ	ɑħəɨnɑpʰ 		თაგვი	tʰɑɡvi	ποντικός pontikós pan.tikvi < teriaq > дахка dəxkə > чычкан çıçkan sıçan topo кутуйах kutuyax тычкан tıçkan <> ticklen?	մուկ	muk	muks mäuschen	
147	WOLF	борз	borz	lu.pus	абгаду	ɑb ɡɑ du		მგელი	mɡɛli	mogli?	գայլ	ɡɑjl	gwol.fa	
148	BIRD	олхазар	olxəzər	el.txier <<	аҧсаатə	ɑpʰ sɑːtʼə	ɸatar saTier	ჩიტი	çitˀi	tchirti	թռչուն	tʰərçʰun	Tier	
150	CHICKEN	котам	kōtəm		акəты	ɑkʼətʼɨ	a котам	დედალი	dɛdɑ li		հավ	hɑv	Huhn	
151	ROOSTER	боргӏал, нӏаьна	borɣəl	<>	арбаҕь	árbɑʁʲ	a borɣəl <<	მამალი	mɑmɑli	ƒ	աքաղաղ	akʰaɣaɣ	cock	
152	GOOSE	гӏаз	ɣəz	ɣoose	аҟыз	ɑqʼɨz	a geez	ბატი	bɑtˀi	𓅭𓏏𓁐 !	սագ	sɑkʰ	goose reverse <> Sax!	
153	EAGLE	aьрзу	aʲrzu͡ʊ	AIR ++	ауарба	ɑuɑrbɑ	Aar<<	არწივი	ɑrčˀivi	Aar… aguil	արծիվ	ɑɾčiv	Aar aquilla	
154	DUCK	бад	bəd	<> daughter !!!	акəата	ɑkʼəɑtʼɑ	da.ck	იხვი	ixvi	<<	բադ	bɑtʰ	<> daughter!	
155	OWL	бухӏа	bu͡ʊhə	mbuhuu	аты	ɑtʼɨ		ბუ	bu	mbu buhu	բու	bu	ambu 𓅓 buhu	
156	CRANE	гӏаргӏули	ɣərɣu͡ʊlɪ	ɣər.n	апҟа	ɑpʼqʼɑ		წერო	čˀɛrɔ	thiero	կռունկ	kɾunk	Kranich	
157	CROW	къиг	qʼɪɡ	къигow	аҟəараан	ɑqʼə ɑrɑɑn	a qarähen	ყვავი	qˀvɑvi	qvəɑr krähve crow	ագռավ	ɑɡrɑv	a crow	
158	CUCKOO	aттйокх	atːjoq		акəыкəу	ɑkʼəɨkʼəu		გუგული	ɡuɡuli	kuckuli	կուկու	kuku	kuku	
159	SWAN	гӏургӏаз	ɣu͡ʊrɣəz	^ goose	агьад	ɑɡʲed	^ goose ≠ eagle	გედი	ɡɛdi	Ganter 𓅭𓏏𓁐 	կարապ	kɑɾɑp	≠ carp  𓅭 𓆛 𓏥 ≠  Duck :	
160	FISH	чӏара	çʼərə	Tier!	аҧсыӡ	ɑpʰ sɨd͡z	a fishz	თევზი	tʰɛvzi	the.fishy	ձուկ	d͡zuk	  דאג  Dorsch Tauch 𓅭 𓆛 𓏥	
161	PERCH (FISH)	окунь	oku͡ʊnʲ		ацəыбла	ɑč ʰəɨblɑ		ქორჭილა	kʰɔrçˀilɑ	carp	պերկես	pɛɾkɛs	perch	
162	PIKE (FISH)	гӏазкхийн чӏара	ɣəzqɪɪ̆n çʼərə		ахиаала	ɑχiɑɑlɑ		ქარიყლაპია	kʰɑriqˀlɑpˀiɑ		գայլաձուկ	ɡɑjlɑčʰuk		
163	SNAKE	лаьхьа	læʜə	Lange	амаҭ	ɑmɑtʰ	a MUŠ 𒈳	გველი	ɡvɛli	ɡvɛli < gwürm KUR	օձ	ɔčʰ	!	
164	WORM	нӏаьна	nʡænə	nuun@	ахəа,ахəац	ɑχəɑ,ɑχəɑč ʰ	a xear	ჭია	çˀiɑ	Tier@Tocharian	որդ	ʋɔɾtʰ	ver < qvrt	
165	SPIDER	гезг	ɡezɡ		абызкаҭаҳа	ɑb ɨzkʼɑtʰɑħɑ		ობობა	ɔb ɔbɑ	humbaba?	սարդ	sɑɾtʰ	spaɾtʰa	
166	ANT	зингат	zɪnɡət		ашышкамс	ɑʂɨʂkʼɑms		ჭიანჭველა	çˀiɑnçˀvɛlɑ	the.ants <> tarantula @ Herodot	միջյուն	mid͡ʒjun	A.Meißen μύρμηξ múrmēx	
167	LOUSE	меза	mezə		аҵа	ɑč ʼɑ	la.use	ტილი	tˀili	ki.tilis kitlaus	ոջիլ	ʋɔçʰil		
168	MOSQUITO	чуьрк	çyrk	;)	акəыбры	ɑkʼəɨbrɨ		კოღო	kˀɔɣɔ	mo.kˀɔɣɔ ~ moskito	մժղուկ	məʒʁuk	məʒʁukito	
169	FLY (INSECT)	моза	mozə	MOSQUITO	амҵ	ɑmčʼ	<<	ბუზი	buzi	buzzer <> bees	ճանճ	çɑnç		
170	BUTTERFLY	полла	polːə	полла-fly	аҧарҧалыкь	ɑpʰ ɑrpʰɑlɨkʼʲ	a papillion	პეპელა	pˀɛpˀɛlɑ	papillion	թիթեռ	tʰitʰɛr	bu.tʰitʰɛr-fly	
171	BERRY	цӏазам	čʼəzəm		аргуц	ɑrɡučʰ	acorn <<<	კენკრა	kˀɛnkˀrɑ	acorn	հատապտուղ	hɑtɑptuʁ		
172	APPLE	ӏаж	ʡəʒ		аҵəа	ɑč ʼəɑ		ვაშლი	vɑʃli	?	խնձոր	χntʰ͡zɔɾ		
173	MUSHROOM	жӏаьлин нускал	ʒʡælɪn nu͡ʊskəl		акəкəбаа	ɑkʼəkʼəbɑː		სოკო	sɔkˀɔ		սունկ	suŋk		
174	ONION	xох	xox		аџьымшьы	ɑd͡ʒɨmʃɨ	a ŠÚM 𒋧	ხახვი	xɑxvi	xох	սոխ	sɔχ		
175	SEED	чlу	çlu͡ʊ	tseed	ажəла	ɑʐəlɑ	a sarlt	თესლი	tʰɛsli	-- <<	սերմ	sɛɾm	serum < sperma < Spreu	
176	GRAIN (SINGLE)	буьртиг	byrtɪɡ	fruit	арыц	ɑrɨčʰ	ὄρυζα óruza   أَرُزّ‎ ʾaruzz	მარცვალი	mɑrčʰvɑli	mo.ɑrɨčʰ ὄρυζα óruza <> reis 𓂋 <> martial mouth!	հատիկ	hɑtik	hay.tec :	
177	HAY	йол	ɪ̆ol	heu.al	аҭəа	ɑtʰəɑ		თივა	tʰivɑ	аҭəа ⲑⲟϩ thoh thresh t'heu !!!	խոտ	χɔt	cut hay™	
178	SKIN (OF FRUIT)	пардо	pərdo	peel <<	ацəа	ɑč ʰəɑ	a Scha.al	ჩენჩო	çɛnçɔ	ʃʰɛn~skin	կեղեւ	kɛʁɛv	< dçer 𓆓𓎛𓂋𓄜 <>  carne	
179	PIT (POTHOLE)	ор	or	> hole	ажра, атыша	ɑʐrɑ, ɑtʼɨʂɑ	>or	ორმო	ɔrmɔ	or.ma	փոս	pʰɔs	pith	
180	TRAP (PITFALL)	кӏело	kʼelo	kuhle	арыҧҟьа	ɑrɨpʰqʼʲe		ხაფანგი	xɑpʰ ɑnɡi		ծուղակ	čuʁɑk	𓋴𓐍𓏏𓌧𓌦 zurück-trap 	
181	NOOSE	noose [EX:on a rope]						მახე	mɑxɛ	Masche > meshe > noose	խեղդան	χɛʁdɑn		
182	TRACK (OF ANIMAL)	лар	lər	<> kˀvɑli	ашьҭа	ɑʃtʰɑ	as track 	კვალი	kˀvɑli	course	հետք	hɛtkʰ		
183	ASH	чим	çɪm		ахəа	ɑχəɑ	ashea	ფერფლი	pʰɛrpʰli	pepel@Slav	մոխիր	mɔχiɾ		
184	FILTH	мода	modə	mud, Moder	аҳəынҵəа	ɑħəɨnčʼəɑ		ტალახი	tˀɑlɑxi		աղտ	ɑʁt		
185	IRON	эчиг	ēçɪɡ	erz.иг	аиха	ɑiχɑ	ɑiχɑn Eisen	რკინა	rkˀinɑ	erzin	երկաթ	jɛɾkatʰ	erz@earth	
186	GOLD	деши	deʃɪ	𒆬𒌓	ахьы	ɑχʲi	Erz, a Kryo	ოქრო	ɔkʰrɔ	kyro, chryso	ոսկի	ʋɔski	<<	
187	SILVER	дети	detɪ	𒆬𒌓	аразны	 ɑrɑznɨ	<< 𒆬𒌓 ruz	ვერცხლი	vɛrčʰxli	sil.ver.sil <> quarts?	արծաթ	aɾčatʰ	argent	
188	CHARCOAL	кӏора	kʼorə	char > coal	арацəа	 ɑrɑč ʰəɑ	charats	ნახშირი	nɑxʃiri	nachter <> nahr:lighter	քարածուխ	kʰɑɾɑčuχ		
189	GLASS	aнгали	anɡəlɪ	angeliss ngilasi  айнек	асаркьа	ɑsɑrkʼʲe		მინა	minɑ	@mine <> xham	ապակի	ɑpɑki		
190	CLAY	поппар	popːər	<> ash?	анышəаҧшь	ɑnɨʂəɑpʰ ʃ		თიხა	tʰixɑ	Ton?	կավ	kɑv		
191	SAND	гӏум	ɣu͡ʊm	gsamt	аҧслымӡ	ɑpʰ slɨmd͡z	ɑpʰ   slimed sland sand	ქვიშა	kʰviʃɑ	quartz?	ավազ	ɑvɑz		
192	PERSON	адам	ədəm	adam	ауаҩы	ɑuɑɥɨ	aryan? адам?	ადამიანი	ɑdɑ miɑni	adaman ++	մարդ	mɑɾtʰ	mortal	
193	MAN	майра	məɪ̆rə	mortal	ахаҵа	ɑχɑč ʼɑ	<<	კაცი	kˀɑč ʰi	kassite, goth	մարդ	mɑɾtʰ	mortal	
194	WOMAN	зуда	zu͡ʊdə	𓊃𓏏𓁐 зуда zuda زُوجَة sētig@Irish soţie@Romanian	аҧҳəыс	ɑpʰ ħəɨs	ɑpʰ  Husche > Ische	ქალი	kʰɑli	girl < kurie	կին	kin	gyne	
195	CHILD (YOUNG HUMAN)	бер	ber	puer	ахəыҷы	ɑχəɨçʼɨ	ɑ χəɨçʼɨ ~ chi'dr	ბავშვი	bɑvʃvi	boys, bursche	զավակ	zɑvɑk		
196	BOY	жимха	ʒɪmxə	jeun?	аҷкəын	ɑçʼkʼəɨn	klein Kain	ვაჟი	vɑʒi	< bɑvʃ	տղա	təʁɑ		
197	GIRL	жима йоӏ	ʒɪmə joʡ	!	аӡӷаб	ɑd͡zʁɑb 	<<	გოგო	ɡɔɡɔ	gogo-girl ;) < kurkure	աղջիկ	aɣd͡ʒikʰ	a'chick ;)	
198	FAMILY	доьзал	døzəl	Dussel:)	аҭаацəа	ɑtʰɑːčʰəɑ		ოჯახი	ɔd͡ʒɑxi	<<<<	ընտանիք	əntɑnikʰ		
199	GRANDFATHER	ненада	nēnədə		абду	ɑb du	Abdul ;) Opa(dad)	პაპა	pˀɑpˀɑ	O'papa	պապ	pɑp	popa	
200	GRANDMOTHER	денана	denə̄nə	dame--	анду	ɑndu	Aunt, Ante => ancestor	ბებია	bɛbiɑ	babsi	տատ	tɑt	tante	
201	PARENTS	да-нана	də-nənə		ани аби	ɑni ɑb i	:	მშობლები	mʃɔblɛbi	<<	ծնողներ	čənoɣnɛɾ	senor	
202	FATHER	да	də	dad	аб	ɑb 	abba @SEM	მამა	mɑmɑ	Myman !!!	հայր	hɑjɾ	ƒair	
203	MOTHER	нана	nə̄nə	nun	ан	ɑn	anne @SEM	დედა	dɛdɑ 	Tante !!!	մայր	mɑjɾ	mêre	
204	SON	кӏант	kʼənt	con<	аҧа	ɑpʰ ɑ	ɑpʰ  heir, a boy --	ვაჟიშვილი	vɑʒiʃvili	bɑvʃ.  <> 2. zwilling	որդի	ʋɔɾtʰi	burt bursche brut born heraty hier	
205	DAUGHTER	йоӏ	ɪ̆oʡ		аҧҳа	ɑpʰ ħɑ		ქალიშვილი	kʰɑliʃvili	girl.	աղջիկ	ɑʁd͡ʒik		
206	BROTHER	ваша	vəʃə	ваша ~ brotha	аиашьа	ɑiɑʃɑ	bu.raʃɑ ≠armin --	ძმა	d͡zmɑ	𓌢𓈖  dos:2	եղբայր	jɛʁbɑjɾ		
207	SISTER	йиша	ɪ̆ɪʃə	ischa	Аҳəшьа	ɑħəʃɑ	a sħəʃɑ sister	და	dɑ 	𓌢𓏏𓁐	քույր	kʰujɾ	kurie	
208	UNCLE	деваша	devəʃə		абиашьа	ábiɑʃɑ	^Father	ბიძა	bid͡zɑ		քեռի	kʰɛri	gero	
209	AUNT	дейиша	dejɪʃə	an te	абиаҳəшьа	ábiɑħəʃɑ		დეიდა	dɛidɑ 	Tante	մորաքույր	mɔɾɑkʰujɾ	mêre.kurie	
210	HUSBAND	майра	məɪ̆rə	marie	ахаҵа	ɑχɑč ʼɑ		ქმარი	kʰmɑri	comer, homer, mari	մարդ	mɑɾtʰ	mari, mortal	
211	WIFE	зуда	zu͡ʊdə	zote = WOMAN 	аҧҳəыс	ɑpʰ ħəɨs	ɑpʰ  Haus	ცოლი	čʰɔli		կին ամուսին	kin ɑmusin		
212	JOY	самукъа	səmu͡ʊqʼə	sym…?	агəырӷьара	ɑɡəɨrʁʲerɑ		სიხარული	sixɑruli		ուրախություն	uɾɑχutʰjun	𓂋 𓈙 𓅱 𓂉 𓏏 𓏛 𓏥 !!!	+++++
213	LAUGHTER	белам	beləm	plem plem	ачча	ɑççɑ		სიცილი	sičʰili	spitzel 𓋴 𓃀 𓏏 𓄑 𓀁 Späße	ծիծաղ	čičɑʁ	spitza <> ծաղ- cał- γελάω Gelächter	
214	HAPPINESS	ирс	ɪrs		аразҟы	 ɑrɑzqʼɨ		ბედნიერება	bɛdniɛr ɛbɑ		երջանկություն	jɛɾçʰɑŋkutʰjun	joy...	
215	GRIEF	бала	bələ	beleid :(	агəырҩа	ɑɡəɨrɥɑ	agony, anger	მწუხარება	mt͡sˀuxɑr ɛbɑ		վիշտ	viʃt	woʃd word	
216	LONGING	лаам	ləəm	lomg	агəхəтəы	ɑɡəχətʼəɨ		წადილი	t͡sˀɑdili	t͡sˀɑ <> t͡sʰɑŋ	ցանկություն	t͡sʰɑŋkutʰjun	tshank.ition	
217	DESIRE	лаам	ləəm	lomg	агəазыҳəара	ɑɡəɑzɨħə ɑrɑ		წადილი	t͡sˀɑdili		փափագ	pʰɑpʰɑkʰ	pro.pha… apapeal;)	
218	SPIRIT	са	sə	Seele :	аҧсы	ɑpʰ sɨ	ɑpʰ  sɨ(rit)  soul	სული	suli	soul	ոգի	ʋɔkʰi	vnoice	
219	THOUGHT	ойла	oɪ̆lə		ахəыцырҭа	ɑχəɨt͡sʰɨrtʰɑ		ფიქრი	pʰikʰri	pencer	միտք	mitkʰ	menta	
220	MEMORY	диццадалар	dɪt͡sːə dələr	thoughts.ler	агəынкылара	ɑɡəɨnkʼɨl ɑrɑ		მეხსიერება	mɛxsiɛr ɛbɑ	me…	հիշողություն	hiʃɔʁutʰjun		
221	MIND	хьекъал	ʜeqʼəl	hex	ахшыҩ	ɑχʂɨɥ		ჭკუა	çˀkˀuɑ	checkua	խելք	xɛlkʰ	Schalk	
222	MEANING	маьӏна	mæʡnə	++	аҵакы	ɑt͡s ʼɑkʼɨ		მნიშვნელობა	mniʃvnɛl  ɔbɑ	mnining mniʃvnɛ	իմաստ	imɑst	menst, matter?	
223	REASON	бахьана	bəʜənə		амзыз	ɑmzɨz		მიზეზი	mizɛzi	math.is	պատճառ	pɑtː͡ʃɑr	pattern?	
224	TRUTH	бакъдерг	bəqʼderɡ	<	аиаша	ɑiɑʂɑ	assure azura << 𐎠𐎼𐎫 a-r-t /arta/	სიმართლე	simɑrtʰlɛ	sym.arta sy.maat <>	ճշմարտություն	çəʃmɑɾtutʰjun	c'est Mathe.tion 𓌴𓐙𓂝𓏏𓏯𓏜 𓁦	
225	CONVERSATION	къамел	qʼəmel		аиҿцәажәара	ɑiʈʈ͡ʂʼt͡ɕʷʰoʒʲʷørɑ		ბაასი	bɑɑsi	fasel	զրույց	zɾujt͡sʰ	schwatz <> chats √dice	
226	FAIRY TALE	туьйра	tyɪ̆rə	tyɪ̆rə > Tier tale	алакə	ɑlɑkʼə	a legend	არაკი	ɑrɑkˀi	hieroky	պայիկի պատմություն	pɑjiki pɑtmutʰjun	pixi [story] :	
227	STORY	дийцар	dɪɪ̆t͡sər	ditser!	ажәабжь	ɑʒʲʷøbʒ	a sprach?	თქმულება	tʰkʰmul ɛbɑ	talkmal --	պատմվածք	pɑtmvɑt͡skʰ		
228	MESSAGE	хаам	xəəm		адырраҭара	ɑdɨrrɑtʰ ɑrɑ		ცნობა	t͡sʰn ɔbɑ	send.ba	հաղորդագրություն	hɑʁɔɾtʰɑɡɾutʰjun	harbinger.ition hermes hałordagrel	
229	NEWS	керланиг	kerlənɪɡ		ажәабжь ҿыц	ɑʒʲʷøbʒ ʈʈ͡ʂʼɨt͡sʰ		სიახლე	siɑxlɛ	<	լուր	luɾ	lure liars;)	
230	NAME	цӏе	t͡sʼe	at@turk	ахьӡ	ɑχʲd͡z	a heiss	სახელი	sɑxɛli	Sache	անուն	anun	renom	
231	SPEECH (ADDRESS)	хӏетал-метал	hetəl-metəl		ацуфара	ɑt͡s ʰuf ɑrɑ	a cypher	გამოცანა	ɡɑ mɔt͡sʰɑnɑ		բարդ խնդիր	bɑɾtʰ χntʰiɾ	barde > word	
232	SPEECH	къамел	qʼəmel		ажәа	ɑʒʲʷø	a say	სიტყვა	sitˀqˀvɑ	chat.quoth <<	ճառ	çɑr		
233	LANGUAGE	мотт	motː	mot	абызшəа	ɑb ɨzʂəɑ	a voice <> bet < pregunt--	ენა	ɛnɑ	𓈖𓄓 (tongue)	լեզու	lɛzu	lissan langzue glosse	
234	VOICE	aз	az	at@turk : name	абжьы	ɑb ʒɨ	a voice	ხმა	xmɑ	Stimme	ձայն	d͡zɑjn	"sayin <> տոն	  tɔn	Ton"	
235	WORD	дош	doʃ	dice	ажәа	ɑʒʲʷø		სიტყვა	sitˀqˀvɑ	բառ	բառ	bɑr	barde > word	<<
236	SIGN	билгало	bɪlɡəlo		адырга	ɑdɨrɡɑ 	a direction	ნიშანი	niʃɑni	նշան	նշան	nəʃɑn	ne.sign	
237	CALL (APPEAL)	кхайкхар	qəɪ̆qər		аҿҭы	ɑʈʈ͡ʂʼtʰɨ		ძახილი	d͡zɑxili	կոչ	կոչ	kɔçʰ	calçʰ	
238	NOISE	гӏовгӏа	ɣɔ͡ʊɣə	1/𓎼𓂋	ашьҭыбжь	ɑʃtʰɨbʒ	chirps ;)	ხმაური	xmɑuri	աղմուկ	աղմուկ	aɣmuk	noiɣ.make krach.mach	
239	SOUND OR NOISE	аз	əz		ашьҭыбжь	ɑʃtʰɨbʒ	chirps ;)	ხმა	xmɑ	հնչյուն	հնչյուն	hnçʰjun		
240	TONE (MUSIC)	aз	az		атон	ɑtʼɔn	a tone	ტონი	tˀɔni	տոն	տոն	tɔn	Ton	
241	SONG	илли	ɪlːɪ	lala@HEB	ашəа	ɑʂəɑ	a song	სიმღერა	simɣɛrɑ	երգ	երգ	jɛɾkʰ	jerk;)	
242	QUIET	тийналла	tɪɪ̆nəlːə	tranquille	аҭынчра	ɑtʰɨnçrɑ		სიწყნარე	sičˀqˀnɑrɛ	անդորրություն	անդորրություն	ɑntʰɔɾɾutʰjun	ɑntʰ Ruhe	
243	PEOPLE (SEVERAL)	нах	nəx	next mac	ауаа	ɑuɑː	arya?	ადამიანები	ɑdɑ miɑnɛbi	մարդիկ	մարդիկ	mɑɾtʰik	mortals	
244	PEOPLE	халкъ	xəlqʼ	quelque	ажəлар	ɑʐəlɑr	<<< .lar plural	ერი	ɛri	ազգ	ազգ	azɡ	zergs;)	
245	WORK (LABOUR)	болх	bolx	work 𓃀 𓎛 𓏮 𓂡	аусура	ɑusurɑ	a kura	მუშაობა	muʃɑ ɔbɑ	գործ	գործ	ɡoɾt͡s	gwrz quarzen ergo worken	
246	GUEST	хьаша	ʜəʃə	ghueshe	асас	ɑsɑs	guesas	სტუმარი	stˀumɑri	Stamm-gast	հյուր	hjuɾ		
247	GIFT	совгӏат	sɔ͡ʊɣət	schenk(et)	аҳамҭа	ɑħɑmtʰɑ	ɑ ħɑmtʰɑ !	საჩუქარი	sɑçukʰɑri	նվեր	նվեր	nəvɛɾ	nivēδ 👁 ngift	
248	GAME	ловзар	lɔ͡ʊzər	leasure	ахəмарра	ɑχəmɑrrɑ	a gamera 𓏠 @ gemäuer	თამაში	tʰɑmɑʃi	tamagochi;)	խաղ	χɑʁ	<< χəmɑr ?	
249	COMPANIONSHIP	юкъаралла	juqʼərəlːə	joker	агəыҧ	ɑɡəɨpʰ	a group	საზოგადოება	sɑzɔɡɑ dɔ ɛbɑ	ընկերություն	ընկերություն	əŋkɛɾutʰjun	<<	
250	HELP	гӏо	ɣo	give	ацхыраара	ɑč ʰχɨrɑːrɑ		შველა	ʃvɛlɑ	օգնությթուն	օգնությթուն	ɔɡnutʰjtʰun	^^	
251	FRIEND	доттагl	dotːəɡl	dos2	аҩыза	ɑɥɨzɑ	a huiza @ Haus < guest, host	მეგობარი	mɛɡ ɔbɑri	ընկեր	ընկեր	əŋkɛɾ	enger anchor Enkel <>𓐍𓈖𓌰𓅓𓋴𓁒𓀀   𓋴 𓍋 𓅓 𓂋 𓀙 𓀀   	
252	COMPANION	накъост	nəqʼost	next <>	Аҧхнагьла	ɑpʰ χnɑɡʲlɑ	ɑpʰ  synagoal	ამხანაგი	ɑmxɑnɑɡi	ուղեկից	ուղեկից	uʁɛkit͡sʰ		
253	MATTER (AFFAIR)	гӏуллакх	ɣu͡ʊlːəq		аус	ɑus		საქმე	sɑkʰmɛ	բան	բան	ban	Being	
254	COUNT (NUMBER)	терахь	terəʜ	tell	ахыҧхьаӡара	ɑχɨpʰχʲed͡z ɑrɑ		ოდენობა	ɔdɛn ɔbɑ	counte.numba	քանակ	kʰɑnɑk	Kanakh <> count!	
											տեսակ կտոր	tɛsɑk kətɔɾ	Teil.Sache 	✓?
256	PIECE	юьхк	jyxk	<	аҽыҭ	ɑʈ͡ʂʰɨtʰ		ნატეხი	nɑtˀɛxi		կտոր	kətɔɾ	cut	✓
257	PART	дакъа	də̄qʼə	dec… cut?	ахəҭа	ɑχətʰɑ	a cut	წილი	čˀili		մաս	mas	𓏶 mas=part! 𒈦 maš/pár	+++
258	HALF	ах	əx		абжа	ábʐɑ	a 𓆑 <> tongue	ნახევარი	nɑx ɛvɑri	next.every	կես	kɛs	küz kurz կրտսեր krtser kürzer	✓
259	CIRCLE	го	ɡō	gyr!	агьагьа	ɑɡʲeɡʲe	ɑ ɡʲeɡʲel ~ circle	წრე	čˀrɛ	gyr!	շիջանակ	ʃiçʰɑnɑk	𓋹 	+++
260	CROSS	жӏара	ʒʡə̄rə	жӏаross	аџьар	ɑd͡ʒɑr	ɑ d͡ʒɑros ~ cross	ჯვარი	d͡ʒvɑri	xvaris	խաչ	χɑçʰ	<> ხაზი xɑzi cross	<<
261	LINE	сиз	sɪz		аицтәар	ɑičʰt͡pʼor	--	ხაზი	xɑzi	 x  خاده‎ xāda  𐌲𐌰𐌻𐌲𐌰 galga	գիծ	ɡit͡s	𒄑?	
262	STROKE (OF PEN)	сиз	sɪz		ацəаҳəа	ɑč ʰəɑħəɑ		შტრიხი	ʃtˀrixi	Strich	գիծ	ɡit͡s	𒄑?  (with reeds)	
263	GAP	юкъ	juqʼ	juxta-pose?	абжьара	ɑb ʒ ɑrɑ	ab.go?	მანძილი	mɑnd͡zili	𓎫	անջրպետ	ɑɲd͡ʒɾpɛt	ante…	
264	DISTANCE										հեռավորություն	hɛrɑvɔɾutʰjun	dhura.varution > duration	
265	AREA	мeттиг	metːɪɡ	metro	аҭыҧ	ɑtʰɨpʰ		არე	ɑrɛ	ɑrɛa	շրջան	ʃəɾçʰɑn	circum…	
266	SPACE (FREE)	майда	məɪ̆də	metro	аҭыҧ	ɑtʰɨpʰ		ფართობი	pʰɑrtʰɔbi	part	տարածություն	tɑɾɑt͡sutʰjun	terrace.tion 𓇾𓇿𓏏	
267	PLACE (POSITION)	меттиг	metːɪɡ	metro	аҭыҧ	ɑtʰɨpʰ		ადგილი	ɑdɡili		տեղ	tɛʁ	terre, tel 𓇾𓇿𓏏 վայր vayr Weiher way	
268	SIDE (OF OBJECT)	aгӏo	aɣo	eck,angle?	аган	ɑɡɑ n	a gon (polygon)	მხარე	mxɑrɛ	mere:part	կողմ	kɔʁm	kante	
269	MIDDLE	юкъ	juqʼ	junc?	агəҭа	ɑɡətʰɑ	a goth (cut) ~ a medi 	შუა	ʃuɑ	中 center	մեջտեղ	mɛd͡ʒtɛʁ	mɛd͡ʒtɛʁ ~ midtel	
270	ITEM (TOUCHABLE)	хӏума	hu͡ʊmə		амаҭəар	ɑmɑtʰəɑr	itemar ~ amitar	საგანი	sɑɡɑni	Sachen	առարկա	aɾaɾka		
271	THING	хӏума	hu͡ʊmə	human;)				ნივთი	nivtʰi		բան	ban	Being	
272	FRINGE	йист	ɪ̆ɪst		аҵкар	ɑč ʼkʼɑr		კიდე	kˀidɛ		վերջք	vɛɾçʰkʰ	vɛɾinçʰkʰ	
273	EDGE	йист	ɪ̆ɪst		авардым	ɑvɑrdɨm		ნაწიბული	nɑč ˀibuli		եզր	jɛzəɾ	ɛjzəɾ edge	
274	CORNER (OUTSIDE)	са	sə	са…	акəакь	ɑkʼəɑkʼʲ	Ecke	კუთხე	kˀutʰxɛ		անկյուն	ɑŋkjun	angle <> knee	
275	TIP (OF OBJECT)	ралла	rəlːə	reling?	аҧынҵа	ɑpʰ ɨnčʼɑ		წვეტი	čˀvɛtˀi		ծայր	t͡sajɾ	tijp?	
276	END (OF SPACE)	юьхьиг	jyʜɪɡ		анаӡара	ɑnɑd͡z ɑrɑ	endzara	ბოლო	bɔlɔ		ծայր	t͡sɑjɾ	tijp?	
277	HOLE	ӏуьрг	ʡyrɡ	lurk@loch!	акылҵəара	ɑkʼɨlčʼə ɑrɑ		ხვრელი	xvrɛli		անցք	ant͡sʰkʰ	𓋹𓍶!? @ants	
278	CORNER	са	sə	сo®…	агҿаҩра	ɑɡʈʈ͡ʂʼɑɥrɑ		კუთხე	kˀutʰxɛ		անկյուն	ɑŋkjun	angle	✓?
279	PATTERN	дагар	dəɡər		аҟҟа	ɑqʼqʼɑ	ɑ'color	მოხატულობა	mɔxɑtˀul ɔbɑ	@xɑtˀul 𓏋𓍷 	օրինակ	ɔɾinɑk	<> rank,range 🇨🇴 	
280	SIZE (OF OBJECT)	барам	bərəm	bare=weight -	изаҟароу	izɑqʼɑrɔu	𓋴𓈎𓀠	ზომა	zɔmɑ	∑𓊃	մեծություն	mɛt͡sutʰjun	measure.tion	
281	LENGTH	йохалла	ɪ̆ōxəlːə	hoch.elle	аура	áurɑ		სიგრძე	siɡrd͡zɛ		երկարություն	jɛɾkɑɾutʰjun	𓀠𓀠	<<
282	HEIGHT	локхалла	loqəlːə	long.elle	агылара	ɑɡɨl ɑrɑ		სიმაღლე	simɑɣlɛ	symegalo 𒃲	բարձրություն	bɑɾt͡sʰɾutʰjun	berg berkɑɾu.tion	
283	WEIGHT	йозалла	jozəlːə		акапан	ɑkʼɑpʼɑn		წონა	čˀɔnɑ		կշիռ	kəʃir	cache	
