№	English	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!				
38	man	𓁷 𓂋 𓇯 𓀀		head man	Oberherr / afasir: officer++ @ Kurd	
38	man	𓐍 𓅓 𓁸		ignorant man	‘igmo / Gabi‘  / grey-hair / old = ignorant / buuh‘	
38	man	𓂋 𓂢 𓈎 𓅪  𓄣 𓏤		disaffected man 	Ekel? / racker / wreck? / Recke / ?? / ⇔ recht-hand/arm	
38	man	𓂋 𓈖𓊪𓆳 𓀔 𓀀		young man	Reiner ^^ / Renault / renphujer ➙ renphuter / Ren-Viecher?	
38	man	𓂋 𓍃 𓀀 𓏥		 man, men, mankind, Egyptians	RMC ^^ vs RTTN Ratten  / Ramesser ^^	
38	man	𓂋 𓍿𓀀		man, men, mankind, Egyptians	Ramcer ^^ 2*with M  abr. / developed / Race / erster? / Earther / Erder	
38	man	𓂋 𓍿𓏏𓀀 𓏥		 man, men, mankind, Egyptians		
38	man	𓂋 𓏏𓀀 𓏥 𓁐		 man, men, mankind, Egyptians	Röter / Retter / Rieter / VS Ramether with M 2* above! Ramosser	
38	man	𓂋 𓐍 𓏛 𓀀		wise man		
38	man	𓂋 𓐍 𓏛 𓏏𓐍 𓏛 𓏥 𓀀		wise, learned man	"recter-tecter / ""rector-teacher"""	
38	man	𓂋 𓐝 𓍿𓀀 𓁐		 man, men, mankind, Egyptians	Ramesser +++ ← >>> Mizraim / RenMinCa ?? / re-parther / Remsi ⇔	
38	man	𓂝 𓈖𓁺 𓏛 𓀀		the pleasant man	Anmutiger	
38	man	𓂝 𓍑 𓄿 𓂡 𓀀		guilty man, wrongdoer		
38	man	𓃀 𓍿𓈖𓏌𓅱𓂉 𓏤		defiant man, rebel		
38	man	𓃀 𓍿𓈖𓏌𓅱𓂝 𓀀		defiant man, rebel		
38	man	𓃀 𓎼 𓄿 𓏲 𓈗 𓀀		shipwrecked man	binerun meerer	
38	man	𓃀 𓏏𓈖𓂉 𓀜 𓄣 𓏤		insolent man		
38	man	𓃀 𓏏𓈖𓏌𓂡		defiant man, rebel	Beduin <> bandit	
38	man	𓃀 𓏏𓈖𓏌𓅱𓂉 𓀐		defiant man, rebel	Phøtaner	
38	man	𓄊 𓂋 𓀀		wealthy man		
38	man	𓄊 𓋴𓂋 𓀀		wealthy man	makger / macher ⇔ maha-ratja / Maxer / Maser / Vesir	
38	man	𓄊 𓋴𓂋 𓂡 𓀀		wealthy man		
38	man	𓄡 𓏏 𓏤 𓀀 𓁐 𓏥		body, generation, people	scrot / ←?!?>	
38	man	𓄦 𓏏 𓏤		back, spine,middle 	Post.Grat ® / ⇔ bank?	
38	man	𓅓 𓏏𓀐		dead man, mortal man		
38	man	𓅓 𓏏𓏱		dead man	murto / parti	
38	man	𓅖 𓇋𓇋𓅱𓈗		semen, seed of man	mayn seas : men seed = semen susar@Persia! ⇔ essence Soße!	++?
38	man	𓅮𓏏𓏗 𓍘 𓇋		man of ancient family	Patron Patriarch Flut Seti !	
38	man	𓅷 𓄿 𓇋𓇋𓂺 𓀀		male, man	para.sen = para.jeun = parente ! DEEP parisen ⇔ per-ibsen / ⇔ senior	
38	man	𓅷 𓇋𓇋		male, man	?? ⇔ min-pottery !?	
38	man	𓅷 𓇋𓇋		male, man	phai ⇔ boy !? / chuck norris 	
38	man	𓅾 𓅱𓀁𓀀		timid, frightened man		
38	man	𓅾 𓏛		timid, frightened man	necropolis	
38	man	𓆂 𓏏𓏥		 man, men, mankind, Egyptians		
38	man	𓆄 𓏲 𓅪  𓀀		needy man	schwenz voll  / ~Schwindler / Sinuhe!! / ⇔ Swizz--	
38	man	𓆑 𓄿 𓎡 𓀀		shorn man		
38	man	𓆓 𓆑 𓄿 𓇋𓇋𓏳 𓀀		a well - provided man	Schnösel 	
38	man	𓆓 𓈖𓏌𓏲		angry man		
38	man	𓇅 𓆓 𓏛 𓀀		fortunate man	Richter! ⇔ / Richer / Richard ⇔ chard	
38	man	𓇇 𓅱𓀀		marsh - man		
38	man	𓇉 𓄿		naked man	 nude / hairy	
38	man	𓇉 𓄿 𓏮 𓅱𓋳 𓀀		naked man		
38	man	𓇋𓂧 𓎛 𓇋𓇋𓇇 𓀀		marsh-man		
38	man	𓇋𓂧 𓎛 𓇋𓇋𓇇 𓊖 𓀀		marsh - man	Fischer ++ / Watery / ~Idher : river	
38	man	𓇋𓃀  𓈗 𓀁		a thirsty man  E }		
38	man	𓇋𓃀 𓃙 𓀁𓀀		thirsty man	pthbhty ~ δiψ.y = thirsty original GR! ++ / vs aba ƒth ⇔ aber ab💧 ob? abvi aqui aqua ? / fthr⇔wasser?	
38	man	𓇋𓄿 𓀗		old man	hier / ⇔	
38	man	𓇋𓄿 𓅱𓀀		old man	hieren	
39	child	𓐍 𓏤 𓀔		child, be a child	ѥti: kid + ! ← / gyrd/circl⇔child 	
39	child	𓐍 𓇋 𓇋 𓀔	child	child, be a child	
39	child	𓐍 𓈖 𓏌 𓅱 𓀔		child	Kinneren / Kinder	
39	child	𓎛 𓃹 𓈖 𓀔		child, young man	Hannes < Kind <> Sohn	
39	child	𓈖 𓐍 𓈖 𓀔 𓀀		child	Ahnen-Kinder 𒀭 Enkinder <> Enkel	
39	child	𓈖 𓐍 𓈖 𓅱 𓀔		child	𒀭Kinner	 <> nuckel?
39	child	𓈖 𓐍 𓈖		child	niño < nigno < micron, necron 𓈖𓏘… 𓊻 Näxern <> Nahrung Unken <> Enkel	
39	child	𓄡 𓂋 𓂧 𓀀		child	scrd➙chard child	
39	child	𓋴 𓆓 𓏏 𓀔		child, foster - child 	
39	child	𓊃 𓂧 𓏏 𓏮 𓍘		child, foster - child 	statuti / synchirde	
39	child	𓀔 𓀀		child		
39	child	𓀖 𓏏		foster child 		
39	child	𓃢		royal child		
39	child	𓄟 𓋴 𓏯		child	«Mäuschen» Maise / Mose / µNaisser / Messil	
39	child	𓄟 𓅱 𓏏 𓏏 𓀔		girl child	Messutth / Mississ	
39	child	𓄟 𓀔		child	Meschard / Nee-chard / Mascot	
39	child	𓇋 𓀯		royal child 	 Amon?	
39	child	𓇅 𓎛 𓀖		weaned child 	Richard ⇔ chard ← QED / Richer ⇔ chard / Reicher	
39	child	𓇋 𓈖 𓊪 𓅂		royal child	infant! ++	
39	child	𓇋 𓈖 𓊪 𓀖		royal child	Imp: der Kobold / Schelm / infochard	
39	child	𓇋 𓐝 𓏏 𓀖		foster-child	import? 
39	child	𓎘 𓎛 𓀔		wean, weaned child		
39	child	𓎛 𓃹 𓈖 𓀔		child, young man	<> Sohn	
39	child	𓎛 𓃹 𓈖 𓇬 𓀔		child, young man	‘Hasen / Hansen  
39	child	𓎛 𓇬 𓈖		child, young man  
40	wife	𓌢 𓈖 𓏏 𓁐		wife	zantiy zan@Pers + तिय tiy  <> 丈夫 zan fu	
40	wife	𓌢 𓈖 𓏏 𓁐		wife	‘خانہٕ دارێنؠ‎‎ (xānụdāren‘), زَنان‎‎‎ (zanān‎‎),‘	
40	wife	𓊃	𓏏	𓁐			Egyptian Arabic ست‎ f sitt ሴት set  < ሰበይቲ säbäyti sápat sytu, suto زُوجَة‎ 
40	wife	𓊃	𓏏	𓁐		woman, wife	зуда zuda Chechen xotin catin ҡатын qatïn => Gattin 𓈞𓏏𓁐	
40	wife	𓊃	𓏏	𓁐		woman, wife	𒁮 aššatu 𒊩 sinništu ! cristiane	
40	wife	𓊃	𓏏	𓁐		woman, wife	cymt > γαμετή gametḗ	
40	wife	𓊃	𓏏	𓁐		woman, wife	स्त्री strī istri Esther Doublet of तिय tiy	
40	wife	𓊃	𓏏	𓁐		woman, wife	tamɣart  tawtmt (Berber) <> 𓊃 tauto > sys	
40	wife	𓊃	𓏏	𓁐 𓈞 𓏏𓁐		wife	[z]tamɣart  [z]tawtmt (Berber) <> 𓊃 tauto > sys	
40	wife	𓊃	𓏏	𓁐 𓈞 𓏏𓁐		woman, wife	Zant Brünt / Xanthippe  yvnxyind Chagatai: حاتون‎ ḥatun	
40	wife	𓊃	𓏏	𓈟 𓏏𓁐		woman, wife	𓈟𓏏𓁐  पत्नी  patnī partnerin	
40	wife	𓈟 𓏏 𓁐		woman, wife	brünnt ⇔ Braut	
40	wife	𓈟 𓏏 𓁐		woman, wife	𐎀𐎘𐎚 ảṯt > Ische?	
40	wife	𓌸 𓂋 𓏏		wife	مرات‎ mrat : married wife  <> mutzere <> мирде mirde : mari 𒄩 𒈨𒊑𒄿 𒊭   爱人 àirén	
40	wife	𓌸 𓂋 𓏏		wife	Magt > mugghieri mugere moulier  ሚስት mist mistress	<> 𓄟 𓋴 𓏏 𓁒
40	wife	𓁹 𓈞 𓏏 𓁐		take a wife, to marry	
40	wife	𓎛 𓃀 𓋴 𓇋 𓇋 𓏏 𓋳		wife	와이프 waipeu = Weib +  ست sitt ሴት set  ~ Weibstück	
40	wife	𓎟 𓏏 𓉐 𓏤		wife	Alte@Altar! 	
40	wife	𓎟 𓏏 𓉐 𓏤		wife	𓈟𓏏𓁐  पत्नी  patnī partnerin	
40	wife	𓎟 𓏏 𓉐 𓏤		wife	Kulti > ҡатын qatïn Gattin	
41	husband	𓎟 𓀀		husband	ӄылавул qəlavul Kulti >  Gatte	
41	husband	𓉔 𓂸		husband	houspen / husband  ϩⲁⲓ hai, hatti < Gatte	
41	husband	𓌢 𓈖𓀀		husband	kin / gentle-man / husband=brother WTF   𒇽𒀸	
42	mother	𓂠 𓏏 𓁐		mother	parent OK phortza vs pater! ----	
42	mother	𓂸 𓏏 𓁐		mother	cunt: / pennt  vs 𓉔𓂸 husband	
42	mother	𓄟 𓋴 𓏏 𓁒		mother	mesther / mother / mistress ሚስት mist 	
42	mother	𓅐		mother	MUT ®	
42	mother	𓅐 𓏏 𓁐		mother	Mut.IA	
42	mother	𓈙 𓅓 𓏏		mother - in - law	Schämdi <> 	
43	father	𓇋 𓏏 𓆑 𓀀		father	ƒtv fatav	attav <> feather python 𓇋𓇋𓆑
43	father	𓊪 𓏏 𓇯 𓀭 Ptah sky father pater Petrus  
43	father	𓈖 𓏏 𓆑		to his father	ante phyton ~ patern 
43	father	𓊹 𓏏		‘god‘s father‘	πατήρ.θε / ƥατėr.the QED / father.theus / parther / panther	
43	father	𓏏 𓆑		father	
43	father	𓆷 𓄿 𓅓		father - in - law	Schwäher = Schwieger Schwäger Schwager ++++ DE	
44	animal	𓄛   <> 𓂧𓂋𓄛 Tier θήρ deer 𐌳𐌹𐌿𐍃 tsir@Bantu 𓅂 tyw® طير‎ ṭīr   𓂧𓁷𓂋𓄛 le'der чкъор dçer 𓆓𓎛𓂋𓄜 
45	fish	𓂋 𓅓 𓆛 𓂻		fish  	ⲣⲁⲙⲓ rami yiram > arrain @ Rhein	
45	fish	𓂋 𓅓 𓆛 𓂻		fish  	rhaimba  ри́ба ríba @ river  (𓅓 ambi)	
45	fish	𓂋 𓂋 𓅓 𓆛 𓏤		fish	mackerel  মাছ (bn) (mach) reverse ماہیگ‎ (máhíg)	
45	fish	𓂋 𓅓 𓆛 𓂻		fish  	ramas ~ namas   𓂋𓆛𓂻 ዓሣ ʿaśa (os) ἰχθύς	
45	fish	𓂋 𓅓 𓆛 𓂻		fish  	ramac <> سَمَك‎ samak salmonc    𓂋𓆛𓂻 ዓሣ ʿaśa (os)  মাছ  mas  ⴰⵙⵍⵎ ®aslm	
45	fish	𓂋 𓅓 𓆛 𓂻		fish  	µper ~ pira ~  ψάρι psári reverse <> spear  ψάρι psári.mon psalmon	
45	fish	𓂚 𓄿		fish 	phoair = perch ++	
45	fish	𓅱 𓎛 𓂝 𓆟		fish 	vxa  ἰχθύς	
45	fish	𓆑 𓏏 𓏏 𓅱		fish 	Fisch* < Foitten ≠ Sprotten ?	
45	fish	𓇋 𓆛 𓈖 𓏏 𓆛		the bulti-fish		
45	fish	𓇋 𓈖 𓏏 𓆛		the bulti - fish		
45	fish	𓈖 𓂝 𓂋 𓆛		cat - fish	Naur = Fish ™ ⇔ Nord / Narmer + / Noeuin : Neun / narin / nau / noin / moin?	
46	bird	𓄿		 bird 	Aar ⇔	
46	bird	𓄿 𓏤		vulture, bird 	
46	bird	𓄿 𓊪 𓂧 𓅬		duck, bird	⇔ optero avis	
46	bird	𓂧 𓎼 𓇋 𓇋 𓏏 𓀃 𓅭		a type of bird	duck…
46	bird	𓅭		duck, bird 	duck ® ! / shun ?	
46	bird	𓅿		 duck, bird 		
46	bird	𓂋 𓊪 𓅯		an edible bird 	Erpel (drake) ?
46	bird	𓄿 𓅓 𓂝 𓅬		a perching bird	
46	bird	𓅨		swallow 	GVR-` @ SEM gurr GULL gale / ⇔ / zurzur : starling / zur  gwennol   𐎒𐎐𐎐𐎚 snnt  χελιδών 	
46	bird	𓅨		swallow 	GVR > карлыгач qarlığaç  gòbhlan-gaoithe  ծիծառն cicaṙn >  چلچله‎  čelčele > schwalbe  cholo	
46	bird	𓇥 𓂋 𓏏 𓅃		kite 	Ording UR.DING!!	
46	bird	𓇥 𓂋 𓇋 𓇋 𓏏 𓅭		kite 	krait : kite √cry
46	bird	𓆓 𓂋 𓏏		kite 	qarit ^^
46	bird	𓆱 𓉻 𓅭		an edible bird, poultry	ess-duck ++ / ess-bar-bird /	
46	bird	𓇋 𓃀 𓏏 𓌦		bird - trap		
46	bird	𓇋 𓃀 𓍿 𓌦		bird-trap		
46	bird	𓌈 𓏤 𓉐 𓅁		bird - chapel		
46	bird	𓍿 𓂋 𓊪 𓅾		an edible bird 	tchirper	
46	bird	𓎡 𓆑 𓄿 𓄖		hinder parts, bottom, base 	 ≠kopfa tachath sheresh	
46	bird	𓏏 𓂋 𓊪 𓅯		an edible bird 	Trappe, Truthahn turkey ++ DE	
46	bird	𓏠 𓈖 𓏏 𓅪		swallow  <> dove		
46	bird	𓐝 𓎼 𓎼		cluck 	gluggen	
47	dog	𓍿 𓊃 𓅓 𓃡		hound, dog	chzyem ⇔ κυνη ⇔ chien 犬 quǎn 	+++
47	dog	𓍿 𓊃 𓅓 𓄛		hound, dog	← δyδyfr terrier δyδypr ⇔ cyper ⇔ keeper ... cezfer ? ^^ journey	
47	dog	𓃛 𓅱 𓃡		dog	‘chien canü‘ ⇔ canis 
47	dog	𓃛 𓅱 𓏮 𓊗 𓄛		dog	Kalb™ 𓃛	+++
47	dog	𓃛 𓅱 𓃛 𓅱 𓃡		dog	
48	louse	𓎡 𓏏 𓏏 𓆨		cootie (louse)	Kitlaus ⲕⲁⲕⲑⲓ ტილი ṭili	 ≠ 𓆣	+++
49	snake	𓆑 𓈖 𓏏 𓆙		snake, become maggoty	ƒ.natter	
49	snake	𓆑 𓈖 𓍿 𓆙		snake,  worm, become maggoty	ƒnace snake	
49	snake	𓅭 𓇾 𓆙		snake	son.acker = snake®	
49	snake	𓆓 𓂧 𓆑 𓏏 𓆙		snake,  worm	
49	snake	𓈎 𓄿 𓃀 𓅱𓆙 𓆙 𓆙		coils 	Kurven <> serpent	
49	snake	𓋴 𓄜 𓃀 𓆓 𓏏		particoloured snake	serpent	
49	snake	𓋴 𓍋 𓃀 𓏏 𓆙		particoloured snake	serpent (bunt𓃀𓏏)	
49	snake	𓎛 𓆑 𓄫 𓅱 𓆙		snake	^^	
49	snake	𓎛 𓆑 𓄿 𓅂		snake	⇔ python!	
49	snake	𓂋 𓂋 𓎡 𓎡 𓆙		snake		
50	worm	𓆑 𓈖 𓍿 𓆙		snake,  worm, become maggoty	Schnecke <> snake	++
50	worm	𓆑 𓈖 𓏏 𓆑		worm, become maggoty	hernyó™ > ἕλμις hélmis	
50	worm	𓆓 𓂧 𓆑 𓏏 𓆙		worm	دودة ‎dūda  ma.dud : 𐌼𐌰𐌸𐌰 maþa  Made 	
50	worm	𓆓 𓂧 𓆑 𓏏 𓆙		snake,  worm	curved > че́рвей čérvej ! ҡорт qort  <>  𐍅𐌰𐌿𐍂𐌼𐍃  krumm > कीड़ा kīṛā  কীট kiṭ		
50	worm	𓎛 𓆑 𓏏𓆙		intestinal worm		
50	worm	𓏏𓍔 𓄿 𓅓 𓏲 𓆙		worm, bane	tampered	
51	tree	𓍲 𓈖 𓆭		tree	dendron	
51	tree	𓏙 𓈎		fruit, fruit-tree	terek درخت‎ daraxt tree!  𓂧 𓈎 𓂋 𓂷 𓈒 𓏥 daqr dattel	
51	tree	𓂧 𓈎 𓂋 𓂷 𓈒 𓏥		fruit, fruit-trees	<> Trauben, Kirsch?
51	tree	𓅡 𓈎 𓆭		tree 		𐌱𐌰𐌲𐌼𐍃 > Baum (𓈎 TAR <> tree)
51	tree	𓆭 𓅓 𓆭		a tree	Baum 𐌱𐌰𐌲𐌼𐍃
51	tree	𓆭 𓅓 𓆭		a tree	木的 мод mod  > wood   𓆱𓏏 𓏤	
51	tree	𓆭 𓅓 𓆭		a tree	demdro <> dendron	
51	tree	𓈎 𓃀 𓆭		tree 	carbaum > carbon > arboretum
51	tree	𓈎 𓃀 𓆭		tree 	girbush > giš kirsch	
51	tree	𓆱 𓏤 𓈖𓁸		a type of tree	~Esche? Esunit?	
51	tree	𓂋 𓂧 𓇟 𓏤		shoot 	rieser Riecher  / root ⇔ / shajara : tree Ind syajrat, Per shajare, Tur secere / ⇔ segge	
51	tree	𓄥 𓄿 𓅱𓆱 𓏥		branches 	Samen	
51	tree	𓆱 𓏏 𓏤		wood, timber, tree, woodland, mast, stick, pole, rod 		
51	tree	𓆱 𓏏 𓏤 𓃀 𓈖𓂋 𓇋𓇜 𓏜		fruit tree		
51	tree	𓆱 𓏤 𓈖𓁸		a type of tree	~Esche?	
51	tree	𓆷 𓄿 𓍯 𓄿 𓃀 𓆭		persea tree	sparoei baum ⇔ persea tree	
51	tree	𓇋 𓄞 𓂧		Ished tree	‘Eschen eIshed ⇔ Eiche acorn! *Eische ⇔ acacian@zion? oak‘n ⇔tree _tarn Tannen turn?  trees? / SunShade cedar Shader! ⲤⲒϤⲒ ≠ ciFir Kiefer cypressh!⇔ Ziffer,count,cone‘fer !! vs juniper / Tree of Life, especially the ished tree at Heliopolis. Thoth and Seshat wrote the king‘s name and his reign on its leaves / Zagros = 50% oak trees!‘	
51	tree	𓇋 𓄿 𓆭 𓅓		a tree	firm ⇔ juniPer fire-wood -- / ier ⇔ yew -- / YAWPR ⇔ juniper? / YAWM	
51	tree	𓇋𓆛 𓈖𓉔 𓅓 𓂝 𓈖𓏮 𓆭		pomegranate 	linen hofron !! ⇔ safran ! ← ++-?++ >>	
51	tree	𓇋 𓈙 𓂧 𓏏		Balanos, Ished tree, fruit of the ished tree	⇔ Esche Tree	
51	tree	𓇋𓊃𓂋		tamarisk tree	‘Eser Escher ← + / ⇔ Esther ‘esher ← /  blessed, happy. rejoice !‘	
51	tree	𓇋 𓌳 𓄿 𓆭		a tree	Yemaer Jemener? / Elme Alba / esker ⇔ Escher / amer / amerarb	
51	tree	𓇋 𓌳 𓆭		a type of tree	?← / ima vs Ished tree	
51	tree	𓇛 𓅓 𓆭		carob tree ?		
51	tree	𓇛 𓆮		carob tree ?		
51	tree	𓈖 𓉔 𓏏𓆭		sycamore tree, tree 	@nature na.tree	
51	tree	𓈖 𓉔 𓏮 𓌴 𓁹 𓄿 𓄿 𓈒 𓏥		pomegranate 		
51	tree	𓈙 𓈖𓆓 𓏏		Nile acacia tree		
51	tree	𓈙 𓍯 𓃀 𓆭		persea tree	scrub?	
51	tree	𓍘 𓀻 𓋴𓈒 𓏥		Cinnamon, a tree,  spice ?	cin-amon!!	
51	tree	𓍘 𓀼 𓆱		Cinnamon, a tree,  spice ?		
51	tree	𓍲 𓈖 𓂧 𓏏 𓆭		Nile acacia tree		
51	tree	𓍲 𓈖 𓆓 𓏏 𓆭		Nile acacia tree	Ished™	
52	forest	𓏠 𓏌 𓏌 𓏌 𓆭 𓆭 𓆭		trees, plantation	many trees [[3]]  	
52	forest	𓏠 𓏌 𓏌 𓏌 𓆮		trees, plantation	𓏠=play => 𓏠𓏌𓏌𓏌 planar plantation	
53	stick	𓆱 𓏏 𓏤		wood, timber, tree, woodland, mast, stick, pole, rod 		
53	stick	𓂝 𓅓 𓂝 𓄿 𓏏 𓌚		throw - stick		
53	stick	𓂝 𓅓 𓄿 𓏏 𓏐		throw-stick	armat	
53	stick	𓈙 𓅓 𓇋 𓇋 𓏏 𓆱		walking - stick
53	stick	𓍿 𓃹 𓈖 𓂡		gore, stick 		
53	stick	𓏠 𓈖𓏛		remain, be fixed, stick fast, be attached, dwell, be vested 	(re)main PIE *men- (“to stay, stand still”)	
54	fruit	𓇭 𓈒 𓏥		fruit of various trees		
54	fruit	𓉐 𓂋 𓏏𓏯 𓌾 𓏥		fruit, seed 	BRUT / phyto®	
54	fruit	𓉐 𓂋 𓏏 𓂺 𓈓		fruit, seed 		
54	fruit	𓉐 𓂋 𓏏𓍁 𓈓		fruit, seed 		
54	fruit	𓍁 𓂋 𓏏		fruit, seed 	‘fruit EN++ fur.ḫoe.t f‘reut ⇔ Furche / fawaakih AR +- / acron ← hAcker.os  /  Acker.on‘	
54	fruit	𓍁 𓏏𓈒 𓏥		fruit, seed 		
54	fruit	𓂋 𓂋		fruit 	𐌰𐌺𐍂𐌰𐌽 akran	
54	fruit	𓂋 𓂋		fruit 	bi.ru / cer.bi 𐂓  𐀏𐀡 ka-po  ნაყოფი na.q̇opi	
54	fruit	𓏙 𓈎		fruit, fruit - tree
55	seed	𓄝 𓏏 𓇋 𓇋 𓏏 𓂺 𓏥		seed, posterity	seed <> shoot, offshoot	
55	seed	𓂸 𓏏 𓏲 𓏏 𓂺 𓏥		semen, seed, progeny, poison 	susar@Persia! ⇔ essence Soße!	
55	seed	𓅓 𓅓 𓈒 𓈒 𓈒		seed - corn		
55	seed	𓅓 𓅓 𓇋 𓈒 𓈒 𓈒		seed - corn	emmer <> mêre	
55	seed	𓅓 𓅓 𓇋 𓈒 𓏥		seed corn of emmer ?	EMMER	
55	seed	𓅓 𓏏 𓂺 𓅱 𓏏		seed, progeny	‘brutus <> fruit
55	seed	𓅓 𓏮 𓈓		seed corn of emmer ?	emmer	
55	seed	𓅖 𓇋𓇋 𓅱 𓈗		semen, seed of man
55	seed	𓉐 𓂋 𓏏 𓍁 𓈓		fruit, seed 	fruit	
55	seed	𓉐 𓂋 𓏏 𓂺 𓈓		fruit, seed 		
55	seed	𓉐 𓂋 𓏏 𓏯 𓌾 𓏥		fruit, seed 	
55	seed	𓍁 𓂋 𓏏		fruit, seed 	fruit / Sart?
55	seed	𓍁 𓏏 𓈒 𓏥		fruit, seed 		
55	seed	𓉻 𓂝 𓄿 𓂝 𓂺		divine seed 		
56	leaf	𓇥 𓂋 𓆓 𓄔		leaf	кор kor >  گەڵا‎ gella	<>
56	leaf	𓇥 𓂋 𓆓 𓄔		leaf	وَرَقَة‎ waraqa <> برگ‎ barg पर्ण parṇá पत्र patra ?
56	leaf	𓂝 𓂋 𓇋 𓇋 𓏏 𓆱		leaf 	
56	leaf	𓄔 𓏤		leaf	Ähre <> Ohr	
56	leaf	𓋴𓐟 𓄿 𓊪𓏏𓆰		lotus - leaf	shelter-foot	
57	root	𓆱𓇛		sweet nec=flag/root!! ++++++++++ ←	spetux?	
57	root	𓇡		bean-royt ~ ben-root ++ ←		
57	root	𓍯 𓄿 𓃀 𓆰		root, socket 	roopt ⇔ rupf root	
57	root	𓏠 𓈖𓇋𓇋𓏏𓆱		root, root 	manace?	
58	bark					
59	flower	𓁷 𓂋 𓂋 𓏏𓆰		flower	frrt fruit? / herrt? / herb?	
59	flower	𓃹 𓈖𓃀 𓆰		flower	sanib=heil / sanft senft sen=color / sn floher / schön flower	
59	flower	𓇇𓆰		floherth=flower plant	fl.h.t / flecht?	
59	flower	𓇬 𓈖𓃀		flower	Sonnenbl	
59	flower	𓎔      𓎔   𓋺		FL? flax, falt~volume, flower vs pound?? Flachs=pishtâh= flat fill		
59	flower	𓐍 𓈖𓂧 𓌻		bend, twist together 	 kanten<>binden	
59	flower	𓆼 𓅱 𓆰 𓏥  plants, flowers  greens 
60	grass	𓁸		hair, grass	hair, herb +++ !! 	
60	grass	𓁸 𓏥		hair, grass		
60	grass	𓍲 𓈖 𓏌 𓏲 𓁸		hair, grass	Schnüren++ DE++ / ⇔Schnitter	
60	grass	𓍲 𓈖 𓏮 𓁸 𓏥		hair, grass		<> grün, jaune?
61	rope	𓁷 𓏤 𓍢		a rope 	oben	
61	rope	𓂝 𓎛 𓍢		rope	Oher << chordul	
61	rope	𓇋 𓎛 𓍢		rope	igiya @ Hausa	
61	rope	𓍱 𓋴 𓍢		rope	igiya @ Hausa	
61	rope	𓈎 𓄿 𓋴 𓍢		rope - ladder	<> cords?
61	rope	𓈎 𓄿 𓋴 𓍢 𓂡		string, bind, tie 		
61	rope	𓈎 𓋴 𓍢 𓂡		string, bind, tie 	cross  / ⇔capture	
61	rope	𓂝 𓈎 𓄿 𓂭 𓂭 𓍢 𓏤		a type of rope		
61	rope	𓂝 𓈎 𓄿 𓍢		a type of rope		
61	rope	𓈖 𓍇 𓏌 𓅱 𓎛 𓍢		rope, band 	Netzer, ngwe	
61	rope	𓍯 𓏏 𓍢		draw - rope 		
61	rope	𓄤 𓆑 𓂋 𓇋 𓇋 𓍢 𓏏 𓏤		tiller - rope		
62	skin	𓄛  	
62	skin	𓄚 𓈖 𓏏 𓄛		hide, skin	xinde = skin, hīde	
62	skin	𓄚 𓈖 𓏌 𓅱 𓅂 𓄛 𓌙 𓏥 𓀀		skin - clad people		
62	skin	𓄞 𓂧 𓅱		skin, water - skin	scciwn
62	skin	𓄞 𓂧 𓅱		skin, water - skin	sheath	
62	skin	𓄞 𓂧 𓄛		skin, water - skin	sheath-leather	
62	skin	𓄟 𓋴 𓂓 𓄛		skin, leather, animal hide	maskatier	
62	skin	𓃀 𓅡 𓄇 𓄛		leopard skin		
62	skin	𓇋 𓆛 𓈖 𓌰 𓅓 𓄛		skin, hues, development, complexion	?	
63	meat	𓄹
63	meat	𓃂 𓃀 𓇋 𓇋 𓏏 𓄹 𓏥		 meat offerings		
63	meat	𓃂 𓈗 𓅱 𓄹 𓏥 𓏏		 meat offerings	<> meat < mea®𓅱𓄹𓏥t 	𓈗 𓅱 𓄹 𓏥 𓏏
63	meat	𓄿 𓈙 𓂋 𓄹		roast, roast meat, a roast	 asher++ <> 𓂋 𓄿 𓈙 𓄹	 roast permutation
63	meat	𓇋 𓅱 𓆑 𓄹 𓄹 𓄹		flesh, meat
63	meat	𓇋 𓆑 𓄻 𓏥		meat		
63	meat	𓅨 𓂋 𓇋 𓄹		portion of meat		
64	blood	𓂐
64	blood	𓂧 𓈙 𓂋 𓂐		blood	dasher® *ésHr̥ PIE qed / dash-rotit? / drescher / blusher	
64	blood	𓂧 𓈙 𓂋 𓅱 𓏯		blood	dash=red
64	blood	𓊃 𓈖 𓆑 𓅱 𓂐		blood	δanu ⇔ dyn.astie dam=blood@SEM zen, dome ⇔ gen same! blood *dam- damu dam- dām
65	bone	𓌟 𓏤		bone		
65	bone	𓄿 𓅓 𓂝 𓅱 𓏏 𓂡		ramus, fork, hinged bone	•armauth > ramus	--‘	
65	bone	𓏏 𓃀 𓈖 𓐎		bone - marrow ?	T-bone	
65	bone	𓈎 𓋴 𓌟		bone	qurs ⇔ keros = horn!	
66	fat	𓎙 𓏌 𓏥		fat, grease		
66	fat	𓎙 𓂧 𓊌		fat, grease	edge ⇔ rand:Ranz	
66	fat	𓎙 𓂧 𓏌 𓏥		fat, grease		
66	fat	𓎙 𓂧 𓏮 𓈒 𓏥		fat, grease		
66	fat	𓎙 𓆓 𓊌 𓏥		fat, grease		
66	fat	𓆓 𓂧 𓂉		 fat	чat
66	fat	𓆓 𓂧 𓄿 𓄃		 fat		
66	fat	𓆓 𓂧 𓄿 𓐎		 fat		
