№ 	English 	Ilocano 	Malay 	Tagalog 	Cebuano 	Pampangan 	Pangasinan 	Sasak 	Chamorro 	Malagasy 	Tahitian 	Maori 	Sundanese 	Ibanag 	Itawit 	Javanese 
130 	to squeeze 	pespes 	peras 	pisil - root verb 	pisa 	paslan, sakmalan 	pespes, mesmes 	[[]] 	fugo' 	mandray 	tāmau 	kotē 	meureut, rames 	paggal 	[[]] 	[[]] 
131 	to rub 	radradan, lidliden 	gosok, sapu 	kuskos, kaskas - root verbs 	banyos 	kaskasan 	kuskos, gurgor 	[[]] 	palai, hulos 	manakasoka 	ʻuiʻui 	ūkuikui 	kosok 	guggu' 	[[]] 	[[]] 
132 	to wash 	ugas 	basuh, cuci 	hugas, laba (for clothing articles and fabrics) < from the Spanish verb /lavar/ - root verbs 	hugas 	wasan, manos 	oras 	[[]] 	fa'gåsi 	manasa 	horoy 	horoi 	kumbah, seuseuh 	baggao 	[[]] 	umbah 
133 	to wipe 	punas, nasnas 	sapu, lap 	punas - root verb 	pahid 	pulisan, kuskusan 	punas 	[[]] 	saosao 	mamafa 	horoi 	muru 	mupus 	funa' 	[[]] 	[[]] 
134 	to pull 	guyod 	tarik 	hila, batak - root verb 	bitad 	igutan, gulyutan 	guyor 	[[]] 	hålla 	mitifitra 	ʻume 	kume, hutihuti 	bedol, betot 	guggun 	[[]] 	tarik 
135 	to push 	duron 	tolak 	tulak - root verb 	tuklod 	isubung, itulak 	tulak 	[[]] 	chonnek 	manosika 	turaʻi 	pei 	sorong, suntrung 	tubba' 	[[]] 	surung 
136 	to throw 	ibato, belleng 	baling, campak, lempar 	tapon, hagis - root verb 	labay 	iugse, iyatsa, baronggan 	topak, bantak 	[[]] 	dåggao 	manoraka 	tāora 	panga 	alung 	tabbo' 	[[]] 	balang, sawat 
137 	to tie 	igalot 	ikat 	tali - root verb 	hikot 	tali, itali 	singer 	[[]] 	goddi 	mamehy, mamatotra 	ruru, nati 	herehere 	mbungkeut 	galu' 	[[]] 	[[]] 
138 	to sew 	dait 	jahit 	tahi - root verb 	tahi 	tayan 	dait 	[[]] 	laksi 	manjaitra 	au, nira 	tui 	kaput, kecos 	dage' 	[[]] 	dondom 
139 	to count 	bilang 	kira, bilang, hitung 	bilang - root verb 	ihap 	mamilang 	bilang 	[[]] 	tufong, måmfong 	mamisa 	nūmera 	tatau 	étang, ngitung 	bilang 	[[]] 	[[]] 
140 	to say 	kuna 	kata 	sabi - root verb 	sulti, ingon 	sabian, iagkas, sambiltan 	baga, tongtong, balikas 	[[]] 	alok, sångan 	milaza, miteny 	'ī 	kōrero 	carios 	kagi 	[[]] 	[[]] 
141 	to sing 	agkanta 	nyanyi 	awit - root verb 	awit 	tumaila 	togtog 	[[]] 	lålai, kånta 	mihara, mikalo 	pehe, hīmene 	pūoro, pau, hīmene 	kawih, nembang 	kansiyon 
142 	to play 	agay-ayam 	main 	laro - root verb 	dula 	mamyalung 	galaw, manay-ayam 	[[]] 	hugando, huega 	milalau 	haʻuti 	waiata 	ameng, maén, ulin 	gayam 
143 	to float 	agtapaw 	apung 	lutang - root verb 	lutaw 	gato 	letaw 	[[]] 	gama, må'ya 	mitsinkafona 	[[]] 	kārewa 	kambang 
144 	to flow 	ayus 	alir, alur, salir, salir 	agos, daloy - root verbs 	agas 	magus 	agos 	[[]] 	[[]] 	mikoriana 	tahe 	tere 	kocor, kucur, ngalir 	agi'
145 	to freeze 	agyelo 	beku 	tigas, yelo - root verbs 	bagtok 	[[]] 	kigtel 	[[]] 	mama'ais 	mandry 	faʻatoʻetoʻe roa 	whakatio 	gibleg, kimpel 	tagga', yelo 
146 	to swell 	lumteg 	bengkak 	maga - root verb 	burot 	mangalbag 	larag 	[[]] 	pokpok 	mibontsina 	ʻoru 	pupuhi, puku 	bareuh 	lappak 
147 	sun 	init 	matahari 	araw 	adlaw 	aldo 	agew, banua, ugto 	[[]] 	atdao 	masaondra 	mahāna 	ra 	panonpoé 	bilak 
148 	moon 	bulan 	bulan 	buwan 	bulan 	bulan 	bulan 	[[]] 	pulan 	volana 	marama 	mārama 	bulan 	vulan 
149 	star 	bituen 	bintang 	bituin 	bituon 	batuin 	bitewen, bitoen 	[[]] 	puti'on, estreyas 	kintana 	fetiʻa 	whetū 	béntang 	bitun 
150 	water 	danum 	air, tirta 	tubig 	tubig 	danum 	danum 	[[]] 	hånom 	rano 	vai 	wai 	cai 	danum 	danum 
151 	rain 	tudo 	hujan 	ulan 	ulan 	muran 	uran 	[[]] 	uchan, ame' 	orana 	ua 	ua 	hujan, ijih 	uran 
152 	river 	karayan 	sungai, batang, sei 	ilog 	suba, sapa 	ilug 	ilog 	[[]] 	såddok 	renirano 	tahora, 'ānāvai 	awa 	wahangan, walungan 	bannag 
153 	lake 	danaw 	danau, tasik 	lawa 	lanaw 	lawa 	ilog, look 	[[]] 	hagoi 	kamory, farihy 	roto 	roto 	situ, talaga 
154 	sea (as in ocean) 	taaw, baybay 	laut 	dagat, laot 	dagat 	dagat, dayat malat 	dayat 	[[]] 	tåsi 	riaka, ranomasina 	miti 	moana 	laut, sagara 
155 	salt 	asin 	garam, masin 	asin 	asin 	asin 	asin 	[[]] 	asiga 	sira 	miti 	tote 	uyah 	asin 
156 	stone 	bato 	batu 	bato 	bato 	batu 	bato 	[[]] 	åcho' 	vato 	'ōfa'i 	kōwhatu 	batu 	batu 	batu 
157 	sand 	darat 	pasir 	buhangin 	balas 	balas 	buer 	[[]] 	unai 	fasika 	one 	one 	keusik 	daga'
158 	dust 	tapok 	debu, habuk 	alikabok 	abog 	alikabuk 	dabok 	[[]] 	potbos 	vovoka 	one 	puehu 	kekebul 	gavu'
159 	earth (as in soil) 	daga 	darat, tanah 	lupa 	yuta 	yatu 	dalin 	[[]] 	tåno 	tany 	fenua 	whenua 	lemah 	davvun 
160 	cloud 	ulep 	awan 	alapaap, ulap 	panganod 	biga, ulap 	lorem 	[[]] 	mapagåhes, nublådu 	rahona 	ata 	kapua 	méga 	kunam 	kunam 
161 	fog 	angep 	kabus, kabut 	hamog 	gabon 	ulap 	kelpa, malinaew 	[[]] 	afao, åsgon 	zavona 	rūpehu 	kohu 	halimun, limut 	[[]] 
162 	sky 	langit 	langit 	langit 	langit 	banua 	tawen, banua 	[[]] 	langet 	lanitra 	raʻi 	rangi 	awang, langit 	langi'
163 	wind (as in breeze) 	angin 	angin, bayu 	hangin 	hangin 	angin 	dagem, alamag 	[[]] 	guaifon, månglo 	rivotra 	mataʻi 	hau 	angin, maruta 	paddak 
164 	snow 	niebe 	salji, salju 	niyebe < from Spanish /nieve/ 	niyebe 	yelu 	linew 	[[]] 	[[]] 	ranomandry, lanezy 	hiona 	hukarere 	salju 	niebe 
165 	ice 	yelo 	ais, es 	yelo < from Spanish /hielo/ 	yelo < from Spanish /hielo/ 	yelu 	pakigtel 	[[]] 	ais < from English /ice/ 	ranomandry 	pape toʻetoʻe 	kōpaka 	és 	yelo 
166 	smoke 	asok 	asap 	usok, aso 	aso 	asuk 	asiwek, asewek 	[[]] 	asu 	setroka 	auauahi 	auahi 	haseup, saab 	atu'
167 	fire 	apoy 	api 	apoy 	kalayo 	api, silab 	apoy, pool, dalang 	[[]] 	guafi 	afo 	auahi 	ahi 	seuneu 	afuy, afi 
168 	ash 	dapo 	debu, abu 	abo 	abo, agiw 	abu 	dapol 	[[]] 	åpu 	avenona 	rehu auahi 	pungarehu 	lebu 	avu 
169 	to burn (intransitive) 	uram 	bakar 	sunogin 	sunog 	silab 	pool, silab, sinit 	[[]] 	songge' 	may 	ʻama 	tahu 	beuleum, duruk, huru 	tuggi 
170 	road 	dalan 	jalan 	daan, kalsada, lansangan 	dalan 	dalan 	dalan, basbas 	[[]] 	chålan 	lalana 	ea'tia 	ara 	jalan 	dalan 
171 	mountain 	bantay 	gunung 	bundok 	bukid 	bunduk 	palandey, buntok 	[[]] 	ladera 	tondrombohitra 	mouʻa 	maunga 	gunung 	vukik 
172 	red 	nalabaga 	merah 	pula 	pula 	malutu 	ambalanga 	[[]] 	agaga' 	mena 	ʻura 	whero 	beureum 	uzzin 
173 	green 	naata 	hijau 	berde, luntian 	lunhaw, berde 	aluntian 	maeta, ampasiseng 	[[]] 	betde < from Spanish /verde/ 	maitso 	matie 	kakariki 	héjo 	berde 
174 	yellow 	duyaw 	kuning 	dilaw 	dalag 	dilo 	duyaw 	[[]] 	amariyu < from Spanish /amarillo/ 	mavo 	reʻareʻa 	kowhai 	konéng 	ngila 
175 	white 	puraw 	putih 	puti 	puti 	maputi 	amputi, puti 	[[]] 	å'paka' 	fotsy 	ʻuoʻuo 	mā 	bodas 	furaw 
176 	black 	nangisit 	hitam 	itim 	itom 	matuling 	andeket, deket 	[[]] 	åttilong 	mainty 	ʻereʻere 	mangu 	hideung 	ngisi 
177 	night 	rabii 	malam 	gabi 	gabii 	bengi 	labi, ketket 	[[]] 	puengi 	alina 	ruʻi, pō 	pō 	peuting, wengi 	gabi 
178 	day (daytime) 	aldaw 	siang 	araw 	adlaw 	aldo 	agew 	[[]] 	ha'åni 	andro 	mahana 	ao 	beurang, siang 	aggaw 
179 	year 	tawen 	tahun 	taon 	tuig 	banua 	taon 	[[]] 	såkkan 	taona 	matahiti 	tau 	taun, warsih 	dagun, ragun 
180 	warm (as in weather) 	pudot 	panas, hangat, suam 	mainit 	init 	mapali 	ampetang, petang, imeng, sinit 	[[]] 	maipe 	mafana 	māhanahana 	mahana 	haneut 	patu 
181 	cold (as in weather) 	lamek 	sejuk, dingin 	malamig 	tugnaw, bugnaw 	marimla 	ambetel, betel 	[[]] 	mañengheng 	mangatsiaka 	toʻetoʻe 	makariri 	tiis, tiris 	lammin, lumay 
182 	full 	napno 	penuh 	puno 	puno 	sapak, katmu 	naksel, napno 	[[]] 	håspok (from food), bula 	feno 	api 	puha 	pinuh 	pannu 
183 	new 	baro 	baharu 	bago 	bag-o 	bayu 	balo 	[[]] 	nuebu 	vaovao 	'āpī 	hōu 	anyar, kakara, weuteuh 	bagu 
184 	old 	daan 	lama 	luma, matanda 	daan 	matua, laun, luma 	daan 	[[]] 	åmko' 	onta, hantitra 	tahitro 	pakeke 	lawas, lami 	dana 
185 	good 	imbag 	bagus, baik 	mabuti 	maayo 	mayap 	maong, duga, abig 	[[]] 	maolek 	tsara 	maitaʻi 	pai 	alus, hadé, saé 	masippo', mapia 
186 	bad 	dakes 	buruk, jahat, teruk 	masama 	dautan 	marok 	aliwa, mauges 	[[]] 	båba 	ratsy 	ʻino 	kino 	awon, butut, goréng 	marakay 
187 	rotten (as, a log) 	nabangles 	reput, busuk 	bulok 	lata 	buluk 	abolok, bolok 	[[]] 	lamas 	bobongolo 	pē 	pirau 	buruk 	badyu 
188 	dirty 	narugit 	kotor 	marumi, madumi 	hugaw 	dinat, marinat 	maringot, dingot, marutak, dutak 	[[]] 	applacha' 	maloto 	repo 	paru 	bagedur, kotor 	nadaping 
189 	straight 	natarus, nalinteg 	terus, lurus 	tuwid 	tarong, matuwid 	matulid, tulid 	maptek, petek 	[[]] 	tunas 	mahitsy 	tiʻa, 'āfaro 	tautika 	lempeng 	derecho 
190 	round 	nagbukel 	bulat, bundar 	bilog 	lingin 	mabilug 	malimpek, limpek, telek 	[[]] 	adamelong 	boribory 	menemene 		buleud, bunder 
191 	sharp (as a knife) 	natadem 	tajam 	matulis, matalim, matalas 	hait 	mataram 	matdem, tarem 	[[]] 	kadidok 	maranitra 	ʻina 	koi 	seukeut 	nataram 
192 	dull (as a knife) 	namudel 	tumpul 	mapurol, pudpod 	habul 	mapurul 	epel, mangmang 	[[]] 	bulengngo' 	[[]] 	mania, tūmū 	pūhuki 	kodol, mentud, mintul 	nangural 
193 	smooth 	nalamuyot, nasimpa 	licin, mulus 	makinis 	hamis, kinis 	makinis, malinatnat 	palanas, patad 	[[]] 	måhlos, finu 	malama 	mānina 	maheni 	lemes 	nadalu'
194 	wet 	basa 	basah 	basa 	basa 	basa, mabasa 	ambasa, basa 	[[]] 	fotgon 	mando 	rari 	mākū 	baseuh, jibreg 	nabasa 
195 	dry (adjective) 	maga 	kering 	tuyo 	uga 	malangi 	amaga, maga 	[[]] 	ångglo' 	maina 	marō 	maroke 	garing, saat, tuus 	namaga 
196 	right (correct) 	payso 	betul, benar 	tama, tumpak 	tinuod 	ustu, mausta 	duga, tua, maong 	[[]] 	dinanchi 	mendrika 	tiʻa 	tika 	bener, estu, leres 	kuruk, ustu 
197 	near 	sideg 	dekat, hampir 	malapit 	duol 	malapit 	asinger, abay 	[[]] 	hihot 	akaiky 	fatata 	tata 	caket, deukeut 	aranni 
198 	far 	dayu 	jauh 	malayo 	layo 	marayu 	arawi, biek taew 	[[]] 	chågu 	lavitra 	ātea 	tawhiti 	jauh, tebih 	arayyu 
199 	right (side) 	kannawan 	kanan 	kanan 	tuo 	uanan 	kawanan 	[[]] 	agapa 	havanana 	ʻatau 	katau, matau 	katuhu, tengen 	ziwanan 	ziwanan 
200 	left (side) 	kannigid 	kiri 	kaliwa 	wala 	kaili 	kawigi 	[[]] 	akkague 	havia 	ʻaui 	mauī 	kénca, kiwa 	zimigi 	zimigi 
201 	at 	diay 	di 	sa 	sa 	keta 	ed 	[[]] 	gi 	izy 	i 	i 	dina 	ta 	kan 
202 	in 	uneg 	di, di dalam, dalam 	sa 	sa 	atiu, kilub 	ed 	[[]] 	gi 	anaty 	i 	i roto 	jero, lebet 	ta 	kan 
203 	with (accompanying) 	agraman, ken 	dengan, bersama 	kasama 	uban 	kambe, kayabe 	iba, mi- 	[[]] 	yan 	amin'ny 	ma 		jeung, kalawan, sareng 	anna, kavulun, konsu 
204 	and 	ken, ket 	dan, serta 	at 	ug 	ampong, at 	tan 	[[]] 	ya, yan 	sy, ary 	ma 	me, a, hoki 	sarta, tur 	anna 
205 	if 	no 	jika, apabila, kalau 	kung 	kon 	nung 	no 	[[]] 	yanggen, akasu, kumu 	raha 	'āhiri 	me (hemea) 	lamun, upami 	nu 
206 	because 	ta 	sebab, kerana, karena 	dahil, sapagkat 	kay, tungod 	kasi, uling 	ta, lapu ed, kasi 	[[]] 	sa', muna'- 	satria 	nō te mea 		kusabab, lantaran, margi 	nakwa ta, garay 
207 	name 	nagan 	nama 	pangalan, ngalan 	ngalan 	lagyu 	ngaran 	[[]] 	na'an 	anarana 	iʻoa 	ingoa 	jenengan, nami, ngaran 	ngagan
